QB99,,Q2FydGVy,,,,,Q2FydGVy,,
Sx99,,QmVleW8=,,,,,QmVleW8=,,
TB99,,W0JlZXlvXQpIYXZlIHlvdSBoZWFyZCBvZiBhIG1hZ2ljYWwgc3dvcmQgY2FsbGVkIHRoZSAnTXlzdGVsdGFpbm4nPyBJdCdzIHRoZSBuYW1lIG9mIHRoZSBeMDA5OUZGeW91bmcgdHdpZ14wMDAwMDAgdGhhdCBraWxsZWQgdGhlIEdvZCBvZiBMaWdodCwgQmFsZHVyLi4uCkl0IHdhcyBvcmlnaW5hbGx5IGEgc21hbGwgdHJlZSBicmFuY2guIEkgZG9uJ3QgaGF2ZSBtb3JlIGRldGFpbHMgZWl0aGVyLg==,,,,,W0JlZXlvXQpWb2PDqiBqw6Egb3V2aXUgZmFsYXIgZGUgdW1hIGVzcGFkYSBtw6FnaWNhIGNoYW1hZGEgJydNeXN0ZWx0YWlubicnPyDDiSBvIG5vbWUgZG8gXjAwOTlGRiBqb3ZlbSBnYWxob14wMDAwMDAgcXVlIG1hdG91IG8gRGV1cyBkYSBMdXosIEJhbGR1ci4uLgpPcmlnaW5hbG1lbnRlLCBlcmEgdW0gcGVxdWVubyBnYWxobyBkZSDDoXJ2b3JlLiBUYW1iw6ltIG7Do28gdGVuaG8gbWFpcyBkZXRhbGhlcy4=,,
TR99,,W0JlZXlvXQpBbnl3YXksIEkgaGVhcmQgdGhlcmUncyBhIHdheSB0byBtYWtlIHRoaXMgbGVnZW5kYXJ5IHN3b3JkLgpJJ3ZlIGhlYXJkIHRoYXQgYSBCbGFja3NtaXRoIHdobyBvbmNlIGxpdmVkIGluIFByb250ZXJhIGtub3dzIGhvdyB0byBtYWtlIGl0LiBCdXQgaGUgc2VlbXMgdG8gaGF2ZSBkaXNhcHBlYXJlZC4=,,,,,W0JlZXlvXQpEZSBxdWFscXVlciBmb3JtYSwgb3V2aSBkaXplciBxdWUgaMOhIHVtYSBtYW5laXJhIGRlIGZhemVyIGVzc2EgZXNwYWRhIGxlbmTDoXJpYS4KT3V2aSBkaXplciBxdWUgdW0gZmVycmVpcm8gcXVlIGrDoSB2aXZldSBlbSBQcm9udGVyYSBzYWJlIGNvbW8gZmF6w6otbGEuIE1hcyBlbGUgcGFyZWNlIHRlciBkZXNhcGFyZWNpZG8u,,
Th99,,W0JlZXlvXQpCYWxkdXIgaXMgdGhlIHNvbiBvZiB0aGUgb25lIHdlIHdvcnNoaXAsIE9kaW4sIHNvIEkgUkVBTExZIGRvbid0IHdhbm5hIGhhdmUgdGhhdCBldmlsIHN3b3JkLCBNeXN0ZWx0YWlubi4=,,,,,W0JhbGR1ciDDqSBmaWxobyBkYXF1ZWxlIHF1ZSBhZG9yYW1vcywgT2Rpbi5dCkJhbGR1ciDDqSBvIGZpbGhvIGRhcXVlbGUgcXVlIGFkb3JhbW9zLCBPZGluLCBlbnTDo28gZXUgUkVBTE1FTlRFIG7Do28gcXVlcm8gdGVyIGVzc2EgZXNwYWRhIG1hbGlnbmEsIE15c3RlbHRhaW5uLg==,,
Tx99,,W0JlZXlvXQpBbnl3YXksIEkgaGVhcmQgdGhlcmUncyBhIHdheSB0byBtYWtlIHRoaXMgbGVnZW5kYXJ5IHN3b3JkLgpJdCdzIHNhaWQgdGhhdCBhIEJsYWNrc21pdGggd2hvIG9uY2UgbGl2ZWQgaW4gUHJvbnRlcmEga25vd3MgaG93IHRvIG1ha2UgaXQuIEJ1dCBoZSBzZWVtcyB0byBoYXZlIGRpc2FwcGVhcmVkLg==,,,,,W0JlZXlvXQpEZSBxdWFscXVlciBmb3JtYSwgb3V2aSBkaXplciBxdWUgaMOhIHVtYSBtYW5laXJhIGRlIGZhemVyIGVzc2EgZXNwYWRhIGxlbmTDoXJpYS4KRGl6ZW0gcXVlIHVtIGZlcnJlaXJvIHF1ZSBqw6Egdml2ZXUgZW0gUHJvbnRlcmEgc2FiZSBjb21vIGZhesOqLWxhLiBNYXMgZWxlIHBhcmVjZSB0ZXIgZGVzYXBhcmVjaWRvLg==,,
UB99,,W0JlZXlvXQpCYWxkdXIgd2FzIHRoZSBzb24gb2YgdGhlIG9uZSB3ZSB3b3JzaGlwLCBPZGluLCBzbyBJIFJFQUxMWSBkb24ndCB3YW5uYSBoYXZlIHRoYXQgZXZpbCBzd29yZCwgTXlzdGVsdGFpbm4u,,,,,W0JhbGR1ciBlcmEgZmlsaG8gZGFxdWVsZSBxdWUgYWRvcmFtb3MsIE9kaW4uXQpCYWxkdXIgZXJhIGZpbGhvIGRhcXVlbGUgcXVlIGFkb3JhbW9zLCBPZGluLCBlbnTDo28gZXUgUkVBTE1FTlRFIG7Do28gcXVlcm8gdGVyIGVzc2EgZXNwYWRhIG1hbGlnbmEsIE15c3RlbHRhaW5uLg==,,
UR99,,U2hhemU=,,,,,U2hhemU=,,
Uh99,,W1NoYXplXQpJIGhlYXJkIHRoZXJlJ3MgYSBtYWdpY2FsIHN3b3JkIG1hZGUgb2YgdGhlIHN0ZWVsIGhhcmQgT2dyZSBUb290aC4gSXQncyBjYWxsZWQgdGhlIEdyaW10b290aC4KSXQgd291bGQgbm90IHdvcmsgaWYgeW91IHVzZSBub3JtYWwgbWF0ZXJpYWxzIHRvIG1ha2UgaXQu,,,,,W1NoYXplXQpPdXZpIGRpemVyIHF1ZSBleGlzdGUgdW1hIGVzcGFkYSBtw6FnaWNhIGZlaXRhIGRlIGHDp28gZHVybyBkZSBkZW50ZSBkZSBvZ3JvLiDDiSBjaGFtYWRhIGRlIEdyaW10b290aC4KRWxhIG7Do28gZnVuY2lvbmFyaWEgc2Ugdm9jw6ogdXNhc3NlIG1hdGVyaWFpcyBub3JtYWlzIHBhcmEgZmF6w6otbGEu,,
Ux99,,W1NoYXplXQpTbyB5b3UgaGF2ZSB0byBmb3JnZSBpdCB3aXRoIHNwZWNpYWwgbWF0ZXJpYWxzIHRvIGdpdmUgaXQgZXh0cmEgcG93ZXIuIEkgaGVhcmQgb25seSBzb21lIEJsYWNrc21pdGggdGhhdCBvbmNlIGxpdmVkIGluIFByb250ZXJhIGtub3dzIGhvdyB0byBkbyBpdC4=,,,,,W1NoYXplXQpFbnTDo28sIMOpIHByZWNpc28gZm9yasOhLWxhIGNvbSBtYXRlcmlhaXMgZXNwZWNpYWlzIHBhcmEgZGFyIGEgZWxhIHVtIHBvZGVyIGV4dHJhLiBPdXZpIGRpemVyIHF1ZSBhcGVuYXMgdW0gZmVycmVpcm8gcXVlIGrDoSB2aXZldSBlbSBQcm9udGVyYSBzYWJlIGNvbW8gZmF6ZXIgaXNzby4=,,
VB99,,W1NoYXplXQ==,,,,,W1NoYXplXQ==,,
VR99,,VW5mb3J0dW5hdGVseSwgdGhlIEJsYWNrc21pdGggbGVmdCBQcm9udGVyYSwgYW5kIG5vYm9keSBrbm93cyB3aGVyZSBoZSBpcyBub3cu,,,,,SW5mZWxpem1lbnRlLCBvIGZlcnJlaXJvIGRlaXhvdSBQcm9udGVyYSBlIG5pbmd1w6ltIHNhYmUgb25kZSBlbGUgZXN0w6EgYWdvcmEu,,
Vh99,,W1NoYXplXQpJJ20gYWxzbyB2ZXJ5IGN1cmlvdXMgYXMgdG8gaG93IHRoZSBHcmltdG9vdGggaXMgbWFkZS4uLmJ1dCB0aGVuIEknbSBub3QgYSBCbGFja3NtaXRoOyBzbyBpdCByZWFsbHkgZG9lc24ndCBtYWtlIGEgZGlmZmVyZW5jZSBpZiBJIGtub3cgaXQgb3Igb3RoZXJ3aXNlLg==,,,,,W1NoYXplXQpUYW1iw6ltIGVzdG91IG11aXRvIGN1cmlvc28gcGFyYSBzYWJlciBjb21vIG8gR3JpbXRvb3RoIMOpIGZlaXRvLi4uIG1hcyBldSBuw6NvIHNvdSBmZXJyZWlybywgZW50w6NvIG7Do28gZmF6IGRpZmVyZW7Dp2Egc2UgZXUgc2VpIG91IG7Do28u,,
Vx99,,W1NoYXplXQpJIGhlYXJkIHRoZXJlJ3MgYSBtYWdpY2FsIHN3b3JkIG1hZGUgZnJvbSB0aGUgaGFyZGVyLXRoYW4tc3RlZWwgT2dyZSBUb290aC4gSXQncyBjYWxsZWQgdGhlIEdyaW10b290aC4KSXQncyBwb3dlcnMgZ28gdXNlbGVzcyBpZiB5b3UgbWFrZSBpdCB3aXRoIHJlZ3VsYXIgbWF0ZXJpYWxzLiA=,,,,,W1NoYXplXQpPdXZpIGRpemVyIHF1ZSBleGlzdGUgdW1hIGVzcGFkYSBtw6FnaWNhIGZlaXRhIGNvbSBvIGRlbnRlIGRlIG9ncm8gbWFpcyBkdXJvIHF1ZSBvIGHDp28uIEVsYSDDqSBjaGFtYWRhIGRlIEdyaW10b290aC4KU2V1cyBwb2RlcmVzIHNlIHRvcm5hbSBpbsO6dGVpcyBzZSB2b2PDqiBhIGZhYnJpY2FyIGNvbSBtYXRlcmlhaXMgY29tdW5zLg==,,
WB99,,W1NoYXplXQpTbyB5b3UgaGF2ZSB0byBmb3JnZSBpdCB3aXRoIHNwZWNpYWwgbWF0ZXJpYWxzIHRvIGdpdmUgZXh0cmEgcG93ZXIgdG8gaXQuIEkgaGVhcmQgb25seSBzb21lIEJsYWNrc21pdGggdGhhdCBvbmNlIGxpdmVkIGluIFByb250ZXJhIGtub3dzIGhvdyB0byBkbyBpdC4=,,,,,W1NoYXplXQpFbnTDo28gdm9jw6ogcHJlY2lzYSBmb3Jqw6EtbGEgY29tIG1hdGVyaWFpcyBlc3BlY2lhaXMgcGFyYSBkYXIgbWFpcyBwb2RlciBhIGVsYS4gT3V2aSBkaXplciBxdWUgYXBlbmFzIHVtIGZlcnJlaXJvIHF1ZSBqw6Egdml2ZXUgZW0gUHJvbnRlcmEgc2FiZSBjb21vIGZhemVyIGlzc28u,,
WR99,,W1NoYXplXQpVbmZvcnR1bmF0ZWx5LCB0aGUgQmxhY2tzbWl0aCBsZWZ0IFByb250ZXJhLCBhbmQgbm9ib2R5IGtub3dzIHdoZXJlIGhlIGlzIG5vdy4=,,,,,W1NoYXplXQpJbmZlbGl6bWVudGUsIG8gZmVycmVpcm8gZGVpeG91IFByb250ZXJhIGUgbmluZ3XDqW0gc2FiZSBvbmRlIGVsZSBlc3TDoSBhZ29yYS4=,,
Wh99,,W1NoYXplXQpJJ20gYWxzbyB2ZXJ5IGN1cmlvdXMgaG93IHRoZSBHcmltdG9vdGggaXMgbWFkZS4uLmJ1dCB0aGVuIEknbSBub3QgYSBCbGFja3NtaXRoOyBzbyBpdCByZWFsbHkgZG9lc24ndCBtYWtlIGEgZGlmZmVyZW5jZSBpZiBJIGtub3cgaXQgb3Igb3RoZXJ3aXNlLg==,,,,,W1NoYXplXQpUYW1iw6ltIGVzdG91IG11aXRvIGN1cmlvc28gcGFyYSBzYWJlciBjb21vIG8gR3JpbXRvb3RoIMOpIGZlaXRvLi4uIG1hcyBldSBuw6NvIHNvdSBmZXJyZWlybywgZW50w6NvIG7Do28gZmF6IGRpZmVyZW7Dp2Egc2UgZXUgc2VpIG91IG7Do28u,,
Wx99,,TmFobGVu,,,,,TmFobGVu,,
XB99,,W05haGxlbl0KQSBsb25nIHRpbWUgYWdvLCBzZXJpb3VzIGNyaW1lcyB3ZXJlIHB1bmlzaGVkIHdpdGggZGVhdGggcGVuYWx0eS4gVGhlIG1hZ2ljYWwgc3dvcmQgdXNlZCB0byBkbyB0aGUgd29yayB3YXMgY2FsbGVkIHRoZSBFeGVjdXRpb25lci4=,,,,,W05haGxlbl0uCkjDoSBtdWl0byB0ZW1wbywgb3MgY3JpbWVzIGdyYXZlcyBlcmFtIHB1bmlkb3MgY29tIHBlbmEgZGUgbW9ydGUuIEEgZXNwYWRhIG3DoWdpY2EgdXNhZGEgcGFyYSBmYXplciBvIHRyYWJhbGhvIGVyYSBjaGFtYWRhIGRlIENhcnJhc2NvLg==,,
XR99,,W05haGxlbl0KQnV0IGl0J3Mgc2FpZCB0aGF0IHRoZSBzb3VscyBvZiB0aG9zZSB3aG8gZmVsbCB0byB0aGUgc3dvcmQgYXR0YWNoZWQgdGhlbXNlbHZlcyB0byBpdCwgYW5kIHRoaXMgYm90aGVyZWQgdGhlIGV4ZWN1dGlvbmVyLiBTbyB0aGUgc3dvcmQgd2FzIGxhdGVyIGRlc3Ryb3llZC4=,,,,,W05haGxlbl0KTWFzIGRpei1zZSBxdWUgYXMgYWxtYXMgZGFxdWVsZXMgcXVlIGNhw61yYW0gbmEgZXNwYWRhIHNlIHByZW5kZXJhbSBhIGVsYSwgZSBpc3NvIGluY29tb2RvdSBvIGNhcnJhc2NvLiBQb3IgaXNzbywgYSBlc3BhZGEgZm9pIGRlc3RydcOtZGEgbWFpcyB0YXJkZS4=,,
Xh99,,W05haGxlbl0KSSBoZWFyZCB0aGF0IHRoZSBtYW4gd2hvIGRlc3Ryb3llZCB0aGUgc3dvcmQgdXNlZCB0byBsaXZlIHNvbWV3aGVyZSBpbiBQcm9udGVyYS4gQnV0IGhlIGxlZnQgYSBsb25nIHRpbWUgYWdvLg==,,,,,W05haGxlbl0KT3V2aSBkaXplciBxdWUgbyBob21lbSBxdWUgZGVzdHJ1aXUgYSBlc3BhZGEgbW9yYXZhIGVtIGFsZ3VtIGx1Z2FyIGRlIFByb250ZXJhLiBNYXMgZWxlIGZvaSBlbWJvcmEgaMOhIG11aXRvIHRlbXBvLg==,,
Xx99,,W05haGxlbl0KVGhlIG1lcmUgdGhvdWdodCBvZiBpdCBnaXZlcyBtZSB0aGUgc2hpdmVycy4uLkkgd291bGRuJ3Qgd2FudCBhIHN3b3JkIHdpdGggc291bHMgb2YgZGVhZCBwZW9wbGUgYXR0YWNoZWQgdG8gaXQsIG5vIG1hdHRlciBob3cgcG93ZXJmdWwgaXQgaXMu,,,,,W05haGxlbl0KU8OzIGRlIHBlbnNhciBuaXNzbyBtZSBkw6EgY2FsYWZyaW9zLi4uIEV1IG7Do28gZ29zdGFyaWEgZGUgdGVyIHVtYSBlc3BhZGEgY29tIGFsbWFzIGRlIHBlc3NvYXMgbW9ydGFzIHByZXNhcyBhIGVsYSwgbsOjbyBpbXBvcnRhIG8gcXXDo28gcG9kZXJvc2EgZWxhIHNlamEu,,
YB99,,W05haGxlbl0KSSBoZWFyZCB0aGUgbWFuIHdobyBkZXN0cm95ZWQgdGhlIHN3b3JkIHVzZWQgdG8gbGl2ZSBzb21ld2hlcmUgaW4gUHJvbnRlcmEuIEJ1dCBoZSBsZWZ0IGEgbG9uZyB0aW1lIGFnby4=,,,,,W05haGxlbl0KT3V2aSBkaXplciBxdWUgbyBob21lbSBxdWUgZGVzdHJ1aXUgYSBlc3BhZGEgbW9yYXZhIGVtIGFsZ3VtIGx1Z2FyIGRlIFByb250ZXJhLiBNYXMgZWxlIGZvaSBlbWJvcmEgaMOhIG11aXRvIHRlbXBvLg==,,
YR99,,W05haGxlbl0KSXQgZ2l2ZXMgbWUgdGhlIHNoaXZlcnMganVzdCB0aGlua2luZyBhYm91dCBpdC4uLkkgd291bGRuJ3Qgd2FudCBhIHN3b3JkIHdpdGggc291bHMgb2YgZGVhZCBwZW9wbGUgYXR0YWNoZWQgdG8gaXQsIG5vIG1hdHRlciBob3cgcG93ZXJmdWwgaXQgaXMu,,,,,W05haGxlbl0KRmljbyBhcnJlcGlhZG8gc8OzIGRlIHBlbnNhciBuaXNzby4uLiBFdSBuw6NvIGdvc3RhcmlhIGRlIHRlciB1bWEgZXNwYWRhIGNvbSBhbG1hcyBkZSBwZXNzb2FzIG1vcnRhcyBwcmVzYXMgYSBlbGEsIG7Do28gaW1wb3J0YSBvIHF1w6NvIHBvZGVyb3NhIGVsYSBzZWphLg==,,
Yh99,,TWFu,,,,,SG9tZW0=,,
Yx99,,LSBXYWl0IGEgbWludXRlICEhIC0KLSBZb3UncmUgY2FycnlpbmcgLQotIHRvbyBtYW55IGl0ZW1zIHdpdGggeW91LiAtCi0gUGxlYXNlIHRyeSBhZ2FpbiAtCi0gYWZ0ZXIgeW91IGdldCByaWQgb2Ygc29tZSB3ZWlnaHQuIC0=,,,,,LSBFc3BlcmUgdW0gcG91Y28hIC0KLSBWb2PDqiBlc3TDoSBjYXJyZWdhbmRvIC0KLSBtdWl0b3MgaXRlbnMgY29tIHZvY8OqLiAtCi0gUG9yIGZhdm9yLCB0ZW50ZSBub3ZhbWVudGUgLQotIGRlcG9pcyBkZSBzZSBsaXZyYXIgZGUgYWxndW0gcGVzby4gLQ==,,
ZB99,,W01hbl0KWWVzPyBXaGF0IGRvIHlvdSB3YW50IGZyb20gbWU/,,,,,W1NpbT9dClNpbT8gTyBxdWUgdm9jw6ogcXVlciBkZSBtaW0/,,
ZR99,,RG8geW91IGtub3cgYWJvdXQgdGhlIG1hZ2ljYWwgc3dvcmRzPw==,,,,,Vm9jw6ogc2FiZSBzb2JyZSBhcyBlc3BhZGFzIG3DoWdpY2FzPw==,,
Zh99,,Tm90aGluZy4=,,,,,TmFkYS4=,,
Zx99,,W01hbl0KSG93IHdvdWxkIEkga25vdyBhYm91dCB0aGF0PyBJJ20gdGlyZWQsIHN0b3AgYm90aGVyaW5nIG1lLi4u,,,,,W0NvbW8gZXUgc2FiZXJpYSBkaXNzbz9dCkNvbW8gZXUgcG9kZXJpYSBzYWJlciBzb2JyZSBpc3NvPyBFc3RvdSBjYW5zYWRvLCBwYXJlIGRlIG1lIGluY29tb2Rhci4uLg==,,
aB99,,W01hbl0KLi4uLi4u,,,,,W01hbl0KLi4uLi4u,,
aR99,,RXIuLi5JLi4uZXIuLi4=,,,,,RXIuLi4gZXUuLi4gZXIuLi4=,,
