oKN8Aw,,Um90ZXJ0,,,,,Um90ZXJ0,,Um90ZXJ0
q6N8Aw,,W1JvdGVydF0KQXJlIHlvdSBnb29kIHRvIGdvIGFnYWluPwpMZXQncyBnbywgdGhlbi4KTWlnaHQgYXMgd2VsbCBmaW5pc2ggd2hhdCB3ZSBzdGFydGVkLg==,,,,,W1JvdGVydF0KVm9jw6ogZXN0w6EgcHJvbnRvIHBhcmEgaXIgbm92YW1lbnRlPwpWYW1vcyBsw6EsIGVudMOjby4Kw4kgbWVsaG9yIHRlcm1pbmFyIG8gcXVlIGNvbWXDp2Ftb3Mu,,W1JvdGhlYXJ0XQrCv1lhIHRpZW5lcyBlbmVyZ8OtYSBwYXJhIHNlZ3Vpcj8KVmFtb3MsIGVudG9uY2VzLgpQb2Ryw61hbW9zIHRlcm1pbmFyIGxvIHF1ZSBlbXBlemFtb3Mu
rKN8Aw,,W1JvdGVydF0KV2UgaGF2ZSB0byBraWxsIHRoZSBSYWdnZWQgWm9tYmllcy4KTGV0IG1lIGtub3cgd2hlbiB5b3UncmUgcmVhZHku,,,,,W1JvdGVydF0KVGVtb3MgcXVlIG1hdGFyIG9zIFp1bWJpcyBEaWxhY2VyYWRvcy4KQXZpc2UtbWUgcXVhbmRvIGVzdGl2ZXIgcHJvbnRvLg==,,W1JvdGhlYXJ0XQpUZW5lbW9zIHF1ZSBtYXRhciBhIGxvcyBab21iaXMgaGFyYXBpZW50b3MuCkF2w61zYW1lIGN1YW5kbyB0ZW5nYXMgdG9kbyBsaXN0by4=
raN8Aw,,W1JvdGVydF0KXjRENERGRlJhZ2dlZCBab21iaWVzIGFuZCBab21iaWUgU2xhdWdodGVycyBeMDAwMDAwbG9vayBsaWtlIHRoZXkgd2VyZSBsb2NhbHMgaGVyZS4KSSBkb24ndCBrbm93IHdoYXQgdHVybmVkIHRoZW0gaW50byB0aGVzZSBjcmVhdHVyZXMsCmJ1dCBsZXQncyBnaXZlIHRoZW0gYW4gZXRlcm5hbCByZXN0Lg==,,,,,W1JvdGVydF0KXjRENERGRlp1bWJpcyBEaWxhY2VyYWRvcyBlIFp1bWJpcyBNYXNzYWNyZSBeMDAwMDAwcGFyZWNlbSB0ZXIgc2lkbyBjcmlhZG9zIGFxdWkuCk7Do28gc2VpIG8gcXVlIG9zIHRyYW5zZm9ybW91IG5lc3NhcyBjcmlhdHVyYXMsCm1hcyB2YW1vcyBsaGVzIGRhciB1bSBkZXNjYW5zbyBldGVybm8u,,W1JvdGhlYXJ0XQpQYXJlY2UgcXVlIGxvcyBeNEQ0REZGWm9tYmlzIGhhcmFwaWVudG9zIHkgbG9zIFpvbWJpcyBhc2VzaW5vcyBeMDAwMDAwZXJhbiBpc2xlw7Fvcy4KTm8gc8OpIHF1w6kgbG9zIGNvbnZpcnRpw7MgZW4gZXN0YXMgY3JpYXR1cmFzLApwZXJvIGTDqW1vc2xlcyBlbCBkZXNjYW5zbyBldGVybm8u
rqN8Aw,,W1JvdGVydF0KTG9va3MgbGlrZSB5b3UgZGlkIHdlbGwgb24geW91ciBvd24uCk5vdCBiYWQhClRoaXMgbWF5IG5vdCBiZSB0aGUgcHJvcGVyIHRyYWluaW5nLi4uIEhtbSBobW0u,,,,,W1JvdGVydF0KUGFyZWNlIHF1ZSB2b2PDqiBzZSBzYWl1IGJlbSBwb3IgY29udGEgcHLDs3ByaWEuCk5hZGEgbWFsIQpFc3NlIHBvZGUgbsOjbyBzZXIgbyB0cmVpbmFtZW50byBhZGVxdWFkby4uLiBIbW0gaG1tLg==,,W1JvdGhlYXJ0XQpQYXJlY2UgcXVlIGxvIGhpY2lzdGUgYmllbiBzaW4gYXl1ZGEuCsKhTm8gZXN0w6EgbWFsIQpQdWVkZSBxdWUgZXN0ZSBubyBzZWEgZWwgZW50cmVuYW1pZW50byBhZGVjdWFkb+KApiBNbW0u
r6N8Aw,,W1JvdGVydF0KT2theSwgbGV0J3MgZ2V0IHNvbWUgcmVzdC4KQnV0IHJlbWVtYmVyLCB0aGlzIGlzIG5vdCBvdmVyLg==,,,,,W1JvdGVydF0KT0ssIHZhbW9zIGRlc2NhbnNhciB1bSBwb3Vjby4KTWFzIGxlbWJyZS1zZTogaXNzbyBhaW5kYSBuw6NvIGFjYWJvdS4=,,W1JvdGhlYXJ0XQpCdWVubywgdmFtb3MgYSBkZXNjYW5zYXIuClBlcm8gcmVjdWVyZGEgcXVlIGHDum4gbm8gdGVybWluYW1vcy4=
sKN8Aw,,W1JvdGVydF0KSSdtIHNheWluZyB5b3UgaGF2ZSB0byBjb21lIGJhY2sgdG9tb3Jyb3cuClRoZSBwdXJpZmljYXRpb24gd2lsbCB0YWtlIHNvbWUgdGltZSB0byBmaW5pc2gu,,,,,W1JvdGVydF0KRXN0b3UgZGl6ZW5kbyBxdWUgdm9jw6ogdGVtIHF1ZSB2b2x0YXIgYW1hbmjDoy4KQSBwdXJpZmljYcOnw6NvIGxldmFyw6EgYWxndW0gdGVtcG8gcGFyYSBzZXIgY29uY2x1w61kYS4=,,W1JvdGhlYXJ0XQpNZSByZWZpZXJvIGEgcXVlIHRpZW5lcyBxdWUgdm9sdmVyIG1hw7FhbmEuCk5vcyB0b21hcsOhIHRpZW1wbyB0ZXJtaW5hciBkZSBwdXJpZmljYXIgZWwgbHVnYXIu
saN8Aw,,W1JvdGVydF0KQ3JlZXB5IHBsYWNlLgpUaGV5IHdhaXQgdGlsbCB0aGUgc3VuIGdvZXMgZG93biBhbmQgcm9hbSBhcm91bmQgdGhlIGlzbGFuZCBhdCBuaWdodC4=,,,,,W1JvdGVydF0KTHVnYXIgYXNzdXN0YWRvci4KRWxlcyBlc3BlcmFtIGF0w6kgbyBzb2wgc2UgcMO0ciBlIHZhZ2FtIHBlbGEgaWxoYSDDoCBub2l0ZS4=,,W1JvdGhlYXJ0XQpRdcOpIGx1Z2FyIHRhbiBlc3BlbHV6bmFudGUuCkVsbG9zIGVzcGVyYW4gYSBxdWUgc2Ugb2N1bHRlIGVsIHNvbCB5IHJlY29ycmVuIGxhIGlzbGEgZHVyYW50ZSBsYSBub2NoZS4=
sqN8Aw,,W1JvdGVydF0KSSB0aGluayBhbGwgdGhlIGlzbGFuZGVycyB0dXJuZWQgaW50byB0aGVzZSBtb25zdGVycy4KWW91IG5lZWQgdG8ga2lsbCBeNEQ0REZGUmFnZ2VkIFpvbWJpZXMgYW5kIFpvbWJpZSBTbGF1Z2h0ZXJzXjAwMDAwMCwgYm90aCB0byBwdXJpZnkgdGhpcyBwbGFjZSBhbmQgdG8gdHJhaW4u,,,,,W1JvdGVydF0KQWNobyBxdWUgdG9kb3Mgb3MgaGFiaXRhbnRlcyBkYSBpbGhhIHNlIHRyYW5zZm9ybWFyYW0gbmVzc2VzIG1vbnN0cm9zLgpWb2PDqiBwcmVjaXNhIG1hdGFyIF40RDRERkZadW1iaXMgRGlsYWNlcmFkb3MgZSBadW1iaXMgTWFzc2FjcmVeMDAwMDAwLCB0YW50byBwYXJhIHB1cmlmaWNhciBlc3RlIGx1Z2FyIHF1YW50byBwYXJhIHRyZWluYXIu,,W1JvdGhlYXJ0XQpDcmVvIHF1ZSB0b2RvcyBsb3MgaXNsZcOxb3Mgc2UgY29udmlydGllcm9uIGVuIGVzdG9zIG1vbnN0cnVvcy4KVGllbmVzIHF1ZSBtYXRhciBhIGxvcyBeNEQ0REZGWm9tYmlzIGhhcmFwaWVudG9zIHkgYSBsb3MgWm9tYmlzIGFzZXNpbm9zXjAwMDAwMCwgdGFudG8gcGFyYSBwdXJpZmljYXIgZXN0ZSBsdWdhciBjb21vIHBhcmEgZW50cmVuYXIu
s6N8Aw,,QWNjZXB0Lg==,,,,,QWNlaXRhci4=,,QWNlcHRhci4=
tKN8Aw,,RGVjbGluZS4=,,,,,UmVjdXNhci4=,,UmVjaGF6YXIu
taN8Aw,,W1JvdGVydF0KR29vZCwgdGhlbiBsZXQncyBnaXZlIHRoZXNlIHBvb3Igc291bHMgdGhlaXIgZXRlcm5hbCByZXN0LgpGaXJzdCwga2lsbCAzMCBeNEQ0REZGUmFnZ2VkIFpvbWJpZXNeMDAwMDAwIHRvZGF5Lg==,,,,,W1JvdGVydF0Kw5N0aW1vLCBlbnTDo28gdmFtb3MgZGFyIGEgZXNzYXMgcG9icmVzIGFsbWFzIHNldSBkZXNjYW5zbyBldGVybm8uClByaW1laXJvLCBtYXRlIDMwIF40RDRERkZadW1iaXMgRGlsYWNlcmFkb3NeMDAwMDAwIGhvamUu,,W1JvdGhlYXJ0XQpFbnRvbmNlcywgZGVtb3MgYSBlc3RhcyBwb2JyZXMgYWxtYXMgZWwgZGVzY2Fuc28gZXRlcm5vLgpQcmltZXJvLCBtYXRhIGEgMzAgXjRENERGRlpvbWJpcyBoYXJhcGllbnRvc14wMDAwMDAgaG95Lg==
tqN8Aw,,W1JvdGVydF0KSG1tPyBZb3UgcmVmdXNlZD8KLi4uWW91J3JlIHRlbGxpbmcgbWUgdG8gZG8gdGhpcyBhbG9uZT8KSSBrbmV3IHlvdSBzdGlsbCBoYWQgYSBjaGlsZCdzIG1pbmQgaW5zaWRlIHRoYXQgYWR1bHQgYm9keSEgV2hhdCBhIHdpbXAu,,,,,W1JvdGVydF0KSG1tPyBWb2PDqiBzZSByZWN1c291PwpFc3TDoSBtZSBkaXplbmRvIHBhcmEgZmF6ZXIgaXNzbyBzb3ppbmhvPwpFdSBzYWJpYSBxdWUgdm9jw6ogYWluZGEgdGluaGEgYSBtZW50ZSBkZSB1bWEgY3JpYW7Dp2EgZGVudHJvIGRlc3NlIGNvcnBvIGRlIGFkdWx0byEgUXVlIGNvdmFyZGUu,,W1JvdGhlYXJ0XQrCv01tbT8gwr9UZSBuZWdhc3RlPwrigKYgwr9NZSBlc3TDoXMgZGljaWVuZG8gcXVlIGhhZ2EgZXN0byBzaW4gdHUgYXl1ZGE/CsKhU2Fiw61hIHF1ZSBhw7puIHRlbsOtYXMgdW5hIG1lbnRhbGlkYWQgaW5tYWR1cmEgZGVudHJvIGRlIGVzZSBjdWVycG8gYWR1bHRvISBRdcOpIGNvYmFyZGUu
t6N8Aw,,W1JvdGVydF0KRW5vdWdoIHdpdGggdGhlIEJhbnNoZWVzLgpUaGUgQmFuc2hlZXMgYXJlbid0IHRoZSBvbmx5IGV2aWwgY3JlYXR1cmVzIGhlcmUu,,,,,W1JvdGVydF0KQ2hlZ2EgZGUgQmFuc2hlZXMuCk9zIEJhbnNoZWVzIG7Do28gc8OjbyBhcyDDum5pY2FzIGNyaWF0dXJhcyBtYWxpZ25hcyBhcXVpLg==,,W1JvdGhlYXJ0XQpCYXN0YSBkZSBCYW5zaGVlcy4KTGFzIEJhbnNoZWVzIG5vIHNvbiBsYXMgw7puaWNhcyBjcmlhdHVyYXMgbWFsdmFkYXMgYXF1w60u
uKN8Aw,,W1JvdGVydF0KLi4uIFRoZXNlIEJhbnNoZWVzIGtlZXAgc3Bhd25pbmcuCkkgaG9wZSBBY2hlciBkb2Vzbid0IGhhdmUgbmlnaHRtYXJlcy4=,,,,,W1JvdGVydF0KLi4uIEVzc2VzIEJhbnNoZWVzIGNvbnRpbnVhbSBzdXJnaW5kby4KRXNwZXJvIHF1ZSBBY2hlciBuw6NvIHRlbmhhIHBlc2FkZWxvcy4=,,W1JvdGhlYXJ0XQrigKYgRXN0YXMgQmFuc2hlZXMgc2lndWVuIGFwYXJlY2llbmRvLgpFc3Blcm8gcXVlIEFjaGVyIG5vIHRlbmdhIHBlc2FkaWxsYXMu
uaN8Aw,,TGV0J3Mga2lsbCB0aGVtLg==,,,,,VmFtb3MgbWF0w6EtbG9zLg==,,TWF0w6ltb3NsYXMu
uqN8Aw,,VG9vIGJhZC4=,,,,,UXVlIHBlbmEu,,UXXDqSBwZW5hLg==
u6N8Aw,,W1JvdGVydF0KR29vZCBjYWxsLiBUaGVyZSB3YXMgYSBxdWVzdCBzZW50IHRvIEVkZW4gR3JvdXAgZm9yIHRoYXQgYW55d2F5LgpZb3UgbWlnaHQgYXMgd2VsbCBkbyB0aGUgam9iIGFuZCBnZXQgdGhlIHJld2FyZC4=,,,,,W1JvdGVydF0KQm9hIGRlY2lzw6NvLiBEZSBxdWFscXVlciBmb3JtYSwgdW1hIG1pc3PDo28gZm9pIGVudmlhZGEgYW8gR3J1cG8gw4lkZW4gcGFyYSBpc3NvLgrDiSBtZWxob3IgZmF6ZXIgbyB0cmFiYWxobyBlIHJlY2ViZXIgYSByZWNvbXBlbnNhLg==,,W1JvdGhlYXJ0XQpCdWVuYSBkZWNpc2nDs24uIERlIHRvZGFzIG1hbmVyYXMsIHNlIGVudmnDsyB1bmEgbWlzacOzbiBhbCBHcnVwbyBkZSBFZMOpbiBwYXJhIGVzby4KQmllbiBwb2Ryw61hcyBoYWNlciBlbCB0cmFiYWpvIHkgcmVjaWJpciBsYSByZWNvbXBlbnNhLg==
vKN8Aw,,W1JvdGVydF0KVGhlbiBraWxsIDMwIF40RDRERkZCYW5zaGVlc14wMDAwMDAgYXJvdW5kIGhlcmUuCkdvIGxvb2sgZm9yIHRoZW0gaW5zaWRlIHRoZSBtb25hc3Rlcnku,,,,,W1JvdGVydF0KRW0gc2VndWlkYSwgbWF0ZSAzMCBeNEQ0REZGQmFuc2hlZXNeMDAwMDAwIHBvciBhcXVpLgpWw6EgcHJvY3Vyw6EtbG9zIGRlbnRybyBkbyBtb3N0ZWlyby4=,,W1JvdGhlYXJ0XQpFbnRvbmNlcywgbWF0YSBhIDMwIF40RDRERkZCYW5zaGVlc14wMDAwMDAgZW4gbG9zIGFscmVkZWRvcmVzLgpWZSBhIGJ1c2NhcmxhcyBkZW50cm8gZGVsIG1vbmFzdGVyaW8u
vaN8Aw,,W1JvdGVydF0KSWYgeW91IHdhbnQgdG8gY29udGludWUgdXNpbmcgQWNoZXIncyBzaGlwLApoYWRuJ3QgeW91IGJldHRlciBraWxsIEJhbnNoZWVzIHRvIHJlcGF5IHlvdXIgZGVidD8=,,,,,W1JvdGVydF0KU2Ugdm9jw6ogcXVpc2VyIGNvbnRpbnVhciB1c2FuZG8gbyBuYXZpbyBkZSBBY2hlciwKbsOjbyBzZXJpYSBtZWxob3IgbWF0YXIgQmFuc2hlZXMgcGFyYSBwYWdhciBzdWEgZMOtdmlkYT8=,,W1JvdGhlYXJ0XQpTaSBxdWllcmVzIHNlZ3VpciB1c2FuZG8gZWwgYmFyY28gZGUgQWNoZXIsCsK/bm8gc2Vyw61hIG1lam9yIHF1ZSBtYXRhcmFzIGEgbGFzIEJhbnNoZWVzIHBhcmEgcGFnYXIgdHUgZGV1ZGE/
vqN8Aw,,W1JvdGVydF0KV2VsbCwgSSBjYW4ndCBmb3JjZSB5b3UgdG8gZG8gaXQu,,,,,W1JvdGVydF0KQmVtLCBuw6NvIHBvc3NvIGZvcsOnw6EtbG8gYSBmYXplciBpc3NvLg==,,W1JvdGhlYXJ0XQpCdWVubywgbm8gcHVlZG8gb2JsaWdhcnRlIGEgaGFjZXJsby4=
v6N8Aw,,W1JvdGVydF0KQmFuc2hlZXMgd2lsbCBiZSBzZWVuIG1vcmUgb2Z0ZW4gaW5zaWRlIHRoZSBtb25hc3RlcnkuCldhdGNoIG91dCBmb3IgdGhlIE5lY3JvbWFuY2VycyB0aGF0IGFyZSB3aXRoIHRoZW0u,,,,,W1JvdGVydF0KT3MgQmFuc2hlZXMgc2Vyw6NvIHZpc3RvcyBjb20gbWFpcyBmcmVxdcOqbmNpYSBkZW50cm8gZG8gbW9uYXN0w6lyaW8uCkN1aWRhZG8gY29tIG9zIE5lY3JvbWFudGVzIHF1ZSBlc3TDo28gY29tIGVsZXMu,,W1JvdGhlYXJ0XQpMYXMgQmFuc2hlZXMgc2UgdmVyw6FuIG3DoXMgYSBtZW51ZG8gZW4gZWwgaW50ZXJpb3IgZGVsIG1vbmFzdGVyaW8uCkN1aWRhZG8gY29uIGxvcyBOaWdyb21hbnRlcyBxdWUgZXN0w6FuIGNvbiBlbGxhcy4=
wKN8Aw,,W1JvdGVydF0KQW5vdGhlciBwcm9ibGVtIHNvbHZlZC4KVGhpcyB3aWxsIHN1cmVseSBoZWxwIEFjaGVyIHNsZWVwLCByaWdodD8KT2YgY291cnNlLCBpdCBhbHNvIGhlbHBlZCB5b3UgdHJhaW4gYXMgYSBncmVhdCBmaWdodGVyLg==,,,,,W1JvdGVydF0KT3V0cm8gcHJvYmxlbWEgcmVzb2x2aWRvLgpJc3NvIGNlcnRhbWVudGUgYWp1ZGFyw6EgQWNoZXIgYSBkb3JtaXIsIG7DqT8Kw4kgY2xhcm8gcXVlIGlzc28gdGFtYsOpbSBvIGFqdWRvdSBhIHRyZWluYXIgY29tbyB1bSBncmFuZGUgbHV0YWRvci4=,,W1JvdGhlYXJ0XQpPdHJvIHByb2JsZW1hIHJlc3VlbHRvLgpFc3RvIHNlZ3VybyBheXVkYXLDoSBhIEFjaGVyIGEgZG9ybWlyLCDCv3ZlcmRhZD8KWSBjbGFybywgdGFtYmnDqW4gdGUgYXl1ZMOzIGEgZW50cmVuYXIgcGFyYSBtZWpvcmFyIHR1cyBoYWJpbGlkYWRlcyBkZSBjb21iYXRlLg==
waN8Aw,,W1JvdGVydF0KSXQncyBzYWZlIGZvciB0b2RheSwgYnV0IGl0IHdpbGwgYmUgZGlmZmVyZW50IHRvbW9ycm93LgpUaGF0IG1lYW5zIHlvdSBzaG91bGQgY29tZSB3aGVuZXZlciB5b3UncmUgZnJlZS4KVGhpcyB3aWxsIHRha2Ugc29tZSB0aW1lIHRvIGZpbmlzaC4gRXNwZWNpYWxseSB0aGlzIGlzbGFuZC4=,,,,,W1JvdGVydF0KSG9qZSBlc3TDoSBzZWd1cm8sIG1hcyBhbWFuaMOjIHNlcsOhIGRpZmVyZW50ZS4KSXNzbyBzaWduaWZpY2EgcXVlIHZvY8OqIGRldmUgdmlyIHF1YW5kbyBlc3RpdmVyIGxpdnJlLgpJc3NvIGxldmFyw6EgYWxndW0gdGVtcG8gcGFyYSBzZXIgY29uY2x1w61kby4gRXNwZWNpYWxtZW50ZSBlc3RhIGlsaGEu,,W1JvdGhlYXJ0XQpUb2RvIGVzIG3DoXMgc2VndXJvIGhveSwgcGVybyBtYcOxYW5hIHNlcsOhIGRpZmVyZW50ZS4KRGViZXLDrWFzIHZlbmlyIGNhZGEgdmV6IHF1ZSBlc3TDqXMgbGlicmUuClRlcm1pbmFyIGNvbiBlc3RvIGxsZXZhcsOhIGJhc3RhbnRlIHRpZW1wbywgZXNwZWNpYWxtZW50ZSBwb3IKdHJhdGFyc2UgZGUgZXN0YSBpc2xhLg==
wqN8Aw,,W1JvdGVydF0KQWNoZXIgcmVxdWVzdGVkIGhlbHAuCkhlJ3MgdGhlIGd1eSB3aG8gdG9vayB1cyB0byBNaXN0eSBJc2xhbmQu,,,,,W1JvdGVydF0KQWNoZXIgcGVkaXUgYWp1ZGEuCkVsZSDDqSBvIGNhcmEgcXVlIG5vcyBsZXZvdSBwYXJhIGEgSWxoYSBNaXN0eS4=,,W1JvdGhlYXJ0XQpBY2hlciBwaWRpw7MgYXl1ZGEuCkVzIGVsIHRpcG8gcXVlIG5vcyB0cmFqbyBhIGxhIElzbGEgYW7Ds25pbWEu
w6N8Aw,,W1JvdGVydF0KSGUgYXNrZWQgdXMgdG8ga2lsbCB0aGUgXjRENERGRkJhbnNoZWVzIF4wMDAwMDBiZWNhdXNlIHRoZWlyIHNjcmVhbXMgd2VyZSBrZWVwaW5nIGhpbSBhd2FrZS4=,,,,,W1JvdGVydF0KRWxlIG5vcyBwZWRpdSBwYXJhIG1hdGFyIG9zIF40RDRERkZCYW5zaGVlcyBeMDAwMDAwcG9ycXVlIHNldXMgZ3JpdG9zIG8gZXN0YXZhbSBtYW50ZW5kbyBhY29yZGFkby4=,,W1JvdGhlYXJ0XQpOb3MgcGlkacOzIHF1ZSBtYXTDoXJhbW9zIGEgbGFzIF40RDRERkZCYW5zaGVlcyBeMDAwMDAwcG9ycXVlIHN1cyBncml0b3Mgbm8gbG8gZGVqYWJhbiBkb3JtaXIu
xKN8Aw,,W1JvdGVydF0KSXQncyBnb29kIHRoYXQgeW91J3JlIGhlcmUgZXZlcnkgZGF5IGZvciB3b3JrLg==,,,,,W1JvdGVydF0Kw4kgYm9tIHF1ZSB2b2PDqiBlc3RlamEgYXF1aSB0b2RvcyBvcyBkaWFzIHBhcmEgdHJhYmFsaGFyLg==,,W1JvdGhlYXJ0XQpNZSBhbGVncmEgcXVlIHZlbmdhcyB0b2RvcyBsb3MgZMOtYXMgYSB0cmFiYWphci4=
xaN8Aw,,W1JvdGVydF0KR29vZCwgSSBoYXZlIHRoZSBwZXJmZWN0IHF1ZXN0IGZvciBhbiBhZHZlbnR1cmVyIGxpa2UgeW91LgpZb3UgbWlnaHQgYXMgd2VsbCBkbyB0aGUgam9iIGFuZCBnZXQgdGhlIHJld2FyZC4=,,,,,W1JvdGVydF0KQm9tLCBldSB0ZW5obyBhIG1pc3PDo28gcGVyZmVpdGEgcGFyYSB1bSBhdmVudHVyZWlybyBjb21vIHZvY8OqLgrDiSBtZWxob3IgZmF6ZXIgbyB0cmFiYWxobyBlIHJlY2ViZXIgYSByZWNvbXBlbnNhLg==,,W1JvdGhlYXJ0XQpCaWVuLCB0ZW5nbyBsYSBtaXNpw7NuIHBlcmZlY3RhIHBhcmEgdGksIHRyb3RhbXVuZG9zLgpCaWVuIHBvZHLDrWFzIGhhY2VyIGVsIHRyYWJham8geSByZWNpYmlyIGxhIHJlY29tcGVuc2Eu
