QOqlDA,,Rmxvd2VyIEJlZA==,,,,,QXJidXN0bw==,,QXJidXN0bw==
T+qlDA,,W09zY2FyXQpIdWguLi4gbm93IHRoYXQgSSBsb29rLCB0aGVyZSBhcmUgdHJhY2VzIG9mIHlvdSBnb2luZyBpbiBhbmQgb3V0IG9mIHRoZSBEaW1lbnNpb25hbCBHYXAgc2V2ZXJhbCB0aW1lcywgYXJlbid0IHRoZXJlPw==,,,,,W09zY2FyXQpVYXUsIGFnb3JhIHF1ZSBub3RlaSwgaMOhIHNpbmFpcyBkZSBxdWUgdm9jw6ogZW50cm91IGUgc2FpdSBkYSBGZW5kYSBEaW1lbnNpb25hbCB2w6FyaWFzIHZlemVzLCBuw6NvIMOpPw==,,W09zY2FyXQpWYXlhLCBhaG9yYSBxdWUgbG8gbm90bywgaGF5IHNlw7FhbGVzIGRlIHF1ZSBlbnRyYXN0ZSB5IHNhbGlzdGUgZGUgbGEgRmlzdXJhIERpbWVuc2lvbmFsIHZhcmlhcyB2ZWNlcywgwr92ZXJkYWQ/
UOqlDA,,W09zY2FyXQpTbmlmZiBzbmlmZiBzbmlmZn4uCk9oISBJdCdzIHJlYWwhIEkgY2FuIHNtZWxsIHRoZSBzY2VudCB0aGF0IG9ubHkgY29tZXMgZnJvbSBzb21lb25lIHdobyBoYXMgY3Jvc3NlZCBkaW1lbnNpb25zIQ==,,,,,W09zY2FyXQoqY2hlaXJhKiAqY2hlaXJhKn4Kw4kgaXNzbyEgRXNzZSDDqSBvIHBlcmZ1bWUgZGUgcXVlbSB2aWFqb3UgcG9yIHbDoXJpYXMgZGltZW5zw7VlcyE=,,W09zY2FyXQoqaHVlbGUqICpodWVsZSp+CsKhRXNvIGVzISDCoUVzdGUgZXMgZWwgYXJvbWEgZGUgYWxndWllbiBxdWUgaGEgdmlhamFkbyBwb3IgdmFyaWFzIGRpbWVuc2lvbmVzIQ==
UeqlDA,,KFNuaWZmcyB0aGVpciBvd24gc2NlbnQuKQ==,,,,,KlZvY8OqIGNvbWXDp2EgYSBzZSBjaGVpcmFyKg==,,KkVtcGllemFzIGEgb2xlcnRlKg==
UuqlDA,,W09zY2FyXQpObywgbm8uIFlvdSdyZSBodW1hbi4gSHVtYW5zIGNhbid0IGNyb3NzIHRpbWUgYW5kIHNwYWNlIGFuZCBjYXRjaCB0aGUgc2NlbnQgb2YgdGltZSB0aGF0IGNsaW5ncyB0byB0aGluZ3MsIHNvIHRoZXJlJ3Mgbm8gcG9pbnQgaW4gc25pZmZpbmcgYXJvdW5kLg==,,,,,W09zY2FyXQpOw6NvLCBuw6NvLCB2b2PDqiDDqSBodW1hbm8uIEh1bWFub3MgbsOjbyBjb25zZWd1ZW0gc2VudGlyIG8gY2hlaXJvIGRvIGVzcGHDp28tdGVtcG8sIGVudMOjbyBuw6NvIGZheiBzZW50aWRvIHNlIHByZW9jdXBhciBjb20gaXNzby4=,,W09zY2FyXQpObywgbm8sIHTDuiBlcmVzIGh1bWFuby4gTG9zIGh1bWFub3Mgbm8gcHVlZGVuIHNlbnRpciBlbCBvbG9yIGRlbCBlc3BhY2lvLXRpZW1wbywgYXPDrSBxdWUgbm8gdGllbmUgc2VudGlkbyBwcmVvY3VwYXJzZSBwb3IgZXNvLg==
U+qlDA,,QW5kIHdobyBhcmUgeW91Pw==,,,,,VMOhLCBxdWVtIMOpIHZvY8OqPw==,,RXN0w6EgYmllbiwgwr9xdWnDqW4gZXJlcyB0w7o/
VOqlDA,,W09zY2FyXQpBaC4uLiB1bSwgZm9yIG5vdywgcGxlYXNlIGNhbGwgbWUgT3NjYXIuIExpa2UgeW91LCBJIGVuam95IGNvbWluZyBhbmQgZ29pbmcgdGhyb3VnaCB0aW1lIGFuZCBzcGFjZSwgY29sbGVjdGluZyByZWNvcmRzLg==,,,,,W09zY2FyXQpBaCwgc2ltLi4uIFBvZGUgbWUgY2hhbWFyIGRlIE9zY2FyLiBBc3NpbSBjb21vIHZvY8OqLCBldSBnb3N0byBkZSBjb2xlY2lvbmFyIHJlZ2lzdHJvcyBkbyB0ZW1wbyBlIGVzcGHDp28u,,W09zY2FyXQpBaCwgc8OtLi4uIFB1ZWRlcyBsbGFtYXJtZSBPc2Nhci4gQWwgaWd1YWwgcXVlIHTDuiwgYSBtw60gbWUgZ3VzdGEgY29sZWNjaW9uYXIgcmVnaXN0cm9zIGRlbCB0aWVtcG8geSBlc3BhY2lvLg==
VeqlDA,,W09zY2FyXQpJIHdhcyBqdXN0IGFib3V0IHRvIHRha2UgYSB0cmlwIHRocm91Z2ggdGltZSB0byBteSBmYXZvcml0ZSBlcmEsIGFuZCB5b3Ugd2VyZSBzdGFyaW5nIHJpZ2h0IGF0IG1lLCBzbyB5b3UgZ2F2ZSBtZSBxdWl0ZSBhIHNjYXJlLg==,,,,,W09zY2FyXQpFdSBlc3RhdmEgcHJlc3RlcyBhIHZpYWphciBwYXJhIGEgbWluaGEgw6lwb2NhIGZhdm9yaXRhIHF1YW5kbyBub3RlaSB2b2PDqiBtZSBlbmNhcmFuZG8u,,W09zY2FyXQpFc3RhYmEgYSBwdW50byBkZSB2aWFqYXIgYSBtaSDDqXBvY2EgZmF2b3JpdGEgY3VhbmRvIG5vdMOpIHF1ZSBtZSBlc3RhYmFzIG1pcmFuZG8u
VuqlDA,,U29ycnkgdG8gYm90aGVyIHlvdS4=,,,,,RGVzY3VscGUgaW5jb21vZGFyLg==,,UGVyZMOzbiBwb3IgbW9sZXN0YXIu
V+qlDA,,SSdtIGJ1c3ksIHNvIEknbSBnb2luZy4=,,,,,RXUgdm91IHRlIGRlaXhhciBlbSBwYXou,,VGUgZGVqYXLDqSBlbiBwYXou
WOqlDA,,W09zY2FyXQpBaCwgd2FpdC4gSG93IG1hbnkgdGltZXMgaGF2ZSB5b3UgdHJhdmVsZWQgYmV0d2VlbiBkaW1lbnNpb25zPyBIYXZlIHlvdSBoYWQgbWFueSBuZWFyLWRlYXRoIGV4cGVyaWVuY2VzPyBXaGljaCBkaW1lbnNpb24gbGVmdCB0aGUgYmlnZ2VzdCBpbXByZXNzaW9uIG9uIHlvdT8=,,,,,W09zY2FyXQpPaCwgZXNwZXJlLiBRdWFudGFzIHZlemVzIHZvY8OqIHZpYWpvdSBhdHJhdsOpcyBkYXMgZGltZW5zw7Vlcz8gVm9jw6ogdGV2ZSBtdWl0YXMgZXhwZXJpw6puY2lhcyBkZSBxdWFzZSBtb3J0ZT8gUXVhbCBkaW1lbnPDo28gZm9pIGEgbWFpcyBpbXByZXNzaW9uYW50ZT8=,,W09zY2FyXQpPaCwgZXNwZXJhLiDCv0N1w6FudGFzIHZlY2VzIGhhcyB2aWFqYWRvIGEgdHJhdsOpcyBkZSBsYXMgZGltZW5zaW9uZXM/IMK/VHV2aXN0ZSBtdWNoYXMgZXhwZXJpZW5jaWFzIGNlcmNhbmFzIGEgbGEgbXVlcnRlPyDCv1F1w6kgZGltZW5zacOzbiBmdWUgbGEgbcOhcyBpbXByZXNpb25hbnRlPw==
WeqlDA,,UGxlYXNlIGFzayBvbmx5IG9uZSBxdWVzdGlvbiBhdCBhIHRpbWUu,,,,,Q2FsbWEsIHVtYSBwZXJndW50YSBkZSBjYWRhIHZlei4uLg==,,VHJhbnF1aWxvLCB1bmEgcHJlZ3VudGEgYSBsYSB2ZXouLi4=
WuqlDA,,W09zY2FyXQpBaC4uLiBJJ20gc29ycnkuIEkgd2FzIGp1c3QgZ2xhZCB0byBoZWFyIHRoZXJlIGFyZSBvdGhlcnMgYmVzaWRlcyBtZSB3aG8gaGF2ZSBleHBlcmllbmNlIHRyYXZlbGluZyBiZXR3ZWVuIGRpbWVuc2lvbnMu,,,,,W09zY2FyXQpBaC4uLiBtZSBkZXNjdWxwZS4gRmljbyBmZWxpeiBxdWUgaGFqYSBhbGd1w6ltIGFsw6ltIGRlIG1pbSBxdWUgdGVuaGEgZXhwZXJpw6puY2lhIGVtIHZpYWdlbnMgZGltZW5zaW9uYWlzLg==,,W09zY2FyXQpBaC4uLiBsbyBzaWVudG8uIE1lIGFsZWdyYSBxdWUgaGF5YSBhbGd1aWVuIGFkZW3DoXMgZGUgbcOtIGNvbiBleHBlcmllbmNpYSBlbiB2aWFqZXMgZGltZW5zaW9uYWxlcy4=
W+qlDA,,W09zY2FyXQpUaGVyZSBhcmUgc2FnZXMgZnJvbSB0aGUgc2FtZSBkaW1lbnNpb24sIGxpa2UgVmFybXVudCwgYnV0IHRoZXkgZmluZCBtZSBzbyBkaWZmaWN1bHQgdG8gYXBwcm9hY2ggdGhhdCBJIGNhbiBoYXJkbHkgZXZlbiB0YWxrIGFib3V0IHRoaW5ncyBsaWtlIHRoaXMgd2l0aCB0aGVtLi4u,,,,,W09zY2FyXQpOYSB2ZXJkYWRlLCB0ZW0gbyBzw6FiaW8gVmFybXVudCwgbWFzIGVsZSBtZSBhY2hhIHVtYSBwZXNzb2EgZWRpZmljYW50ZS4uLg==,,W09zY2FyXQpFbiByZWFsaWRhZCwgZXN0w6EgZWwgc2FiaW8gVmFybXVudCwgcGVybyDDqWwgbWUgY29uc2lkZXJhIGFsZ3VpZW4gZWRpZmljYW50ZS4uLg==
XOqlDA,,SXMgVmFybXVudCBoYXZpbmcgYSBoYXJkIHRpbWUgd2l0aCB5b3U/Pw==,,,,,VmFybXVudCB0ZSBhY2hhIGVkaWZpY2FudGU/,,wr9WYXJtdW50IHRlIGNvbnNpZGVyYSBlZGlmaWNhbnRlPw==
XeqlDA,,W09zY2FyXQpZZWFoLCBoZSBrZXB0IGhpcyBkaXN0YW5jZSwgc2F5aW5nIHdlIHNob3VsZCBtaW5kIG91ciBtYW5uZXJzLiBTbyBJIGRpZG7igJl0IHJlYWxseSBnZXQgdG8gdGFsayBtdWNoIGFib3V0IGRpbWVuc2lvbmFsIHRyYXZlbCwgZWl0aGVyLg==,,,,,W09zY2FyXQpTaW0sIHBvaXMgZXUgc291IGFsZ3XDqW0gJ2VkaWbDrWNpbycgZGUgZW5jb250cmFyISBIYWhhaGEh,,W09zY2FyXQrCoVPDrSwgcG9ycXVlICdlZGlmw61jaWwnIGVuY29udHJhcm1lISDCoUphamFqYSE=
XuqlDA,,W3swfV0KSSBtYXkgbm90IGtub3cgbXVjaCwgYnV0IEkga25vdyB0aGlzIGZvciBzdXJlLiBZb3XigJl2ZSBnb3QgYSB0YWxlbnQgZm9yIHVuZnVubnkgam9rZXMu,,,,,W3swfV0KVXJnaC4uLiBxdWUgcGlhZGEgc2VtIGdyYcOnYS4=,,W3swfV0KVXJnaC4uLiBxdcOpIGJyb21hIG3DoXMgbWFsYS4=
X+qlDA,,W3swfV0KWW91ciBzZW5zZSBvZiBodW1vciBpcyBzbyB1bmJlbGlldmFibHkgY29sZCB0aGF0IHRoaXMgc3VtbWVyLCBJIHdvbid0IGV2ZW4gbmVlZCB0byBoaXJlIGEgd2l6YXJkIHRvIGNhc3QgSmFjayBGcm9zdCBpbiB0aGUgeWFyZCB0byBrZWVwIHRoaW5ncyBuaWNlIGFuZCBjb29sIQ==,,,,,W3swfV0KRGVwb2lzIGRlc3NhIHBpYWRhIGluZmFtZSwgcG9kZW1vcyB2b2x0YXIgYW8gYXNzdW50bz8h,,W3swfV0KwqFEZXNwdcOpcyBkZSBlc2EgYnJvbWEgaW5mYW1lLCBwb2RlbW9zIHZvbHZlciBhbCB0ZW1hPyE=
YOqlDA,,W09zY2FyXQpOb3JtYWxseSwgdGhhdCB3b3VsZCBiZSBwZXJmZWN0bHkgbmF0dXJhbC4gRXZlbiBhIGdyZWF0IGh1bWFuIHNhZ2Ugd291bGQgYmUgdW5lYXN5IHdoZW4gZmFjaW5nIGEgNTAwLXllYXItb2xkIHRpbWUtc3BhY2UgZHJhZ29uLg==,,,,,W09zY2FyXQrDiSBvIG1ldSBzZW5zbyBkZSBodW1vci4gw4kgbm9ybWFsIGF0w6kgVmFybXVudCBzZSBzZW50aXIgZGVzY29uZm9ydMOhdmVsIG5hIGZyZW50ZSBkZSB1bSBEcmFnw6NvLWRvLVRlbXBvIGRlIDUwMCBhbm9zLg==,,W09zY2FyXQpFcyBtaSBzZW50aWRvIGRlbCBodW1vci4gRXMgbm9ybWFsIHF1ZSBoYXN0YSBWYXJtdW50IHNlIHNpZW50YSBpbmPDs21vZG8gZnJlbnRlIGEgdW4gRHJhZ8OzbiBkZWwgVGllbXBvIGRlIDUwMCBhw7Fvcy4=
YeqlDA,,V2hhdCBkaWQgeW91IGp1c3Qgc2F5Pw==,,,,,TyBRVcOKPyE=,,wqHCv1FVw4k/IQ==
YuqlDA,,W09zY2FyXQpJIHRvbGQgeW91LCBldmVuIHRoZSBHcmVhdCBTYWdlIGZpbmRzIGl0IHRyb3VibGVzb21lLg==,,,,,W09zY2FyXQpFdSBkaXNzZSBxdWUgYXTDqSBvIEdyYW5kZSBTw6FiaW8gVmFybXVudCBmaWNhIGRlc2NvbmZvcnTDoXZlbCBjb21pZ28hIQ==,,W09zY2FyXQrCoURpamUgcXVlIGhhc3RhIGVsIEdyYW4gU2FiaW8gVmFybXVudCBzZSBzaWVudGUgaW5jw7Ntb2RvIGNvbm1pZ28hIQ==
Y+qlDA,,Tm8sIG5vdCB0aGF0Li4u,,,,,TsOjbywgbsOjbyDDqSBpc3NvLi4u,,Tm8sIG5vIGVzIGVzby4uLg==
ZOqlDA,,RGlkIHlvdSBzYXkgYSBkcmFnb24/,,,,,Vm9jw6ogZGlzc2UgcXVlIMOpIHVtIERyYWfDo28tZG8tVGVtcG8/,,wr9EaWppc3RlIHF1ZSBlcmVzIHVuIERyYWfDs24gZGVsIFRpZW1wbz8=
ZeqlDA,,W09zY2FyXQpZZXMuIFlvdSBzdWRkZW5seSBsb29rIHVud2VsbC4gQXJlIHlvdSBmZWVsaW5nIGhvdD8gWW91IHNhaWQgaXQgd2FzIGNvb2wgZWFybGllci4=,,,,,W09zY2FyXQpTaW0hIEVpLi4uIG8gcXVlIGZvaT8gVm9jw6ogZXN0w6EgY29tIGNhcmEgZGUgcXVlbSBlc3TDoSB2ZW5kbyB1bWEgYXNzb21icmHDp8Ojby4=,,W09zY2FyXQrCoVPDrSEgRWguLi4gwr9xdcOpIHBhc2E/IFRpZW5lcyBjYXJhIGRlIGVzdGFyIHZpZW5kbyB1biBmYW50YXNtYS4=
ZuqlDA,,QSA1MDAteWVhci1vbGQgZHJhZ29uLi4u,,,,,VW0gRHJhZ8Ojby1kby1UZW1wbyBkZSA1MDAgYW5vcy4uLg==,,VW4gRHJhZ8OzbiBkZWwgVGllbXBvIGRlIDUwMCBhw7Fvcy4uLg==
Z+qlDA,,W09zY2FyXQpZZXMsIGJ1dC4uLiB3aHkgYXJlIHlvdSBzdWRkZW5seSBrbmVlbGluZz8=,,,,,W09zY2FyXQpTaW0sIHXDqS4gUXVhbCBhIHN1cnByZXNhPw==,,W09zY2FyXQpTw60sIHB1ZXMuIMK/Q3XDoWwgZXMgbGEgc29ycHJlc2E/
aOqlDA,,QXJlIHlvdSBwbGF5aW5nIGFyb3VuZD8=,,,,,Vm9jw6ogdMOhIGJyaW5jYW5kbz8=,,wr9Fc3TDoXMgYnJvbWVhbmRvPw==
aeqlDA,,W09zY2FyXQpJ4oCZbSBhbHdheXMgdXAgZm9yIGEgbGl0dGxlIGZ1biEgSSB3YXMganVzdCBhYm91dCB0byBvYnNlcnZlIHRpbWUgYW5kIHNwYWNlLCB0b28uIFdoeSBhcmUgeW91IGx5aW5nIGZhY2UtZG93biBvbiB0aGUgZmxvb3I/IQ==,,,,,W09zY2FyXQpFdSBlc3RvdSBzZW1wcmUgYnJpbmNhbmRvISBFdSBhZG9ybyBicmluY2FyIG5hcyBmZW5kYXMgZXNwYWNpYWlzIGluZG8gZSB2b2x0YW5kbyBhbyBwYXNzYWRvLiBWb2PDqiBuw6NvPyE=,,W09zY2FyXQrCoVNpZW1wcmUgZXN0b3kgYnJvbWVhbmRvISBNZSBlbmNhbnRhIGp1Z2FyIGVuIGxhcyBncmlldGFzIGVzcGFjaWFsZXMgeWVuZG8geSB2aW5pZW5kbyBhbCBwYXNhZG8uIMK/QSB0aSBubz8h
auqlDA,,WW91IHBvbGl0ZWx5IGludHJvZHVjZSB5b3Vyc2VsZi4=,,,,,Vm9jw6ogw6kgdW0gRHJhZ8Ojby1kby1UZW1wbz8=,,wr9FcmVzIHVuIERyYWfDs24gZGVsIFRpZW1wbz8=
a+qlDA,,W09zY2FyXQpBaCwgeW91IG11c3QgYmUgQWR2ZW50dXJlciB7MH0uIE5vdywgZ2V0IHVwIGFscmVhZHkuIFRoZSB0aW1lIGhhcyBjb21lIGF0IGp1c3QgdGhlIHJpZ2h0IG1vbWVudCBmb3IgdGhlIHNwYWNlLXRpbWUgSSBsaWtlIHRvIG9wZW4gdXAu,,,,,W09zY2FyXQpBaCwgezB9LiBFc3NlIMOpIG8gbW9tZW50byBpZGVhbCBwYXJhIGV1IHRlIGFwcmVzZW50YXIgbWV1cyBwb2RlcmVzIGRyYWNvbmlhbm9zLg==,,W09zY2FyXQpBaCwgezB9LiBFc3RlIGVzIGVsIG1vbWVudG8gcGVyZmVjdG8gcGFyYSBwcmVzZW50YXJ0ZSBtaXMgcG9kZXJlcyBkcmFjw7NuaWNvcy4=
bOqlDA,,W09zY2FyXQpXb3VsZCB5b3UgbGlrZSB0byBjYXRjaCBhIGdsaW1wc2Ugb2YgYSBkaW1lbnNpb24geW914oCZdmUgbmV2ZXIgYmVlbiB0byBiZWZvcmU/,,,,,W09zY2FyXQpOw6NvIHF1ZXIgZGFyIHVtYSBlc3BpYWRhIGVtIHVtYSBkaW1lbnPDo28gb25kZSBudW5jYSBlc3RldmUgYW50ZXM/,,W09zY2FyXQrCv05vIHF1aWVyZXMgZWNoYXIgdW4gdmlzdGF6byBhIHVuYSBkaW1lbnNpw7NuIGVuIGxhIHF1ZSBudW5jYSBoYXMgZXN0YWRvIGFudGVzPw==
beqlDA,,UGxlYXNlIHNob3cgdGhlIHdheSB0byBvbmUgYXMgaHVtYmxlIGFzIG1lLg==,,,,,TW9zdHJlIG8gY2FtaW5oby4=,,TXXDqXN0cmFtZSBlbCBjYW1pbm8u
buqlDA,,W09zY2FyXQpBbGwgcmlnaHQuIEnigJltIGdvaW5nIHRvIGdvIHNlZSB0aGUgdmVyeSBtb21lbnQgR2xhc3RoZWltIGZlbGwgaW50byBydWluLiBBZHZlbnR1cmVyLCB5b3XigJlsbCBjb21lIHdpdGggbWUsIHRvby4=,,,,,W09zY2FyXQpDZXJ0bywgcXVlIHRhbCB2b2x0YXJtb3Mgbm8gdGVtcG8gcGFyYSBvIGV4YXRvIG1vbWVudG8gZGEgUXVlZGEgZGUgR2xhc3RoZWltPw==,,W09zY2FyXQpCaWVuLCDCv3F1w6kgdGFsIHNpIHZvbHZlbW9zIGVuIGVsIHRpZW1wbyBhbCBtb21lbnRvIGV4YWN0byBkZSBsYSBDYcOtZGEgZGUgR2xhc3RoZWltPw==
b+qlDA,,Tm9kcyB2aWdvcm91c2x5IGluIGFncmVlbWVudA==,,,,,VmFtb3MgbMOhIQ==,,wqFWYW1vcyE=
cOqlDA,,W09zY2FyXQpPaCwgSSB0aG91Z2h0IHlvdSdkIGJlIGhhcHB5LiBUaGVuIGdldCByZWFkeSBmb3IgYSBtb21lbnQsIGFuZCBoZWxwIG1lIG9wZW4gdGhlIGVudHJhbmNlLg==,,,,,W09zY2FyXQpJbWFnaW5laSBxdWUgZmljYXJpYSBmZWxpei4gQ2VydG8sIHByZXBhcmUtc2UgcXVlIGV1IGlyZWkgYWJyaXIgYSBlbnRyYWRhIHF1YW5kbyB2b2PDqiBmYWxhciBjb21pZ28gbm92YW1lbnRlLg==,,W09zY2FyXQpJbWFnaW7DqSBxdWUgdGUgYWxlZ3JhcsOtYXMuIERlIGFjdWVyZG8sIHByZXDDoXJhdGUsIGFicmlyw6kgbGEgZW50cmFkYSBjdWFuZG8gaGFibGVzIGNvbm1pZ28gbnVldmFtZW50ZS4=
ceqlDA,,XjAwMDBGRlNjZW5hcmlvIE1vZGUgaXMgYSBzb2xvIGluc3RhbmNlIGR1bmdlb24uIFBsZWFzZSBjcmVhdGUgYSBuZXcgb25lLXBlcnNvbiBwYXJ0eS5eMDAwMDAw,,,,,XjAwMDBGRkVzc2EgaW5zdMOibmNpYSByZXF1ZXIgdW0gZ3J1cG8gZGUgdW0gc8OzIG1lbWJyby4gUG9yIGZhdm9yLCBjcmllIHVtIGdydXBvIGUgdGVudGUgbm92YW1lbnRlLl4wMDAwMDA=,,XjAwMDBGRkVzdGEgaW5zdGFuY2lhIHJlcXVpZXJlIHVuIGdydXBvIGRlIHVuIHNvbG8gbWllbWJyby4gUG9yIGZhdm9yLCBjcmVhIHVuIGdydXBvIGUgaW50w6ludGFsbyBkZSBudWV2by5eMDAwMDAw
cuqlDA,,XjAwMDBGRkluIFNjZW5hcmlvIE1vZGUsIHlvdSBjYW5ub3QgcGFydGljaXBhdGUgd2l0aCBtZXJjZW5hcmllcyBpbnNpZGUgdGhlIGR1bmdlb24uXjAwMDAwMA==,,,,,XjAwMDBGRlZvY8OqIG7Do28gcG9kZSBlbnRyYXIgbmEgaW5zdMOibmNpYSBjb20gdW0gQXNzaXN0ZW50ZS4gUG9yIGZhdm9yLCBkaXNwZW5zZSBzZXUgYXNzaXN0ZW50ZSBlIHRlbnRlIG5vdmFtZW50ZS5eMDAwMDAw,,XjAwMDBGRk5vIHB1ZWRlcyBlbnRyYXIgYSBsYSBpbnN0YW5jaWEgY29uIHVuIEFzaXN0ZW50ZS4gUG9yIGZhdm9yLCBkZXNwaWRlIGEgdHUgYXNpc3RlbnRlIGUgaW50w6ludGFsbyBkZSBudWV2by5eMDAwMDAw
c+qlDA,,W09zY2FyXQpBcmUgeW91IGFsbCByZWFkeT8gUGxhY2UgeW91ciBoYW5kIG9uIG1pbmUgYW5kIGZvY3VzIHlvdXIgbWluZC4=,,,,,W09zY2FyXQpUdWRvIGNlcnRvPyBQb3IgZmF2b3IsIGVuY29zdGUgYSBwYWxtYSBkYSBzdWEgbcOjbyBuYSBtaW5oYSBlIGZlY2hlIG9zIG9saG9zLg==,,W09zY2FyXQrCv1RvZG8gbGlzdG8/IFBvciBmYXZvciwgYXBveWEgbGEgcGFsbWEgZGUgdHUgbWFubyBlbiBsYSBtw61hIHkgY2llcnJhIGxvcyBvam9zLg==
dOqlDA,,RGltZW5zaW9uYWwgUmlmdCBDcmVhdGlvbg==,,,,,Q3JpYXIgaW5zdMOibmNpYQ==,,Q3JlYXIgaW5zdGFuY2lh
deqlDA,,RW50ZXI=,,,,,RW50cmFyIG5hIGluc3TDom5jaWE=,,RW50cmFyIGEgbGEgaW5zdGFuY2lh
duqlDA,,XjAwMDBGRnswfSBeMDAwMDAwLSBSZXNlcnZhdGlvbiBGYWlsZWQ=,,,,,XjAwMDBGRnswfSBeMDAwMDAwLSBGYWxoYS4=,,XjAwMDBGRnswfSBeMDAwMDAwIC0gRmFsbMOzLg==
