QMcTDQ,,TGFyYW1h,,,,,TGFyYW1h,,TGFyYW1h
S8cTDQ,,W0xhcmFtYV0KSC1oYSwgaGFoYS4uLg==,,,,,W0xhcmFtYV0KSGEsIGhhaGEuLi4=,,W0xhcmFtYV0KSmEsIGphLCBqYS4uLg==
TMcTDQ,,RXJ1aW4=,,,,,RXJ1aW4=,,RXJ1aW4=
TccTDQ,,WW91IGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIHF1ZXN0IGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,Vm9jw6ogbsOjbyBwb2RlIHByb3NzZWd1aXIgY29tIGEgbWlzc8OjbyBwb3JxdWUgZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMuClBvciBmYXZvciwgb3JnYW5pemUgc2V1cyBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,,Tm8gcHVlZGVzIGNvbnRpbnVhciBsYSBtaXNpw7NuIHBvcnF1ZSBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLgpPcmRlbmEgdHVzIG9iamV0b3MgeSB2dWVsdmUgYSBpbnRlbnRhcmxvLg==
TscTDQ,,XjRENERGRlRoZSBwZW9wbGUgb2YgR3JheSBXb2xmIFZpbGxhZ2UgaGF2ZSBhY2NlcHRlZCB5b3UgYXMgYSBtZW1iZXIgb2YgdGhlIHZpbGxhZ2UuXjAwMDAwMApeNEQ0REZGWW91IGFyZSBub3cgcXVhbGlmaWVkIHRvIGF0dGVuZCB0aGUgR3JhbmQgQ291bmNpbC5eMDAwMDAw,,,,,XjRENERGRkFzIHBlc3NvYXMgZGEgQWxkZWlhIGRvIExvYm8gQ2luemVudG8gYWNlaXRhcmFtIHZvY8OqIGNvbW8gdW0gbWVtYnJvIGRhIHZpbGEuXjAwMDAwMApeNEQ0REZGVm9jw6ogYWdvcmEgcG9kZSBwYXJ0aWNpcGFyIGRvIEdyYW5kZSBDb25zZWxoby5eMDAwMDAw,,XjRENERGRkxhIGdlbnRlIGRlIFB1ZWJsbyBkZWwgTG9ibyBHcmlzIHRlIGhhIGFjZXB0YWRvIGNvbW8gdW5vIG3DoXMgZGVsIHB1ZWJsby5eMDAwMDAwCl40RDRERkZIYXMgb2J0ZW5pZG8gZWwgZGVyZWNobyBhIGFzaXN0aXIgYWwgR3JhbiBDb25zZWpvLl4wMDAwMDA=
T8cTDQ,,W0VydWluXQouLi4KSW4gdGhpcyBmb3Jlc3QsIGh1bnRpbmcgb3JkaW5hcnkgYW5pbWFscyByYXRoZXIgdGhhbiBtb25zdGVycyBpcyBmb3JiaWRkZW4gdG8gb3V0c2lkZXJzLgpEbyBub3QgY2F0Y2ggZXZlbiBhIHNpbmdsZSByYWJiaXQu,,,,,W0VydWluXQouLi4KTmVzdGEgZmxvcmVzdGEsIMOpIHByb2liaWRvIHBhcmEgZm9yYXN0ZWlyb3MgY2HDp2FyIGFuaW1haXMgY29tdW5zIGVtIHZleiBkZSBtb25zdHJvcy4KTsOjbyBjYXB0dXJlIG5lbSB1bSBjb2VsaG8gc2VxdWVyLg==,,W0VydWluXQouLi4KRW4gZXN0ZSBib3NxdWUgZXN0w6EgcHJvaGliaWRvIHBhcmEgbG9zIGZvcmFzdGVyb3MgY2F6YXIgYW5pbWFsZXMgbm9ybWFsZXMgcXVlIG5vIHNlYW4gbW9uc3RydW9zLgpObyBhdHJhcGVzIG5pIHVuIHNvbG8gY29uZWpvLg==
UMcTDQ,,W0VydWluXQouLi5JIGhlYXJkIGFuIEFkdmVudHVyZXIgY2FtZS4KTG9va2luZyBhcm91bmQgaGVyZSBhbmQgdGhlcmUgbGlrZSB0aGF0LCBhcmUgeW91IHRyeWluZyB0byBmaW5kIHdvcms/,,,,,W0VydWluXQouLi5EaXNzZXJhbSBxdWUgdW0gYXZlbnR1cmVpcm8gY2hlZ291LgpQZWxvIGplaXRvIHF1ZSBhbmRhIHJvbmRhbmRvIHBvciBhw60sIGVzdMOhIHByb2N1cmFuZG8gYWxnbyBwYXJhIGZhemVyPw==,,W0VydWluXQouLi5Bc8OtIHF1ZSBkZWPDrWFuIHF1ZSBoYWLDrWEgbGxlZ2FkbyB1biB0cm90YW11bmRvcy4KUG9yIGPDs21vIGFuZGFzIG1lcm9kZWFuZG8gZGUgdW4gbGFkbyBhIG90cm8sIMK/ZXN0w6FzIGJ1c2NhbmRvIGFsZ28gcXVlIGhhY2VyPw==
UccTDQ,,WWVzLg==,,,,,U2ltLg==,,U8Ot
UscTDQ,,Tm8u,,,,,TsOjby4=,,Tm8=
U8cTDQ,,W0VydWluXQpJIGhhbmRsZSB0aGUgb2JzZXJ2YXRpb24gb2YgbGl2ZXN0b2NrIGFuZCB3aWxkIGFuaW1hbHMgdG9nZXRoZXIgd2l0aCBMYXJhbWEgb3ZlciB0aGVyZSBhbmQgaGlzIGZhbWlseS4KTWFpbnRhaW5pbmcgYmxhZGVzLCBpbmNsdWRpbmcga25pdmVzLCBpcyBhbHNvIG15IGpvYi4=,,,,,W0VydWluXQpFdSBzb3UgcmVzcG9uc8OhdmVsIHBlbGEgb2JzZXJ2YcOnw6NvIGRvIGdhZG8gZSBkb3MgYW5pbWFpcyBzZWx2YWdlbnMganVudG8gY29tIExhcmFtYSBlIGEgZmFtw61saWEgZGVsZS4KVGFtYsOpbSDDqSBtZXUgdHJhYmFsaG8gbWFudGVyIGZhY2FzIGUgb3V0cmFzIGzDom1pbmFzIGFmaWFkYXMgZW0gb3JkZW0u,,W0VydWluXQpZbyBtZSBlbmNhcmdvLCBqdW50byBjb24gTGFyYW1hIHkgc3UgZmFtaWxpYSwgZGUgb2JzZXJ2YXIgZWwgZ2FuYWRvIHkgYSBsb3MgYW5pbWFsZXMgc2FsdmFqZXMuClRhbWJpw6luIGVzIHRhcmVhIG3DrWEgbWFudGVuZXIgZW4gYnVlbiBlc3RhZG8gbG9zIGN1Y2hpbGxvcyB5IGRlbcOhcyBmaWxvcy4=
VMcTDQ,,UGxlYXNlIHRha2UgZ29vZCBjYXJlIG9mIEdyYW5kbWEgRXJ1aW5+IQ==,,,,,Q3VpZGUgYmVtIGRhIHZvdsOzIEVydWlufiE=,,wqFDdWlkZSBiaWVuIGRlIGxhIGFidWVsYSBFcnVpbn4h
VccTDQ,,W0VydWluXQouLi5Uc2ssIHRzay4=,,,,,W0VydWluXQouLi50c2sgdHNrLg==,,W0VydWluXQouLi5Uc2ssIHRzay4=
VscTDQ,,SGVoZS4=,,,,,SGVoZS4=,,SmUsIGplLg==
V8cTDQ,,W0VydWluXQpJZiB0aGVyZSBpcyBhbnkgd29yayBmaXQgdG8gZW50cnVzdCB0byBhbiBvdXRzaWRlciwgaXQgd291bGQgYmUgY2hlY2tpbmcgdGhlIHRyYXBzIEkgc2V0IHRoaXMgbW9ybmluZy4KQ2FuIHlvdSBkbyBpdD8=,,,,,W0VydWluXQpTZSBow6EgYWxndW1hIHRhcmVmYSBxdWUgc2UgcG9zc2EgY29uZmlhciBhIHVtIGZvcmFzdGVpcm8sIHNlcmlhIHZlcmlmaWNhciBhcyBhcm1hZGlsaGFzIHF1ZSBpbnN0YWxlaSBlc3RhIG1hbmjDoy4KQ29uc2VndWUgZmF6ZXIgaXNzbz8=,,W0VydWluXQpTaSBoYXkgYWxnw7puIHRyYWJham8gcXVlIHB1ZWRhIGRlamFyIGVuIG1hbm9zIGRlIHVuIGZvcmFzdGVybywgc2Vyw6EgY29tcHJvYmFyIGxhcyB0cmFtcGFzIHF1ZSBpbnN0YWzDqSBlc3RhIG1hw7FhbmEuCsK/U2Vyw6FzIGNhcGF6Pw==
WMcTDQ,,VGhhdCBzaG91bGQgYmUgbm8gdHJvdWJsZSBhdCBhbGwu,,,,,SXNzbyBuw6NvIHRlbSBkaWZpY3VsZGFkZSBuZW5odW1hLg==,,RXNvIG5vIHRpZW5lIG5pbmd1bmEgZGlmaWN1bHRhZA==
WccTDQ,,W0VydWluXQpJIGxpa2UgdGhhdCB5b3UgYW5zd2VyIHF1aWNrbHkuCi4uLg==,,,,,W0VydWluXQpHb3N0byBxdWUgcmVzcG9uZGEgcsOhcGlkby4KLi4u,,W0VydWluXQpNZSBndXN0YSBxdWUgcmVzcG9uZGFzIHLDoXBpZG8uCi4uLg==
WscTDQ,,W0VydWluXQpJZiB5b3UgbG9vayBhcm91bmQgPE5BVkk+W0dyYXkgV29sZiBGb3Jlc3RdPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4sIHlvdSB3aWxsIGZpbmQgc2V2ZXJhbCB0cmFwcyBzZXQgaGVyZSBhbmQgdGhlcmUuCklmIGFueXRoaW5nIGlzIGNhdWdodCBpbiB0aGVtLCBicmluZyBiYWNrIGFib3V0IDUuCkxlYXZlIHRoZSByZW1haW5pbmcgYmFpdCBhbG9uZSwgYW5kIHNvbWV0aGluZyB3aWxsIGxpa2VseSBnZXQgY2F1Z2h0IGFnYWluIGlmIGVub3VnaCB0aW1lIHBhc3Nlcy4=,,,,,W0VydWluXQpTZSBvYnNlcnZhciB2w6FyaW9zIHBvbnRvcyBkYSA8TkFWST5bRmxvcmVzdGEgZG8gTG9ibyBDaW56ZW50byAoMSldPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4sIGhhdmVyw6EgdsOhcmlhcyBhcm1hZGlsaGFzIGNvbG9jYWRhcy4KU2UgYWxnbyB0aXZlciBzaWRvIGNhcHR1cmFkbywgcmXDum5hIHVtYXMgNSBwYXJhIG1pbS4KU2UgZGVpeGFyIGEgaXNjYSByZXN0YW50ZSwgYWxnbyB2b2x0YXLDoSBhIHNlciBwZWdvLCBlbnTDo28gYmFzdGEgZXNwZXJhciB1bSB0ZW1wby4=,,W0VydWluXQpTaSBtaXJhcyBwb3IgdmFyaW9zIHB1bnRvcyBkZSA8TkFWST5bQm9zcXVlIGRlbCBMb2JvIEdyaXMgKDEpXTxJTkZPPmd3X2ZpbGQwMSwyNSwxMDEsMCwxMDEsMDwvSU5GTz48L05BVkk+LCB2ZXLDoXMgcXVlIGhheSB2YXJpYXMgdHJhbXBhcyBjb2xvY2FkYXMuClNpIGhheSBhbGdvIGF0cmFwYWRvLCB0cmFlIHVuYXMgNSBwaWV6YXMuCkRlamEgZWwgY2VibyBxdWUgcXVlZGU7IHNpIGxvIGRlamFzLCB2b2x2ZXLDoSBhIGNhZXIgYWxnbyBtw6FzLCBhc8OtIHF1ZSBiYXN0YXLDoSBjb24gZGFybGUgdGllbXBvLg==
W8cTDQ,,W0VydWluXQpJIGFtIGNvdW50aW5nIG9uIHlvdS4=,,,,,W0VydWluXQpDb250byBjb20gdm9jw6ou,,W0VydWluXQpIYXogZXNlIHRyYWJham8u
XMcTDQ,,W0VydWluXQpJZiB5b3UgaGF2ZSBub3RoaW5nIHRvIGRvLCBkbyBub3QgbG9pdGVyIGFyb3VuZCBoZXJlLiBHbyB3YXRjaCB0aGF0IGZpcmUgb3ZlciB0aGVyZSBvciBzb21ldGhpbmcu,,,,,W0VydWluXQpTZSBuw6NvIHRlbSBuYWRhIHBhcmEgZmF6ZXIsIG7Do28gZmlxdWUgemFuemFuZG8gcG9yIGFxdWkgZSB2w6EgYW8gbWVub3MgdmlnaWFyIGFxdWVsZSBmb2dvIGFjZXNvIGFsaS4=,,W0VydWluXQpTaSBubyB0aWVuZXMgbmFkYSBxdWUgaGFjZXIsIG5vIHRlIHF1ZWRlcyByb25kYW5kbyBwb3IgYXF1w60geSB2ZXRlIGFsIG1lbm9zIGEgdmlnaWxhciBlc2UgZnVlZ28gcXVlIGhheSBhbGzDrS4=
XccTDQ,,W0VydWluXQpJIHdvdWxkIGFwcHJlY2lhdGUgaXQgaWYgeW91IGNvdWxkIGdhdGhlciBhYm91dCA1IHRoaW5ncyBjYXVnaHQgaW4gdGhlIHRyYXBzIGZyb20gPE5BVkk+W0dyYXkgV29sZiBGb3Jlc3RdPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,,,,W0VydWluXQpTZXJpYSBib20gc2Ugdm9jw6ogcmVjb2xoZXNzZSB1bWFzIDUgY29pc2FzIHByZXNhcyBuYXMgYXJtYWRpbGhhcyBuYSA8TkFWST5bRmxvcmVzdGEgZG8gTG9ibyBDaW56ZW50byAoMSldPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,W0VydWluXQpWZSBhIDxOQVZJPltCb3NxdWUgZGVsIExvYm8gR3JpcyAoMSldPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4geSB0csOhZW1lIHVuYXMgNSBjb3NhcyBkZSBsYXMgcXVlIGhheWFuIGNhw61kbyBlbiBsYXMgdHJhbXBhcy4=
XscTDQ,,XjRENERGRkEgZmF2b3JhYmxlIG9waW5pb24gb2YgeW91IGhhcyBiZWVuIGZvcm1lZC5eMDAwMDAw,,,,,XjRENERGRlVtYSBhdmFsaWHDp8OjbyBmYXZvcsOhdmVsIHNvYnJlIHZvY8OqIGZvaSBnZXJhZGEuXjAwMDAwMA==,,XjRENERGRlNlIGhhIGdlbmVyYWRvIHVuYSB2YWxvcmFjacOzbiBmYXZvcmFibGUgaGFjaWEgdGkuXjAwMDAwMA==
X8cTDQ,,W0VydWluXQouLi5Hb29kLiBXZWxsIGRvbmUuCklmIHlvdSBhcmUgaWRsZSBlbm91Z2ggdG8gbG9pdGVyIGhlcmUgYWdhaW4gdG9tb3Jyb3csIG1heSBJIGFzayBmb3IgeW91ciBoZWxwIGFnYWluPw==,,,,,W0VydWluXQouLi5NdWl0byBiZW0uIEJvbSB0cmFiYWxoby4KU2UgYW1hbmjDoyB0YW1iw6ltIGVzdGl2ZXIgZGVzb2N1cGFkbyBvIGJhc3RhbnRlIHBhcmEgZmljYXIgemFuemFuZG8gcG9yIGFxdWksIHBvc3NvIHBlZGlyIGRlIG5vdm8/,,W0VydWluXQouLi5CaWVuLiBIYXMgdHJhYmFqYWRvIGR1cm8uClNpIG1hw7FhbmEgdnVlbHZlcyBhIGVzdGFyIHRhbiBkZXNvY3VwYWRvIGNvbW8gcGFyYSBhbmRhciByb25kYW5kbyBwb3IgYXF1w60sIMK/cHVlZG8gdm9sdmVyIGEgcGVkw61ydGVsbz8=
YMcTDQ,,T2YgY291cnNlLg==,,,,,Q2xhcm8u,,Q2xhcm8=
YccTDQ,,SSB0aGluayBJIHdpbGwgYmUgYnVzeSB0b21vcnJvdy4=,,,,,QWNobyBxdWUgYW1hbmjDoyBlc3RhcmVpIG9jdXBhZG8u,,TWHDsWFuYSBjcmVvIHF1ZSBlc3RhcsOpIG9jdXBhZG8=
YscTDQ,,W0VydWluXQpUaGF0IGlzIGdvb2QgdG8gaGVhci4KSSBkbyBub3QgcmVmdXNlIGhlbHAuIFRoYW5rIHlvdS4=,,,,,W0VydWluXQrDk3RpbW8uCk51bmNhIHJlY3VzbyBhanVkYS4gT2JyaWdhZG8u,,W0VydWluXQpFc28gbWUgdmllbmUgYmllbi4KTm8gcmVjaGF6byBsYSBheXVkYS4gR3JhY2lhcy4=
Y8cTDQ,,W0VydWluXQpVbmRlcnN0b29kLiBJIGFtIGFsd2F5cyB3b3JraW5nLCB3aGF0IHdpdGggdGhlIHRyYXBzIGFuZCBtYWludGVuYW5jZSwgc28gaWYgeW91IGNvbWUgc25vb3BpbmcgYXJvdW5kIGFnYWluLCBrbm93IHRoYXQgSSB3aWxsIHB1dCB5b3UgdG8gd29yayBpbnN0ZWFkIG9mIGxldHRpbmcgeW91IGJlIGEgbnVpc2FuY2UuCkJlaW5nIGFuIG91dHNpZGVyIG1ha2VzIG5vIGRpZmZlcmVuY2Uu,,,,,W0VydWluXQpFbnRlbmRpZG8uIEV1IHNlbXByZSBlc3RvdSB0cmFiYWxoYW5kbywgY3VpZGFuZG8gZGFzIGFybWFkaWxoYXMgZSBkYSBtYW51dGVuw6fDo28sIGVudMOjbywgc2UgdmllciBiaXNiaWxob3RhciBkZSBub3ZvLCBzYWliYSBxdWUgdm91IHRlIHDDtHIgcGFyYSB0cmFiYWxoYXIgZW0gdmV6IGRlIGRlaXhhciBhdHJhcGFsaGFyLgpOw6NvIMOpIHBvciBzZXIgZm9yYXN0ZWlybyBxdWUgdmFpIHNlciBkaWZlcmVudGUu,,W0VydWluXQpFbnRlbmRpZG8uIFlvIHNpZW1wcmUgZXN0b3kgdHJhYmFqYW5kbywgb2N1cMOhbmRvbWUgZGUgbGFzIHRyYW1wYXMgeSBkZWwgbWFudGVuaW1pZW50bywgYXPDrSBxdWUsIHNpIHZ1ZWx2ZXMgYSBtZXJvZGVhciwgeWEgc2FiZXMgcXVlIGVuIHZleiBkZSBtb2xlc3RhciB0ZSBwb25kcsOpIGEgdHJhYmFqYXIuCk5vIGVyZXMgZGlmZXJlbnRlIHBvciBzZXIgZm9yYXN0ZXJvLg==
ZMcTDQ,,W0VydWluXQpHbyBiYWNrIGFuZCByZXN0IGZvciB0b2RheS4=,,,,,W0VydWluXQpQb3IgaG9qZSwgdm9sdGUgZSBkZXNjYW5zZS4=,,W0VydWluXQpQb3IgaG95IHZ1ZWx2ZSB5IGRlc2NhbnNhLg==
ZccTDQ,,W0VydWluXQpZb3UgaGF2ZSBjb21lLiBTZWVpbmcgeW91IHNub29waW5nIGFyb3VuZCBhZ2FpbiwgeW91IG11c3QgYmUgaWRsZS4=,,,,,W0VydWluXQpWb2x0b3UuIFBlbG8gamVpdG8gcXVlIGVzdMOhIHJvbmRhbmRvIGRlIG5vdm8sIHBhcmVjZSBxdWUgZXN0w6EgZGVzb2N1cGFkby4=,,W0VydWluXQrCv0hhcyB2ZW5pZG8/IFBvciBjw7NtbyB2dWVsdmVzIGEgcm9uZGFyLCBwYXJlY2UgcXVlIGVzdMOhcyBkZXNvY3VwYWRvIG90cmEgdmV6Lg==
ZscTDQ,,R28gaW5zcGVjdCB0aGUgdHJhcHMu,,,,,Vm91IHZlcmlmaWNhciBhcyBhcm1hZGlsaGFzLg==,,SXIgYSByZXZpc2FyIGxhcyB0cmFtcGFz
Z8cTDQ,,TWFrZSBzbWFsbCB0YWxrLg==,,,,,Vm91IGNvbnZlcnNhci4=,,SGFibGFyIHVuIHJhdG8=
aMcTDQ,,U3RvcC4=,,,,,RGVzaXN0aXIu,,RGVqYXJsbw==
accTDQ,,W0VydWluXQpJZiB5b3UgYXJlIHdpbGxpbmcgdG8gbGVuZCBhIGhhbmQsIEkgd291bGQgYmUgZ3JhdGVmdWwsIHNpbmNlIEkgaGF2ZSBtYW55IG90aGVyIHRoaW5ncyB0byBkby4KSWYgeW91IGxvb2sgYXJvdW5kIDxOQVZJPltHcmF5IFdvbGYgRm9yZXN0XTxJTkZPPmd3X2ZpbGQwMSwyNSwxMDEsMCwxMDEsMDwvSU5GTz48L05BVkk+LCB5b3Ugd2lsbCBmaW5kIHNldmVyYWwgdHJhcHMgc2V0IGhlcmUgYW5kIHRoZXJlLgpJZiBhbnl0aGluZyBpcyBjYXVnaHQgaW4gdGhlbSwgcmVjb3ZlciBqdXN0IDUgYW5kIGJyaW5nIHRoZW0gYmFjay4=,,,,,W0VydWluXQpTZSBmb3IgYWp1ZGFyIGNvbSBvIHRyYWJhbGhvLCBldSBhZ3JhZGXDp28sIGrDoSBxdWUgdGVuaG8gbXVpdGFzIG91dHJhcyBjb2lzYXMgcGFyYSBmYXplci4KU2Ugb2xoYXIgZW0gdsOhcmlvcyBwb250b3MgbmEgPE5BVkk+W0Zsb3Jlc3RhIGRvIExvYm8gQ2luemVudG8gKDEpXTxJTkZPPmd3X2ZpbGQwMSwyNSwxMDEsMCwxMDEsMDwvSU5GTz48L05BVkk+LCB2ZXLDoSB2w6FyaWFzIGFybWFkaWxoYXMgY29sb2NhZGFzLgpTZSBob3V2ZXIgYWxnbyBwcmVzbywgcmVjb2xoYSBzw7MgNSBlIHRyYWdhLg==,,W0VydWluXQpTaSB2YXMgYSBlY2hhciB1bmEgbWFubywgeW8gdGUgbG8gYWdyYWRlY2Vyw6ksIHBvcnF1ZSB0ZW5nbyBtdWNoYXMgb3RyYXMgY29zYXMgcXVlIGhhY2VyLgpTaSBvYnNlcnZhcyBkaXN0aW50b3MgcHVudG9zIGRlIDxOQVZJPltCb3NxdWUgZGVsIExvYm8gR3JpcyAoMSldPElORk8+Z3dfZmlsZDAxLDI1LDEwMSwwLDEwMSwwPC9JTkZPPjwvTkFWST4sIHZlcsOhcyB2YXJpYXMgdHJhbXBhcyBjb2xvY2FkYXMuClNpIGhheSBhbGdvIGF0cmFwYWRvLCByZWN1cMOpcmFtZSBzb2xvIDUgcGllemFzLg==
ascTDQ,,QWNjZXB0Lg==,,,,,QWNlaXRhci4=,,QWNlcHRhcg==
a8cTDQ,,RGVjbGluZS4=,,,,,UmVjdXNhci4=,,UmVjaGF6YXI=
bMcTDQ,,W0VydWluXQpFaXRoZXIgc2l0IGRvd24gaW5zdGVhZCBvZiBsb2l0ZXJpbmcgYXJvdW5kLCBvciBnbyBhd2F5LiBZb3UgYXJlIGRpc3RyYWN0aW5nLg==,,,,,W0VydWluXQpFbSB2ZXogZGUgZmljYXIgemFuemFuZG8sIHNlbnRlLXNlIGVtIGFsZ3VtIGx1Z2FyLiBFc3TDoSBtZSBkZWl4YW5kbyBkaXN0cmHDrWRvLg==,,W0VydWluXQpEZWphIGRlIHJvbmRhciB5IHNpw6ludGF0ZSBvIGFsZ28uIFBvbmVzIG5lcnZpb3NvLg==
