YDxMDQ,,R3JhcGU=,,,,,VXZv,,VXZv
gDxMDQ,,W0dyYXBlXQpIeXBlciBOb3ZpY2UsIHdobyBsb29rcyBiYWNrIG9uIHRoZSBwYXN0LCBwaW9uZWVycyB0aGUgZnV0dXJlLCBhbmQga2VlcHMgbW92aW5nIGZvcndhcmQh,,,,,W1V2b10KSGlwZXJhcHJlbmRpeiwgYXF1ZWxlcyBxdWUgb2xoYW0gcGFyYSBvIHBhc3NhZG8sIGRlc2JyYXZhbSBvIGZ1dHVybyBlIHNlZ3VlbSBldm9sdWluZG8h,,W1V2b10KwqFVbiBIaXBlcnByaW5jaXBpYW50ZSBtaXJhIGFsIHBhc2FkbywgYWJyZSBjYW1pbm8gYWwgZnV0dXJvIHkgc2lndWUgYXZhbnphbmRvIQ==
gTxMDQ,,W0dyYXBlXQpBaH4gSHlwZXJ+IERvZXNuJ3QgaXQgc291bmQgc28gbXVjaCBiZXR0ZXIgdGhhbiBTdXBlcj8=,,,,,W1V2b10KQWh+IEhpcGVyfiBOw6NvIHNvYSBtdWl0byBtZWxob3IgcXVlIFN1cGVyPw==,,W1V2b10KVWYsIEhpcGVyLCDCv25vIHN1ZW5hIG11Y2jDrXNpbW8gbWVqb3IgcXVlIFN1cGVyPw==
gjxMDQ,,W0dyYXBlXQpJZiBTdXBlciBiZWNvbWVzIEh5cGVyLCBkb2Vzbid0IGl0IGZlZWwgbGlrZSB5b3VyIHRyb3VibGVzIG1pZ2h0IGdldCBzb2x2ZWQgYWxvbmcgd2l0aCBpdD8=,,,,,W1V2b10KUXVhbmRvIG8gU3VwZXIgc2UgdG9ybmEgSGlwZXIsIHBhcmVjZSBxdWUgc3VhcyBwcmVvY3VwYcOnw7VlcyB0YW1iw6ltIHNlcsOjbyByZXNvbHZpZGFzIGp1bnRvLCBuw6NvIHBhcmVjZT8=,,W1V2b10KU2kgdW4gU3VwZXIgcHVlZGUgdm9sdmVyc2UgdW4gSGlwZXIsIMK/bm8gY3JlZXMgcXVlIGVzbyByZXNvbHZlcsOtYSB0dXMgcHJlb2N1cGFjaW9uZXM/
gzxMDQ,,W0dyYXBlXQpIZWhlaGUhIFRoYXQncyBlbm91Z2ggb2YgbXkgc2FsZXMgcGl0Y2ghClRoZSBsb29rIG9uIHlvdXIgZmFjZSByaWdodCBub3cgc2F5cywgJ0knbSBub3QgYnV5aW5nLiBJJ20gYnVzeSByaWdodCBub3cuJw==,,,,,W1V2b10KSGVoZWhlISBPIHBhcG8gZGUgdmVuZGVkb3IgYWNhYmEgcG9yIGFxdWkhClNldSByb3N0byBhZ29yYSBlc3TDoSBleGF0YW1lbnRlIGNvbSBhcXVlbGEgZXhwcmVzc8OjbyBkZSAnTsOjbyB2b3UgY29tcHJhci4gRXN0b3Ugb2N1cGFkbycu,,W1V2b10KwqFKZSwgamUsIGplISDCoUhhc3RhIGFxdcOtIGxsZWd1w6kgY29uIGxhIHByZXNlbnRhY2nDs24hCkFob3JhIG1pc21vIHRpZW5lcyBjYXJhIGRlICJObywgZ3JhY2lhcy4gTm8gdGVuZ28gdGllbXBvIGFob3JhLCBubyBtZSBpbnRlcmVzYSIu
hDxMDQ,,W0dyYXBlXQpHbyB0aGluayBpdCBvdmVyLCBhbmQgaWYgeW91IGJlY29tZSBpbnRlcmVzdGVkIGluIEh5cGVyIE5vdmljZSwgY29tZSBmaW5kIG1lIGFnYWluIHRoZW4u,,,,,W1V2b10KVsOhIHBlbnNhciBiZW0gZSwgc2UgcGFzc2FyIGEgc2UgaW50ZXJlc3NhciBwb3IgSGlwZXJhcHJlbmRpeiwgdm9sdGUgYSBtZSBwcm9jdXJhci4=,,W1V2b10KVMOzbWF0ZSB0dSB0aWVtcG8sIHBpw6luc2FsbyBiaWVuIHksIHNpIHRlIGludGVyZXNhIHNlciBIaXBlcnByaW5jaXBpYW50ZSwgbWUgdmllbmVzIGEgYnVzY2FyIGRlIG51ZXZvLg==
hTxMDQ,,W0dyYXBlXQpZb3UndmUgbWFkZSB1cCB5b3VyIG1pbmQgcXVpY2tseS4gQXJlIHlvdSBzdXJlIHlvdSd2ZSB0aG91Z2h0IGl0IG92ZXIgZW5vdWdoPw==,,,,,W1V2b10KVm9jw6ogZGVjaWRlIHLDoXBpZG8uIFRlbSBjZXJ0ZXphIGRlIHF1ZSBwZW5zb3UgYmFzdGFudGU/,,W1V2b10KwqFRdcOpIHLDoXBpZG8gY2FtYmlhc3RlIGRlIGlkZWEhIMK/VGllbmVzIHNlZ3VyaWRhZCBkZSBxdWUgbG8gaGFzIHBlbnNhZG8gbG8gc3VmaWNpZW50ZT8=
hjxMDQ,,W0dyYXBlXQpBcmUgeW91IHN1cmUgeW91J3ZlIHRob3VnaHQgaXQgb3ZlciBlbm91Z2g/,,,,,W1V2b10KVGVtIGNlcnRlemEgZGUgcXVlIHBlbnNvdSBiYXN0YW50ZT8=,,W1V2b10Kwr9TZWd1cm8gcXVlIGxvIGhhcyBwZW5zYWRvIGxvIHN1ZmljaWVudGU/
hzxMDQ,,W0dyYXBlXQpJJ2xsIHRydXN0IHlvdSBhbmQgY29udGludWUgdGhlIGV4cGxhbmF0aW9uLiBGaXJzdCwgSSB3aWxsIHNlbmQgeW91IHRvIGEgc3BhY2UgcmVtZW1iZXJlZCBieSBhIGNlcnRhaW4gU3VwZXIgTm92aWNlLg==,,,,,W1V2b10KVm91IGNvbmZpYXIgZW0gdm9jw6ogZSBjb250aW51YXIgYSBleHBsaWNhw6fDo28uIFByaW1laXJvLCB2b3UgZW52acOhLWxvIGEgdW0gZXNwYcOnbyBsZW1icmFkbyBwb3IgY2VydG8gU3VwZXJhcHJlbmRpei4=,,W1V2b10KQ29uZmlhcsOpIGVuIHRpIHkgY29udGludWFyw6kgY29uIGxhIGV4cGxpY2FjacOzbi4gUHJpbWVybyB0ZSBlbnZpYXLDqSBhIHVuIGx1Z2FyIHF1ZSBsZSB0cmFlIHJlY3VlcmRvcyBhIGNpZXJ0byBTdXBlcnByaW5jaXBpYW50ZS4=
iDxMDQ,,W0dyYXBlXQpXaGV0aGVyIHlvdSBnYWluIHNvbWV0aGluZyBmcm9tIHRoYXQgc3BhY2UgaXMgdXAgdG8geW91LiBXaGV0aGVyIHlvdSBzaW1wbHkgbGVhdmUgaXMgYWxzbyB1cCB0byB5b3Uu,,,,,W1V2b10KRmlxdWUgw6Agdm9udGFkZSBwYXJhIHBlZ2FyIGFsZ28gZGUgbMOhLiBPdSBwYXJhIHNpbXBsZXNtZW50ZSBzYWlyLg==,,W1V2b10KU2kgZ2FuYXMgYWxnbyBvIG5vIGVuIGFxdWVsIGx1Z2FyLCBkZXBlbmRlcsOhIGRlIHRpLiBTaSBzaW1wbGVtZW50ZSB0ZSB2YXMsIHRhbWJpw6luIGRlcGVuZGVyw6EgZGUgdGku
iTxMDQ,,VGhlIHRlc3QuLi4=,,,,,TyB0ZXN0ZS4uLg==,,TGEgcHJ1ZWJhLi4u
ijxMDQ,,SXMgdGhhdCBhbGwgdGhlcmUgaXMgdG8gdGhlIHRlc3Q/,,,,,TyB0ZXN0ZSDDqSBzw7MgaXNzbz8=,,wr9Fc28gZXMgdG9kYSBsYSBwcnVlYmE/
izxMDQ,,W0dyYXBlXQpJdCBpcyBub3QgYSB0ZXN0LiBUaGluayBhYm91dCBpdC4=,,,,,W1V2b10KTsOjbyDDqSB1bSB0ZXN0ZS4gUGVuc2UgYmVtLg==,,W1V2b10KTm8gZXMgdW5hIHBydWViYS4gUGnDqW5zZWxvLg==
jDxMDQ,,W0dyYXBlXQpUaGUgZnJlZS1zcGlyaXRlZCBtaW5kc2V0IG9mIGEgU3VwZXIgTm92aWNlIHlvdSBoYXZlIHNob3duIHVudGlsIG5vdy4=,,,,,W1V2b10KQXTDqSBhZ29yYSwgbyBlc3DDrXJpdG8gbGl2cmUgZG8gU3VwZXJhcHJlbmRpeiBlc3TDoSBiZW0gw6AgbW9zdHJhLg==,,W1V2b10KTGEgbWVudGUgZGUgdW4gZXNww61yaXR1IGxpYnJlLCBwcm9waWEgZGUgdW4gU3VwZXJwcmluY2lwaWFudGUsIHF1ZSBoYXMgZGVtb3N0cmFkbyBoYXN0YSBhaG9yYS4=
jTxMDQ,,W0dyYXBlXQpUaGUgcGVyc2V2ZXJhbmNlIHRvIGRldm90ZSB5b3Vyc2VsZiB0byBvbmUgdGhpbmcu,,,,,W1V2b10KQSBwZXJzZXZlcmFuw6dhIGRlIHNlIGFwcm9mdW5kYXIgZW0gdW1hIGNvaXNhLg==,,W1V2b10KTGEgcGVyc2V2ZXJhbmNpYSBwYXJhIGRlZGljYXJ0ZSBhIHVuYSBzb2xhIGNvc2Eu
jjxMDQ,,W0dyYXBlXQpUaGUgaGVhcnQgdG8gc2hhcmUgd2l0aCB0aG9zZSBpbiBuZWVkLg==,,,,,W1V2b10KTyBjb3Jhw6fDo28gY2FwYXogZGUgY29tcGFydGlsaGFyIGNvbSBxdWVtIHBhc3NhIHBvciBkaWZpY3VsZGFkZXMu,,W1V2b10KRWwgY29yYXrDs24gcGFyYSBjb21wYXJ0aXIgY29uIHF1aWVuZXMgbG8gbmVjZXNpdGFuLg==
jzxMDQ,,W0dyYXBlXQpBbmQgeW91ciBvdXRzdGFuZGluZyBzcGlyaXQgb2YgYWR2ZW50dXJlLiBIYXZlIHRoZXkgbm90IGFsbCBiZWVuIHRlc3RlZCBpbiBtYW55IHdheXMgYnkgbWFueSBkaWZmZXJlbnQgZnJpZW5kcz8=,,,,,W1V2b10KRSBvIGV4Y2VsZW50ZSBlc3DDrXJpdG8gZGUgYXZlbnR1cmEuIFR1ZG8gaXNzbyBqw6EgbsOjbyBmb2kgdmVyaWZpY2FkbyBwb3IgZGl2ZXJzb3MgYW1pZ29zLCBkZSB2w6FyaWFzIGZvcm1hcz8=,,W1V2b10KWSB0dSBkZXN0YWNhZG8gZXNww61yaXR1IGF2ZW50dXJlcm8uIMK/QWNhc28gbm8gZnVlcm9uIGNvbXByb2JhZG9zIGRlIGRpdmVyc2FzIGZvcm1hcyBwb3IgbXVjaGFzIGFtaXN0YWRlcyBkaXN0aW50YXM/
kDxMDQ,,W0dyYXBlXQpJIGJlbGlldmUgeW91IGhhdmUgYWxyZWFkeSB0YWtlbiBtb3JlIHRoYW4gZW5vdWdoIHRlc3RzLiBXb3VsZG4ndCB5b3UgYWdyZWU/,,,,,W1V2b10KQWNobyBxdWUgdm9jw6ogasOhIHBhc3NvdSBwb3IgdGVzdGVzIG1haXMgZG8gcXVlIHN1ZmljaWVudGVzIGF0w6kgYWdvcmEuIE7Do28gYWNoYT8=,,W1V2b10KQ3JlbyBxdWUgeWEgaGFzIHN1cGVyYWRvIHBydWViYXMgZGUgc29icmEgaGFzdGEgYWhvcmEuIMK/Tm8gZXMgYXPDrT8=
kTxMDQ,,VGhhdCBpcy4uLg==,,,,,w4kgdmVyZGFkZS4uLg==,,RXNvIGVzLi4u
kjxMDQ,,VGhhdCBpcyB0cnVlLg==,,,,,w4kgdmVyZGFkZS4=,,RXNvIGVzIGNpZXJ0by4=
kzxMDQ,,W0dyYXBlXQpUaGF0IHNob3VsZCBiZSBlbm91Z2ggZXhwbGFuYXRpb24sIHJpZ2h0Pw==,,,,,W1V2b10KQWNobyBxdWUgaXNzbyBkZXZlIHRlciBzaWRvIGV4cGxpY2HDp8OjbyBzdWZpY2llbnRlLg==,,W1V2b10KQ29uIGVzbyBoYWJyw6EgcXVlZGFkbyBzdWZpY2llbnRlbWVudGUgZXhwbGljYWRvLCDCv3ZlcmRhZD8=
lDxMDQ,,W0dyYXBlXQpJbiBhY2NvcmRhbmNlIHdpdGggdGhlIGlkZWFscyBvZiBTdXBlciBOb3ZpY2UsIHdobyBwdXJzdWVzIGZyZWVkb20sIHdlIGFsc28gcmVzcGVjdCB0aGUgZnJlZWRvbSBvZiB0aG9zZSB3aG8gYXJlIHNhdGlzZmllZCB3aXRoIHRoZSBwcmVzZW50IGFuZCBjaG9vc2UgdG8gcmVtYWluIGFzIHRoZXkgYXJlLg==,,,,,W1V2b10KRGUgYWNvcmRvIGNvbSBvIGlkZWFsIGRvcyBTdXBlcmFwcmVuZGl6ZXMsIHF1ZSBidXNjYW0gYSBsaWJlcmRhZGUsIHRhbWLDqW0gcmVzcGVpdGFtb3MgYSBsaWJlcmRhZGUgZGFxdWVsZXMgcXVlIGVzdMOjbyBzYXRpc2ZlaXRvcyBlIGFjb21vZGFkb3Mgbm8gcHJlc2VudGUu,,W1V2b10KRGUgYWN1ZXJkbyBjb24gZWwgaWRlYWwgZGVsIFN1cGVycHJpbmNpcGlhbnRlLCBxdWUgcGVyc2lndWUgbGEgbGliZXJ0YWQsIHRhbWJpw6luIHJlc3BldGFtb3MgbGEgbGliZXJ0YWQgZGUgcXVpZW5lcyBzZSBzaWVudGVuIHNhdGlzZmVjaG9zIGNvbiBlbCBwcmVzZW50ZSB5IGVsaWdlbiBzZWd1aXIgY29tbyBlc3TDoW4u
