gCN4DA,,VmljZW50ZQ==,,,,,VmljZW50ZQ==,,VmljZW50ZQ==
iyN4DA,,W1ZpY2VudGVdCkFueXdheSwgaXQgc2VlbXMgdGhhdCBvbmNlIHlvdSBnZXQgeW91ciBoYW5kcyBvbiB0aGUgcG93ZXIgb2YgZGFya25lc3MsIHlvdSBnYWluIHNvbWUgcHJldHR5IHVuaXF1ZSBhYmlsaXRpZXMuClNvLCB0aGUgQXNzYXNzaW4gYW5kIFJvZ3VlIEd1aWxkcyBoYXZlIGFncmVlZCB0byBzaGFyZSBpbmZvcm1hdGlvbiBhYm91dCB0aGlzIGVsZW1lbnRhbCB3aGVuZXZlciBwb3NzaWJsZS4=,,,,,W1ZpY2VudGVdCkRlIHF1YWxxdWVyIGZvcm1hLCBwYXJlY2UgcXVlLCBhbyBvYnRlciBvIHBvZGVyIGRvIEFiaXNtbywgYSBwZXNzb2EgcGFzc2EgYSB0ZXIgaGFiaWxpZGFkZXMgYmFzdGFudGUgZXNwZWNpYWlzLgpQb3IgaXNzbywgYSBHdWlsZGEgZG9zIFNpY8OhcmlvcyBlIGEgR3VpbGRhIGRvcyBSZW5lZ2Fkb3MgY29tYmluYXJhbSBxdWUsIGFzc2ltIHF1ZSBvYnRpdmVzc2VtIGluZm9ybWHDp8O1ZXMgc29icmUgZXNzZSBFbGVtZW50YWwsIGVsYXMgc2VyaWFtIGNvbXBhcnRpbGhhZGFzLg==,,W1ZpY2VudGVdCkVuIGZpbiwgcGFyZWNlIHF1ZSBhbCBoYWNlcnNlIGNvbiBlbCBwb2RlciBkZSBsYSBvc2N1cmlkYWQsIHVubyBhZHF1aWVyZSBoYWJpbGlkYWRlcyBiYXN0YW50ZSBlc3BlY2lhbGVzLgpQb3IgZXNvLCBlbCBHcmVtaW8gZGUgQXNlc2lub3MgeSBlbCBHcmVtaW8gZGUgTGFkcm9uZXMgYWNvcmRhcm9uIGNvbXBhcnRpciBjdWFscXVpZXIgaW5mb3JtYWNpw7NuIHF1ZSBvYnR1dmllcmFuIHNvYnJlIGVsIGVzcMOtcml0dSBkZSBsYSBvc2N1cmlkYWQsIHNpbiBpbXBvcnRhciBjdcOhbmRvIGZ1ZXJhLg==
jCN4DA,,W1ZpY2VudGVdCkFuZCByZWNlbnRseSB3ZSByZWNlaXZlZCBzb21lIHJlcG9ydHMgYWJvdXQgcGVjdWxpYXIgcGhlbm9tZW5hLgpXZSBzaG93ZWQgdGhlbSB0byBNYXlzc2VsLiBTaGUgc2FpZCB0aGV5IHdlcmUgZGVmaW5pdGVseSByZWxhdGVkIHRvIHRoZSBkYXJrIGVsZW1lbnRhbC4=,,,,,W1ZpY2VudGVdCkUsIHJlY2VudGVtZW50ZSwgcmVjZWJlbW9zIGluZm9ybWHDp8O1ZXMgc29icmUgdW0gZmVuw7RtZW5vIGludHJpZ2FudGUgcXVlIG7Do28gcHVkZW1vcyBpZ25vcmFyLgpBbyBtb3N0cmFybW9zIMOgIE1heXNzZWwsIGVsYSBub3MgZGlzc2UgcXVlIGNvbSBjZXJ0ZXphIGVzdMOhIHJlbGFjaW9uYWRvIGFvIEVsZW1lbnRhbCBTb21icmlvLg==,,W1ZpY2VudGVdClkgcmVjaWVudGVtZW50ZSBoZW1vcyByZWNpYmlkbyBpbmZvcm1hY2nDs24gZGUgcXVlIHNlIGhhbiBvYnNlcnZhZG8gZmVuw7NtZW5vcyBxdWUgbm8gc2UgcHVlZGVuIGlnbm9yYXIuCkxhIHNlw7Fvcml0YSBNZWlzZWwsIHRyYXMgYW5hbGl6YXIgbGEgaW5mb3JtYWNpw7NuLCBkaWpvIHF1ZSBubyBoYWLDrWEgZHVkYS4=
jSN4DA,,V2hhdCBkb2VzIGl0IGhhdmUgdG8gZG8gd2l0aCBtZT8=,,,,,RSBvIHF1ZSB0ZW5obyBhIHZlcj8=,,wr9ZIGVzbyBxdcOpIHRpZW5lIHF1ZSB2ZXIgY29ubWlnbz8=
jiN4DA,,W1ZpY2VudGVdCkl0IG1hdHRlcnMuIEl0IG1hdHRlcnMgYSBsb3QuIEJlY2F1c2UgZnJvbSBub3cgb24sIHlvdSdsbCBnbyB0cnkgdG8gYWNxdWlyZSBpdHMgcG93ZXIuCkJvdGggRG9vbWsgYW5kIEkgYmVsaWV2ZSBpbiBnaXZpbmcgbW9yZSBvcHBvcnR1bml0aWVzIHRvIG1vcmUgY2FwYWJsZSBndWlsZCBtZW1iZXJzLg==,,,,,W1ZpY2VudGVdClRlbSBtdWl0byBhIHZlciEgUG9pcyDDqSwgYSBwYXJ0aXIgZGUgYWdvcmEgdmFtb3MgYXRyw6FzIGRlc3NlIFBvZGVyIGRvIEFiaXNtby4KVGFudG8gbyBzZW5ob3IgRHVtayBxdWFudG8gZXUgdGVtb3MgYSBwb2zDrXRpY2EgZGUgZGFyIHVtYSBjaGFuY2UgYW9zIG1lbWJyb3MgZGEgZ3VpbGRhIHF1ZSB0w6ptIHBvdGVuY2lhbC4=,,W1ZpY2VudGVdCkNsYXJvIHF1ZSB0aWVuZSBxdWUgdmVyLiBNdWNow61zaW1vLiBQb3JxdWUgYWhvcmEgbWlzbW8gdmFtb3MgYSBpciBhIGNvbnNlZ3VpciBlc2UgcG9kZXIgZGUgbGEgb3NjdXJpZGFkLgpUYW50byBlbCBzZcOxb3IgRHVtayBjb21vIHlvIHRlbmVtb3MgbGEgcG9sw610aWNhIGRlIGRhcmxlIHVuYSBvcG9ydHVuaWRhZCBhIGN1YWxxdWllciBtaWVtYnJvIGRlbCBncmVtaW8gcXVlIHRlbmdhIGVsIHBvdGVuY2lhbC4=
jyN4DA,,W1ZpY2VudGVdCkl0IHRvb2sgdXMgYSBsb25nIHRpbWUgdG8gcGljayBvbmUsCndoaWNoIGlzIHlvdS4KWW91IHNob3VsZCBnby4gQWNxdWlyaW5nIHRoZSBwb3dlciBvZiB0aGUgZGFyayBlbGVtZW50YWwgd2lsbCBiZW5lZml0IHlvdSBpbiBtb3JlIHdheXMgdGhhbiB5b3UgY2FuIGltYWdpbmUu,,,,,W1ZpY2VudGVdClNlbGVjaW9uZWkgY29tIGJhc3RhbnRlIGN1aWRhZG8uCk91IHNlamEsIHZvY8OqLgpFbnTDo28gdmFtb3MgbMOhLiBTZSBjb25zZWd1aXJtb3MgbyBwb2RlciBkbyBhYmlzbW8sIGlzc28gc8OzIHZhaSB0ZSB0cmF6ZXIgYmVuZWbDrWNpb3MsIG7Do28gdmFpIHRlIHByZWp1ZGljYXIu,,W1ZpY2VudGVdClRlIHNlbGVjY2lvbsOpIGRlc3B1w6lzIGRlIHBlbnNhcmxvIG11Y2hvLgpNZSByZWZpZXJvIGEgdGkuCkFzw60gcXVlIHZhbW9zLiBTaSBjb25zZWd1aW1vcyBlbCBwb2RlciBkZSBsYSBvc2N1cmlkYWQsIHRlIGJlbmVmaWNpYXLDoSwgbm8gdGUgcGVyanVkaWNhcsOhLg==
kCN4DA,,W1ZpY2VudGVdCkkndmUgcmVjZWl2ZWQgc29tZSBicmllZiBpbmZvcm1hdGlvbiBhYm91dCB0aGUgZGFyayBlbGVtZW50YWwuIEl0cyB0cmFjZXMgaGF2ZSBiZWVuIGZvdW5kIGluIHR3byBkaWZmZXJlbnQgbG9jYXRpb25zLg==,,,,,W1ZpY2VudGVdClJlY2ViaSBpbmZvcm1hw6fDtWVzIGdlcmFpcyBzb2JyZSBvIEVsZW1lbnRhbCBTb21icmlvLCBtYXMgaMOhIGRvaXMgbG9jYWlzIG9uZGUgZm9yYW0gZW5jb250cmFkb3MgdmVzdMOtZ2lvcyBkZWxlLg==,,W1ZpY2VudGVdCk1lIGhhbiBwYXNhZG8gaW5mb3JtYWNpw7NuIGdlbmVyYWwgc29icmUgZWwgZXNww61yaXR1IGRlIGxhIG9zY3VyaWRhZCwgcGVybyBlcyBxdWUgc2UgaGFuIGVuY29udHJhZG8gcmFzdHJvcyBkZSDDqWwgZW4gZG9zIGx1Z2FyZXMgZGlzdGludG9zLg==
kSN4DA,,W1ZpY2VudGVdClRoZSBBc3Nhc3NpbiBHdWlsZCB3aWxsIGludmVzdGlnYXRlIG9uZSBvZiB0aGVtLiBXZSdsbCBpbnZlc3RpZ2F0ZSB0aGUgdHJhY2UgZm91bmQgb24gUmFjaGVsJ3Mgc2lkZS4=,,,,,W1ZpY2VudGVdCkRlY2lkaW1vcyBxdWUgYSBHdWlsZGEgZG9zIFNpY8OhcmlvcyBpbnZlc3RpZ2FyaWEgdW0gZGVsZXMsIGUgbsOzcyBmaWNhcsOtYW1vcyBjb20gbyB2ZXN0w61naW8gZW5jb250cmFkbyBlbSBSYWNoZWwu,,W1ZpY2VudGVdCkhlbW9zIGRlY2lkaWRvIHF1ZSBlbCBHcmVtaW8gZGUgQXNlc2lub3MgaW52ZXN0aWd1ZSB1bm8gZGUgZWxsb3MsIHkgbm9zb3Ryb3Mgbm9zIGVuY2FyZ2FyZW1vcyBkZWwgcmFzdHJvIHF1ZSBzZSBlbmNvbnRyw7MgcG9yIGVsIGxhZG8gZGUgUmFoZWwu
kiN4DA,,SSdsbCBoYW5kbGUgdGhlIGludmVzdGlnYXRpb24/,,,,,QSBpbnZlc3RpZ2HDp8OjbyBmaWNhIHBvciBtaW5oYSBjb250YT8=,,wr9MYSBpbnZlc3RpZ2FjacOzbiBsYSBoYWdvIHlvPw==
kyN4DA,,W1ZpY2VudGVdCkFjY29yZGluZyB0byBNYXlzc2VsLCB0aGUgZGFyayBlbGVtZW50YWwgaGFzIGEgc29mdCBzcG90IGZvciBodW1hbnMgd2hvIGFyZSBraW5kIHRvIHRoZW0uClN1cmUsIGl0J2xsIG1ha2UgdGhpbmdzIGVhc2llciBpZiB5b3UgY2FuIGFsc28gY2hlY2sgUmFjaGVsLg==,,,,,W1ZpY2VudGVdClNlZ3VuZG8gYSBzZW5ob3JpdGEgTWF5c3NlbCwgbyBFbGVtZW50YWwgU29tYnJpbyDDqSwgZGUgY2VydGEgZm9ybWEsIHNlbnPDrXZlbCBjb20gaHVtYW5vcyBxdWUgc8OjbyBnZW50aXMgY29tIGVsZS4KU2Ugdm9jw6ogc2Ugb2ZlcmVjZXIgcGFyYSBpbnZlc3RpZ2FyIGVtIFJhY2hlbCwgdmFpIG5vcyBhanVkYXIgbXVpdG8h,,W1ZpY2VudGVdClNlZ8O6biBsbyBxdWUgZGljZSBsYSBzZcOxb3JpdGEgTWVpc2VsLCBlbCBlc3DDrXJpdHUgZGUgbGEgb3NjdXJpZGFkIGVzIGJhc3RhbnRlIHNlbnNpYmxlIHkgdHJhdGEgYmllbiBhIGxvcyBodW1hbm9zIHF1ZSBsZSBoYW4gbW9zdHJhZG8gYW1hYmlsaWRhZC4KU2kgdGUgZW5jYXJnYXMgZGVzZGUgZWwgcHJpbmNpcGlvLCBsYXMgY29zYXMgc2Vyw6FuIG3DoXMgZsOhY2lsZXMu
lCN4DA,,W1ZpY2VudGVdCklmIHlvdSBzdWNjZXNzZnVsbHkgYWNxdWlyZSB0aGUgZGFyayBwb3dlciwgd2UnbGwgZ3JhbnQgeW91IHRoZSBuZXcgcmFuayBeNEQ0REZGQWJ5c3MgQ2hhc2VyXjAwMDAwMC4=,,,,,W1ZpY2VudGVdClNlIHZvY8OqIGNvbnNlZ3VpciBvYnRlciBvIFBvZGVyIGRvIEFiaXNtbyBjb20gc3VjZXNzbywgY3JpYXJlbW9zIHVtYSBub3ZhIGNsYXNzZSBjaGFtYWRhIF40RDRERkZNYW5kcmFxdWVeMDAwMDAwLg==,,W1ZpY2VudGVdClNpIGNvbnNpZ3VlcyBoYWNlcnRlIGNvbiBlbCBwb2RlciBkZSBsYSBvc2N1cmlkYWQsIHRlbmVtb3MgcHJldmlzdG8gY3JlYXIgdW4gbnVldm8gcmFuZ28gbGxhbWFkbyBeNEQ0REZGUGVyc2VndWlkb3IgQWJpc2FsXjAwMDAwMC4=
lSN4DA,,QWJ5c3MgQ2hhc2VyIQ==,,,,,TWFuZHJhcXVlPyE=,,wqFQZXJzZWd1aWRvciBBYmlzYWwh
liN4DA,,W1ZpY2VudGVdClRoYXQncyByaWdodC4gRG9vbWsgaGFzIGFscmVhZHkgZ29uZSB0byBjcmFmdCB5b3VyIG5ldyB1bmlmb3JtLiBJbiB0aGUgbWVhbnRpbWUsIHdlIHNob3VsZCBnYXRoZXIgaW5mb3JtYXRpb24gYW5kIGxvb2sgZm9yIHRoZSBkYXJrIGVsZW1lbnRhbC4=,,,,,W1ZpY2VudGVdCklzc28gbWVzbW8uIE8gc2VuaG9yIER1bWsgasOhIGZvaSBwcmVwYXJhciBvcyBub3ZvcyB1bmlmb3JtZXMuIEVucXVhbnRvIGlzc28sIHZhbW9zIGNvbGV0YXIgaW5mb3JtYcOnw7VlcyBlIHByb2N1cmFyIHBlbG8gRWxlbWVudGFsIFNvbWJyaW8u,,W1ZpY2VudGVdClPDrS4gRHVtayB5YSBzZSBmdWUgYSBjb25mZWNjaW9uYXIgZWwgdHJhamUuIE1pZW50cmFzIHRhbnRvLCBub3NvdHJvcyByZWNhYmFtb3MgaW5mb3JtYWNpw7NuIHkgYnVzY2Ftb3MgYWwgZXNww61yaXR1IGRlIGxhIG9zY3VyaWRhZC4=
lyN4DA,,W1ZpY2VudGVdClRoZSBkYXJrIGVsZW1lbnRhbCBjYW4ndCBoaWRlIGZyb20gaW5ub2NlbnQgc291bHMgbGlrZSBjaGlsZHJlbi4KU29tZW9uZSBpbiBSYWNoZWwgaGFzIHNlZW4gdGhlbS4KUGxlYXNlIGdvIHRhbGsgdG8gdGhpcyBnaXJsLCBeNEQ0REZGSnVsaWVeMDAwMDAwLCBpbiB0aGUgXjRENERGRm1hcmtldCBkaXN0cmljdCBvbiB0aGUgc291dGh3ZXN0IHNpZGVeMDAwMDAwLg==,,,,,W1ZpY2VudGVdCkRpemVtIHF1ZSBvIEVsZW1lbnRhbCBTb21icmlvIGNvc3R1bWEgYXBhcmVjZXIgcGFyYSBjcmlhbsOnYXMgaW5vY2VudGVzLgpUZW1vcyByZWxhdG9zIGRlIGF2aXN0YW1lbnRvcyBlbSBSYWNoZWwuClBvciBmYXZvciwgdsOhIGF0w6kgbyBeNEQ0REZGYmVjbyBhbyBzdWxeMDAwMDAwIGUgY29udmVyc2UgY29tIHVtYSBtZW5pbmEgY2hhbWFkYSBeNEQ0REZGSnVsaWVeMDAwMDAwLg==,,W1ZpY2VudGVdCkRpY2VuIHF1ZSBlbCBlc3DDrXJpdHUgZGUgbGEgb3NjdXJpZGFkIHNlIGxlIGFwYXJlY2UgYSBsb3MgbmnDsW9zIGlub2NlbnRlcy4KSGF5IHVuIGF2aXN0YW1pZW50byBlbiBSYWhlbC4KVmUgYWwgXjRENERGRmNhbGxlasOzbiBkZWwgbWVyY2FkbyBkZWwgc3Vyb2VzdGVeMDAwMDAwIHkgaGFibGEgY29uIHVuYSBuacOxYSBsbGFtYWRhIF40RDRERkZKdWxpZV4wMDAwMDAu
mCN4DA,,W1ZpY2VudGVdCkRpZCB5b3UgZ28/IFdhcyB0aGUgaW5mb3JtYXRpb24gY29ycmVjdD8=,,,,,W1ZpY2VudGVdCkrDoSB2b2x0b3U/IEEgaW5mb3JtYcOnw6NvIGVzdGF2YSBjb3JyZXRhPw==,,W1ZpY2VudGVdCsK/WWEgdm9sdmlzdGU/IMK/TGEgaW5mb3JtYWNpw7NuIGVyYSBjb3JyZWN0YT8=
mSN4DA,,W1ZpY2VudGVdCk9vaC4gU28geW91IGhlYXJkIHRoZSB2b2ljZSBvZiBhIHNoYWRvdyB0aGF0IHRoZSBraWRzIGNhbGxlZCBhIGZhaXJ5LgpTbywgdGhlIEFzc2Fzc2luIEd1aWxkJ3MgaW5mb3JtYXRpb24gd2FzIGNvcnJlY3Qu,,,,,W1ZpY2VudGVdClVhdS4gRW50w6NvIHZvY8OqIG91dml1IGEgdm96IGRhIFNvbWJyYSBxdWUgYXMgY3JpYW7Dp2FzIGNoYW1hbSBkZSBmYWRhLgpBIGluZm9ybWHDp8OjbyBmb3JuZWNpZGEgcGVsYSBHdWlsZGEgZG9zIFNpY8OhcmlvcyBlc3RhdmEgY29ycmV0YSBtZXNtby4=,,W1ZpY2VudGVdClZheWEuIEFzw60gcXVlIG/DrXN0ZSBsYSB2b3ogZGUgdW5hIHNvbWJyYSBhIGxhIHF1ZSBsb3MgbmnDsW9zIGxsYW1hbiDCq2VzcMOtcml0dcK7LgpMYSBpbmZvcm1hY2nDs24gcXVlIG5vcyBkaW8gZWwgR3JlbWlvIGRlIEFzZXNpbm9zIGVyYSBjb3JyZWN0YSwgYWwgZmluIHkgYWwgY2Fiby4=
miN4DA,,W1ZpY2VudGVdCkFuIG9iamVjdCBzdXN0YWluZWQgd2l0aCBkYXJrIGVuZXJneS4uLgpUaGF0IHJlbWluZHMgbWUsIHRoZSBBc3Nhc3NpbiBHdWlsZCBzYWlkIHRoZSBjaGlsZHJlbiB3aG8gZGlzY292ZXJlZCBpdCBmb3IgdGhlIGZpcnN0IHRpbWUgd2VyZSBwbGF5aW5nIHdpdGggYSBydW5lIG9mIGRhcmtuZXNzIGF0IHRoYXQgdGltZS4=,,,,,W1ZpY2VudGVdClVtIGl0ZW0gcXVlIGNvbnTDqW0gYSBlbmVyZ2lhIGRhcyBzb21icmFzLi4uPwpTZWd1bmRvIGEgR3VpbGRhIGRvcyBTaWPDoXJpb3MsIGFzIGNyaWFuw6dhcyBxdWUgbyBlbmNvbnRyYXJhbSBwZWxhIHByaW1laXJhIHZleiBlc3RhdmFtIGJyaW5jYW5kbyBjb20gdW0gRnJhZ21lbnRvIFNvbWJyaW8u,,W1ZpY2VudGVdClVuIG9iamV0byBxdWUgY29udGllbmUgZWwgcG9kZXIgZGUgbGEgb3NjdXJpZGFkLi4uCkJ1ZW5vLCBlbiBsYSBpbmZvcm1hY2nDs24gcXVlIGNvbXBhcnRpw7MgZWwgR3JlbWlvIGRlIEFzZXNpbm9zIHNlIG1lbmNpb25hYmEgcXVlIGxvcyBuacOxb3MgcXVlIGxvIGRlc2N1YnJpZXJvbiBwb3IgcHJpbWVyYSB2ZXogbG8gaW52b2Nhcm9uIG1pZW50cmFzIGp1Z2FiYW4gY29uIHJ1bmFzIGRlIGxhIG9zY3VyaWRhZC4=
