QEhbCA,,U2llcnJh,,,,,U2llcnJh,,U2llcnJh
WUhbCA,,W1NpZXJyYV0KT2YgY291cnNlLiBZb3UgbWV0IFJhZ2UsIGRpZCB5b3Ugbm90PwpJLCB0b28sIGFtIGEgcmVzZWFyY2hlciBhZmZpbGlhdGVkIHdpdGggXjAwMDBDRFNlY3JldCBXaW5nc14wMDAwMDAu,,,,,W1NpZXJyYV0Kw4kgY2xhcm8uIFZvY8OqIG7Do28gw6kgY29sZWdhIGRlIE5hbGFuZHJvPwpFdSBzb3UgZGEgXjAwMDBDRFZlbnRvIFNlY3JldG9eMDAwMDAwIHRhbWLDqW0u,,W1NpZXJyYV0KUG9yIHN1cHVlc3RvLiAKU2UgcmV1bmnDsyBjb24gTGF6eSwgwr92ZXJkYWQ/CllvIHRhbWJpw6luIHNveSBpbnZlc3RpZ2Fkb3JhIGRlIF4wMDAwQ0RWaWVudG8gU2VjcmV0b14wMDAwMDAu
WkhbCA,,U2llcnJhOiBZb3UgbXVzdCBoYXZlIGhhZCBxdWl0ZSBhIGhhcmQgdGltZSB3b3JraW5nIHdpdGggc3VjaCBhIHN0cm9uZy13aWxsZWQgYWdlbnQu,,,,,U2llcnJhOiBFdSBpbWFnaW5vIGEgZGlmaWN1bGRhZGUgZGUgdHJhYmFsaGFyIE5hbGFuZHJvLg==,,U2llcnJhOiBIYSBkZWJpZG8gZGUgc2VyIGRpZsOtY2lsIHRyYWJhamFyIGNvbiB1biBhZ2VudGUgZGUgdW5hIHBlcnNvbmFsaWRhZCB0YW4gZnVlcnRlLg==
W0hbCA,,W1NpZXJyYV0KSXQgc2VlbXMgTGF6eSB0aG91Z2h0IGhpZ2hseSBvZiB5b3UuCkl0IHdhcyB0aGUgZmlyc3QgdGltZSBoZSBwcmFpc2VkIHNvbWVvbmUgc28gbXVjaCB3aGlsZSBpbnRyb2R1Y2luZyBhIGNvbGxhYm9yYXRvciB0byBtZS4=,,,,,W1NpZXJyYV0KRWxlIHBhcmVjZSB0ZXIgdW0gYXByZcOnbyBjb20gdm9jw6ouCk51bmNhIG8gdmkgZmFsYXIgdMOjbyBiZW0gZGUgdW1hIHBlc3NvYS4=,,W1NpZXJyYV0KUGFyZWNlIHF1ZSBMYXp5IHRlbsOtYSB1bmEgb3BpbmnDs24gbXV5IGZhdm9yYWJsZSBkZSB1c3RlZC4KRXMgbGEgcHJpbWVyYSB2ZXogcXVlIG1lIHJlY29taWVuZGEgYSB1biBjb2xhYm9yYWRvciBlbG9nacOhbmRvbG8gZGUgZXNhIG1hbmVyYS4=
XEhbCA,,W1NpZXJyYV0KWW91IG11c3QgaGF2ZSB3b3JrZWQgd2l0aCBHYWxzdGVpbiBiZWZvcmUuCkksIHRvbywgYW0gYSByZXNlYXJjaGVyIGFmZmlsaWF0ZWQgd2l0aCBeMDAwMENEU2VjcmV0IFdpbmdzXjAwMDAwMC4=,,,,,W1NpZXJyYV0KVm9jw6ogasOhIHRyYWJhbGhvdSBwYXJhIEdoYWxzdGVpbiwgbsOjbyDDqT8KRXUgc291IGRhIF4wMDAwQ0RWZW50byBTZWNyZXRvXjAwMDAwMCB0YW1iw6ltLg==,,W1NpZXJyYV0KU3Vwb25nbyBxdWUgZW4gZWwgcGFzYWRvIHRyYWJhasOzIGNvbiBHYWxzdGVpbi4KWW8gdGFtYmnDqW4gc295IGludmVzdGlnYWRvcmEgZGUgXjAwMDBDRFZpZW50byBTZWNyZXRvXjAwMDAwMC4=
XUhbCA,,W1NpZXJyYV0KTWFueSB0aGluZ3MgaGF2ZSBoYXBwZW5lZCwgYnV0IGl0IHNlZW1zIEhpcyBFeGNlbGxlbmN5IHRoZSBQcmVzaWRlbnQgdGhpbmtzIGhpZ2hseSBvZiB7MH0u,,,,,W1NpZXJyYV0KTXVpdGFzIGNvaXNhcyBhY29udGVjZXJhbSBkZXNkZSBlbnTDo28sIGUgbyBQcmVzaWRlbnRlIGZpY291IGltcHJlc3Npb25hZG8gY29tIHZvY8OqLCB7MH0u,,W1NpZXJyYV0KSGFuIG9jdXJyaWRvIG11Y2hhcyBjb3NhcywgcGVybyBwYXJlY2UgcXVlIFN1IEV4Y2VsZW5jaWEgZWwgUHJlc2lkZW50ZSB0aWVuZSB1bmEgYnVlbmEgb3BpbmnDs24gZGUgezB9Lg==
XkhbCA,,W1NpZXJyYV0KSGF2ZSB5b3Ugbm90IGJ1aWx0IHVwIG1hbnkgYWNoaWV2ZW1lbnRzIGluIHZhcmlvdXMgcGxhY2VzPwpJdCB3b3VsZCBiZSBkaWZmaWN1bHQgZm9yIHNvbWVvbmUgbGlrZSBtZSBub3QgdG8ga25vdy4=,,,,,W1NpZXJyYV0KVm9jw6ogZmV6IGNvaXNhcyBleHRyYW9yZGluw6FyaWFzIHF1ZSBhdW1lbnRhcmFtIHN1YSBmYW1hLgrDiSBpbXBvc3PDrXZlbCBuw6NvIHRlIHJlY29uaGVjZXIu,,W1NpZXJyYV0Kwr9BY2FzbyBubyBoYSBhY3VtdWxhZG8gZ3JhbmRlcyBsb2dyb3MgZW4gbXVjaG9zIGx1Z2FyZXM/CkEgYWxndWllbiBjb21vIHlvIGxlIHNlcsOtYSBkaWbDrWNpbCBubyBzYWJlcmxvLg==
X0hbCA,,W1NpZXJyYV0KSSBhbSBhIHJlc2VhcmNoZXIgYWZmaWxpYXRlZCB3aXRoIF4wMDAwQ0RTZWNyZXQgV2luZ3NeMDAwMDAwLCBhbiBvcmdhbml6YXRpb24gZGlyZWN0bHkgdW5kZXIgdGhlIFByZXNpZGVudCBvZiB0aGUgUmVwdWJsaWMgb2YgU2Nod2FyendhbGQuCldlIHNlYXJjaGVkIG1hbnkgcGVvcGxlIGZvciB0aGlzIG1hdHRlciwgYnV0IHRoZSBhbmFseXNpcyBzaG93ZWQgdGhhdCBubyBvbmUgd2FzIGFzIHN1aXRhYmxlIGFzIHswfS4=,,,,,W1NpZXJyYV0KRXUgc291IHVtYSBwZXNxdWlzYWRvcmEgZGEgXjAwMDBDRFZlbnRvIFNlY3JldG9eMDAwMDAwLCB1bWEgb3JnYW5pemHDp8OjbyBjb21hbmRhZGEgcGVsbyBQcmVzaWRlbnRlIGRhIFJlcMO6YmxpY2EgZGUgU2Nod2FydHp3YWxkLgpEZSB0b2RhcyBhcyBwZXNzb2FzIHF1ZSBlbnRyZXZpc3RlaSBlIHBlc3F1aXNlaSwgdm9jw6ogZXJhIGEgbWVsaG9yIGVzY29saGEsIHswfS4=,,W1NpZXJyYV0KU295IGludmVzdGlnYWRvcmEgZGUgXjAwMDBDRFZpZW50byBTZWNyZXRvXjAwMDAwMCwgdW5hIGFnZW5jaWEgc3Vib3JkaW5hZGEgZGlyZWN0YW1lbnRlIGFsIFByZXNpZGVudGUgZGUgbGEgUmVww7pibGljYSBkZSBTY2h3YXJ0enZhbGQuCkhlIGJ1c2NhZG8gYSBtdWNoYXMgcGVyc29uYXMgcGFyYSBlc3RlIGFzdW50bywgcGVybyBzZWfDum4gbG9zIGFuw6FsaXNpcyBubyBoYXkgbmFkaWUgdGFuIGFkZWN1YWRvIGNvbW8gezB9Lg==
YEhbCA,,W1NpZXJyYV0KSSBhbSBnbGFkIGEgZGVwZW5kYWJsZSBwZXJzb24gaGFzIGNvbWUuCkxldCBtZSBleHBsYWluIHRoZSByZXF1ZXN0Lg==,,,,,W1NpZXJyYV0KRXUgZXN0b3UgbXVpdG8gZmVsaXogcXVlIHZvY8OqIGVzdMOhIGFxdWkuCkRlaXhlLW1lIGV4cGxpY2FyIG8gcHJvamV0byBwYXJhIHZvY8OqLg==,,W1NpZXJyYV0KTWUgYWxlZ3JhIHF1ZSBoYXlhIHZlbmlkbyBhbGd1aWVuIHRhbiBmaWFibGUuClBlcm3DrXRhbWUgZXhwbGljYXJsZSBlbCBlbmNhcmdvLg==
YUhbCA,,W1NpZXJyYV0KU2VjcmV0IFdpbmdzIGlzIGEgXjAwMDBDRHNlY3JldCBpbnRlbGxpZ2VuY2UgYWdlbmN5XjAwMDAwMCB0aGF0IHdvcmtzIGZvciB0aGUgUHJlc2lkZW50LgpZb3UgYXJlIHRoaW5raW5nIHRoYXQsIGZvciBhbiBpbnRlbGxpZ2VuY2UgYWdlbmN5LCBJIGFtIHJldmVhbGluZyBteSBpZGVudGl0eSByYXRoZXIgdG9vIGVhc2lseSByaWdodCBub3csIGFyZSB5b3Ugbm90Pw==,,,,,W1NpZXJyYV0KQSBWZW50byBTZWNyZXRvIMOpIHVtYSBeMDAwMENEQWfDqm5jaWEgU2VjcmV0YSBkZSBJbnZlc3RpZ2HDp8Ojb14wMDAwMDAgcXVlIHRyYWJhbGhhIHBhcmEgbyBQcmVzaWRlbnRlLgpBZ29yYSB2b2PDqiBkZXZlIGVzdGFyIHBlbnNhbmRvIHF1ZSBmYWxhciBpc3NvIGFiZXJ0YW1lbnRlIG7Do28gcGFyZWNlIHNlciB0w6NvIHNlY3JldG8gYXNzaW0u,,W1NpZXJyYV0KVmllbnRvIFNlY3JldG8gZXMgdW5hIF4wMDAwQ0RhZ2VuY2lhIHNlY3JldGEgZGUgaW50ZWxpZ2VuY2lhXjAwMDAwMCBxdWUgdHJhYmFqYSBwYXJhIGVsIFByZXNpZGVudGUuCkFob3JhIG1pc21vIGVzdGFyw6EgcGVuc2FuZG8gcXVlLCBwYXJhIHNlciB1bmEgYWdlbmNpYSBkZSBpbnRlbGlnZW5jaWEsIHJldmVsYW1vcyBudWVzdHJhIGlkZW50aWRhZCBjb24gZGVtYXNpYWRhIGZhY2lsaWRhZCwgwr92ZXJkYWQ/
YkhbCA,,W1NpZXJyYV0KQmVmb3JlIEkgcmV2ZWFsZWQgbXlzZWxmIGxpa2UgdGhpcywgdGhlcmUgd2VyZSBtb3JlIGNvbnNpZGVyYXRpb25zIHRoYW4geW91IG1pZ2h0IHRoaW5rLCB7MH0u,,,,,W1NpZXJyYV0KTXVpdGFzIGNvaXNhcyBmb3JhbSBsZXZhZGFzIGVtIGNvbnNpZGVyYcOnw6NvIHBhcmEgaW5mb3JtYXIgaXNzbyBwYXJhIHZvY8OqLCB7MH0u,,W1NpZXJyYV0KQW50ZXMgZGUgcHJlc2VudGFybWUgYXPDrSBhbnRlIHVzdGVkLCBodWJvIG3DoXMgY29uc2lkZXJhY2lvbmVzIGRlIGxhcyBxdWUgaW1hZ2luYSwgezB9Lg==
Y0hbCA,,W1NpZXJyYV0KV2UgaGFuZGxlZCBpbmZvcm1hdGlvbiB0byBwcm90ZWN0IHRoZSByZXB1YmxpYyBhbmQgdGhlIFByZXNpZGVudCBhZ2FpbnN0IGNvcnBvcmF0aW9ucyB3aWVsZGluZyB1bmltYWdpbmFibGUgcG93ZXIu,,,,,W1NpZXJyYV0KTsOzcywgZGEgVmVudG8gU2VjcmV0bywgY29zdHVtw6F2YW1vcyBjb2xldGFyIGluZm9ybWHDp8O1ZXMgZGEgQ29ycG9yYcOnw6NvIHBhcmEgcHJvdGVnZXIgbyBQcmVzaWRlbnRlIGUgYSBSZXDDumJsaWNhLg==,,W1NpZXJyYV0KTm9zIG9jdXDDoWJhbW9zIGRlIGxhIGluZm9ybWFjacOzbiBwYXJhIHByb3RlZ2VyIGxhIHJlcMO6YmxpY2EgeSBhbCBQcmVzaWRlbnRlIGZyZW50ZSBhIGNvcnBvcmFjaW9uZXMgcXVlIGVqZXJjw61hbiB1biBwb2RlciBpbmltYWdpbmFibGUu
ZEhbCA,,W1NpZXJyYV0KVGhhdCB3YXMgYmVmb3JlIG91ciBjb3Vyc2UgY2hhbmdlZCBkdWUgdG8gc2V2ZXJhbCBpbmNpZGVudHMu,,,,,W1NpZXJyYV0KUG9yw6ltLCBub3Nzb3Mgb2JqZXRpdm9zIG11ZGFyYW0gcG9yIGNvbnRhIGRlIGFsZ3VucyBhY29udGVjaW1lbnRvcyByZWNlbnRlcy4=,,W1NpZXJyYV0KQWwgbWVub3MsIGhhc3RhIHF1ZSB2YXJpb3MgaW5jaWRlbnRlcyBjYW1iaWFyb24gbnVlc3RybyBydW1iby4=
