QOvSAQ,,R3Jhbm55,,,,,Vm92w7M=,,QWJ1ZWxh
S+vSAQ,,QmxhY2tzbWl0aA==,,,,,RmVycmVpcm8=,,SGVycmVybw==
TOvSAQ,,W0JsYWNrc21pdGhdCkknbSB0aGUgYmVzdCBibGFja3NtaXRoISBEaWQgeW91IGtub3cgdGhhdD8KSSd2ZSBiZWVuIHdvcmtpbmcgZm9yIDMwIHllYXJzIGluIHRoaXMgaG90LCBibG9vZHkgaGVsbGZpcmUhCkkndmUgYmVlbiBhIGJsYWNrc21pdGggZm9yIG1hbnkgeWVhcnMsIGFuZCBJIGludmVudGVkIHNvbWV0aGluZyByZWFsbHkgaW5jcmVkaWJsZS4gV2FubmEga25vdyBhYm91dCBpdD8=,,,,,W0ZlcnJlaXJvXQpTb3UgbyBtZWxob3IgRmVycmVpcm8gcXVlIGV4aXN0ZSEgU2FiaWE/ClRyYWJhbGhvIGjDoSAzMCBhbm9zIG5lc3RlIGZvZ28gZG8gaW5mZXJubyBpbnN1cG9ydMOhdmVsIQpTb3UgdW0gRmVycmVpcm8gaMOhIG11aXRvcyBhbm9zLCBldSBpbnZlbnRlaSBhbGdvIGluY3LDrXZlbC4gUXVlciBzYWJlciBvIHF1ZSDDqT8=,,W0hlcnJlcm9dCsKhU295IGVsIG1lam9yIGhlcnJlcm8hIMK/TG8gc2Fiw61hcz8KwqFIZSBlc3RhZG8gdHJhYmFqYW5kbyBkdXJhbnRlIDMwIGHDsW9zIGVuIGVzdGUgaW5maWVybm8gY2FsaWVudGUgeSBzYW5ncmllbnRvIQpIZSBzaWRvIGhlcnJlcm8gZHVyYW50ZSBtdWNob3MgYcOxb3MsIGUgaW52ZW50w6kgYWxnbyByZWFsbWVudGUgaW5jcmXDrWJsZS4gwr9RdWllcmVzIHNhYmVybG8/
TevSAQ,,VGlw,,,,,U2lt,,Q29uc2Vqbw==
TuvSAQ,,Tm90IG11Y2ggaGVscCB0byBtZSB0aG91Z2guLi4=,,,,,QWNobyBxdWUgbsOjbyBtZSBhanVkYXJpYSBtdWl0by4uLg==,,QXVucXVlIGEgbcOtIG5vIG1lIHNpcnZlIGRlIG11Y2hvLi4u
T+vSAQ,,W0JsYWNrc21pdGhdCkJsYWNrc21pdGhzIG1lbHQgc3RlZWwgaW50byB2YXJpb3VzIG90aGVyIG1ldGFsIHByb2R1Y3RzIHVzaW5nIGluY3JlZGlibHkgaGlnaCB0ZW1wZXJhdHVyZXMuClNvIHdlIGhhdmUgdG8gZmFjZSB0aGUgaGVhdCBhbmQgbW9sdGVuIG1ldGFscyBhbGwgdGhlIHRpbWUuIE91ciBmYWNlcyBhcmUgYWxtb3N0IGJ1cm50IGFuZCB3ZSBldmVuIGdldCBpbmp1cmVkIHNvbWV0aW1lcy4gCkJ1dCB3aXRoIHRoaXMgbmV3IGl0ZW0sIHlvdSBoYXZlIG5vdGhpbmcgdG8gd29ycnkgYWJvdXQuIEludHJvZHVjaW5nLi4uIF4zMzU1RkYnV2VsZGluZyBNYXNrJ14wMDAwMDAhISEhIQ==,,,,,W0ZlcnJlaXJvXQpDb21vIGZlcnJlaXJvcywgbsOzcyBkZXJyZXRlbW9zIHByb2R1dG9zIG1ldMOhbGljb3MgYSB1bWEgYWx0YSB0ZW1wZXJhdHVyYS4KQXNzaW0gdGVtb3MgcXVlIGVuY2FyYXIgbyBjYWxvciBlIG1ldGFpcyBsw61xdWlkb3MgdG9kYSBob3JhLCBub3Nzb3Mgcm9zdG9zIHZpdmVtIHNlbXByZSBxdWVpbWFkb3MgZSBtYWNodWNhZG9zLi4uCk1hcyBjb20gZXNzZSBpdGVtLi4uIFZvY8OqIG7Do28gcHJlY2lzYSBzZSBwcmVvY3VwYXIuIFRlIGFwcmVzZW50byBeMzM1NUZGJ03DoXNjYXJhIGRlIFNvbGRhJ14wMDAwMDAgISE=,,W0hlcnJlcm9dCkxvcyBoZXJyZXJvcyBmdW5kZW4gZWwgYWNlcm8gZW4gb3Ryb3MgcHJvZHVjdG9zIG1ldMOhbGljb3MgYSB0ZW1wZXJhdHVyYXMgaW5jcmXDrWJsZW1lbnRlIGFsdGFzLgpQb3IgZXNvIG5vcyBlbmZyZW50YW1vcyBjb250aW51YW1lbnRlIGFsIGNhbG9yIHkgYSBsb3MgbWV0YWxlcyBmdW5kaWRvcy4gQ2FzaSBub3MgcXVlbWFtb3MgbGEgY2FyYSB5IGEgdmVjZXMgaW5jbHVzbyBub3MgbGVzaW9uYW1vcy4gClBlcm8gY29uIGVzdGUgbnVldm8gYXJ0w61jdWxvLCBubyB0aWVuZXMgZGUgcXXDqSBwcmVvY3VwYXJ0ZS4gUHJlc2VudGFtb3MuLi4gwqHCocKhwqHCoV4zMzU1RkYnTcOhc2NhcmEgZGUgU29sZGFkdXJhJ14wMDAwMDAhISEhIQ==
UOvSAQ,,W0JsYWNrc21pdGhdCkl0IHByb3RlY3RzIHlvdXIgZmFjZSBmcm9tIHRoZSBidXJuaW5nIGhlYXQuClRoaXMgaXMgc3VjaCBhbiBpbi1kZW1hbmQgaXRlbSEKU28/IElmIHlvdSBnaXZlIG1lICBeMjI0NEZGJzUwIFN0ZWVscydeMDAwMDAwIGFuZCBeNDQyMkZGMjAwMCBaZW55XjAwMDAwMCwgSSB3aWxsIG1ha2Ugb25lIGZvciB5b3UgcmlnaHQgYXdheSE=,,,,,W0ZlcnJlaXJvXQpQcm90ZWdlIHNldSByb3N0byBkbyBjYWxvci4KRXN0ZSDDqSBvIGl0ZW0gbWFpcyBwcm9jdXJhZG8gcGVsYXMgcGVzc29hcyEKUXVlIHRhbD8gU2UgbWUgZGVyIF4yMjQ0RkYnNTAgQcOnb3MnXjAwMDAwMCBlIF40NDIyRkYyMDAwIFplbnleMDAwMDAwLCBGYXJlaSB1bWEgcGFyYSB2b2PDqiBpbWVkaWF0YW1lbnRlIQ==,,W0hlcnJlcm9dClByb3RlZ2UgdHUgY2FyYSBkZWwgY2Fsb3IgYWJyYXNhZG9yLgrCoUVzIHVuIGFydMOtY3VsbyBtdXkgZGVtYW5kYWRvIQrCv1kgcXXDqT8gU2kgbWUgZGFzIF4yMjQ0RkYnNTAgQWNlcm9zJ14wMDAwMDAgeSBeNDQyMkZGMjAwMCBaZW55XjAwMDAwMCwgwqF0ZSBoYXLDqSB1bm8gYWhvcmEgbWlzbW8h
UevSAQ,,Tm90IGJhZCEgSSB3aWxsIHRha2Ugb25lLg==,,,,,TmFkYSBtYWwhIEV1IHF1ZXJvIHVtYS4=,,Tm8gZXN0w6EgbWFsLiBNZSBsbGV2YXLDqSB1bm8u
UuvSAQ,,SXQgZG9lc24ndCBzZWVtIHVzZWZ1bC4=,,,,,TsOjbyBtZSBwYXJlY2UgbXVpdG8gw7p0aWwu,,Tm8gcGFyZWNlIMO6dGlsLg==
U+vSAQ,,QmxhY2tzbWl0aApHcmVhdCEgSSdsbCBkbyBpdCByaWdodCBub3chIQ==,,,,,W0ZlcnJlaXJvXQrDk3RpbW8hIEZhcmVpIGFnb3JhIG1lc21vISE=,,SGVycmVybwrCocKhwqFHZW5pYWwhISEgwqHCoUxvIGhhcsOpIGFob3JhIG1pc21vISE=
VOvSAQ,,W0JsYWNrc21pdGhdCldlbGwuLi5lbmpveSB0aGUgaGVhdCEKR29vZGJ5ZS4uLg==,,,,,W0ZlcnJlaXJvXQpBZ29yYSBwb2RlIHRyYWJhbGhhciBubyBjYWxvciEKVGNoYXUuLi4=,,W0hlcnJlcm9dCkJ1ZW5vLi4uIMKhZGlzZnJ1dGEgZGVsIGNhbG9yIQpBZGnDs3MuLi4=
VevSAQ,,W0JsYWNrc21pdGhdCkxvb2shIFlvdSBkb24ndCBoYXZlIGVub3VnaCBzdGVlbCBhbmQgWmVueS4gSSBjYW4ndCBkbyBpdCEKRG8geW91IGtub3cgbXVjaCBhYm91dCBhbGNoZW15PyBZb3UgbmVlZCBpdCByaWdodCBub3chCkZpbmQgc3RlZWwgYW5kIFplbnkgcXVpY2tseSwgdGhlbiB5b3UgY2FuIGRvIHNvbWUgYWxjaGVteS4=,,,,,W0ZlcnJlaXJvXQpPbGhhISBOw6NvIHBvc3NvIGZhemVyIHNlIHZvY8OqIG7Do28gdGl2ZXIgYcOnbyBlIHplbnkgbyBzdWZpY2llbnRlIQpWb2PDqiBlbnRlbmRlIGRlIGFscXVpbWlhPyDDiSBvIHF1ZSB2b2PDqiBwcmVjaXNhIQpBY2hlIGHDp28gZSB6ZW55IHBhcmEgcG9kZXIgZmF6ZXIgYWxxdWltaWEu,,W0hlcnJlcm9dCsKhTWlyYSEgTm8gdGllbmVzIHN1ZmljaWVudGUgYWNlcm8geSBaZW55LiDCoU5vIHB1ZWRvIGhhY2VybG8hCsK/U2FiZXMgbXVjaG8gZGUgYWxxdWltaWE/IMKhTGEgbmVjZXNpdGFzIGFob3JhIG1pc21vIQpFbmN1ZW50cmEgYWNlcm8geSBaZW55IHLDoXBpZGFtZW50ZSwgZW50b25jZXMgcG9kcsOhcyBoYWNlciBhbGdvIGRlIGFscXVpbWlhLg==
VuvSAQ,,W0JsYWNrc21pdGhdClVoLXVoLi4uIFlvdSBkb24ndCBrbm93IHdoYXQgeW91J3JlIG1pc3NpbmchCllvdW5nIG1hbiwgeW91IHNob3VsZCB0YWtlIGdvb2QgY2FyZSBvZiB5b3VyIGZhY2UgYmVmb3JlIGl0IHN0YXJ0cyBzaHJpbmtpbmcu,,,,,W0ZlcnJlaXJvXQpVaC11aC4uLiBOw6NvIHNhYmUgbyBxdWUgZXN0w6EgcGVyZGVuZG8hCk1ldSBqb3ZlbSwgdm9jw6ogZGV2ZSBjdWlkYXIgZGUgc2V1IHJvc3RvIGFudGVzIHF1ZSBlbGUgZmlxdWUgY2hlaW8gZGUgcnVnYXMu,,W0hlcnJlcm9dClVoLXVoLi4uIMKhTm8gc2FiZXMgbG8gcXVlIHRlIHBpZXJkZXMhCkpvdmVuY2l0bywgZGViZXLDrWFzIGN1aWRhciBiaWVuIHR1IGNhcmEgYW50ZXMgZGUgcXVlIGVtcGllY2UgYSBlbmNvZ2Vyc2Uu
V+vSAQ,,W0JsYWNrc21pdGhdCk5ldmVyIG1pbmQuLi4gSSdtIG5vdCBnb25uYSB3YXN0ZSBteSB0aW1lIHRhbGtpbmcgdG8geW91ISBMZWF2ZSBub3chIA==,,,,,W0ZlcnJlaXJvXQpEZWl4ZSBwcmEgbMOhLi4uIE7Do28gdm91IHBlcmRlciBtZXUgdGVtcG8gZmFsYW5kbyBjb20gdm9jw6ohIFbDoSBlbWJvcmEh,,W0hlcnJlcm9dCk5vIGltcG9ydGEuLi4gwqFObyB2b3kgYSBwZXJkZXIgbWkgdGllbXBvIGhhYmxhbmRvIGNvbnRpZ28hIMKhVmV0ZSB5YSEg
WOvSAQ,,TXlzdGljIGxhZHk=,,,,,U2VuaG9yYSBNw61zdGljYQ==,,RGFtYSBtw61zdGljYQ==
WevSAQ,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4uLgpNeSBmYW1pbHkgaGFzIGJlZW4gbWFraW5nIHNwZWNpYWwgd2ludGVyIF4zMzU1RkYnRWFyIE11ZmZzJ14wMDAwMDAgZm9yIG1hbnkgZ2VuZXJhdGlvbnMuLi4KVW5mb3J0dW5hdGVseSwgdGhlIHdlYXRoZXIgaXMgYWx3YXlzIHdhcm0gaGVyZS4gTm90IG1hbnkgcGVvcGxlIG5lZWQgb3IgY2FuIGV2ZW4gYWZmb3JkIHRvIGJ1eSBvdXIgcHJvZHVjdHMuLi4gCklmIHlvdSBwbGFuIHRvIGdvIHNvbWV3aGVyZSBjb2xkLCBJIHN1Z2dlc3QgeW91IGJ1eSBeMzM1NUZGJ0VhciBNdWZmcydeMDAwMDAwLi4u,,,,,W1NlbmhvcmEgTcOtc3RpY2FdCi4gLiAuIC4gLiAuCk1pbmhhIGZhbcOtbGlhIGZheiBvIF4zMzU1RkYnQXF1ZWNlZG9yIGRlIE9yZWxoYSdeMDAwMDAwIGVzcGVjaWFsIHBhcmEgbyBpbnZlcm5vIGjDoSBtdWl0YXMgZ2VyYcOnw7Vlcy4uLgpJbmZlbGl6bWVudGUgbyBjbGltYSDDqSBtdWl0byBxdWVudGUgYXF1aS4gU8OjbyBwb3VjYXMgYXMgcGVzc29hcyBxdWUgcHJlY2lzYW0gb3Ugc2UgZMOjbyBhbyB0cmFiYWxobyBkZSBjb21wcmFyIG5vc3NvcyBwcm9kdXRvcy4uLgpTZSBmb3IgYSBhbGd1bSBsdWdhciBmcmlvLiBTdWdpcm8gcXVlIGNvbXByZSB1bSBeMzM1NUZGJ0FxdWVjZWRvciBkZSBPcmVsaGEnXjAwMDAwMC4uLg==,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4uLgpNaSBmYW1pbGlhIGxsZXZhIG11Y2hhcyBnZW5lcmFjaW9uZXMgaGFjaWVuZG8gJydvcmVqZXJhcycnIGVzcGVjaWFsZXMgcGFyYSBlbCBpbnZpZXJuby4uLgpEZXNhZm9ydHVuYWRhbWVudGUsIGVsIGNsaW1hIHNpZW1wcmUgZXMgY8OhbGlkbyBhcXXDrS4gTm8gbXVjaGEgZ2VudGUgbmVjZXNpdGEgbyBwdWVkZSBwZXJtaXRpcnNlIGNvbXByYXIgbnVlc3Ryb3MgcHJvZHVjdG9zLi4uIApTaSBwbGFuZWEgaXIgYSBhbGfDum4gbHVnYXIgZnLDrW8sIGxlIHN1Z2llcm8gcXVlIGNvbXByZSBeMzM1NUZGJ09yZWplcmFzJ14wMDAwMDAuLi4=
WuvSAQ,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4uLgpNeSBmYW1pbHkgaXMgZmFtb3VzIGZvciBtYWtpbmcgZWFyIG11ZmZzLiBCcmluZyBtZSBeRkYzMzU1JzEgQ3Vyc2VkIFJ1YnkgJ14wMDAwMDAgYW5kICBeMzMxMUFBJyAxIEhlYWRzZXQgJ14wMDAwMDAuLi4KQW5kIHByZXBhcmUgXjMzNTVGRicgMjAwIEZlYXRoZXJzICdeMDAwMDAwIGFuZCAgXkREREQwMCcgNTAwMCBaZW55ICdeMDAwMDAwLiBUaGVuLCBJJ2xsIGRvIGl0IGZvciB5b3Uu,,,,,W1NlbmhvcmEgTcOtc3RpY2FdCi4gLiAuIC4gLiAuCk1pbmhhIGZhbcOtbGlhIMOpIGZhbW9zYSBwZWxvcyBBcXVlY2Vkb3JlcyBkZSBPcmVsaGEuIFRyYWdhLW1lIF5GRjMzNTUnMSBSdWJpIEFtYWxkacOnb2FkbydeMDAwMDAwIGUgIF4zMzExQUEnMSBGb25lIGRlIE91dmlkbyAnXjAwMDAwMC4uLgpFIHByZXBhcmUgXjMzNTVGRicgMjAwIFBsdW1hcyAnXjAwMDAwMCBlICBeRERERDAwJzUwMDAgWmVueSdeMDAwMDAwIHF1ZSBwb2RlcmVpIGZhemVyIHVtIHBhcmEgdm9jw6ou,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4uLgpNaSBmYW1pbGlhIGVzIGZhbW9zYSBwb3IgaGFjZXIgb3JlamVyYXMuIFRyw6FlbWUgXkZGMzM1NScxIFJ1YsOtIE1hbGRpdG8gJ14wMDAwMDAgeSBeMzMxMUFBJyAxIEF1cmljdWxhciAnXjAwMDAwMC4uLgpZIHByZXBhcmEgXjMzNTVGRicgMjAwIFBsdW1hcyAnXjAwMDAwMCB5IF5EREREMDAnIDUwMDAgWmVueSAnXjAwMDAwMC4gRW50b25jZXMsIGxvIGhhcsOpIHBvciB0aS4=
W+vSAQ,,WWVzLCBwbGVhc2Uh,,,,,RXUgcXVlcm8gdW0h,,wqFTw60sIHBvciBmYXZvciE=
XOvSAQ,,Tm8hIFRoYW5rIHlvdSE=,,,,,TsOjbyEgT2JyaWdhZG8h,,wqFObyEgwqFHcmFjaWFzIQ==
XevSAQ,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4u,,,,,W1NlbmhvcmEgTcOtc3RpY2FdCi4gLiAuIC4gLg==,,W015c3RpYyBMYWR5XQouLi4uLi4uLi4u
XuvSAQ,,VGhhbmsgeW91IHZlcnkgbXVjaCEgSGVyZSBhcmUgeW91ciBuZXcgZWFyIG11ZmZzLg==,,,,,TXVpdG8gb2JyaWdhZGEhIEFxdWkgZXN0w6Egc2V1IG5vdm8gQXF1ZWNlZG9yIGRlIE9yZWxoYS4=,,wqFNdWNoYXMgZ3JhY2lhcyEgQXF1w60gZXN0w6FuIHR1cyBudWV2YXMgb3JlamVyYXMu
X+vSAQ,,Li4uLi4uLi4uClRoYW5rcyBmb3Igc2hvcHBpbmcgaGVyZS4gWW91IHdpbGwgYmUgaGFwcHkgd2l0aCBpdCwgSSBwcm9taXNlIQ==,,,,,LiAuIC4gLiAuCk9icmlnYWRhIHBlbGEgcHJlZmVyw6puY2lhLiBWb2PDqiBmaWNhcsOhIHNhdGlzZmVpdG8sIHByb21ldG8h,,Li4uLi4uLi4uCkdyYWNpYXMgcG9yIGNvbXByYXIgYXF1w60uIExlIGFzZWd1cm8gcXVlIHF1ZWRhcsOhIHNhdGlzZmVjaG8u
