YG3QBw,,RW9yZmE=,,,,,RW9yZmE=,,RW9yZmE=
a23QBw,,IC0gSW4gZnJvbnQgb2YgRW9yZmEsIHRoZXJlIGlzIGEgaHVnZSBwaWxlIG9mIGRlbGljaW91cy1sb29raW5nIHBvdGF0byBjaGlwcy4gLQ==,,,,,LSBEaWFudGUgZGUgRW9yZmEsIGjDoSB1bWEgZ3JhbmRlIHBpbGhhIGRlIENoaXBzIGRlIEJhdGF0YSBxdWUgcGFyZWNlbSBkZWxpY2lvc29zLiAt,,IC0gRnJlbnRlIGEgRW9yZmEgaGF5IHVuIG1vbnTDs24gZGUgY2hpcHMgZGUgcGFwYXMgcXVlIHNlIHZlbiBkZWxpY2lvc2FzLiAt
bG3QBw,,Tm8gbWF0dGVyIGhvdyB5b3UgbG9vayBhdCBpdCwgdGhlc2UgYXJlIHBvdGF0byBjaGlwcy4uPz8=,,,,,SXNzbyBzw6NvIGJhdGF0YXMgZnJpdGFzLi4uPz8=,,RXN0bywgcG9yIG3DoXMgcXVlIGxvIG1pcmUsIHNvbiBjaGlwcyBkZSBwYXBhcy4uPz8=
bW3QBw,,W0VvcmZhXQpUaGVzZS4uLiBiaW8gcmFkaW8td2F2ZSBqYW1taW5nIGNoaXBzIGFyZSBkaXNydXB0aW5nIG15IG5ldHdvcmsuLi4gQnp6enQuLi4gQ291bGQgSSBhc2sgeW91Li4uIEJ6enp0Li4uIHRvIGRpc3Bvc2Ugb2YuLi4gdGhlc2UgYmlvIGNoaXBzLi4uPw==,,,,,W0VvcmZhXQpFc3RlLi4uIGNoaXAgZGUgaW50ZXJmZXLDqm5jaWEgZGUgb25kYXMgYmlvbMOzZ2ljYXMgZXN0w6EuLi4genp6enQuLi4gYWJhbGFuZG8gYSBtaW5oYSByZWRlLi4uIHp6enp0Li4uIEV1IHBvZGVyaWEuLi4genp6enQuLi4gcGVkaXIgcXVlIHZvY8OqIGN1aWRlLi4uIHp6enp0Li4uIGRlc3RlIGNoaXAgYmlvbMOzZ2ljby4uLj8=,,W0VvcmZhXQpFc3Rvcy4uLiBjaGlwcyBkZSBpbnRlcmZlcmVuY2lhIGRlIG9uZGFzIGJpb2zDs2dpY2FzIGVzdMOhbiBzYWN1ZGllbmRvIG1pIHJlZC4uLiBienp6dC4uLiDCv1BvZHLDrWEuLi4gYnp6enQuLi4gcGVkaXJsZSBxdWUgc2UgZW5jYXJndWUgZGUuLi4gYnp6enQuLi4gcHJvY2VzYXIgZXN0b3MgY2hpcHMgYmlvbMOzZ2ljb3MuLi4/
bm3QBw,,SG93IGFtIEkgc3VwcG9zZWQgdG8gZGlzcG9zZSBvZiB0aGVtPz8=,,,,,RSBvIHF1ZSBldSBmYcOnbz8/,,wr9ZIGPDs21vIHNlIHN1cG9uZSBxdWUgZGVibyBwcm9jZXNhcmxvcz8/
b23QBw,,W0VvcmZhXQpJIHVuZGVyc3RhbmQgdGhhdCB0aG9zZSB3aG8gaGF2ZSBsaWZlIHdpdGhpbiB0aGVtLi4uIEJ6enp0Li4uIGNhbiBkaXNwb3NlIG9mIHRoZXNlIGJpbyBjaGlwcy4uLiBCenp6dC4=,,,,,W0VvcmZhXQpFdSBzZWkgcXVlIGh1bWFub3MuLi4genp6enQuLi4gY29uc2VndWVtIGxpZGFyIGNvbSBlc3NlIGNoaXAgYmlvbMOzZ2ljby4uLiB6enp6dC4=,,W0VvcmZhXQpTw6kgcXVlIHF1aWVuIHBvc2VlIHZpZGEuLi4gYnp6enQuLi4gcHVlZGUgcHJvY2VzYXIgZXNvcyBjaGlwcyBiaW9sw7NnaWNvcy4uLiBienp6dC4=
cG3QBw,,W0VvcmZhXQpGb3Igc21vb3RoZXIgY29tbXVuaWNhdGlvbi4uLiBCenp6dC4uLiBwbGVhc2UgZGlzcG9zZSBvZiB0aGUgY2hpcHMuLi4gQnp6enQu,,,,,W0VvcmZhXQpQYXJhIHVtYSBjb211bmljYcOnw6NvIG1haXMgZmx1aWRhLi4uIHp6enp0Li4gcGXDp28gcXVlIGN1aWRlLi4uIHp6enp0Li4gZG9zIGNoaXBzLi4uIHp6enp0Lg==,,W0VvcmZhXQpQYXJhIHVuYSBjb211bmljYWNpw7NuIGZsdWlkYS4uLiBienp6dC4uIGxlIHJ1ZWdvIHF1ZSBwcm9jZXNlIGxvcyBjaGlwcy4uLiBienp6dC4=
cW3QBw,,IC0gVGhpcyBpcyBjbGVhcmx5IGFza2luZyB5b3UgdG8gZWF0IHVwIHRoZSBjaGlwcyEgLQ==,,,,,LSBFbGEgZXN0w6EgcGVkaW5kbyBwYXJhIHZvY8OqIGNvbWVyISAt,,IC0gwqFFc3TDoSBjbGFybyBxdWUgdGUgZXN0w6EgcGlkaWVuZG8gcXVlIHRlIGxvcyBjb21hcyEgLQ==
cm3QBw,,IC0gV2lsbCB5b3UgZWF0IHVwIHRoZSBQb3RhdG8gQ2hpcHMgcGlsZWQgdXAgaW4gZnJvbnQgb2YgRW9yZmE/IC0=,,,,,LSBWb2PDqiB2YWkgY29tZXIgb3MgQ2hpcHMgZGUgQmF0YXRhPyAt,,IC0gwr9TZSBjb21lcsOhIGxhcyBDaGlwcyBkZSBQYXBhIGFwaWxhZGFzIGZyZW50ZSBhIEVvcmZhPyAt
c23QBw,,RWF0IHRoZW0gdXAu,,,,,Q29tZXIu,,U2UgbGFzIGNvbWUu
dG3QBw,,UXVpdC4=,,,,,RGVzaXN0aXIu,,RGVqYXJsby4=
dW3QBw,,W3swfV0KTm9tIG5vbSBub20gbm9tLi4uICptdW5jaCBtdW5jaCouLi4gY3J1bmNoIGNydW5jaC4uLg==,,,,,W3swfV0KKk5oYWMgbmhhYyBuaGFjIG5oYWMqLi4uLiAqY2hvbXAgY2hvbXAqLi4uICpuaG9tIG5ob20qLi4uLi4uLi4=,,W3swfV0Kw5FhbSDDsWFtIMOxYW0gw7FhbS4uLi4gY2hvbXAgY2hvbXAgY2hvbXAuLi4gY3J1aiBjcnVqLi4uLi4uLi4=
dm3QBw,,IC0gWW91IGRldm91cmVkIGFsbCB0aGUgUG90YXRvIENoaXBzIHRoYXQgaGFkIGJlZW4gcGxhY2VkIGluIGZyb250IG9mIEVvcmZhISEgLQ==,,,,,LSBWb2PDqiBjb21ldSB0b2RvcyBvcyBDaGlwcyBkZSBCYXRhdGEgbmEgZnJlbnRlIGRlIEVvcmZhISEgLQ==,,IC0gwqFTZSBhY2Fiw7MgcG9yIGNvbXBsZXRvIGxhcyBDaGlwcyBkZSBQYXBhIHF1ZSBlc3RhYmFuIGNvbG9jYWRhcyBmcmVudGUgYSBFb3JmYSEhIC0=
d23QBw,,W0VvcmZhXQpCenp6dC4uLiBUaGFuayB5b3UuIFJlbW92YWwgb2YgdGhlIGJpbyBzaWduYWwgamFtbWluZyBjaGlwIGhhcyBiZWVuIGNvbmZpcm1lZC4KTmV0d29yayBzdGF0dXMgaXMgZ29vZC4gQ29tbXVuaWNhdGlvbiBpcyBzdGFibGUgYW5kIGNvbmZpcm1lZC4=,,,,,W0VvcmZhXQpCenp6dC4uIE9icmlnYWRhLiBBIHJlbW/Dp8OjbyBkbyBjaGlwIGRlIGludGVyZmVyw6puY2lhIGRlIHRyYW5zbWlzc8OjbyBiaW9sw7NnaWNhIGZvaSBjb25maXJtYWRhLgpPIGVzdGFkbyBkYSByZWRlIGVzdMOhIG9rLiBDb211bmljYcOnw6NvIGZsdWluZG8sIGNvbmZpcm1hw6fDo28gY29uY2x1w61kYS4=,,W0VvcmZhXQpCenp6dC4uIEdyYWNpYXMuIFNlIGhhIGNvbmZpcm1hZG8gbGEgZWxpbWluYWNpw7NuIGRlbCBjaGlwIGRlIGludGVyZmVyZW5jaWEgZGUgb25kYXMgYmlvbMOzZ2ljYXMuCkVsIGVzdGFkbyBkZSBsYSByZWQgZXMgYnVlbm8uIFNlIGhhIGNvbmZpcm1hZG8gcXVlIGxhIGNvbXVuaWNhY2nDs24gZXMgZmx1aWRhLg==
eG3QBw,,W0VvcmZhXQpJIHdpbGwgcmVzdGFydCB0aGUgc3lzdGVtLiBQbGVhc2Ugc3BlYWsgdG8gbWUgYWdhaW4gaW4gYSBtb21lbnQu,,,,,W0VvcmZhXQpSZWluaWNpYXJlaSBvIHNpc3RlbWEuIFBvciBmYXZvciwgZmFsZSBjb21pZ28gbm92YW1lbnRlIGRhcXVpIGEgcG91Y28u,,W0VvcmZhXQpSZWluaWNpYXLDqSBlbCBzaXN0ZW1hLiBQb3IgZmF2b3IsIGjDoWJsZW1lIGRlIG51ZXZvIGRlbnRybyBkZSB1biBtb21lbnRvLg==
eW3QBw,,W0VvcmZhXQpCenp6dC4uLgouLi4uCi4uLg==,,,,,W0VvcmZhXQpCenp6dC4uLgouLi4uCi4uLg==,,W0VvcmZhXQpCenp6dC4uLgouLi4uCi4uLg==
em3QBw,,W0VvcmZhXQpCenp6dC4uLgpaenQuLi4KLi4uLg==,,,,,W0VvcmZhXQpCenp6dC4uLgpCenouLi4KLi4uLg==,,W0VvcmZhXQpCenp6dC4uLgpCenouLi4KLi4uLg==
e23QBw,,IC0gSXQgZG9lc24ndCBsb29rIHRvIGJlIGluIHZlcnkgZ29vZCBjb25kaXRpb24sIHNvIGxldCdzIGxlYXZlIGl0IGFsb25lLiAt,,,,,LSBDb21vIG7Do28gZWxhIHBhcmVjZSBlc3RhciBtdWl0byBiZW0sIHZhbW9zIGRlaXjDoS1sYSBlbSBwYXouIC0=,,IC0gTm8gcGFyZWNlIGVzdGFyIGVuIG11eSBidWVuIGVzdGFkbywgYXPDrSBxdWUgZGVqw6ltb3Nsby4gLQ==
fG3QBw,,W0VvcmZhXQpIZWxsby4gVGhhbmsgeW91IGZvciB0YWtpbmcgY2FyZSBvZiB0aGUgYmlvIHNpZ25hbCBqYW1taW5nIGNoaXBzLiBOb3cgSSBjYW4gY29tbXVuaWNhdGUgcHJvcGVybHkuIEkgYW0gRW9yZmEsIGFuZCBJIG1hbmFnZSB0aGUgMm5kIE1hZ2ljIFBvd2VyIFBsYW50Lg==,,,,,W0VvcmZhXQpPbMOhLiBPYnJpZ2FkYSBwb3IgbGlkYXIgY29tIGEgaW50ZXJmZXLDqm5jaWEgZG9zIGNoaXBzIGRlIHRyYW5zbWlzc8OjbyBiaW9sw7NnaWNhLiBBZ29yYSBwb2RlbW9zIG5vcyBjb211bmljYXIgY29ycmV0YW1lbnRlLiBFdSBzb3UgRW9yZmEsIHJlc3BvbnPDoXZlbCBwb3IgZ2VyZW5jaWFyIGEgVXNpbmEgZGUgRW5lcmdpYSBNw6FnaWNhLg==,,W0VvcmZhXQpIb2xhLiBHcmFjaWFzIHBvciBlbmNhcmdhcnNlIGRlIGxvcyBjaGlwcyBkZSBpbnRlcmZlcmVuY2lhIGRlIG9uZGFzIGJpb2zDs2dpY2FzLiBBaG9yYSBwb2RlbW9zIGNvbXVuaWNhcm5vcyBjb3JyZWN0YW1lbnRlLiBTb3kgRW9yZmEsIHF1aWVuIGFkbWluaXN0cmEgbGEgMi7CqiBQbGFudGEgZGUgRW5lcmfDrWEgTcOhZ2ljYS4=
fW3QBw,,W0VvcmZhXQpJIHdpbGwgdGVsbCB5b3UgYWJvdXQgdGhlIHNpZ25hbCBqYW1taW5nIGNoaXBzIHlvdSBqdXN0IGRlYWx0IHdpdGguIFRob3NlIGNoaXBzIGFyZSBvbmVzIHRoYXQgYW4gSWxsdXNpb24gY2FsbGVkIF40RDRERkZNYW5hIEFkZGljdGVkIFNhbmFyZV4wMDAwMDAgaW5zdGFsbGVkIHRocm91Z2hvdXQgdGhlIDJuZCBNYWdpYyBQb3dlciBQbGFudCBmb3IgdGhlIHB1cnBvc2Ugb2Ygc2lnbmFsIGludGVyZmVyZW5jZS4=,,,,,W0VvcmZhXQpWb3UgZmFsYXIgc29icmUgb3MgY2hpcHMgcXVlIHZvY8OqIGFjYWJvdSBkZSBsaWRhci4gRXNzZXMgY2hpcHMgc8OjbyBkaXNwb3NpdGl2b3MgcXVlIHVtYSBJbHVzacOzbiBjaGFtYWRhIF40RDRERkZTYW5hcmUgVmljaWFkYV4wMDAwMDAgaW5zdGFsb3UgcG9yIHRvZGEgcGFydGUgZGVudHJvIGRhIFVzaW5hIGRlIEVuZXJnaWEgTcOhZ2ljYSBjb20gbyBvYmpldGl2byBkZSBjYXVzYXIgaW50ZXJmZXLDqm5jaWEgZGUgdHJhbnNtaXNzw6NvLg==,,W0VvcmZhXQpMZSBoYWJsYXLDqSBzb2JyZSBsb3MgY2hpcHMgZGUgaW50ZXJmZXJlbmNpYSBxdWUgYWNhYmEgZGUgbWFuZWphci4gRXNvcyBjaGlwcyBzb24gaW5zdGFsYWRvcyBwb3IgdW5hIElsbHVzaW9uIGxsYW1hZGEgXjRENERGRlNhbmFyZSBhZGljdGEgYWwgbWFuYV4wMDAwMDAsIGRlbnRybyBkZSBsYSAyLsKqIFBsYW50YSBkZSBFbmVyZ8OtYSBNw6FnaWNhLCBjb24gZWwgcHJvcMOzc2l0byBkZSBpbnRlcmZlcmlyIGxhcyBvbmRhcy4=
fm3QBw,,W0VvcmZhXQpUaGV5IGFyZSBjaGlwcyB0aGF0IGFjdCBsZXRoYWxseSBvbmx5IG9uIGF1dG9tYXRhLCBhbmQgYmVjYXVzZSBvZiB0aGlzIG1hdHRlciBsYXRlbHksIG1hbmFnZW1lbnQgb2YgdGhlIDJuZCBNYWdpYyBQb3dlciBQbGFudCBoYXMgYmVlbiBncmVhdGx5IGhpbmRlcmVkLg==,,,,,W0VvcmZhXQpTw6NvIGNoaXBzIHF1ZSBhZ2VtIGRlIGZvcm1hIGZhdGFsIGFwZW5hcyBlbSBBdXTDtG1hdGFzLCBlIHVsdGltYW1lbnRlIGlzc28gdGVtIGNhdXNhZG8gdW0gZ3JhbmRlIHByZWp1w616byDDoCBnZXN0w6NvIGRhIFVzaW5hIGRlIEVuZXJnaWEgTcOhZ2ljYS4=,,W0VvcmZhXQpFcyB1biBjaGlwIHF1ZSBhZmVjdGEgZGUgZm9ybWEgbGV0YWwgc29sbyBhIGxhcyBtdcOxZWNhcyBhdXRvbcOhdGljYXMsIHkgw7psdGltYW1lbnRlLCBwb3IgZXN0bywgbGEgYWRtaW5pc3RyYWNpw7NuIGRlIGxhIDIuwqogUGxhbnRhIGRlIEVuZXJnw61hIE3DoWdpY2Egc2UgaGEgdmlzdG8gZ3JhdmVtZW50ZSBvYnN0YWN1bGl6YWRhLg==
f23QBw,,W0VvcmZhXQpJIHdlbnQgaW50byB0aGUgU2Vjb25kIFBvd2VyIFBsYW50IG15c2VsZiBhbmQgcmV0cmlldmVkIHRoZSBjaGlwcywgYnV0IHRoZXJlIHdhcyBubyB3YXkgdG8gZGlzcG9zZSBvZiB0aGVtLCBhbmQgdGhlbiBldmVuIGEgbmV0d29yayBmYWlsdXJlIG9jY3VycmVkLCBwdXR0aW5nIG1lIGluIGEgZGlmZmljdWx0IHNpdHVhdGlvbi4=,,,,,W0VvcmZhXQpFdSBtZXNtYSBlbnRyZWkgbmEgVXNpbmEgZSByZWN1cGVyZWkgb3MgY2hpcHMsIG1hcyBuw6NvIGhhdmlhIGNvbW8gYmF0YWxoYXIgY29tIGVsYXMsIGUgYWluZGEgaG91dmUgdW1hIGZhbGhhIG5hIHJlZGUsIGVudMOjbyBhIHNpdHVhw6fDo28gZXN0YXZhIGNvbXBsaWNhZGEu,,W0VvcmZhXQpZbyBtaXNtbyBlbnRyw6kgZW4gbGEgU2VndW5kYSBQbGFudGEgZGUgRW5lcmfDrWEgeSByZWN1cGVyw6kgbG9zIGNoaXBzLCBwZXJvIG5vIGhhYsOtYSBmb3JtYSBkZSBwcm9jZXNhcmxvcywgeSBhZGVtw6FzIHNlIHByb2R1am8gdW5hIGZhbGxhIGRlIHJlZCwgYXPDrSBxdWUgZXJhIHVuYSBzaXR1YWNpw7NuIGRpZsOtY2lsLg==
gG3QBw,,W0VvcmZhXQpUaGFua3MgdG8geW91IHRha2luZyBjYXJlIG9mIHRoZSBjaGlwcywgdGhlIGRpc3J1cHRpb24gaGFzIGJlZW4gcmVzb2x2ZWQuIFRoYW5rIHlvdS4=,,,,,W0VvcmZhXQpHcmHDp2FzIGEgezB9IHBvciBsaWRhciBjb20gb3MgY2hpcHMsIGEgZmFsaGEgZm9pIHJlc29sdmlkYS4gT2JyaWdhZGEu,,W0VvcmZhXQpHcmFjaWFzIGEgcXVlIHswfSBzZSBlbmNhcmfDsyBkZSBsb3MgY2hpcHMsIGxhIGZhbGxhIHNlIHJlc29sdmnDsy4gR3JhY2lhcy4=
gW3QBw,,W0VvcmZhXQpJIGFwb2xvZ2l6ZSBmb3IgYXNraW5nIGEgZmF2b3IgYXQgdGhlIHNhbWUgdGltZSBhcyBleHByZXNzaW5nIG15IHRoYW5rcywgYnV0IGl0IGlzIGEgc29tZXdoYXQgdXJnZW50IG1hdHRlci4gV2lsbCB5b3UgZ3JhbnQgRW9yZmEncyByZXF1ZXN0Pw==,,,,,W0VvcmZhXQpQZcOnbyBkZXNjdWxwYXMgcG9yIGZhemVyIHVtIHBlZGlkbyBhbyBtZXNtbyB0ZW1wbyBlbSBxdWUgYWdyYWRlw6dvLCBtYXMgw6kgdW0gYXNzdW50byB1bSBwb3VjbyB1cmdlbnRlLiBWb2PDqiBwb2RlcmlhIGF0ZW5kZXIgYW8gcGVkaWRvIGRlIEVvcmZhPw==,,W0VvcmZhXQpMYW1lbnRvIHRlbmVyIHF1ZSBwZWRpcmxlIHVuIGZhdm9yIGFsIG1pc21vIHRpZW1wbyBxdWUgbGUgZG95IGxhcyBncmFjaWFzLCBwZXJvIGVzIHVuIGFzdW50byBhbGdvIHVyZ2VudGUuIMK/QWNlcHRhcsOtYSBsYSBwZXRpY2nDs24gZGUgRW9yZmE/
gm3QBw,,V2hhdCBraW5kIG9mIHJlcXVlc3QgaXMgaXQ/,,,,,UXVlIHBlZGlkbz8=,,wr9RdcOpIGZhdm9yIGVzPw==
g23QBw,,W0VvcmZhXQpUaGUgSWxsdXNpb25zIGNhbGxlZCBeNEQ0REZGTWFuYSBBZGRpY3RlZCBTYW5hcmVeMDAwMDAwIGFyZSBpbiB0aGUgcHJvY2VzcyBvZiBpbnN0YWxsaW5nIHRoZSBzaWduYWwgamFtbWluZyBjaGlwcyBJIG1lbnRpb25lZCBpbnNpZGUgdGhlIHBvd2VyIHBsYW50LiBJZiB0aGlzIGNvbnRpbnVlcywgaXQgd2lsbCByZWFjaCBhbm90aGVyIG1hbGZ1bmN0aW9uLg==,,,,,W0VvcmZhXQpBIG1lbWJybyBkYSBJbHVzacOzbiBjaGFtYWRhIF40RDRERkZTYW5hcmUgVmljaWFkYV4wMDAwMDAgZXN0w6EgaW5zdGFsYW5kbyBkZW50cm8gZGEgdXNpbmEgb3MgY2hpcHMgZGUgaW50ZXJmZXLDqm5jaWEgZGUgdHJhbnNtaXNzw6NvIGRlIHF1ZSBmYWxlaS4gU2UgY29udGludWFyIGFzc2ltLCBjaGVnYXJlbW9zIG5vdmFtZW50ZSBhIHVtYSBmYWxoYSBkZSBmdW5jaW9uYW1lbnRvLg==,,W0VvcmZhXQpMYXMgaWx1c2lvbmVzIGxsYW1hZGFzIF40RDRERkZTYW5hcmUgYWRpY3RhIGFsIG1hbmFeMDAwMDAwIGVzdMOhbiBpbnN0YWxhbmRvIGRlbnRybyBkZSBsYSBwbGFudGEgbG9zIGNoaXBzIGRlIGludGVyZmVyZW5jaWEgZGUgb25kYXMgcXVlIGxlIG1lbmNpb27DqS4gU2kgZXN0byBzaWd1ZSBhc8OtLCB2b2x2ZXLDoSBhIGxsZWdhciBhIHVuYSBhdmVyw61hIGZ1bmNpb25hbC4=
hG3QBw,,W0VvcmZhXQpDb3VsZCB5b3UgZ28gaW50byB0aGUgMm5kIE1hZ2ljIFBvd2VyIFBsYW50IHlvdXJzZWxmIGFuZCByZXRyaWV2ZSBeNEQ0REZGMTAgUG90YXRvIENoaXBzXjAwMDAwMD8=,,,,,W0VvcmZhXQpWb2PDqiBwb2RlcmlhIGVudHJhciBwZXNzb2FsbWVudGUgbmEgVXNpbmEgZGUgRW5lcmdpYSBNw6FnaWNhIGUgcmVjdXBlcmFyIF40RDRERkYxMHggQ2hpcCBkZSBCYXRhdGFeMDAwMDAwPw==,,W0VvcmZhXQrCv1BvZHLDrWEgZWwgdHJvdGFtdW5kb3MgZW50cmFyIGRpcmVjdGFtZW50ZSBlbiBsYSAyLsKqIFBsYW50YSBkZSBFbmVyZ8OtYSBNw6FnaWNhIHkgcmVjdXBlcmFyIF40RDRERkYxMCBDaGlwcyBkZSBQYXBhXjAwMDAwMD8=
hW3QBw,,SSBhY2NlcHQu,,,,,QWNlaXRhci4=,,QWNlcHRvLg==
hm3QBw,,RGVjbGluZS4=,,,,,UmVjdXNhci4=,,UmVjaGF6YXIu
h23QBw,,W0VvcmZhXQpUaGUgc3VyZXN0IHdheSBpcyB0byBkZWZlYXQgdGhlIF40RDRERkZNYW5hIEFkZGljdGVkIFNhbmFyZV4wMDAwMDAgYmVmb3JlIHRoZXkgc2NhdHRlciB0aGUgUG90YXRvIENoaXBzLCBhbmQgcmV0cmlldmUgdGhlbS4=,,,,,W0VvcmZhXQpPIG3DqXRvZG8gbWFpcyBzZWd1cm8gw6kgZGVycm90YXIgYXMgXjRENERGRlNhbmFyZSBWaWNpYWRhXjAwMDAwMCBhbnRlcyBxdWUgZXNwYWxoZW0gb3MgQ2hpcCBkZSBCYXRhdGEgcG9yIGHDrS4=,,W0VvcmZhXQpMYSBmb3JtYSBtw6FzIHNlZ3VyYSBlcyBkZXJyb3RhciBhIF40RDRERkZTYW5hcmUgYWRpY3RhIGFsIG1hbmFeMDAwMDAwIHkgcmVjdXBlcmFybGFzIGFudGVzIGRlIHF1ZSBlc3BhcnphbiBsYXMgQ2hpcHMgZGUgUGFwYS4=
