QMfe,,WW91bmcgTWFu,,,,,Sm92ZW0=,,Sm92ZW4=
Tcfe,,W0themllbl0KTm93LCBteSBicm90aGVyIEx5b3ppZW4gaXMKYSBnZW50bGUgc291bCwgaGFzIG5vdGhpbmcKYnV0IGxvdmUgZm9yIGV2ZXJ5Ym9keS4gU28sIG9mCmNvdXJzZSBJIGNhbid0IHRlbGwgaGltIHdoYXQKSSdtIHJlYWxseSBkb2luZy0taGUnZCBuZXZlcgphZ3JlZSB0byBpdCwgYmVsaWV2ZSBtZS4=,,,,,W0themllbl0KT2xoYSwgbyBtZXUgaXJtw6NvIEx5b3ppZW4gw6kKdW0gYm9tIHN1amVpdG8sIHPDsyB0ZW0KYW1vciBubyBjb3Jhw6fDo28uIEVudMOjbywgw6kgY2xhcm8KcXVlIG7Do28gcG9zc28gY29udGFyIGEgZWxlIG8gcXVlCmVzdG91IHJlYWxtZW50ZSBmYXplbmRvLiBFbGUgbnVuY2EKY29uY29yZGFyaWEgY29tIGlzc28sIGFjcmVkaXRlLg==,,W0themllbl0KUGVybyBtaSBoZXJtYW5vIEx5b3ppZW4gZXMKdW4gYWxtYSBnZW50aWwsIG5vIHRpZW5lIG5hZGEKbcOhcyBxdWUgYW1vciBwYXJhIHRvZG9zLiBBc8OtIHF1ZSwgcG9yIHN1cHVlc3RvLApubyBwdWVkbyBkZWNpcmxlIGN1w6FsIGVzCm1pIHZlcmRhZGVybyB0cmFiYWpvLi4uIENyw6llbWUKcXVlIMOpbCBudW5jYSBlc3RhcsOtYSBkZSBhY3VlcmRvLg==
Tsfe,,W0themllbl0KSSBoYXRlIHRoaXMgam9iIGFuZCB3aGF0CkknbSBkb2luZyBhbmQgSSB3YW50IHRvIHF1aXQuCkJ1dCB0aGVuIHdoYXQ/IEdvIGJhY2sgdG8gdGhlCnNsdW1zPyBGb3JnZXQgaXQuIEFzIGxvbmcgYXMKTHlvemllbiBpcyBoYXBweSwgSSBkb24ndCBtaW5kIGlmIEkgaGF2ZSB0byBkbyB0aGUgZGV2aWwncyB3b3JrLg==,,,,,W0themllbl0KRGV0ZXN0byBlc3RlIHRyYWJhbGhvIGUgbyBxdWUgZmHDp28sCmUgcXVlcm8gbWUgZGVtaXRpci4KTWFzIGUgZGVwb2lzPyBWb2x0byBwYXJhIGFzCmZhdmVsYXM/IFBvZGUgZXNxdWVjZXIuIFNlCkx5b3ppZW4gZXN0aXZlciBmZWxpeiwgbsOjbyBtZSBpbXBvcnRvIHNlIHRpdmVyIHF1ZSBmYXplciBvIHRyYWJhbGhvIGRvIGRpYWJvLg==,,W0themllbl0KT2RpbyBlc3RlIHRyYWJham8geSBsbyBxdWUgaW1wbGljYQp5IHF1aWVybyBkZWphcmxvLgrCv1Blcm8gbHVlZ28gcXXDqT8gwr9Wb2x2ZXIgYQpsb3MgYmFycmlvcyBiYWpvcz8gSmFtw6FzLiBNaWVudHJhcwpMeW96aWVuIHNlYSBmZWxpeiwgbm8gbWUgaW1wb3J0YSBzaSB0ZW5nbyBxdWUgdHJhYmFqYXIgZW4gYWxnbyBtYWxpZ25vLg==
T8fe,,W0themllbl0KQXQgbGVhc3QgdGhpcyB3YXksIGtlZXBpbmcKaXQgYWxsIHNlY3JldCwgSSBjYW4gcHJvdGVjdApMeW96aWVuIGZyb20gdGhlIHVnbHkgbmF0dXJlCm9mIHRoaXMgam9iLCBldmVuIGlmIEknbSBkaXJ0eWluZyBteSBoYW5kcywgbWFraW5nIG1vbmV5Cm9mZiBvZiBvdGhlciBwZW9wbGUncyBkZWF0aHMu,,,,,W0themllbl0KUGVsbyBtZW5vcyBhc3NpbSwgY29tCnR1ZG8gZW0gc2VncmVkbywgcG9zc28gcHJvdGVnZXIKTHlvemllbiBkYSB2ZXJkYWRlIGNydWVsCmRlc3NlIHRyYWJhbGhvLCBtZXNtbyBxdWUgZXUgZXN0ZWphIHN1amFuZG8gbWluaGFzIG3Do29zIGUgZ2FuaGFuZG8gZGluaGVpcm8KY29tIGEgbW9ydGUgYWxoZWlhLg==,,W0themllbl0KQWwgbWVub3MgYXPDrSwgbWFudGVuaWVuZG8KdG9kbyBlbiBzZWNyZXRvLCBwdWVkbyBwcm90ZWdlcgphIEx5b3ppZW4gZGUgbGEgaG9ycmlibGUgcmVhbGlkYWQKZGVsIHRyYWJham8gcXVlIGhhY2Vtb3MsIGF1bnF1ZSBtZSBlbnN1Y2llIGxhcyBtYW5vcyBnYW5hbmRvIGRpbmVybwpjb24gbGEgbXVlcnRlIGRlIG90cmFzIHBlcnNvbmFzLg==
UMfe,,W3swfV0KQnV0IHRoYXQgc3RpbGwgaXNuJ3QgcmlnaHQuCllvdSdyZSBzZWxsaW5nIHdlYXBvbnMgc28KdGhhdCBwZW9wbGUgY2FuIGtpbGwgZWFjaCBvdGhlciEgRXZlbiBpZiBpdCdzIGZvciB0aGUgc2FrZSBvZgpwcm92aWRpbmcgZm9yIHlvdXIgZmFtaWx5Li4u,,,,,W3swfV0KTWFzIGlzc28gYWluZGEgbsOjbyBlc3TDoSBjZXJ0by4KVm9jw6ogZXN0w6EgdmVuZGVuZG8gYXJtYXMgcGFyYQpxdWUgYXMgcGVzc29hcyBwb3NzYW0gc2UgbWF0YXIhIE1lc21vIHF1ZSBzZWphIHBhcmEKc3VzdGVudGFyIHN1YSBmYW3DrWxpYS4uLg==,,W3swfV0KUGVybyBlc28gbm8gbG8ganVzdGlmaWNhLgrCoUVzdMOhcyB2ZW5kaWVuZG8gYXJtYXMgcGFyYSBxdWUKbGFzIHBlcnNvbmFzIHNlIG1hdGVuIGxhcyB1bmFzIGEgbGFzIG90cmFzISBBdW5xdWUgc2VhIHBhcmEKbWFudGVuZXIgYSB0dSBmYW1pbGlhLi4u
Ucfe,,W0themllbl0KTG9vayBtYW4sIHRoaXMgaXMgd2hhdApJIGRlY2lkZWQuIEkgZG9uJ3QgY2FyZQp3aGF0IG90aGVyIHBlb3BsZSdsbCB0aGluay4KSSBtaWdodCBnbyB0byBoZWxsIHdoZW4KSSBkaWUsIGJ1dCB0aGF0J3MgbXkgcHJvYmxlbS4=,,,,,W0themllbl0KT2xoYSBzw7MsIGNhcmEsIGZvaSBpc3NvIHF1ZSBldSByZXNvbHZpLgpmYXplci4gTsOjbyBtZSBpbXBvcnRhCm8gcXVlIGFzIG91dHJhcyBwZXNzb2FzIHbDo28gcGVuc2FyLgpUYWx2ZXogZXUgdsOhIHBhcmEgbyBpbmZlcm5vIHF1YW5kbwptb3JyZXIsIG1hcyBpc3NvIMOpIHByb2JsZW1hIG1ldS4=,,W0themllbl0KTWlyYSwgeWEgbG8gZGVjaWTDrS4gCk5vIG1lIGltcG9ydGEKbG8gcXVlIHBpZW5zZW4gbG9zIGRlbcOhcy4KUXVpesOhIHZheWEgYWwgaW5maWVybm8gY3VhbmRvCm11ZXJhLCBwZXJvIGVzbyBlcyBhc3VudG8gbcOtby4=
Usfe,,W0themllbl0KQmVzaWRlcywgeW91IGFkdmVudHVyZXJzCmFyZSBhbHdheXMgcnVubmluZyBhcm91bmQKd2l0aCB5b3VyIHN3b3JkcyBhbmQgbWFnaWMgc3BlbGxzLi4uIElzbid0IHRoYXQganVzdCBhcyBiYWQ/Ckl0J3Mgbm90IHRoZSB3ZWFwb25zIG9yIHRoZSBwb3dlciB0aGF0J3MgYmFkOiBpdCdzIGhvdyB0aGV5J3JlIHVzZWQu,,,,,W0themllbl0KQWzDqW0gZGlzc28sIHZvY8OqcywgYXZlbnR1cmVpcm9zLAplc3TDo28gc2VtcHJlIGNvcnJlbmRvIHBvciBhw60KY29tIHN1YXMgZXNwYWRhcyBlIGZlaXRpw6dvcyBtw6FnaWNvcy4uLiBJc3NvIHRhbWLDqW0gbsOjbyDDqSBydWltPwpOw6NvIHPDo28gYXMgYXJtYXMgb3UgbyBwb2RlciBxdWUgc8OjbyBydWlucywgw6kgY29tbyBlbGVzIHPDo28gdXNhZG9zLg==,,W0themllbl0KQWRlbcOhcywgbG9zIHRyb3RhbXVuZG9zCnNpZW1wcmUgYW5kYW4gcG9yIGFow60gCmNvbiBzdXMgZXNwYWRhcyB5IGhlY2hpem9zIG3DoWdpY29zLi4uIMK/WSBlc28gbm8gZXMgaWd1YWwgZGUgbWFsbz8KTG8gbWFsbyBubyBzb24gbGFzIGFybWFzIG5pIGVsIHBvZGVyLCBzaW5vIGPDs21vIHNlIHVzYW4u
U8fe,,W0themllbl0KR3JhbnRlZCwgbW9zdCBvZiBteSBjbGllbnRzCmFyZSBwcmV0dHkgcXVlc3Rpb25hYmxlLCBhbmQKeW91IGFkdmVudHVyZXJzIHVzdWFsbHkgdXNlCnlvdXIgcG93ZXJzIGZvciBnb29kLCBidXQuLi4KRGFtbiBpdCEgSnVzdC4uLiBEb24ndCBjb21lCmJhY2suIEkgY2FuJ3Qgd29yayBsaWtlIHRoaXMuLi4=,,,,,W0themllbl0Kw4kgdmVyZGFkZSBxdWUgYSBtYWlvcmlhIGRlIG1ldXMgY2xpZW50ZXMKc8OjbyBiYXN0YW50ZSBxdWVzdGlvbsOhdmVpcywgZQp2b2PDqnMsIGF2ZW50dXJlaXJvcywgZ2VyYWxtZW50ZSB1c2FtCnNldXMgcG9kZXJlcyBwYXJhIG8gYmVtLCBtYXMuLi4KRHJvZ2EhIEFwZW5hcy4uLiBOw6NvCnZvbHRlLiBOw6NvIHBvc3NvIHRyYWJhbGhhciBhc3NpbS4uLg==,,W0themllbl0KRXMgY2llcnRvIHF1ZSBsYSBtYXlvcsOtYSBkZSBtaXMgY2xpZW50ZXMKZXMgZ2VudGUgYmFzdGFudGUgY3Vlc3Rpb25hYmxlIHkKbG9zIHRyb3RhbXVuZG9zIGVuIGdlbmVyYWwgdXNhbgpzdXMgcG9kZXJlcyBwYXJhIGVsIGJpZW4sIHBlcm8uLi4KwqFNYWxkaXRhIHNlYSEgU29sby4uLiBZYSBubwpyZWdyZXNlcy4gTm8gcHVlZG8gdHJhYmFqYXIgYXPDrS4uLg==
VMfe,,W0themllbl0KTG9vaywgSSBjYW4ndCBoYXZlCnlvdSB3b3JraW5nIHdpdGggbWUKYW5kIEx5b3ppZW4gYW55bW9yZS4KU29ycnksIGJ1dCBpdCdzIGZvciBMeW96aWVuJ3MKb3duIGdvb2QuIFRoYXQsIGFuZCB5b3UKbWFrZSBtZSBmZWVsIGd1aWx0eS4uLg==,,,,,W0themllbl0KT2xoYSwgbsOjbyBwb3NzbyB0ZXIKdm9jw6ogdHJhYmFsaGFuZG8gY29taWdvCmUgY29tIG8gTHlvemllbi4KRGVzY3VscGEsIG1hcyDDqSBwYXJhIG8gYmVtIGRvIEx5b3ppZW4uCklzc28sIGUgcG9ycXVlIHZvY8OqCm1lIGZheiBtZSBzZW50aXIgY3VscGFkby4uLg==,,W0themllbl0KRXNjdWNoYSwgeWEgbm8gcHVlZG8KdGVuZXJ0ZSB0cmFiYWphbmRvCmNvbm1pZ28geSBMeW96aWVuLgpMbyBzaWVudG8sIHBlcm8gZXMgcG9yIGVsIGJpZW4KZGUgbWkgaGVybWFuby4gRXNvLCB5IGFkZW3DoXMKbWUgaGFjZXMgc2VudGlyIGN1bHBhYmxlLi4u
Vcfe,,W0themllbl0KSGV5IG5vdywgeW91IGJldHRlcgpnZXQgYSBtb3ZlIG9uLiBZb3UgZ290dGEKYXNzaXN0IGFub3RoZXIgZGVsaXZlcnkgdG8KdGhlIFJ1bmUtTWlkZ2FyZCBLaW5nZG9tLg==,,,,,W0themllbl0KRW5maW0sIMOpIG1lbGhvciB2b2PDqgppciBhbmRhbmRvLiBWb2PDqiBwcmVjaXNhCmFqdWRhciBlbSBvdXRyYSBlbnRyZWdhIHBhcmEKbyBSZWlubyBkZSBSdW5lLU1pZGdhcmQu,,W0themllbl0KT3llLCBzZXLDoSBtZWpvciBxdWUKdGUgYXB1cmVzLiBUaWVuZXMgcXVlCmF5dWRhciBjb24gb3RyYSBlbnRyZWdhCmFsIHJlaW5vIGRlIFJ1bmUtTWlkZ2FyZC4=
Vsfe,,W0themllbl0KQWgsIEkgaGVhcmQgZnJvbSBMeW96aWVuCnRoYXQgeW91IGd1eXMgZmluaXNoZWQgeW91cgpkZWxpdmVyeS4gWW91J3JlIHByb2JhYmx5CnRoZSBiZXN0IHBhcnQtdGltZXIgdGhhdCBJJ3ZlCmhhZCBpbiBhIGxvbmcsIGxvbmcgd2hpbGUu,,,,,W0themllbl0KQWgsIGV1IHNvdWJlIHBlbG8gTHlvemllbgpxdWUgdm9jw6ogY29uY2x1aXUgYQplbnRyZWdhLiBWb2PDqiBkZXZlIHNlcgphIG1lbGhvciBwYXJjZXJpYSBxdWUgasOhIGZpegplbSBtdWl0byB0ZW1wby4=,,W0themllbl0KQWgsIG1lIGVudGVyw6kgcG9yIEx5b3ppZW4KcXVlIHlhIHRlcm1pbmFyb24gY29uIGxhCmVudHJlZ2EuIFByb2JhYmxlbWVudGUgc2VhcwplbCBtZWpvciB0cmFiYWphZG9yIGEgdGllbXBvIHBhcmNpYWwKcXVlIGhheWEgdGVuaWRvIGVuIG11Y2hvIHRpZW1wby4=
V8fe,,W0themllbl0KQW55d2F5LCB3ZSd2ZSBnb3QgeWV0CmFub3RoZXIgZGVsaXZlcnkgZm9yIHRoZQpSdW5lLU1pZGdhcmQgS2luZ2RvbS4gSXQncwp3ZWlyZCB0aGF0IHdlJ3JlIGdldHRpbmcgbW9yZQpvcmRlcnMgZnJvbSB0aGVyZSwgYnV0IG9yZGVycyBmcm9tIG90aGVyIGNvdW50cmllcyBhcmUgZGVjcmVhc2luZy4=,,,,,W0themllbl0KRGUgcXVhbHF1ZXIgZm9ybWEsIHRlbW9zIG1haXMgdW1hCmVudHJlZ2EgcGFyYSBvClJlaW5vIGRlIFJ1bmUtTWlkZ2FyZC4gw4kKZXN0cmFuaG8gZXN0YXJtb3MgcmVjZWJlbmRvIG1haXMKcGVkaWRvcyBkZSBsw6EsIGVucXVhbnRvIG9zIHBlZGlkb3MgZGUgb3V0cm9zIHBhw61zZXMgZGltaW51ZW0u,,W0themllbl0KRW4gZmluLCB0ZW5lbW9zIG90cmEKZW50cmVnYSBwYXJhIGVsCnJlaW5vIGRlIFJ1bmUtTWlkZ2FyZC4gRXMKcmFybyBxdWUgZXN0ZW1vcyByZWNpYmllbmRvIG3DoXMKcGVkaWRvcyBkZSBhaMOtLCBtaWVudHJhcyBsb3MgcGVkaWRvcyBkZSBvdHJvcyBwYcOtc2VzIGRpc21pbnV5ZW4u
