YKeRAg,,TXIuIENsYXVz,,,,,UGFwYWkgTm9lbA==,,U3IuIENsYXVz
dKeRAg,,LSBXYWl0IGEgbWludXRlICEhIC0KLSBDdXJyZW50bHkgeW91J3JlIGNhcnJ5aW5nIC0KLSB0b28gbWFueSBpdGVtcyB3aXRoIHlvdS4gLQotIFBsZWFzZSB0cnkgYWdhaW4gLQotIGFmdGVyIHlvdSBsb29zZSBzb21lIHdlaWdodC4gLQ==,,,,,LSBFc3BlcmUgdW0gcG91Y28hIC0KLSBBdHVhbG1lbnRlLCB2b2PDqiBlc3TDoSBjYXJyZWdhbmRvIC0KLSBtdWl0b3MgaXRlbnMgY29tIHZvY8OqLiAtCi0gUG9yIGZhdm9yLCB0ZW50ZSBub3ZhbWVudGUgLQotIGRlcG9pcyBxdWUgc2UgbGl2cmFyIGRvIHBlc28gZW0gZXhjZXNzby4gLQ==,,LcKhVW4gbW9tZW50byEtCi1FbiBlc3RlIG1vbWVudG8sIGxsZXZhcyAtCi0gZGVtYXNpYWRvcyBvYmpldG9zLi0KLUludMOpbnRhbG8gZGUgbnVldm8gLQotIGRlc3B1w6lzIGRlIHBlcmRlciBhbGdvIGRlIHBlc28uLQ==
daeRAg,,W1Nub3d5c25vd10KSSdtLi4uCkknbSBzbyBsb25lbHkh,,,,,W0JvbmVjbyBkZSBuZXZlXQouIC4gLiAuIC4KUXVlIHNvbGlkw6NvISBDb21vIGVzdG91IHPDsyE=,,W05pZXZlLW5ldsOtbl0KTWUuLi4KwqFNZSBzaWVudG8gdGFuIHNvbMOtbiE=
dqeRAg,,W1Nub3d5c25vd10KQWx3YXlzIHN0dWNrIGhlcmUuLi4KT24gdGhlIHNhbWUgc3BvdC4uLgpEYXkgYWZ0ZXIgZGF5IGFmdGVyIGRheSBhZnRlciBkYXkgYWZ0ZXIgZGF5IGFmdGVyIGRheSBhZnRlciBkYXkgYWZ0ZXIgZGF5IGFmdGVyIGRheSBhZnRlciBkYXkuLi4=,,,,,W0JvbmVjbyBkZSBuZXZlXQpOw6NvIHBvc3NvIHNhaXIgZGFxdWkhIEVzdG91IG5vIG1lc21vIGx1Z2FyIHBhcmEgc2VtcHJlLi4uCkV1IHNvdSB1bSBib25lY28gZGUgbmV2ZQ==,,W05pZXZlLW5ldsOtbl0KRXN0b3kgY29uZmluYWRvIGFxdcOtLi4uClNpZW1wcmUgZW4gZWwgbWlzbW8gbHVnYXIuLi4KZMOtYSB0cmFzIGTDrWEgdHJhcyBkw61hIHRyYXMgZMOtYSB0cmFzIGTDrWEgdHJhcyBkw61hIHRyYXMgZMOtYSB0cmFzIGTDrWEgdHJhcyBkw61hIHRyYXMgZMOtYS4uLg==
d6eRAg,,XjMzNTVGRlNub3d5c25vdz9eMDAwMDAw,,,,,XjMzNTVGRk8gcXVlIMOpIHVtIGJvbmVjbyBkZSBuZXZlP14wMDAwMDA=,,XjMzNTVGRsK/TmlldmUtbmV2w61uP14wMDAwMDA=
eKeRAg,,SW5mbyBhYm91dCB0aGUgQ2hyaXN0bWFzIGR1bmdlb24=,,,,,UGVyZ3VudGFyIHNvYnJlIGEgY2F2ZXJuYSBzZWNyZXRhLg==,,UHJlZ3VudGFyIHBvciBsYSBtYXptb3JyYSBkZSBOYXZpZGFkLg==
eaeRAg,,UXVpdCB0aGlzIGNvbnZlcnNhdGlvbg==,,,,,U2FpciBkZXNzYSBjb252ZXJzYQ==,,QWJhbmRvbmFyIGxhIGNvbnZlcnNhY2nDs24u
eqeRAg,,W1Nub3d5c25vd10KSSB3YXMgYm9ybiBpbiBhbiBhcmVhIHRvIHRoZSBub3J0aCB3aGVyZSBpdCBzbm93ZWQgYWxsIHRoZSB0aW1lLCBhbmQgd2FzIG11Y2ggY29sZGVyIHRoYW4gTHV0aWUsIGlmIHlvdSBjYW4gYmVsaWV2ZSB0aGF0Lg==,,,,,W0JvbmVjbyBkZSBuZXZlXQpBcyBwZXNzb2FzIG1lIGNvbnN0cm9lbS4uLgpPcyBodW1hbm9zIG1lIGZpemVyYW0uLi4KVW0gZ3JhbmRlIGJvbmVjbyBkZSBuZXZlLi4u,,W05pZXZlLW5ldsOtbl0KTmFjw60gZW4gdW4gbHVnYXIgYWwgbm9ydGUgZGUgYXF1w60gZG9uZGUgbmV2YWJhIHRvZG8gZWwgdGllbXBvIHkgaGFjw61hIG11Y2hvIG3DoXMgZnLDrW8gcXVlIGVuIEx1dGllLCBhdW5xdWUgbm8gbG8gY3JlYXMu
e6eRAg,,W1Nub3d5c25vd10KSSB3YXMgbWFkZSB3aXRoIGxvdmUgYnkgYSBodW1hbiwgYW5kIEkgd2FzIHJlYWxseSBoYXBweSB0aGVyZS4gTGlmZSB3YXMgc2ltcGxlLCBidXQgaXQgd2FzIGZ1bGwgb2YgcXVpZXQgYmxpc3Mu,,,,,W0JvbmVjbyBkZSBuZXZlXQpFdSBuYXNjaSBlbSB1bSBsdWdhciBnZWxhZG8uLi4KQW8gbm9ydGUuLi4KTmV2YSBvIGFubyBpbnRlaXJvIGzDoS4=,,W05pZXZlLW5ldsOtbl0KQWxsw60sIHVuIGh1bWFubyBtZSBoaXpvIGNvbiBtdWNobyBhbW9yIHkgeW8gZXJhIG11eSBmZWxpei4gTGEgdmlkYSBlcmEgc2VuY2lsbGEsIHBlcm8gdGFtYmnDqW4gZHVsY2UgeSBwbMOhY2lkYS4=
fKeRAg,,W1Nub3d5c25vd10KSSB0aG91Z2h0IEkgY291bGQgbGl2ZSB0aGUgcmVzdCBvZiBteSBsaWZlIGluIHRoYXQga2luZCBvZiBjb250ZW50bWVudC4gQnV0Li4uIEl0IHdhcyBub3QgdG8gYmUu,,,,,W0JvbmVjbyBkZSBuZXZlXQrDiSBzZW1wcmUgZnJpby4KVG9ybmFuZG8tc2UgbyBsdWdhciBwZXJmZWl0byBwYXJhIGV1IGNyZXNjZXIuLi4KTyBsdWdhciDDqSBMdXRpZSEKw4kgdW1hIGNpZGFkZXppbmhhIGZyaWEuLi4KT25kZSBtaW5oYSB2aWRhIGVyYSBkZSBmYXRvLi4uCkZlbGl6Li4u,,W05pZXZlLW5ldsOtbl0KTWUgc2VudMOtYSBjb25mb3JtZSBjb24gbGEgaWRlYSBkZSB2aXZpciBhc8OtIHBvciBlbCByZXN0byBkZSBtaSB2aWRhLCBwZXJvLi4uIG5vIGVyYSBtaSBkZXN0aW5vLg==
faeRAg,,W1Nub3d5c25vd10KT25lIGZhdGVmdWwgZGF5LCBzb21lIHVnbHkgb2xkIHdvbWFuIGNhbWUgdG8gb3VyIHRvd24uIFBlb3BsZSBzYXkgaGVyIG5hbWUgd2FzICdNZXJsb3BoZWNodW0sJyBhbmQgdGhhdCBzaGUgd2FzIGZyb20gc29tZSBzdHJhbmdlIGNhdmUgdG93biB3aGVyZSB0aGUgd2VhdGhlciB3YXMgYWx3YXlzIGhvdC4=,,,,,W0JvbmVjbyBkZSBuZXZlXQpFbnRyZXRhbnRvLi4uIGNlcnRvIGRpYS4uLgpVbWEgdmVsaGEgbWFsdmFkYSBjaGVnb3UuLi4KU2V1IG5vbWUgZXJhLi4uCidNZWxvZHknLi4uCkVzY3V0ZWkgcXVlIGVsYSB2ZWlvIGRlIHVtIGx1Z2FyIHF1ZW50ZS4uLgpVbSB2aWxlcmFqbyBkZW50cm8gZGUgdW1hIGNhdmVybmEuLi4=,,W05pZXZlLW5ldsOtbl0KVW4gZmF0w61kaWNvIGTDrWEsIHVuYSBzZcOxb3JhIGFuY2lhbmEgeSBmZWEgbGxlZ8OzIGEgbnVlc3RybyBwdWVibMOtbi4gRGljZW4gcXVlIHNlIGxsYW1hYmEgTWVsb3BzdW0geSBxdWUgdmVuw61hIGRlIHVuYSBleHRyYcOxYSBhbGRlYSBhbCBpbnRlcmlvciBkZSB1bmEgY2F2ZXJuYSBkb25kZSBzaWVtcHJlIGhhY8OtYSBjYWxvci4=
fqeRAg,,W1Nub3d5c25vd10KT24gdGhlIHRoaXJkIG5pZ2h0IHNoZSB3YXMgdGhlcmUsIHNoZSBzZXQgdGhlIHRvd24gb24gZmlyZSB3aXRoIGZyaWdodGVuaW5nIG1hZ2ljLiBFdmVyeW9uZSB3YXMgcnVubmluZyBpbiBwYW5pYyBhbW9uZ3N0IHRoZSBmZWFyIGFuZCBjaGFvcy4gQW5kIHNvbWVob3csIEkgd2FzIGtub2NrZWQgb3V0Lg==,,,,,W0JvbmVjbyBkZSBuZXZlXQpFc3RhIHZlbGhhLi4uCkNoZWdvdSBuYSBxdWFydGEgbm9pdGUuLi4KRWxhIGFwYXJlY2V1IG5hIHByYcOnYSBjZW50cmFsLi4uCkVsYSBzdXNzdXJyb3UgdGVycsOtdmVpcyBtYWdpYXMuLi4KRSBkZSByZXBlbnRlIHVtYSB0ZW1wZXN0YWRlIHZlaW8gZS4uLiBFdSBlIG1ldSBhbWlnby4uLgpGaWNhbW9zIGluY29uc2NpZW50ZXMgaW1lZGlhdGFtZW50ZS4uLg==,,W05pZXZlLW5ldsOtbl0KRHVyYW50ZSBsYSB0ZXJjZXJhIG5vY2hlIGVuIG51ZXN0cm8gcHVlYmxvLCBsbyBlbnZvbHZpw7MgdG9kbyBlbiBsbGFtYXMgY29uIHVuIGhlY2hpem8gYXRlcnJhZG9yLiBUb2RvIGVsIG11bmRvIGNvcnLDrWEsIHByZXNhIGRlbCBww6FuaWNvLCBlbCBtaWVkbyB5IGVsIGNhb3MuIFkgeW8sIGRlIGFsZ3VuYSBmb3JtYSwgdGVybWluw6kgaW5jb25zY2llbnRlLg==
f6eRAg,,W1Nub3d5c25vd10KSSBkaWRuJ3Qgbm90aWNlIGhvdyBtdWNoIHRpbWUgcGFzc2VkIGFmdGVyIHRoYXQsIGJ1dCB3aGVuIEkgd29rZSB1cCwgSSB3YXMgaGVyZS4gV2VsbCwgSSBjYW4gc2F5IHRoYXQgdGhpcyBwbGFjZSwgTHV0aWUsIGlzIHByZXR0eSBtdWNoIGxpa2UgaGVhdmVuLg==,,,,,W0JvbmVjbyBkZSBuZXZlXQpOw6NvIHNlaSBwb3IgcXVhbnRvIHRlbXBvLi4uCkZpY2Ftb3MgYXNzaW0uLi4KRXN0YXZhIGFxdWkgcXVhbmRvIGFjb3JkZWkuLi4KVW0gbHVnYXIgY2FsbW8gZSB0cmFucXVpbG8uLi4KTHV0aWUKQXF1aSDDqSBjb21vIG8gY8OpdSE=,,W05pZXZlLW5ldsOtbl0KTm8gc8OpIGN1w6FudG8gdGllbXBvIHBhc8OzLCBwZXJvIGN1YW5kbyB2b2x2w60gZW4gc8OtLCBlc3RhYmEgZW4gZXN0ZSBsdWdhcmPDrW4uIFNpIG1lIGxvIHByZWd1bnRhcywgY3JlbyBxdWUgTHV0aWUgZXMgY29tbyBlbCBwYXJhw61zby4=
gKeRAg,,W1Nub3d5c25vd10KRXZlcnlvbmUgaGVyZSBpcyBuZXZlciB3b3JyaWVkLCBhbmQgSSdtIGFsd2F5cyBoZWFyaW5nIENocmlzdG1hcyBjYXJvbHMgYW5kIHN0dWZmLg==,,,,,W0JvbmVjbyBkZSBuZXZlXQpUb2RvcyBhcXVpIG51bmNhIGVzdMOjbyBwcmVvY3VwYWRvcywgZSBlc3RvdSBzZW1wcmUgb3V2aW5kbyBjYW7Dp8O1ZXMgZGUgTmF0YWwgZSBvdXRyYXMgY29pc2FzLg==,,W05pZXZlLW5ldsOtbl0KQXF1w60gbmFkaWUgc2UgcHJlb2N1cGEgeSBzaWVtcHJlIHNlIGVzY3VjaGFuIHZpbGxhbmNpY29zIHBvciBkb3F1aWVyLg==
gaeRAg,,W1Nub3d5c25vd10KQnV0IHN0aWxsLi4uClNvbWV0aW1lcyBhbGwgdGhhdCBDaHJpc3RtYXMgam95IHNvbWVob3cgZG9lc24ndCBjdXJlIHRoZSBkYXJrIGxvbmVsaW5lc3MgdGhhdCB3ZWxscyBkZWVwIGluc2lkZSBvZiBtZS4=,,,,,W0JvbmVjbyBkZSBuZXZlXQpNYXMgYWluZGEgYXNzaW0uLi4Kw4BzIHZlemVzLCB0b2RhIGVzc2EgYWxlZ3JpYSBuYXRhbGluYSBuw6NvIGN1cmEgYSBzb2xpZMOjbyBzb21icmlhIHF1ZSBicm90YSBkZW50cm8gZGUgbWltLg==,,W05pZXZlLW5ldsOtbl0KUGVybyBhdW4gYXPDrS4uLgpBIHZlY2VzLCBuaSB0b2RvIGVsIGVzcMOtcml0dSBuYXZpZGXDsW8gZGUgZXN0ZSBsdWdhciBlcyBzdWZpY2llbnRlIHBhcmEgY3VyYXIgbGEgb3NjdXJhIHNvbGVkYWQgcXVlIG1lIGludmFkZSBwb3IgZGVudHJvLg==
gqeRAg,,W1Nub3d5c25vd10KU28gd2lsbCB5b3UgYmUgbXkgZnJpZW5kPyBJZiB5b3UgZG8sIEknbGwgYmUgeW91ciBmcmllbmQgdG9vfg==,,,,,W0JvbmVjbyBkZSBuZXZlXQpFbnTDo28sIHZvY8OqIHF1ZXIgc2VyIG1ldSBhbWlnbz8gU2UgZm9yLCBldSB0YW1iw6ltIHNlcmVpIHNldSBhbWlnb34=,,W05pZXZlLW5ldsOtbl0Kwr9UZSBndXN0YXLDrWEgZW50YWJsYXIgdW5hIGFtaXN0YWQ/IFNpIHTDuiBxdWllcmVzLCB5byBwdWVkbyBzZXIgdHUgYW1pZ3XDrW4u
g6eRAg,,W1Nub3d5c25vd10KT2guLi4/ClNvIHlvdSd2ZSBtZXQgRHVmZmxlPwpZZWFoLCBzb21ldGltZXMgc2hlCnN0b3BzIGJ5IGFuZCBzYXlzICdoaS4uLic=,,,,,W0JvbmVjbyBkZSBuZXZlXQpFc3RhIGhpc3TDs3JpYSBwYXJlY2UgdmlyIGRlLi4KJ0RvdWJsZSc=,,W05pZXZlLW5ldsOtbl0Kwr9BaC4uLj8Kwr9ZYSBjb25vY2lzdGUgYSBEdWZmbGU/ClPDrSwgYSB2ZWNlcyBlbGxhCnBhc2EgcG9yIGFxdcOtIHkgbWUgc2FsdWRhLg==
hKeRAg,,W1Nub3d5c25vd10KSXQncyB3ZWlyZCB0aGF0IHRoZSBwZW9wbGUgb2YgTHV0aWUgY2FsbCBtZSBhIG15c3RlcmlvdXMsIG1hZ2ljYWwgc25vd21hbi4gSSBtZWFuLCBpbnNpZGUsIGFyZW4ndCBJIGp1c3QgdGhlIHNhbWUgYXMgcmVndWxhciBwZW9wbGU/,,,,,W0JvbmVjbyBkZSBuZXZlXQpFaSEgRWkhIEVpLi4uIEFzIHBlc3NvYXMgZGUgTHV0aWUKRSBhdMOpIG1lc21vIGV1Li4uCkNoYW1hbS1tZSBkZSBCb25lY28gZGUgTmV2ZSBNw61zdGljby4KTWFzIHNvdSBzw7MgdW0gYm9uZWNvIGRlIG5ldmUuLi4=,,W05pZXZlLW5ldsOtbl0KRXMgY3VyaW9zbyBxdWUgbGEgZ2VudGUgZGUgTHV0aWUgY3JlYSBxdWUgc295IHVuIG11w7FlcXXDrW4gZGUgbmlldmUgbcOhZ2ljbyB5IG1pc3Rlcmlvc28uIEVzIGRlY2lyLCBlbiBtaSBpbnRlcmlvciwgwr9ubyBzb3kgaWd1YWwgcXVlIHRvZG8gZWwgbXVuZG8/
