AFKHAw,,TW9ydmFuZA==,,,,,TW9yYmFuZA==,,QWd1YSBkZSBNb3Jhdmlh
GFKHAw,,W01vcnZhbmRdCkkndmUgbWFkZSBteXNlbGYgY2xlYXIgYmVmb3JlLCBidXQgSSB3YW50IHlvdSB0byBraWxsIG1vbnN0ZXJzIGF0IE9kaW4gVGVtcGxlLgpJdCdzIGEgZGFuZ2Vyb3VzIHBsYWNlLCBidXQgdGhlcmUgaXMgYW4gT2RpbiBUZW1wbGUgRXhjYXZhdGlvbiBHcm91cCB3b3JraW5nLg==,,,,,W01vcmJhbmRdClR1ZG8gbyBxdWUgdm9jw6ogcHJlY2lzYSBmYXplciDDqSBzZSBsaXZyYXIgZG9zIG1vbnN0cm9zIG5vIFRlbXBsbyBkZSBPZGluLgpPIGx1Z2FyIMOpIHBlcmlnb3NvLCBtYXMgYSBlcXVpcGUgZGUgZXNjYXZhw6fDo28gYWluZGEgZXN0w6EgdHJhYmFsaGFuZG8gbMOhLg==,,W01vcnZhbmRdCkNyZW8gcXVlIHlhIGZ1aSBiYXN0YW50ZSBjbGFybywgcGVybyBxdWllcm8gcXVlIG1hdGVzIG1vbnN0cnVvcyBlbiBlbCBUZW1wbG8gZGUgT2TDrW4uCkVzIHVuIGx1Z2FyIHBlbGlncm9zbywgcGVybyBoYXkgdW4gZXF1aXBvIGRlIGV4Y2F2YWNpw7NuIGRlbCBUZW1wbG8gZGUgT2TDrW4gdHJhYmFqYW5kby4=
GVKHAw,,W01vcnZhbmRdCkl0J3Mgbm90IGxpa2Ugd2Ugc2hvdWxkIGxldCBtb25zdGVycyByb2FtIGFsbCB0aGUgd2F5IHRvIEh1Z2VsLiBUaGVyZSBhcmUgYSBsb3Qgb2YgdG91cmlzdHMgdGhlcmUuCkkgd291bGQgbG92ZSB0byB0YWcgYWxvbmcgYW5kIGdpdmUgeW91IGJ1ZmZzIGFuZCBoZWFsIHlvdSAuLi4=,,,,,W01vcmJhbmRdCkFsw6ltIGRpc3NvLCBuw6NvIHNlcmlhIHVtIGdyYW5kZSBwcm9ibGVtYSBzZSBlc3NlcyBtb25zdHJvcyBhcGFyZWNlc3NlbSBlbSBIdWdlbD8KSMOhIG11aXRvcyB0dXJpc3RhcyBhcXVpLi4u,,W01vcnZhbmRdCk5vIHBvZGVtb3MgZGVqYXIgcXVlIGxvcyBtb25zdHJ1b3MgbGxlZ3VlbiBoYXN0YSBIdWdlbC4gSGF5IG11Y2hvcyB0dXJpc3RhcyBhbGzDrS4KTWUgZW5jYW50YXLDrWEgYWNvbXBhw7FhcnRlIHBhcmEgZGFydGUgYnVmZnMgeSBjdXJhcnRlLi4u
GlKHAw,,W01vcnZhbmRdCmJ1dCB0aGF0IHBsYWNlIGlzIHJlYWxseSBkYW5nZXJvdXMhIFlvdSBtaWdodCBnZXQgY3Vyc2VkIGlmIHlvdSdyZSB1bmZvcnR1bmF0ZSEKSSBkb24ndCB0aGluayBJIGNhbiByZWFsbHkgZ2V0IGluIHRoZXJlLg==,,,,,W01vcmJhbmRdCkUgbMOhIMOpIHVtIGx1Z2FyIHRlcnLDrXZlbCEKVm9jw6ogcG9kZSBzZXIgYXTDqSBhbWFsZGnDp29hZG8u,,W01vcnZhbmRdCsKhUGVybyBlc2UgbHVnYXIgZXMgcmVhbG1lbnRlIHBlbGlncm9zbyEgwqFIYXN0YSBwdWVkZXMgdGVuZXIgbGEgZGVzZ3JhY2lhIGRlIHF1ZSB0ZSBtYWxkaWdhbiEKTm8gY3JlbyBxdWUgcHVlZGEgZW50cmFyIGFow60u
G1KHAw,,W01vcnZhbmRdCldoYXQncyBtb3JlLCBpdCB3YXMgcHJvcGhlc2llZCB0aGF0IEknbGwgZGllIGlmIHN1bmxpZ2h0IHRvdWNoZXMgbXkgYm9keS4KSWYgSSBnbyB3aXRoIHlvdSB0byBraWxsIG1vbnN0ZXJzIGFuZCBzdWRkZW5seSBhbnl0aGluZyBoYXBwZW5zLCBldmVuIHRvIG15IGNsb3RoZXMsIEknbGwgZGllLg==,,,,,W01vcmJhbmRdCkV1IHJlY2ViaSB1bWEgbWFsZGnDp8OjbyBkZSBxdWUgYSBsdXogZG8gc29sIHZhaSBtZSBtYXRhci4KU2UgZXUgZm9yIGzDoSwgb3MgbW9uc3Ryb3MgdsOjbyBkZXN0cnVpciBtaW5oYSByb3VwYS4=,,W01vcnZhbmRdCkVzIG3DoXMsIHNlIHByb2ZldGl6w7MgcXVlIG1vcmlyw6kgc2kgbGEgbHV6IHNvbGFyIHRvY2EgbWkgY3VlcnBvLgpTaSB2b3kgY29udGlnbyBhIG1hdGFyIG1vbnN0cnVvcyB5IGRlIHJlcGVudGUgcGFzYSBhbGdvLCBpbmNsdXNvIHNpIGxlIG9jdXJyZSBhbGdvIGEgbWkgcm9wYSwgbW9yaXLDqS4=
HFKHAw,,W01vcnZhbmRdCldvdWxkbid0IGl0IGJlIGJldHRlciBmb3IgeW91IHRvIHRha2UgbXkgam9iIHRoYW4gbWUgdHJ5aW5nIG15IGJlc3QgYnV0IGZhaWxpbmcgYW5kIGR5aW5nIG1pc2VyYWJseT8KSSB0cnVzdCB0aGF0IHlvdSdsbCBiZSBmaW5lLg==,,,,,W01vcmJhbmRdCk7Do28gdmFsZSBhIHBlbmEgZXUgbWUgYXJyaXNjYXIgdGFudG8gcG9yIGVzc2UgdHJhYmFsaG8sIG7Do28gY29uY29yZGE/Ck1lIGZheiBlc3NlIGZhdm9yLg==,,W01vcnZhbmRdCsK/Tm8gc2Vyw61hIG1lam9yIHF1ZSB0w7ogaGljaWVyYXMgZWwgdHJhYmFqbyBhIHF1ZSB5byBtZSBlc2ZvcnphcmEgYWwgbcOheGltbywgcGVybyBmcmFjYXNhcmEgeSBtdXJpZXJhIG1pc2VyYWJsZW1lbnRlPwpDb25mw61vIGVuIHF1ZSBlc3RhcsOhcyBiaWVuLg==
HVKHAw,,U2tvZ3VscyBTaWduaW5nIE9mZg==,,,,,TWVuaW5hIEfDs3RpY2E=,,TGEgZGVzcGVkaWRhIGRlIGxvcyBTa29ndWwu
HlKHAw,,RXhvcmNpc20=,,,,,UHVyaWZpY2FyIG8gTWFs,,RWwgZXhvcmNpc21vLg==
H1KHAw,,Tm90IHRoYXQgQ3V0ZSBBY3R1YWxseQ==,,,,,U2VyZXMgR2VsYXRpbm9zb3M=,,RW4gcmVhbGlkYWQsIG5vIGVzIHRhbiBhZG9yYWJsZS4=
IFKHAw,,V2h5IGFyZSB5b3UgaW4gd2F0ZXI/,,,,,UG9yIHF1ZSB2b2PDqiBlc3TDoSBuYSDDoWd1YT8=,,wr9Qb3IgcXXDqSBlc3TDoXMgZW4gZWwgYWd1YT8=
IVKHAw,,W01vcnZhbmRdCkluIE9kaW4gVGVtcGxlLCBeRkYwMDAwdGhlcmUncyBhIG1vbnN0ZXIgdGhhdCBtdXN0IG5vdCBiZSBuYW1lZCAuLi5eMDAwMDAwIC4uLiB3YWl0LCB5b3Ugd291bGRuJ3Qga25vdyB3aGljaCBtb25zdGVycyB0byBodW50IGlmIEkgZGlkbid0IHRlbGwgeW91IHRoZSBuYW1lLCB3b3VsZCB5b3U/,,,,,W01vcmJhbmRdCk8gVGVtcGxvIGRlIE9kaW4gZmljYSBuYSBeRkYwMDAwSWxoYSBBbmdyYm9kYS4uLl4wMDAwMDAsIG1hcyBpc3NvIHZvY8OqIGrDoSBzYWJpYSwgbsOpPw==,,W01vcnZhbmRdCkVuIGVsIFRlbXBsbyBkZSBPZMOtbiwgXkZGMDAwMGhheSB1biBtb25zdHJ1byBxdWUgbm8gZGViZSBzZXIgbm9tYnJhZG8uLi5eMDAwMDAwIEVzcGVyYSwgc2kgbm8gdGUgZGlnbyBlbCBub21icmUsIG5vIHNhYnLDoXMgYSBxdcOpIG1vbnN0cnVvcyBjYXphciwgwr92ZXJkYWQ/
IlKHAw,,W01vcnZhbmRdClRoZXkgYXJlIGNhbGxlZCBTa29ndWxzLiBUaGVyZSBpcyBhIHJ1bW9yIHRoYXQgdGhleSBkcmFnIHRoZWlyIGRhcmssIGZlYXRoZXJlZCB3aW5ncyBvbiB0aGUgZmxvb3IgdG8gY29tbXVuaWNhdGUgd2l0aCB0aGUgZGVtb25zIGRvd24gYmVsb3cuIEp1c3QgdGhlIHRob3VnaHQgb2YgaXQgZ2l2ZXMgbWUgZ29vc2VidW1wcy4=,,,,,W01vcmJhbmRdCkV4aXN0ZSB1bWEgZ2Fyb3RhIGRlbcO0bmlvIGNoYW1hZGEgU2tvZ3VsLiBEaXplbSBxdWUgYXMgcGVuYXMgZGFzIGFzYXMgdHJhbnNtaXRlbSBzaW5haXMgbm8gY2jDo28gcGFyYSBpbnZvY2FyIHNlcmVzIGRvIGluZmVybm8u,,W01vcnZhbmRdClNlIGxsYW1hbiBTa29ndWwuIFNlIGRpY2UgcXVlIGFycmFzdHJhbiBzdXMgb3NjdXJhcyBhbGFzIGVtcGx1bWFkYXMgcG9yIGVsIHN1ZWxvIHBhcmEgY29tdW5pY2Fyc2UgY29uIGxvcyBkZW1vbmlvcyBkZSBhYmFqby4gRGUgc29sbyBwZW5zYXJsbywgc2UgbWUgcG9uZSBsYSBwaWVsIGRlIGdhbGxpbmEu
I1KHAw,,W01vcnZhbmRdCkl0IG1lYW5zIHRoYXQgdGhleSBhcmUgdXNpbmcgdGhvc2Ugd2luZ3MgdG8gc2VuZCBzaWduYWxzIHRvIGRlbW9ucyBkb3duIGJlbG93IQpJIHdvbmRlciB3aGF0IHRoZXkncmUgc2F5aW5nPyBXaGF0IGlmIHRoZXkgc2FpZCB0aGV5J3JlIHJlYWR5IGZvciBhIFJ1bmUtTWlkZ2FyZCBpbnZhc2lvbj8=,,,,,W01vcmJhbmRdCkltYWdpbmEgb3MgZGVtw7RuaW9zIHF1ZSBlbGEgaW52b2NhIQpFIHNlIGVsYSBpbnZvY2FyIGFsZ28gcXVlIGRlc3RydWEgTWlkZ2FyZD8=,,W01vcnZhbmRdCsKhU2lnbmlmaWNhIHF1ZSBlc3TDoW4gdXNhbmRvIGVzYXMgYWxhcyBwYXJhIGVudmlhciBzZcOxYWxlcyBhIGxvcyBkZW1vbmlvcyBkZSBhYmFqbyEKTWUgcHJlZ3VudG8gcXXDqSBlc3RhcsOhbiBkaWNpZW5kby4gwr9ZIHNpIGRpamVyYW4gcXVlIGVzdMOhbiBsaXN0b3MgcGFyYSB1bmEgaW52YXNpw7NuIGEgUnVuZS1NaWRnYXJkPw==
JFKHAw,,W01vcnZhbmRdClBsZWFzZSBraWxsIF4wMDAwQ0RTa29ndWxzXjAwMDAwMCBiZWZvcmUgYW55dGhpbmcgdGVycmlibGUgaGFwcGVucyB0byB1cy4KS2lsbCBhYm91dCBeMDAwMENEMjBeMDAwMDAwIG9mIHRoZW0gZmlyc3QgdG8gc2V0IGFuIGV4YW1wbGUgYW5kIHF1aWV0IHRoaW5ncyBkb3duLg==,,,,,W01vcmJhbmRdCsOJIG1lbGhvciBub3MgbGl2cmFybW9zIGRhIF4wMDAwQ0RTa29ndWxeMDAwMDAwIGFudGVzIHF1ZSBhbGdvIHBpb3IgYWNvbnRlw6dhLgpWYW1vcyBjYcOnYXIgXjAwMDBDRDIwIGRlbGFzXjAwMDAwMCBlIG9ic2VydmFyIG8gcmVzdWx0YWRvLg==,,W01vcnZhbmRdClBvciBmYXZvciwgbWF0YSBhIGxvcyBeMDAwMENEU2tvZ3VsXjAwMDAwMCBhbnRlcyBkZSBxdWUgbm9zIG9jdXJyYSBhbGdvIHRlcnJpYmxlLgpQcmltZXJvLCBtYXRhIHByaW1lcm8gYSB1bm9zIF4wMDAwQ0QyMF4wMDAwMDAgcGFyYSBxdWUgbGVzIHNpcnZhIGRlIGVqZW1wbG8geSBjYWxtYXIgbGEgc2l0dWFjacOzbi4=
JVKHAw,,W01vcnZhbmRdCkkgY2FuIC4uLiBmZWVsIGl0ISBUaGVyZSBhcmUgZXZpbCBiZWluZ3MgdGhlcmUhCkp1c3QgbG9va2luZyBhdCB0aGVtIG1ha2VzIG1lIGZlZWwgbGlrZSBJJ20gYWxyZWFkeSBkZWFkLg==,,,,,W01vcmJhbmRdClRlbS4uLiB0ZW0gdW0gZGVtw7RuaW8gcXVlLi4uIQpTw7MgZGUgZmFsYXIgZGVsZSBtZSBkw6EgY2FsYWZyaW9zLg==,,W01vcnZhbmRdClB1ZWRvLi4uIMKhc2VudGlybG8hIMKhQWxsw60gaGF5IHNlcmVzIG1hbGlnbm9zIQpTb2xvIGNvbiBtaXJhcmxvcyBzaWVudG8gcXVlIHlhIGVzdG95IG11ZXJ0by4=
