oOTrBw,,RXN0,,,,,RXN0IExvdmVsb3k=,,RXN0
q+TrBw,,SGVhcnQgSHVudGVy,,,,,Q2HDp2EtQ29yYcOnw6Nv,,Q2F6YWNvcmF6b25lcw==
rOTrBw,,SGVhcnQgSHVudGVyOllvdeKAmWxsIGhhdmUgdG8gY29tZSBxdWlldGx5LCBvciBnbyBiYWNrLg==,,,,,Q2HDp2EtQ29yYcOnw6NvOiBWb2PDqiB2YWkgdGVyIHF1ZSBzZSByZW5kZXIh,,Q2F6YWNvcmF6b25lczogVGVuZHLDoW4gcXVlIGRlamFyc2UgYXRyYXBhciBkw7NjaWxtZW50ZSBvIHJlZ3Jlc2FyLg==
reTrBw,,SGVhcnQgSHVudGVyOk9mIGNvdXJzZSwgSSBkb27igJl0IG1lYW4gSeKAmWxsIHNlbmQgeW91IGJhY2sgdG8gd2hlcmUgeW91IHdlcmUu,,,,,Q2HDp2EtQ29yYcOnw6NvOiBPdSBpc3NvLCBvdSB2b3UgYWNhYmFyIGNvbSB2b2PDqiE=,,Q2F6YWNvcmF6b25lczogQ2xhcm8sIG5vIHF1aWVybyBkZWNpciBxdWUgbG9zIHZheWEgYSBkZXZvbHZlciBhIGRvbmRlIGVzdGFiYW4u
ruTrBw,,SGVhcnQgSHVudGVy,,,,,SW50cnVzbw==,,Q2F6YWRvciBkZSBjb3Jhem9uZXM=
r+TrBw,,W0VzdF0KSSBjYW7igJl0IHRlbGwgd2hldGhlciB3ZSBzZXQgYSB0cmFwLCBvciBnYXZlIHRoZW0gYW4gb3Bwb3J0dW5pdHkuClRyeSBhY3RpdmF0aW5nIHRoZSBUcmFja2VyIHlvdSBnb3QgZnJvbSBFbGl1bWluYS4=,,,,,W0VzdCBMb3ZlbG95XQpOw6NvIHNlaSBzZSBhcm1hbW9zIHVtYSBhcm1hZGlsaGEgb3Ugc2UgZGVtb3MgdW1hIG9wb3J0dW5pZGFkZS4KQXRpdmUgbyBSYWRhciBkYSBFbHl1bWluYS4=,,W0VzdF0KTm8gc8OpIHNpIGxlcyB0ZW5kaW1vcyB1bmEgdHJhbXBhIG8gc2kgbGVzIGRpbW9zIHVuYSBvcG9ydHVuaWRhZC4KQWN0aXZhIGVsIFJhc3RyZWFkb3IgcXVlIGRpY2VzIHF1ZSByZWNpYmlzdGUgZGUgRWxpdW1pbmEu
sOTrBw,,VHJhY2tlcjogSWYgaXTigJlzIGFzIG15LCB0aGUgZ3JlYXQgRWxpdW1pbmHigJlzIGludHVpdGlvbiBzYXlzLi4uIERkb28tZGRldXQtZGRvby1kZHlvby1kb28tZGRldXR+,,,,,UmFkYXI6IE8gUkFEQVIgRk9JIEFUSVZBRE8hISBCw4kgQsOJIELDiSBCw4kgQsOJIELDiSBCw4kgQsOJIELDiSB+,,UmFzdHJlYWRvcjogU2kgZXMgY29tbyBsbyBpbnR1eWUgZWwgZ3JhbiB5bywgRWxpdW1pbmEuLi4gdHV0dXQtdHV0dWR1dHV+
seTrBw,,VHJhY2tlcjogVGhlcmUhIFBwaXlvb29uZyEh,,,,,UmFkYXI6IMOJIFBPUiBBTEkhISEhIELDiSBCw4kgQsOJIELDiSBCw4l+,,UmFzdHJlYWRvcjogwqHCv0VzIGFow60/ISDCoVBpeW9vb25nISE=
suTrBw,,W0VzdF0KV2hhdCBhIG5vaXN5IHRoaW5nLgpXaWxsIHlvdSBtb3ZlIG9uIGZpcnN0PwpJIGhhdmUgc29tZXdoZXJlIHRvIGdvIGZvciBhIG1vbWVudC4=,,,,,W0VzdCBMb3ZlbG95XQpRdWUgZGlhYm8gw6kgaXNzbz8KVm9jw6ogdmFpIGzDoSBwcmltZWlybz8KVGVuaG8gdW0gbHVnYXIgcGFyYSBpciBhbnRlcy4=,,W0VzdF0KUXXDqSBlc2NhbmRhbG9zby4Kwr9UZSBtb3ZlcsOhcyBwcmltZXJvPwpUZW5nbyB1biBsdWdhciBhbCBxdWUgZGVibyBpciB1biBtb21lbnRvLg==
s+TrBw,,W0VzdF0KSeKAmWxsIGpvaW4geW91IHNvb24u,,,,,W0VzdCBMb3ZlbG95XQpWb3UgbWUganVudGFyIGEgdm9jw6ogZW0gYnJldmUu,,W0VzdF0KTWUgcmV1bmlyw6kgY29udGlnbyBlbnNlZ3VpZGEu
tOTrBw,,W0VzdF0KSSB3aWxsIGhhdmUgeW91IGpvaW4gdXMgc29vbi4=,,,,,W0VzdCBMb3ZlbG95XQpWb3UgbWUganVudGFyIGEgdm9jw6pzIGVtIGJyZXZlLg==,,W0VzdF0KTWUgdW5pcsOpIGVuIGJyZXZlLg==
teTrBw,,W0VzdF0KSSB0aG91Z2h0IGl0IHdvdWxkIGJlIGJldHRlciB0byB0aHJvdyBvdXQgYSBiaXQgbW9yZSBiYWl0LCBzbyBJIHdlbnQgdG8gYXNrIHRoZSBhdXRvbWF0cm9uIGRvbGwgZm9yIGhlbHAsCmFuZCBqdXN0IHRoZW4sIEFsbW9uZCBzYWlkIHRoZXJlIHdhcyBzb21ldGhpbmcgdGhleSBhYnNvbHV0ZWx5IGhhZCB0byBnbyBvdXQgYW5kIHNlZS4=,,,,,W0VzdCBMb3ZlbG95XQpUaXZlIGEgaWRlaWEgZGUgbGFuw6dhciB1bWEgaXNjYSwgZW50w6NvIHBlZGkgYWp1ZGEgZGUgdW1hIGF1dMO0bWF0YS4KRSBwb3Igc29ydGUsIGEgQW3Dqm5kb2EgZGlzc2UgcXVlIHByZWNpc2F2YSBzYWlyIHBhcmEgcmVzb2x2ZXIgYWxnby4=,,W0VzdF0KUGVuc8OpIHF1ZSBzZXLDrWEgbWVqb3IgbGFuemFyIHVuIHBvY28gbcOhcyBkZSBjZWJvLCBhc8OtIHF1ZSBmdWkgYSBwZWRpciBsYSBjb29wZXJhY2nDs24gZGUgbGEgbXXDsWVjYSBhdXRvbcOhdGljYSwKcGVybyBqdXN0byBlbnRvbmNlcyBBbG1lbmRyYSBkaWpvIHF1ZSB0ZW7DrWEgcXVlIHNhbGlyIGEgdmVyIGFsZ28u
tuTrBw,,W0FsbW9uZF0KVGhlIFJlbGF5IERldmljZSBpcyBhY3RpbmcgdXAgYWdhaW4uIFNvIEkgbmVlZCB0byBmaXggaXQuClRoZSBSZWxheSBEZXZpY2UgaXMgdGhlIGludHJ1ZGVycycgZmF2b3JpdGUgdGFyZ2V0LCBzbyB3ZSBjYW4ndCBqdXN0IGxlYXZlIGl0IGFsb25lLCBjYW4gd2U/,,,,,W0Ftw6puZG9hXQpPIFRyYW5zbWlzc29yIGVzdMOhIGRhbmRvIHByb2JsZW1hIGRlIG5vdm8uIEVudMOjbyBwcmVjaXNvIGNvbnNlcnRhci4KTyBUcmFuc21pc3NvciDDqSBvIGFsdm8gZmF2b3JpdG8gZG9zIGludmFzb3JlcywgZW50w6NvIG7Do28gZMOhIHBhcmEgZGVpeGFyIGFzc2ltLCBuw6NvIMOpPw==,,W0FsbWVuZHJhXQpEaXNwb3NpdGl2byBkZSBSZXRyYW5zbWlzacOzbiB2dWVsdmUgYSBlc3RhciBkYW5kbyBwcm9ibGVtYXMuIEFzw60gcXVlIHRlbmdvIHF1ZSBhcnJlZ2xhcmxvLgpEaXNwb3NpdGl2byBkZSBSZXRyYW5zbWlzacOzbiBlcyBlbCBvYmpldGl2byBmYXZvcml0byBkZSBsb3MgaW50cnVzb3MsIGFzw60gcXVlIG5vIHBvZGVtb3MgZGVqYXJsbyBhc8OtLCDCv3ZlcmRhZD8=
t+TrBw,,W0VzdF0KRm9yIHRoYXQgcmVhc29uLCBJIG5lZWQgeW91IHRvIGVzY29ydCBBbG1vbmQgaGVyZSB3aGlsZSB0aGV5IGluc3BlY3QgdGhlIFJlbGF5IERldmljZS4KSSdsbCBsb29rIGFyb3VuZCBmb3IgYW5vdGhlciByb3V0ZS4=,,,,,W0VzdCBMb3ZlbG95XQpQb3IgaXNzbywgZW5xdWFudG8gQW3Dqm5kb2EgdmVyaWZpY2EgbyBUcmFuc21pc3NvciwgcGXDp28gcXVlIGZhw6dhIGEgZXNjb2x0YS4KRXUgdm91IHByb2N1cmFyIHBvciBvdXRyYXMgcm90YXMgZW5xdWFudG8gaXNzby4=,,W0VzdF0KUG9yIGVzZSBtb3Rpdm8sIHRlIHBpZG8gcXVlIGVzY29sdGVzIGEgQWxtZW5kcmEgbWllbnRyYXMgcmV2aXNhIGVsIERpc3Bvc2l0aXZvIGRlIFJldHJhbnNtaXNpw7NuIGFxdcOtLgpZbyBidXNjYXLDqSBtaWVudHJhcyByZXZpc28gb3RyYXMgcnV0YXMu
uOTrBw,,W0FsbW9uZF0KV2hlbiB5b3UncmUgcmVhZHksIGxldCdzIGhlYWQgb3V0IHRvZ2V0aGVyLg==,,,,,W0Ftw6puZG9hXQpRdWFuZG8gZXN0aXZlciBjb20gdHVkbyBwcm9udG8sIHZhbW9zIHBhcnRpciBqdW50b3Mu,,W0FsbWVuZHJhXQpDdWFuZG8gZXN0w6lzIGxpc3RvLCBzYWxnYW1vcyBqdW50b3Mu
ueTrBw,,W0VzdF0KSWYgeW91J3JlIHJlYWR5IHRvIG1vdmUsIGRlcGFydCB3aXRoIEFsbW9uZC4=,,,,,W0VzdCBMb3ZlbG95XQpTZSBlc3RpdmVyIGNvbSB0dWRvIHByb250bywgdsOhIGp1bnRvIGNvbSBBbcOqbmRvYS4=,,W0VzdF0KU2kgZXN0w6FzIGxpc3RvIHBhcmEgbW92ZXJ0ZSwgcGFydGUganVudG8gY29uIEFsbWVuZHJhLg==
uuTrBw,,QmV0YSBBbG1vbmQ=,,,,,QmV0YSBBbcOqbmRvYQ==,,QmV0YSBBbG1lbmRyYQ==
u+TrBw,,W0FsbW9uZF0KV2Ugd2VyZSBhbGwgZ29pbmcgdG8gc3RheSBpbnNpZGUgdGhlIG1hbm9yIHRvZGF5LCBidXQgc29tZXRoaW5nIGltcG9ydGFudCBjYW1lIHVwLiBTbyBJIGNhbWUgb3V0IHdpdGggU2lyIEVzdC4=,,,,,W0Ftw6puZG9hXQpIb2plIGVyYSBwYXJhIHRvZG9zIGZpY2FyZW0gZGVudHJvIGRhIG1hbnPDo28sIG1hcyBzdXJnaXUgYWxnbyBpbXBvcnRhbnRlLiBQb3IgaXNzbyBzYcOtIGp1bnRvIGNvbSBhIGNvbWFuZGFudGUgRXN0IExvdmVsb3ku,,W0FsbWVuZHJhXQpIb3kgc2Ugc3Vwb27DrWEgcXVlIHRvZG9zIG5vcyBxdWVkYXLDrWFtb3MgZGVudHJvIGRlIGxhIG1hbnNpw7NuLCBwZXJvIHN1cmdpw7MgYWxnbyBpbXBvcnRhbnRlLiBQb3IgZXNvIHNhbMOtIGp1bnRvIGNvbiBFc3Qu
vOTrBw,,VGhlbiBJJ2xsIG1vdmUu,,,,,Qm9tLCB2YW1vcyBhbmRhbmRvLg==,,RW50b25jZXMgbWUgbW92ZXLDqS4=
veTrBw,,VHJhY2tlcjogUGlpaXlvb29uZyEgT3ZlciB0aGVyZSwgbnlhYXQhIQ==,,,,,UmFkYXI6IELDiSEhISBCw4khISBCw4khISBCw4khISBCw4khISBCw4khISEgw4kgQUxJISE=,,UmFzdHJlYWRvcjogwqFQaWlpeW9vb29uZyEgwqHCoUFow60sIG1pYXUhIQ==
vuTrBw,,SGFoYWhhaGEsIGhvdyBub2lzeS4=,,,,,QWhhaGFoYWgsIHF1ZSByYWRhciBiYXJ1bGhlbnRvLg==,,SmFqYWphamEsIHF1w6kgZXNjw6FuZGFsby4=
v+TrBw,,SSdtIGN1cmlvdXMsIHNvIHdlIHNob3VsZCBodXJyeSwgc2hvdWxkbid0IHdlPw==,,,,,RGVzY3VscGUgYSBjdXJpb3NpZGFkZSwgdGVtb3MgcXVlIGNvcnJlciwgbsOjbyDDqT8=,,VGVuZ28gY3VyaW9zaWRhZCwgwr9hc8OtIHF1ZSBkZWJlcsOtYW1vcyBpciByw6FwaWRvPw==
wOTrBw,,QmUgY2FyZWZ1bCE=,,,,,VGVuaGEgY3VpZGFkbyE=,,wqFUZW4gY3VpZGFkbyE=
weTrBw,,SSdsbCBjaGVjayB0aGUgUmVsYXkgRGV2aWNlLg==,,,,,Vm91IHZlcmlmaWNhciBvIFRyYW5zbWlzc29yLg==,,UmV2aXNhcsOpIGVsIERpc3Bvc2l0aXZvIGRlIFJldHJhbnNtaXNpw7NuLg==
wuTrBw,,VHJhY2tlcjogS3lhIGt5YWt5YWt5YWt5YWt5YWt5YWshIEkgd29uJ3QgbGV0IHRoZSBjdWxwcml0IGdldCBhd2F5ISBJdCdzIG9uIG15IHJhZGFyISBUaGF0IHdheSE=,,,,,UmFkYXI6IELDiSEhISBCw4khISBOw4NPIFZPVSBERUlYQVIgRVNDQVBBUiEhIEVOVFJPVSBOTyBNRVUgUkFEQVIhISDDiSBQQVJBIEzDgSEh,,UmFzdHJlYWRvcjogwqFLeWEga3lha3lha3lha3lha3lha3lhayEgwqFObyBkZWphcsOpIGVzY2FwYXIgYWwgY3VscGFibGUhIMKhRW50csOzIGVuIG1pIHJhZGFyISDCoUVzIHBvciBhbGzDrSE=
w+TrBw,,QW4gaW50cnVkZXIgc2hvd2VkIHVwIGFnYWluISBTb21laG93LCBBbG1vbmQgaXMgc3RhcnRpbmcgdG8gZ2V0IGV4Y2l0ZWR+IQ==,,,,,T3V0cm8gaW52YXNvciEgUGFyZWNlIHF1ZSBBbcOqbmRvYSBuw6NvIGVzdMOhIGNvbSBtZWRvfiE=,,wqFIYSBhcGFyZWNpZG8gb3RybyBpbnRydXNvISDCoVBvciBhbGd1bmEgcmF6w7NuLCBBbG1lbmRyYSBlc3TDoSBlbXBlemFuZG8gYSBlbW9jaW9uYXJzZX4h
xOTrBw,,SSdsbCBzdGF5IGhlcmUgcXVpZXRseSwgc28gYmUgY2FyZWZ1bCwgb2theT8=,,,,,Vm91IGZpY2FyIHF1aWV0aW5oYSBhcXVpLCBlbnTDo28gdGVuaGEgY3VpZGFkbywgZXN0w6EgYmVtPw==,,TWUgcXVlZGFyw6kgYXF1w60gdHJhbnF1aWxhbWVudGUsIGFzw60gcXVlIHRlbiBjdWlkYWRvLCDCv3PDrT8=
xeTrBw,,R3Vlc3QsIHlvdSdyZSBzYWZlPyBUaGVuIHdlIGNhbiBrZWVwIGdvaW5nLg==,,,,,VmlhamFudGUsIHZvY8OqIGVzdMOhIGJlbT8gU2Ugc2ltLCBwb2RlbW9zIGNvbnRpbnVhci4=,,U2XDsW9yLCDCv2VzdMOhcyBhIHNhbHZvPyBFbnRvbmNlcyBwb2RyZW1vcyBzZWd1aXIu
xuTrBw,,U2hhbGwgd2UgdGFsayB0byBTaXIgRXN0PyBJdCBzZWVtcyBsaWtlIGhlIHdhcyB3YWl0aW5nLg==,,,,,UXVlIHRhbCBmYWxhciBjb20gYSBjb21hbmRhbnRlIEVzdCBMb3ZlbG95PyBQYXJlY2UgcXVlIGVsYSBlc3RhdmEgZXNwZXJhbmRvLg==,,wr9IYWJsYW1vcyBjb24gRXN0PyBQYXJlY2UgcXVlIGVzdGFiYSBlc3BlcmFuZG8u
x+TrBw,,SXQncyBvdmVyIHRoZXJlLg==,,,,,w4kgcGFyYSBsw6Eu,,RXMgcG9yIGFsbMOtLg==
yOTrBw,,TGV04oCZcyBnbyBjaGVjayBvbiB0aGUgUmVsYXkgRGV2aWNlIHRoYXQgZ2V0cyBoYWNrZWQgc28gb2Z0ZW4u,,,,,VmFtb3MgdmVyIGFxdWVsZSBUcmFuc21pc3NvciBxdWUgw6kgaGFja2VhZG8gY29tIGZyZXF1w6puY2lhLg==,,VmFtb3MgYSB2ZXIgZWwgRGlzcG9zaXRpdm8gZGUgUmV0cmFuc21pc2nDs24gcXVlIHN1ZWxlIHNlciBoYWNrZWFkbyBhIG1lbnVkby4=
yeTrBw,,SHVoPyBZb3UgbWVhbiB0aGUgb25lIHlvdSBoYXZlLCByaWdodD8gVGFrZSBpdCBvdXQgYW5kIHNob3cgbWUgdGhlIEFsbW9uZC4=,,,,,SMOjPyBWb2PDqiBlc3TDoSBmYWxhbmRvIGRvIHF1ZSB2b2PDqiB0w6EgY2FycmVnYW5kbz8gUG9yIGZhdm9yLCB0aXJlIGRhIGJvbHNhIGUgbWUgbW9zdHJlLg==,,wr9FaD8gwr9UZSByZWZpZXJlcyBhIGxvIHF1ZSBsbGV2YXMgY29udGlnbz8gU8OhY2FsbyB5IG11w6lzdHJhbWUgZWwgQWxtZW5kcmEu
yuTrBw,,U2lyL01h4oCZYW0sIHRoZXJl4oCZcyBhbiBpbnRydWRlciE=,,,,,VmlhamFudGUsIGjDoSB1bSBpbnRydXNvIQ==,,wqFTZcOxb3IsIGhheSB1biBpbnRydXNvIQ==
y+TrBw,,Li4uIFNpZ25hbCBjb25maXJtZWQu,,,,,Li4uIFZlcmlmaWNhbmRvIG8gc2luYWwu,,Li4uIENvbmZpcm1hbmRvIHNlw7FhbC4=
zOTrBw,,Li4uIEhhY2tpbmcgY2hhbm5lbCBjb25maXJtZWQu,,,,,Li4uIFZlcmlmaXF1ZWkgbyBjYW5hbCBoYWNrZWFkby4=,,Li4uU2UgaGEgY29uZmlybWFkbyBlbCBjYW5hbCBkZSBoYWNrZW8u
zeTrBw,,Li4uIFJlc3RvcmluZy4uLg==,,,,,Li4uIFJlc3RhdXJhbmRvLi4u,,Li4uRW4gcmVjdXBlcmFjacOzbi4uLg==
zuTrBw,,Li4uIFJlc3RvcmluZy4uODQl,,,,,Li4uIFJlc3RhdXJhbmRvLi4uODQl,,Li4uRW4gcmVjdXBlcmFjacOzbi4uODQl
z+TrBw,,Li4uIFJlc3RvcmF0aW9uIGNvbXBsZXRlLg==,,,,,Li4uIFJlc3RhdXJhw6fDo28gY29uY2x1w61kYS4=,,Li4uTGEgcmVjdXBlcmFjacOzbiBzZSBoYSBjb21wbGV0YWRvLg==
0OTrBw,,VGhlbiBzaGFsbCB3ZSBnbyB0byB0aGUgbmV4dCBSZWxheSBEZXZpY2U/,,,,,RW50w6NvLCB2YW1vcyBwYXJhIG8gcHLDs3hpbW8gVHJhbnNtaXNzb3I/,,RW50b25jZXMsIMK/dmFtb3MgYWwgc2lndWllbnRlIERpc3Bvc2l0aXZvIGRlIFJldHJhbnNtaXNpw7NuPw==
0eTrBw,,QWR2ZW50dXJlciwgZG8geW91IGxpa2UgQWxtb25kPyBBIGN1c3RvbWVyIHdobyBsaWtlZCBBbG1vbmQgZ2F2ZSBtZSBteSBuYW1lLiBEb2VzIGl0IHN1aXQgbWU/,,,,,VmlhamFudGUsIHZvY8OqIGdvc3RhIGRlIEFtw6puZG9hcz8gVW0gZ2Fyb3RvIHF1ZSBnb3N0YXZhIGRlIEFtw6puZG9hcyBtZSBkZXUgZXN0ZSBub21lLiBDb21iaW5hIGNvbWlnbz8=,,U2XDsW9yLCDCv3RlIGd1c3RhIGVsIEFsbWVuZHJhPyBVbiBzZcOxb3IgYWwgcXVlIGxlIGd1c3RhYmEgZWwgQWxtZW5kcmEgbWUgcHVzbyBtaSBub21icmUuIMK/TWUgcXVlZGEgYmllbj8=
0uTrBw,,VGhhdCBjaGlsZCBmcm9tIGVhcmxpZXIsIEnigJl2ZSBzZWVuIHRoZW0gYmVmb3JlLg==,,,,,w4kgdW0gZ2Fyb3RvIG5hIGJpYmxpb3RlY2EsIGV1IGrDoSBvIHZpIGFudGVzLg==,,QSBlc2UgbmnDsW8gZGUgYW50ZXMsIHlhIGxvIGhhYsOtYSB2aXN0byBhbnRlcy4=
0+TrBw,,QnV0IHRoZXkgcmVhbGx5IHJ1biBhd2F5IHdlbGwsIHNvIHRoaXMgaXMgdGhlIGZpcnN0IHRpbWUgSeKAmXZlIGdvdHRlbiBhIGdvb2QgbG9va34/,,,,,TWFzIGVsZSDDqSB0w6NvIGJvbSBlbSBmdWdpciwgc2Vyw6EgcXVlIHVtIGRpYSBldSBvIHZlcmVpIG5vdmFtZW50ZX4/,,UGVybyBkZSB2ZXJkYWQgc2UgZXNjYXBhIG11eSBiaWVuLCBhc8OtIHF1ZSBlcyBsYSBwcmltZXJhIHZleiBxdWUgbG8gdmVvIGJpZW5+
