QL7WDA,,U29saXM=,,,,,U29saXM=,,U29saXM=
S77WDA,,W1NvbGlzXQpOb3cgdGhhdCB3ZeKAmXZlIGFjdHVhbGx5IGNvbWUgaGVyZSwgdGhlIHRvd2VyIGlzIGluZGVlZCBtYWduaWZpY2VudCBqdXN0IGFzIHdlIGhlYXJkLCB0aGUgcnVpbnMgb2YgdW5rbm93biBwdXJwb3NlIGFyZSBmYXNjaW5hdGluZywgYW5kIHRoZSBtb25zdGVycyBhcmUgaW5jcmVkaWJseSBzdHJvbmcuLi4=,,,,,W1NvbGlzXQpNYXMgYW8gY2hlZ2FyIGFxdWkuLi4gYSB0b3JyZSDDqSBtb251bWVudGFsLCBhcyBydcOtbmFzIHPDo28gbWlzdGVyaW9zYXMgZSBvcyBtb25zdHJvcyBzw6NvIGZvcnRlcyBkZW1haXMuLi4=,,W1NvbGlzXSAgClBlcm8gYWwgbGxlZ2FyIGFxdcOtLi4uIGxhIHRvcnJlIGVzIG1vbnVtZW50YWwsIGxhcyBydWluYXMgc29uIG1pc3Rlcmlvc2FzIHkgbG9zIG1vbnN0cnVvcyBzb24gZGVtYXNpYWRvIGZ1ZXJ0ZXMuLi4=
TL7WDA,,W1NvbGlzXQpXZSBjYW1lIHdpdGggYmlnIGRyZWFtcyBhbmQgZXhjaXRlbWVudCwgYnV0IHdoYXQgd2UgY29uZmlybWVkIGlzIHRoYXQgcGVvcGxlIGRvbuKAmXQgZGllIHRoYXQgZWFzaWx5LiBUaGF0IG11Y2ggaXMgY2VydGFpbi4=,,,,,W1NvbGlzXQpWaWVtb3MgY2hlaWFzIGRlIHNvbmhvcyBlIGV4cGVjdGF0aXZhcywgbWFzIGEgw7puaWNhIGNvaXNhIHF1ZSBhcHJlbmRlbW9zIGZvaSBxdWUgYXMgcGVzc29hcyBuw6NvIG1vcnJlbSB0w6NvIGZhY2lsbWVudGUu,,W1NvbGlzXSAgClZpbmltb3MgbGxlbmFzIGRlIHN1ZcOxb3MgeSBleHBlY3RhdGl2YXMsIHBlcm8gbG8gw7puaWNvIHF1ZSBhcHJlbmRpbW9zIGVzIHF1ZSBsYXMgcGVyc29uYXMgbm8gbXVlcmVuIHRhbiBmw6FjaWxtZW50ZS4=
Tb7WDA,,W0pheV0KSXQgbWlnaHQgaGF2ZSBiZWVuIGVhc2llciBpZiB3ZSBoYWQganVzdCBkaWVkIGFuZCBjb2xsYXBzZWQuIEkgd2FzIHNvIHRocmlsbGVkIGFuZCBtaXNlcmFibGUgdGhhdCBJIGVuZGVkIHVwIGNyeWluZy4gSSB0b2xkIHlvdSB3ZSBzaG91bGQgaGF2ZSB3YWl0ZWQgYW5kIGNvbWUgd2l0aCBvdGhlcnMu,,,,,W1RheV0KVGFsdmV6IGZvc3NlIG1haXMgZsOhY2lsIHNlIHRpdsOpc3NlbW9zIG1vcnJpZG8uIEZvaSB0w6NvIGVtb2Npb25hbnRlIGUgdHJpc3RlIHF1ZSBhdMOpIGNob3JlaS4gRXUgZGlzc2UgcXVlIGRldsOtYW1vcyBlc3BlcmFyIGUgdmlyIGNvbSBvdXRyb3Mu,,W1RheV0gIApRdWl6w6FzIHNlcsOtYSBtw6FzIGbDoWNpbCBzaSBodWJpw6lyYW1vcyBtdWVydG8uIEZ1ZSB0YW4gZW1vY2lvbmFudGUgeSB0cmlzdGUgcXVlIGhhc3RhIGxsb3LDqS4gRGlqZSBxdWUgZGViw61hbW9zIGVzcGVyYXIgeSB2ZW5pciBjb24gb3Ryb3Mu
Tr7WDA,,W1NvbGlzXQpObywgSSB0aG91Z2h0IEkgY291bGQgaGFuZGxlIGl0IG15c2VsZi4gQmVjYXVzZSBJ4oCZbSB0aGUgc3Ryb25nZXN0IGluIG91ciBzb2NpZXR5ISBJIGV2ZW4gZXhlcmNpc2UgZXZlcnkgbW9ybmluZyB3aXRob3V0IGZhaWwh,,,,,W1NvbGlzXQpOw6NvLCBldSBhY2hlaSBxdWUgY29uc2VndWlyaWEgZGFyIGNvbnRhISBBZmluYWwsIHNvdSBhIG1haXMgZm9ydGUgZGEgbm9zc2EgU29jaWVkYWRlISBFdSBtZSBleGVyY2l0byB0b2RvIGRpYSEgTsOjbyB0ZW5obyB1bWEgZXN0cmlhLCBzb3UgYm9uaXRhIHByYSBjYXJhbWJhIQ==,,W1NvbGlzXSAgCsKhTm8sIHlvIHBlbnPDqSBxdWUgcG9kcsOtYSBsb2dyYXJsbyEgwqFBbCBmaW4geSBhbCBjYWJvLCBzb3kgbGEgbcOhcyBmdWVydGUgZGUgbnVlc3RyYSBTb2NpZWRhZCEgwqFFamVyY2l0byB0b2RvcyBsb3MgZMOtYXMhIE5vIHRlbmdvIHVuYSBlc3Ryw61hLCDCoXNveSBiaWVuIGJvbml0YSE=
T77WDA,,W0pheV0KV2XigJlyZSBzdGlsbCBkZXNrIHdvcmtlcnMuIE5vIG1hdHRlciBob3cgbXVjaCBhIHdlYWtsaW5nIGV4ZXJjaXNlcywgaXTigJlzIGp1c3QgPFdlYWtsaW5nJ3MgSFAgKzE+LiBSaWdodD8=,,,,,W1RheV0KTWVzbW8gYXNzaW0sIHNvbW9zIHPDsyBhY2Fkw6ptaWNhcy4gTm8gbcOheGltbywgdm9jw6ogZGV2ZSB0ZXIgSU5UICsxLCBuw6NvIMOpPw==,,W1RheV0gIApBdW4gYXPDrSwgc29sbyBzb21vcyBhY2Fkw6ltaWNhcy4gQ29tbyBtdWNobywgZGViZXMgdGVuZXIgSU5UICsxLCDCv25vPw==
UL7WDA,,W1NvbGlzXQpZb3XigJlyZSBoZXJlIHRvby4gWW914oCZcmUgdGhlIHNlY29uZCBzdHJvbmdlc3QgYWZ0ZXIgbWUuIFRoYXTigJlzIHdoeSB3ZSB3ZXJlIHNlbnQgdG9nZXRoZXIu,,,,,W1NvbGlzXQpNYXMgdm9jw6ogdGFtYsOpbSDDqSBmb3J0ZSEgw4kgYSBzZWd1bmRhIG1haXMgZm9ydGUgZGVwb2lzIGRlIG1pbSEgUG9yIGlzc28gZm9tb3MgZW52aWFkYXMganVudGFzIQ==,,W1NvbGlzXSAgCsKhUGVybyB0w7ogdGFtYmnDqW4gZXJlcyBmdWVydGUhIMKhRXJlcyBsYSBzZWd1bmRhIG3DoXMgZnVlcnRlIGRlc3B1w6lzIGRlIG3DrSEgwqFQb3IgZXNvIG5vcyBlbnZpYXJvbiBqdW50YXMh
Ub7WDA,,W0pheV0KRXZlbiBjb21iaW5lZCwgd2XigJlyZSBqdXN0IFdlYWtsaW5nIDErMS4gUmlnaHQ/IElmIEkga25ldyBpdOKAmWQgYmUgbGlrZSB0aGlzLCBJIHdvdWxk4oCZdmUganVzdCBjb21lIHdpdGggYSBQb3Jpbmcu,,,,,W1RheV0KTWVzbW8ganVudGFzIHNvbW9zIGZyYWNhcyBubyBtYW5vIGEgbWFuby4gTsOjbyDDqT8gU2Ugc291YsOpc3NlbW9zLCB0ZXLDrWFtb3MgdmluZG8gY29tIHVtIENhdmFsZWlybyBEcmFjb25pYW5vIG91IHVtIEd1YXJkacOjbyBJbXBlcmlhbC4=,,W1RheV0gIApBdW4ganVudGFzIHNvbW9zIGTDqWJpbGVzIGVuIGVsIGNvbWJhdGUgZGlyZWN0by4gwr9WZXJkYWQ/IFNpIGxvIGh1YmnDqXJhbW9zIHNhYmlkbywgaGFicsOtYW1vcyB2ZW5pZG8gY29uIHVuIENhYmFsbGVybyBEcmFjb25pYW5vIG8gdW4gR3VhcmRpw6FuIEltcGVyaWFsLg==
Ur7WDA,,W1NvbGlzXQpJIHdhbnRlZCB0byBzdHVkeSB0aGUgcGF0dGVybnMgb2YgdGhlc2UgbmV3IG1vbnN0ZXJzLi4uIGJ1dCBzaWdoLCB0aGV54oCZcmUgZmFyLCBmYXIgdG9vIHN0cm9uZyBmb3IgbWUuIElmIEkga25ldyB0aGVpciBwYXR0ZXJucywgSSBjb3VsZCBkZWZlYXQgdGhlbS4=,,,,,W1NvbGlzXQpRdWVyw61hbW9zIGVzdHVkYXIgb3MgcGFkcsO1ZXMgZG9zIG5vdm9zIGFuam9zLi4uIG1hcyBzw6NvIGZvcnRlcyBkZW1haXMgcGFyYSBlbmZyZW50YXJtb3MuIFNlIGbDtHNzZW1vcyBtYWlzIGZvcnRlcywgZGFyaWEgcGFyYSBkZXJyb3TDoS1sb3Mu,,W1NvbGlzXSAgClF1ZXLDrWFtb3MgZXN0dWRpYXIgbG9zIHBhdHJvbmVzIGRlIGxvcyBudWV2b3Mgw6FuZ2VsZXMuLi4gcGVybyBzb24gZGVtYXNpYWRvIGZ1ZXJ0ZXMgcGFyYSBlbmZyZW50YXJsb3MuIFNpIGZ1w6lyYW1vcyBtw6FzIGZ1ZXJ0ZXMsIHBvZHLDrWFtb3MgdmVuY2VybG9zLg==
U77WDA,,W0pheV0KVGhhdOKAmXMgbm90IHRoZSBvbmx5IHByb2JsZW0u,,,,,W1RheV0KRXNzZSBuw6NvIMOpIG8gw7puaWNvIHByb2JsZW1hLg==,,W1RheV0gIApFc2Ugbm8gZXMgZWwgw7puaWNvIHByb2JsZW1hLg==
VL7WDA,,W1NvbGlzXQpTbyB3ZSB3YWl0ZWQgaGVyZSBmb3IgYW4gYWR2ZW50dXJlciB3aG8gbmVlZGVkIHdvcmsuIEFuIGFkdmVudHVyZXIgd2hvIGxvb2tzIHN0cm9uZ2VyIHRoYW4gdGhlIG1vbnN0ZXJzLiBDb3VsZCB5b3UgaGVscCB1cz8gTm8sIHdl4oCZbGwgaGlyZSB5b3UhISE=,,,,,W1NvbGlzXQpFbnTDo28sIGZpY2Ftb3MgZXNwZXJhbmRvIHBvciBhbGd1w6ltIGZvcnRlIG8gYmFzdGFudGUgYXBhcmVjZXIuIEFsZ3XDqW0gbWFpcyBmb3J0ZSBxdWUgb3MgbW9uc3Ryb3MhIFBvZGVyaWEgbm9zIGFqdWRhcj8gTsOjbywgbsOzcyBxdWVyZW1vcyB0ZSBjb250cmF0YXIhISE=,,W1NvbGlzXSAgCkFzw60gcXVlIG5vcyBxdWVkYW1vcyBlc3BlcmFuZG8gYSBxdWUgYWxndWllbiBsbyBzdWZpY2llbnRlbWVudGUgZnVlcnRlIGFwYXJlY2llcmEuIMKhQWxndWllbiBtw6FzIGZ1ZXJ0ZSBxdWUgbG9zIG1vbnN0cnVvcyEgwr9Qb2Ryw61hcyBheXVkYXJub3M/IMKhTm8sIHF1ZXJlbW9zIGNvbnRyYXRhcnRlIQ==
Vb7WDA,,W1NvbGlzXQpUaGUga25vd2xlZGdlIG9mIHRoZSBzb2NpZXR5IGRlcGVuZHMgb24geW91ISBQbGVhc2UgZG9u4oCZdCBpZ25vcmUgdGhpcyBvZmZlciEgV2XigJlsbCBwYXkgeW91IQ==,,,,,W1NvbGlzXQpPIGNvbmhlY2ltZW50byBkYSBTb2NpZWRhZGUgZGVwZW5kZSBkZSB2b2PDqiEgUG9yIGZhdm9yLCBuw6NvIHJlY3VzZSBub3NzYSBwcm9wb3N0YSEgT2ZlcmVjZXJlbW9zIHJlY29tcGVuc2Eh,,W1NvbGlzXSAgCsKhRWwgY29ub2NpbWllbnRvIGRlIGxhIFNvY2llZGFkIGRlcGVuZGUgZGUgdGkhIFBvciBmYXZvciwgwqFubyByZWNoYWNlcyBudWVzdHJhIHByb3B1ZXN0YSEgwqFUZSBvZnJlY2VyZW1vcyByZWNvbXBlbnNhIQ==
Vr7WDA,,W0pheV0KV2UgbWF5IG5vdCBoYXZlIG11Y2gsIGJ1dCB3ZSBoYXZlIHBsZW50eSBvZiBleHBlcmllbmNlIGZyb20ga25vd2xlZGdlLg==,,,,,W1RheV0KVGFsdmV6IG7Do28gdGVuaGFtb3MgcmlxdWV6YXMsIG1hcyB0ZW1vcyBleHBlcmnDqm5jaWEgYmFzZWFkYSBlbSBjb25oZWNpbWVudG8u,,W1RheV0gIApRdWl6w6FzIG5vIHRlbmdhbW9zIHJpcXVlemFzLCBwZXJvIHRlbmVtb3MgZXhwZXJpZW5jaWEgYmFzYWRhIGVuIGNvbm9jaW1pZW50by4=
V77WDA,,T2YgY291cnNlIQ==,,,,,Q2xhcm8h,,wqFDbGFybyE=
WL7WDA,,SeKAmW0gc2NhcmVkIHRvby4uLg==,,,,,RXUgdGFtYsOpbSBlc3RvdSBjb20gbWVkby4uLg==,,VGFtYmnDqW4gdGVuZ28gbWllZG8uLi4=
Wb7WDA,,W1NvbGlzXQpUaGVuIGxldOKAmXMgd2FpdCB1bnRpbCBvdGhlciBhZHZlbnR1cmVycyBwYXNzIGJ5LiBJZiB5b3XigJlyZSBib3JlZCwgd2FudCB0byBwbGF5IGEgZ2FtZT8=,,,,,W1NvbGlzXQpFbnTDo28gdmFtb3MgZXNwZXJhciBvdXRyb3MgYXZlbnR1cmVpcm9zIHBhc3NhcmVtLiBRdWVyIGpvZ2FyIENoYW1DaGFtQ2hhbSBlbnF1YW50byBpc3NvPw==,,W1NvbGlzXSAgCkVudG9uY2VzIGVzcGVyZW1vcyBhIHF1ZSBwYXNlbiBvdHJvcyBhdmVudHVyZXJvcy4gwr9RdWllcmVzIGp1Z2FyIENoYW1DaGFtQ2hhbSBtaWVudHJhcyB0YW50bz8=
Wr7WDA,,W1NvbGlzXQpBaCwgd2hhdCBhIHJlbGllZi4gVHJ1bHkgYSByZWxpZWYuIFdoYXQgc2hvdWxkIHdlIGFzayB5b3UgdG8gZG8/,,,,,W1NvbGlzXQpBaCwgcXVlIGFsw612aW8hIFF1ZSBib20hIFF1ZSBtaXNzw6NvIHBvZGVtb3MgZGFyPw==,,W1NvbGlzXSAgCsKhQXksIHF1w6kgYWxpdmlvISDCoVF1w6kgYmllbiEgwr9RdcOpIG1pc2nDs24gcG9kZW1vcyBkYXJ0ZT8=
W77WDA,,W0pheV0KQXNrIGV2ZXJ5dGhpbmcuIFdobyBrbm93cyB3aGVuIHdl4oCZbGwgbWVldCBhbm90aGVyIGFkdmVudHVyZXIgd2lsbGluZyB0byBoZWxwIHVzPw==,,,,,W1RheV0KVG9kYXMhIE7Do28gc2FiZW1vcyBxdWFuZG8gZW5jb250cmFyZW1vcyBvdXRyYSBwZXNzb2EgZGlzcG9zdGEgYSBhanVkYXIu,,W1RheV0gIArCoVRvZGFzISBObyBzYWJlbW9zIGN1w6FuZG8gZW5jb250cmFyZW1vcyBhIG90cmEgcGVyc29uYSBkaXNwdWVzdGEgYSBheXVkYXIu
XL7WDA,,W1NvbGlzXQpTdGlsbC4uLiBsZXTigJlzIGFzayB0aGUgYWR2ZW50dXJlci4gWW91IG11c3QgaGF2ZSBwcmVmZXJlbmNlcy4gV2hpY2ggZmxvb3LigJlzIG1vbnN0ZXJzIHdvdWxkIHlvdSBsaWtlIHRvIGhhbmRsZT8=,,,,,W1NvbGlzXQpNYXMuLi4gw6kgbWVsaG9yIHBlcmd1bnRhci4gVmlhamFudGVzIGRldmVtIHRlciBwcmVmZXLDqm5jaWEuIEVtIHF1YWwgYW5kYXIgZ29zdGFyaWEgZGUgZW5mcmVudGFyIG9zIG1vbnN0cm9zPw==,,W1NvbGlzXSAgClBlcm8uLi4gZXMgbWVqb3IgcHJlZ3VudGFyLiBMb3MgdmlhamVyb3MgZGViZW4gdGVuZXIgcHJlZmVyZW5jaWEuIMK/RW4gcXXDqSBwaXNvIHRlIGd1c3RhcsOtYSBlbmZyZW50YXIgYSBsb3MgbW9uc3RydW9zPw==
Xb7WDA,,OXRoIEZsb29y,,,,,OcK6IGFuZGFy,,OcK6IHBpc28=
Xr7WDA,,MTB0aCBGbG9vcg==,,,,,MTDCuiBhbmRhcg==,,MTDCuiBwaXNv
X77WDA,,MTF0aCBGbG9vcg==,,,,,MTHCuiBhbmRhcg==,,MTHCuiBwaXNv
YL7WDA,,MTJ0aCBGbG9vcg==,,,,,MTLCuiBhbmRhcg==,,MTLCuiBwaXNv
Yb7WDA,,Tm9uZS4uLg==,,,,,TmVuaHVtLi4u,,TmluZ3Vuby4uLg==
Yr7WDA,,W1NvbGlzXQpUaGUgOXRoIGZsb29yPyBBaCwgSSB3YXMgcmVhbGx5IGN1cmlvdXMgYWJvdXQgdGhhdCBwbGFjZSB0b28hIEV2ZW4gdGhvdWdoIGl0IHdhcyByaWdodCBpbiBmcm9udCBvZiBtZSwgSSBjb3VsZG7igJl0IGdvLg==,,,,,W1NvbGlzXQo5wrogYW5kYXI/IEFoLCBldSBxdWVyaWEgbXVpdG8gaXIgbMOhISBNYXMgbsOjbyBjb25zZWd1aSBlbnRyYXIu,,W1NvbGlzXSAgCsK/OcK6IHBpc28/IMKhQWgsIHlvIHF1ZXLDrWEgaXIgbXVjaG8gYWxsw60hIFBlcm8gbm8gcHVkZSBlbnRyYXIu
Y77WDA,,W1NvbGlzXQpPbiB0aGUgOXRoIGZsb29yLCB5b3UgbmVlZCB0byBkZWFsIHdpdGggXjAwMDBDRENyb3cgRHVrZSBhbmQgQ3JvdyBCYXJvbl4wMDAwMDAuIEFib3V0IF4wMDAwQ0QyMCBlYWNoXjAwMDAwMCBzaG91bGQgYmUgZW5vdWdoLg==,,,,,W1NvbGlzXQpObyA5wrogYW5kYXIsIGVuZnJlbnRlIF4wMDAwQ0REdXF1ZSBDb3J2byBlIEJhcsOjbyBDb3J2b14wMDAwMDAuIENlcmNhIGRlIF4wMDAwQ0QyMCBkZSBjYWRhIHVtXjAwMDAwMCBkZXZlIHNlciBzdWZpY2llbnRlLg==,,W1NvbGlzXSAgCkVuIGVsIDnCuiBwaXNvLCBlbmZyw6ludGF0ZSBhIF4wMDAwQ0REdXF1ZSBDdWVydm8geSBCYXLDs24gQ3VlcnZvXjAwMDAwMC4gVW5vcyBeMDAwMENEMjAgZGUgY2FkYSB1bm9eMDAwMDAwIGRlYmVyw61hIHNlciBzdWZpY2llbnRlLg==
ZL7WDA,,W0pheV0KQWgsIGFuZCBpZiB5b3UgaGF2ZSB0aW1lLCBjb3VsZCB5b3UgYWxzbyBicmluZyBeMDAwMENEMTAgRnJhZ21lbnQgb2YgTWlzZXJ5XjAwMDAwMD8gSWYgeW91IGRvLCB3ZeKAmWxsIGdpdmUgeW91IF4wMDAwQ0RhZGRpdGlvbmFsIHJld2FyZHNeMDAwMDAwLiBJdOKAmXMgbm90IG1hbmRhdG9yeSwgc28gZG9u4oCZdCBmZWVsIHByZXNzdXJlZC4=,,,,,W1RheV0KQWgsIGUgc2UgcG9zc8OtdmVsLCBwb2RlcmlhIHRyYXplciBeMDAwMENEMTAgRnJhZ21lbnRvIGRlIERlc2dyYcOnYV4wMDAwMDA/IFNlIHRyb3V4ZXIsIGRhcmVtb3MgXjAwMDBDRHJlY29tcGVuc2EgYWRpY2lvbmFsXjAwMDAwMCwgbWFzIG7Do28gw6kgb2JyaWdhdMOzcmlvLg==,,W1RheV0gIApBaCwgeSBzaSBlcyBwb3NpYmxlLCDCv3BvZHLDrWFzIHRyYWVyIF4wMDAwQ0QxMCBGcmFnbWVudG8gZGUgRGVzZ3JhY2lhXjAwMDAwMD8gU2kgbG9zIHRyYWVzLCB0ZSBkYXJlbW9zIF4wMDAwQ0RyZWNvbXBlbnNhIGFkaWNpb25hbF4wMDAwMDAsIHBlcm8gbm8gZXMgb2JsaWdhdG9yaW8u
Zb7WDA,,W1NvbGlzXQpQbGVhc2UgYmUgY2FyZWZ1bCE=,,,,,W1NvbGlzXQpUZW5oYSBjdWlkYWRvIQ==,,W1NvbGlzXSAgCsKhVGVuIGN1aWRhZG8h
Zr7WDA,,W1NvbGlzXQpUaGUgMTB0aCBmbG9vcj8gQWgsIEkgd2VudCB0aGVyZSBhbmQgaW1tZWRpYXRlbHkgdHVybmVkIGJhY2suIEl0IHdhcyBzbyBmcnVzdHJhdGluZy4=,,,,,W1NvbGlzXQoxMMK6IGFuZGFyPyBBaCwgZXUgZnVpIGF0w6kgbMOhIGUgdm9sdGVpIGNvcnJlbmRvLiBGb2kgZnJ1c3RyYW50ZS4=,,W1NvbGlzXSAgCsK/MTDCuiBwaXNvPyBBaCwgeW8gZnVpIGhhc3RhIGFsbMOhIHkgdm9sdsOtIGNvcnJpZW5kby4gRnVlIGZydXN0cmFudGUu
