AKolAw,,QXNzYXNzaW4=,,,,,QXNzYXNzaW5v,,QXNlc2lubw==
EaolAw,,W0tpbHRpbl0KVGhlIHNvbHV0aW9uIGlzIGEgc2tpbGwgY2FsbGVkIF4wMDAwRkZTb25pYyBBY2NlbGVyYXRpb25eMDAwMDAwLApkZXZlbG9wZWQgYnkgdGhlIEd1aWxkIE1hc3RlciBoaW1zZWxmLgpeMDAwMEZGU29uaWMgQWNjZWxlcmF0aW9uXjAwMDAwMC4uCmlzIGFib3V0IGltYnVpbmcgeW91ciBib2R5IHdpdGggc2hhcnAgZXllcyB0aGF0IGFsbG93IHlvdSB0byBiZXR0ZXIgZ3Jhc3AKdGhlIG1vdmluZyBhdHRhY2sgbW90aW9ucyBhbmQgdGhlIGVuZW15J3Mgd2Vha25lc3NlcyBhbmQgb3BlbmluZ3Mgd2hlbiB1c2luZyBTb25pYyBCbG93Lg==,,,,,W0tpbHRpbl0KQSBzb2x1w6fDo28gw6kgdW1hIGhhYmlsaWRhZGUgY2hhbWFkYSBeMDAwMEZGTMOibWluYXMgQWNlbGVyYWRhc14wMDAwMDAsCmRlc2Vudm9sdmlkYSBwZWxvIHByw7NwcmlvIE1lc3RyZSBkYSBHdWlsZGEuCntMw6JtaW5hcyBBY2VsZXJhZGFzXjAwMDAwMC4uCnRyYXRhLXNlIGRlIGltYnVpciBzZXUgY29ycG8gY29tIG9saG9zIGFmaWFkb3MgcXVlIHBlcm1pdGVtIGNvbXByZWVuZGVyIG1lbGhvcgpvcyBtb3ZpbWVudG9zIGRlIGF0YXF1ZSBlbSBhbmRhbWVudG8gZSBhcyBmcmFxdWV6YXMgZSBhYmVydHVyYXMgZG8gaW5pbWlnbyBhbyB1c2FyIG8gZ29scGUgTMOibWluYXMgRGVzdHJ1aWRvcmFzLg==,,W0tpbHRpbl0KTGEgc29sdWNpw7NuIGVzIHVuYSBoYWJpbGlkYWQgbGxhbWFkYSBeMDAwMEZGQWNlbGVyYWNpw7NuIFPDs25pY2FeMDAwMDAwLApkZXNhcnJvbGxhZGEgcG9yIGVsIG1pc21vIE1hZXN0cm8gZGVsIEdyZW1pby4Ke0FjZWxlcmFjacOzbiBTw7NuaWNhXjAwMDAwMC4uLgpzZSB0cmF0YSBkZSBpbWJ1aXIgdHUgY3VlcnBvIGNvbiBvam9zIGFndWRvcyBxdWUgdGUgcGVybWl0ZW4gY29tcHJlbmRlciBtZWpvcgpsb3MgbW92aW1pZW50b3MgZGUgYXRhcXVlIGVuIGN1cnNvIHkgbGFzIGRlYmlsaWRhZGVzIHkgYXBlcnR1cmFzIGRlbCBlbmVtaWdvIGFsIHVzYXIgR29scGUgU8Ozbmljby4=
EqolAw,,W0tpbHRpbl0KRmlyc3QuCl4wMDAwRkZTb25pYyBBY2NlbGVyYXRpb25eMDAwMDAwIGlzIGEgdGVjaG5pcXVlIHRoYXQsIHdoZW4gdXNpbmcgdGhlIGV4aXN0aW5nIFNvbmljIEJsb3csCmFsbG93cyB5b3UgdG8gaWRlbnRpZnkgZmFzdGVyIGFuZCBtb3JlIGFjY3VyYXRlIGNyaXRpY2FsIGhpdCBsb2NhdGlvbnMu,,,,,W0tpbHRpbl0KUHJpbWVpcm8uCntMw6JtaW5hcyBBY2VsZXJhZGFzXjAwMDAwMCDDqSB1bWEgdMOpY25pY2EgcXVlLCBhbyB1c2FyIEzDom1pbmFzIERlc3RydWlkb3JhcywKcGVybWl0ZSBpZGVudGlmaWNhciBsb2NhaXMgZGUgYWNlcnRvIGNyw610aWNvIG1haXMgcsOhcGlkb3MgZSBwcmVjaXNvcy4=,,W0tpbHRpbl0KUHJpbWVyby4Ke0FjZWxlcmFjacOzbiBTw7NuaWNhXjAwMDAwMCBlcyB1bmEgdMOpY25pY2EgcXVlLCBhbCB1c2FyIGVsIEdvbHBlIFPDs25pY28gZXhpc3RlbnRlLAp0ZSBwZXJtaXRlIGlkZW50aWZpY2FyIHViaWNhY2lvbmVzIGRlIGdvbHBlIGNyw610aWNvIG3DoXMgcsOhcGlkYXMgeSBwcmVjaXNhcy4=
E6olAw,,W0tpbHRpbl0KU2Vjb25kLgpeMDAwMEZGU29uaWMgQWNjZWxlcmF0aW9uXjAwMDAwMCBpcyBub3QgYSB0ZWNobmlxdWUgdXNlZCBvbiBlbmVtaWVzLApidXQgcmF0aGVyIGEgdGVjaG5pcXVlIHRoYXQgcHJlcGFyZXMgeW91ciBvd24gYm9keQppbnRvIHRoZSBvcHRpbWFsIGNvbmRpdGlvbiBmb3IgdXNpbmcgdGhlIFNvbmljIEJsb3cgc2tpbGwu,,,,,W0tpbHRpbl0KU2VndW5kby4Ke0zDom1pbmFzIEFjZWxlcmFkYXNeMDAwMDAwIG7Do28gw6kgdW1hIHTDqWNuaWNhIHVzYWRhIGVtIGluaW1pZ29zLAptYXMgc2ltIHVtYSB0w6ljbmljYSBxdWUgcHJlcGFyYSBzZXUgcHLDs3ByaW8gY29ycG8KbmEgY29uZGnDp8OjbyBpZGVhbCBwYXJhIHVzYXIgYSBoYWJpbGlkYWRlIEzDom1pbmFzIERlc3RydWlkb3Jhcy4=,,W0tpbHRpbl0KU2VndW5kby4Ke0FjZWxlcmFjacOzbiBTw7NuaWNhXjAwMDAwMCBubyBlcyB1bmEgdMOpY25pY2EgdXNhZGEgZW4gZW5lbWlnb3MsCnNpbm8gdW5hIHTDqWNuaWNhIHF1ZSBwcmVwYXJhIHR1IHByb3BpbyBjdWVycG8KZW4gbGEgY29uZGljacOzbiDDs3B0aW1hIHBhcmEgdXNhciBsYSBoYWJpbGlkYWQgR29scGUgU8Ozbmljby4=
FKolAw,,W0tpbHRpbl0KQWZ0ZXIgbGVhcm5pbmcgXjAwMDBGRlNvbmljIEFjY2VsZXJhdGlvbl4wMDAwMDAsCnRoZSBlZmZlY3Qgd2hlbiB1c2luZyBTb25pYyBCbG93IHdpbGwgYmUgZG91YmxlZC4u,,,,,W0tpbHRpbl0KRGVwb2lzIGRlIGFwcmVuZGVyIF4wMDAwRkZMw6JtaW5hcyBBY2VsZXJhZGFzXjAwMDAwMCwKbyBlZmVpdG8gYW8gdXNhciBMw6JtaW5hcyBEZXN0cnVpZG9yYXMgc2Vyw6EgZHVwbGljYWRvLi4=,,W0tpbHRpbl0KRGVzcHXDqXMgZGUgYXByZW5kZXIgXjAwMDBGRkFjZWxlcmFjacOzbiBTw7NuaWNhXjAwMDAwMCwKZWwgZWZlY3RvIGFsIHVzYXIgR29scGUgU8OzbmljbyBzZSBkdXBsaWNhcsOhLi4u
FaolAw,,W0tpbHRpbl0KSWYgeW91IHdhbnQgdG8gcmVjZWl2ZSB0aGUgdGVhY2hpbmcsCmFmdGVyIGxlYXJuaW5nIF45OTAwOTlWZW5vbSBLbmlmZV4wMDAwMDAsIGdvIHRhbGsgdG8KdGhlIGJlYXV0aWZ1bCBBc3Nhc3NpbiBDcm9zcz8uLiAnSXNtaWwnIG92ZXIgdGhlcmUu,,,,,W0tpbHRpbl0KU2Ugdm9jw6ogcXVpc2VyIHJlY2ViZXIgbyBlbnNpbmFtZW50bywKZGVwb2lzIGRlIGFwcmVuZGVyIF45OTAwOTlGYWNhIEVudmVuZW5hZGFeMDAwMDAwLCB2w6EgZmFsYXIgY29tCmEgYmVsYSBBbGdvej8uLiAnSXNtaWwnIGFsaS4=,,W0tpbHRpbl0KU2kgcXVpZXJlcyByZWNpYmlyIGxhIGVuc2XDsWFuemEsCmRlc3B1w6lzIGRlIGFwcmVuZGVyIF45OTAwOTlEYWdhIFZlbmVub3NhXjAwMDAwMCwgdmUgeSBoYWJsYSBjb24KbGEgaGVybW9zYSBBc2VzaW5hLi4uICdJc21pbCcgZGUgYWxsw60u
FqolAw,,W0tpbHRpbl0KQWxyaWdodC4gU28gYWJvdXQgXjk5MDA5OVZlbm9tIEtuaWZlXjAwMDAwMC4KSXQgd2FzIGRldmVsb3BlZCBhcyBhIHNraWxsIHRoYXQgY2FuIHNvbWV3aGF0IGNvbXBlbnNhdGUgZm9yCnRoZSBsb25nLXJhbmdlIGF0dGFjayB3ZWFrbmVzcyBvZiB1cyBBc3Nhc3NpbnMu,,,,,W0tpbHRpbl0KTXVpdG8gYmVtLiBFbnTDo28gc29icmUgYSBeOTkwMDk5RmFjYSBFbnZlbmVuYWRhXjAwMDAwMC4KRWxhIGZvaSBkZXNlbnZvbHZpZGEgY29tbyB1bWEgaGFiaWxpZGFkZSBxdWUgcG9kZSBjb21wZW5zYXIgdW0gcG91Y28KYSBmcmFxdWV6YSBkZSBhdGFxdWUgZGUgbG9uZ28gYWxjYW5jZSBkZSBuw7NzLCBBc3Nhc3Npbm9zLg==,,W0tpbHRpbl0KTXV5IGJpZW4uIEVudG9uY2VzLCBzb2JyZSBsYSBeOTkwMDk5RGFnYSBWZW5lbm9zYV4wMDAwMDAuCkZ1ZSBkZXNhcnJvbGxhZGEgY29tbyB1bmEgaGFiaWxpZGFkIHF1ZSBwdWVkZSBjb21wZW5zYXIgdW4gcG9jbwpsYSBkZWJpbGlkYWQgZGUgYXRhcXVlIGRlIGxhcmdvIGFsY2FuY2UgZGUgbm9zb3Ryb3MsIGxvcyBBc2VzaW5vcy4=
F6olAw,,W0tpbHRpbl0KVGhlcmUgYXJlIHRoaW5ncyBsaWtlIFRocm93IFN0b25lLCBTcGlyaXR1YWwgU3BoZXJlIEFic29ycHRpb24sIGFuZCBib3dzLApidXQgdXNpbmcgdGhlbSBpcyBxdWl0ZSBsaW1pdGVkLCBpc24ndCBpdD8KVGhhdCdzIHdoeSB5b3UgbWlnaHQgbmVlZCB0aGlzIHRlY2huaXF1ZSBmcm9tIG5vdyBvbi4=,,,,,W0tpbHRpbl0KRXhpc3RlbSBjb2lzYXMgY29tbyBBcnJlbWVzc2FyIFBlZHJhLCBBYnNvcsOnw6NvIGRlIEVzZmVyYSBFc3Bpcml0dWFsIGUgYXJjb3MsCm1hcyB1c8OhLWxvcyDDqSBiYXN0YW50ZSBsaW1pdGFkbywgbsOjbyDDqT8Kw4kgcG9yIGlzc28gcXVlIHZvY8OqIHBvZGUgcHJlY2lzYXIgZGVzdGEgdMOpY25pY2EgZGUgYWdvcmEgZW0gZGlhbnRlLg==,,W0tpbHRpbl0KRXhpc3RlbiBjb3NhcyBjb21vIExhbnphciBQaWVkcmEsIEFic29yY2nDs24gZGUgRXNmZXJhIEVzcGlyaXR1YWwgeSBhcmNvcywKcGVybyB1c2FybG9zIGVzIGJhc3RhbnRlIGxpbWl0YWRvLCDCv25vIGVzIGFzw60/CkVzIHBvciBlc28gcXVlIHBvZHLDrWFzIG5lY2VzaXRhciBlc3RhIHTDqWNuaWNhIGRlIGFob3JhIGVuIGFkZWxhbnRlLg==
GKolAw,,W0tpbHRpbl0KSXQncyBhYm91dCB1c2luZyB0aGUgRW52ZW5vbSBza2lsbCB0b2dldGhlciB3aXRoIGEga25pZmUuCkFmdGVyIGluZnVzaW5nIHlvdXIgRW52ZW5vbSBza2lsbCBpbnRvIGEga25pZmUsCnlvdSB0aHJvdyBpdCBhdCB0aGUgb3Bwb25lbnQgdG8gZW1iZWQgaXQsCmFuZCB0aGVuIHRoZSB2ZW5vbSBmcm9tIEVudmVub20gcmVtYWluaW5nIG9uIHRoZSBrbmlmZQ==,,,,,W0tpbHRpbl0KVHJhdGEtc2UgZGUgdXNhciBhIGhhYmlsaWRhZGUgRW52ZW5lbmFyIGp1bnRvIGNvbSB1bWEgZmFjYS4KRGVwb2lzIGRlIGluZnVuZGlyIHN1YSBoYWJpbGlkYWRlIEVudmVuZW5hciBlbSB1bWEgZmFjYSwKdm9jw6ogYSBqb2dhIG5vIG9wb25lbnRlIHBhcmEgY3JhdsOhLWxhLAplIGVudMOjbyBvIHZlbmVubyBkbyBFbnZlbmVuYXIgcXVlIHBlcm1hbmVjZSBuYSBmYWNh,,W0tpbHRpbl0KU2UgdHJhdGEgZGUgdXNhciBsYSBoYWJpbGlkYWQgRW52ZW5lbmFyIGp1bnRvIGNvbiB1bmEgZGFnYS4KRGVzcHXDqXMgZGUgaW5mdW5kaXIgdHUgaGFiaWxpZGFkIEVudmVuZW5hciBlbiB1bmEgZGFnYSwKbGEgbGFuemFzIGFsIG9wb25lbnRlIHBhcmEgaW5jcnVzdGFybGEsCnkgbHVlZ28gZWwgdmVuZW5vIGRlIEVudmVuZW5hciBxdWUgcGVybWFuZWNlIGVuIGxhIGRhZ2E=
GaolAw,,W0tpbHRpbl0Kc2VlcHMgaW50byB0aGUgYm9keS4KSXQnbGwgYmUgdXNlZnVsIHdoZW4geW91IG5lZWQgdG8gdGFrZSBjYXJlIG9mIHNvbWVvbmUgZnJvbSBhZmFyIHdpdGggcG9pc29uLgpLZWtla2VrZWtlLi4u,,,,,W0tpbHRpbl0KaW5maWx0cmEtc2Ugbm8gY29ycG8uClNlcsOhIMO6dGlsIHF1YW5kbyB2b2PDqiBwcmVjaXNhciBjdWlkYXIgZGUgYWxndcOpbSBkZSBsb25nZSBjb20gdmVuZW5vLgpLZWtla2VrZWtlLi4u,,W0tpbHRpbl0Kc2UgZmlsdHJhIGVuIGVsIGN1ZXJwby4KU2Vyw6Egw7p0aWwgY3VhbmRvIG5lY2VzaXRlcyBlbmNhcmdhcnRlIGRlIGFsZ3VpZW4gYSBkaXN0YW5jaWEgY29uIHZlbmVuby4KS2VrZWtla2VrZS4uLg==
GqolAw,,W0tpbHRpbl0KTm93Li4gd2hpY2ggc2tpbGwgZG8geW91IHdhbnQgdG8gbGVhcm4/CkkgY2FuIG9ubHkgdGVhY2ggeW91ICdeOTkwMDk5VmVub20gS25pZmVeMDAwMDAwJy4KVGhpcyB0ZWNobmlxdWUganVzdCByZXF1aXJlcyBrbm93aW5nIGhvdyB0byBeNjY2NjY2aW5mdXNlIEVudmVub21eNjY2NjY2IGludG8gYSBeNjY2NjY2a25pZmVeNjY2NjY2LApzbyBJIGNhbiB0ZWFjaCB5b3UgcmlnaHQgbm93Li4uCkhvdyBhYm91dCBpdD8=,,,,,W0tpbHRpbl0KQWdvcmEuLiBxdWFsIGhhYmlsaWRhZGUgdm9jw6ogcXVlciBhcHJlbmRlcj8KRXUgc8OzIHBvc3NvIGxoZSBlbnNpbmFyICdeOTkwMDk5RmFjYSBFbnZlbmVuYWRhXjAwMDAwMCcuCkVzdGEgdMOpY25pY2EgcmVxdWVyIGFwZW5hcyBzYWJlciBjb21vIF42NjY2NjZpbmZ1bmRpciBFbnZlbmVuYXJeNjY2NjY2IGVtIHVtYSBeNjY2NjY2ZmFjYV42NjY2NjYsCmVudMOjbyBwb3NzbyBlbnNpbsOhLWxvIGFnb3JhIG1lc21vLi4uClF1ZSB0YWw/,,W0tpbHRpbl0KQWhvcmEuLi4gwr9xdcOpIGhhYmlsaWRhZCBxdWllcmVzIGFwcmVuZGVyPwpTb2xvIHB1ZWRvIGVuc2XDsWFydGUgJ145OTAwOTlEYWdhIFZlbmVub3NhXjAwMDAwMCcuCkVzdGEgdMOpY25pY2Egc29sbyByZXF1aWVyZSBzYWJlciBjw7NtbyBeNjY2NjY2aW5mdW5kaXIgRW52ZW5lbmFyXjY2NjY2NiBlbiB1bmEgXjY2NjY2NmRhZ2FeNjY2NjY2LAphc8OtIHF1ZSBwdWVkbyBlbnNlw7FhcnRlIGFob3JhIG1pc21vLi4uCsK/UXXDqSB0YWw/
G6olAw,,UmVjZWl2ZSBpbnN0cnVjdGlvbi4=,,,,,UmVjZWJlciBpbnN0cnXDp8Ojby4=,,UmVjaWJpciBpbnN0cnVjY2nDs24u
HKolAw,,RG9uJ3QgbGVhcm4gbm93Lg==,,,,,TsOjbyBhcHJlbmRlciBhZ29yYS4=,,Tm8gYXByZW5kZXIgYWhvcmEu
HaolAw,,W0tpbHRpbl0KRXhjZWxsZW50IQpMaXN0ZW4gY2FyZWZ1bGx5LCBJJ2xsIHRlYWNoIHlvdS4KRmlyc3QsIGJlZm9yZSB1c2luZyB0aGUgVmVub20gS25pZmUgc2tpbGwsIHlvdSBtdXN0IGJlIGhvbGRpbmcgYSBwb2lzb24ga25pZmUuClRoZW4uLg==,,,,,W0tpbHRpbl0KRXhjZWxlbnRlIQpPdcOnYSBjb20gYXRlbsOnw6NvLCBldSB2b3UgZW5zaW7DoS1sby4KUHJpbWVpcm8sIGFudGVzIGRlIHVzYXIgYSBoYWJpbGlkYWRlIEZhY2EgRW52ZW5lbmFkYSwgdm9jw6ogZGV2ZSBlc3RhciBzZWd1cmFuZG8gdW1hIGZhY2EgZW52ZW5lbmFkYS4KRW50w6NvLi4=,,W0tpbHRpbl0KwqFFeGNlbGVudGUhCkVzY3VjaGEgY29uIGF0ZW5jacOzbiwgdGUgZW5zZcOxYXLDqS4KUHJpbWVybywgYW50ZXMgZGUgdXNhciBsYSBoYWJpbGlkYWQgRGFnYSBWZW5lbm9zYSwgZGViZXMgZXN0YXIgc29zdGVuaWVuZG8gdW5hIGRhZ2EgZW52ZW5lbmFkYS4KRW50b25jZXMuLi4=
HqolAw,,W0tpbHRpbl0KSW5mdXNlIEVudmVub20uLi4gbGlrZSB0aGlzLi4gbGlrZSB0aGlzLi4=,,,,,W0tpbHRpbl0KSW5mdW5kYSBvIEVudmVuZW5hci4uLiBhc3NpbS4uIGFzc2ltLi4=,,W0tpbHRpbl0KSW5mdW5kZSBFbnZlbmVuYXIuLi4gYXPDrS4uLiBhc8OtLi4u
H6olAw,,W0tpbHRpbl0KLi4uQW5kIHRoZW4uLi4uIGRvIHRoYXQuCkxpa2UgdGhpcy4uIGxpa2UgdGhpcy4uCkdvdCBpdD8KR2l2ZSBpdCBhIHRyeS4=,,,,,W0tpbHRpbl0KLi4uRSBlbnTDo28uLi4uIGZhw6dhIGlzc28uCkFzc2ltLi4gYXNzaW0uLgpFbnRlbmRldT8KVGVudGUgdm9jw6ogbWVzbW8u,,W0tpbHRpbl0KLi4uWSBsdWVnby4uLi4gaGF6IGVzby4KQXPDrS4uLiBhc8OtLi4uCsK/RW50ZW5kaXN0ZT8KSW50w6ludGFsbyB0w7ogbWlzbW8u
IKolAw,,W0tpbHRpbl0KWWVzIQpUaGF0J3MgaG93IHlvdSBkbyBpdC4=,,,,,W0tpbHRpbl0KU2ltIQrDiSBhc3NpbSBxdWUgc2UgZmF6Lg==,,W0tpbHRpbl0KwqFTw60hCkFzw60gZXMgY29tbyBzZSBoYWNlLg==
IaolAw,,W0tpbHRpbl0KWW91IHNlZW0gdG8gYmUgZG9pbmcgd2VsbC4uLgpBcyB0aGV5IHNheSwgc2VlaW5nIGlzIGJlbGlldmluZy4gT25jZSB5b3UgdHJ5IGl0IHlvdXJzZWxmIGZvbGxvd2luZyB3aGF0IHlvdSBsZWFybmVkLCB5b3UnbGwgc3VyZWx5IHVuZGVyc3RhbmQuCkh1aHVodS4uClRoZW4sIHRha2UgY2FyZS4u,,,,,W0tpbHRpbl0KVm9jw6ogcGFyZWNlIGVzdGFyIGluZG8gYmVtLi4uCkNvbW8gZGl6ZW0sIHZlciBwYXJhIGNyZXIuIERlcG9pcyBkZSB0ZW50YXIgdm9jw6ogbWVzbW8gc2VndWluZG8gbyBxdWUgYXByZW5kZXUsIGNlcnRhbWVudGUgZW50ZW5kZXLDoS4KSHVodWh1Li4KRW50w6NvLCBjdWlkZS1zZS4u,,W0tpbHRpbl0KUGFyZWNlIHF1ZSBsbyBlc3TDoXMgaGFjaWVuZG8gYmllbi4uLgpDb21vIGRpY2VuLCB2ZXIgcGFyYSBjcmVlci4gVW5hIHZleiBxdWUgbG8gaW50ZW50ZXMgdMO6IG1pc21vIHNpZ3VpZW5kbyBsbyBxdWUgYXByZW5kaXN0ZSwgc2VndXJvIGxvIGVudGVuZGVyw6FzLgpKdWp1anUuLi4KRW50b25jZXMsIGN1w61kYXRlLi4u
IqolAw,,W0tpbHRpbl0KRm9yIHRoZSBob25vciBvZiB0aGUgQXNzYXNzaW4gR3VpbGQuLg==,,,,,W0tpbHRpbl0KUGVsYSBob25yYSBkYSBHdWlsZGEgZG9zIEFzc2Fzc2lub3MuLg==,,W0tpbHRpbl0KUG9yIGVsIGhvbm9yIGRlbCBHcmVtaW8gZGUgQXNlc2lub3MuLi4=
I6olAw,,W0tpbHRpbl0KSG1tLi4gaXMgdGhhdCBzbz8KVGhlbiwgZG8gSSBoYXZlIGFueXRoaW5nIG1vcmUgdG8gc2F5PwpTaG91bGQgSSBleHBsYWluIF45OTAwOTlWZW5vbSBLbmlmZV4wMDAwMDAgYWdhaW4/CldoZW4gSSB0ZWFjaCB5b3UsIHlvdSBzaG91bGQgbGVhcm4uCkh1aD8=,,,,,W0tpbHRpbl0KSG1tLi4gw6kgbWVzbW8/CkVudMOjbywgdGVuaG8gbWFpcyBhbGdvIGEgZGl6ZXI/CkRldm8gZXhwbGljYXIgXjk5MDA5OUZhY2EgRW52ZW5lbmFkYV4wMDAwMDAgbm92YW1lbnRlPwpRdWFuZG8gZXUgZW5zaW5vLCB2b2PDqiBkZXZlIGFwcmVuZGVyLgpIZWluPw==,,W0tpbHRpbl0KSG1tLi4uIMK/ZXMgYXPDrT8KRW50b25jZXMsIMK/dGVuZ28gYWxnbyBtw6FzIHF1ZSBkZWNpcj8Kwr9EZWJlcsOtYSBleHBsaWNhciBeOTkwMDk5RGFnYSBWZW5lbm9zYV4wMDAwMDAgZGUgbnVldm8/CkN1YW5kbyBlbnNlw7FvLCBkZWJlcyBhcHJlbmRlci4Kwr9FaD8=
JKolAw,,W0tpbHRpbl0KSGVvLi4uIHN1Y2ggYW4gaW1wdWRlbnQgZmVsbG93LgpBcmUgeW91IHRyeWluZyB0byBpZ25vcmUgdGhlIEd1aWxkIE1hc3RlcidzIGVmZm9ydHM/CkNvbWUgb24sIHNheSB5b3UnbGwgbGVhcm4h,,,,,W0tpbHRpbl0KSGVvLi4uIHF1ZSBzdWplaXRvIGluc29sZW50ZS4KVm9jw6ogZXN0w6EgdGVudGFuZG8gaWdub3JhciBvcyBlc2ZvcsOnb3MgZG8gTWVzdHJlIGRhIEd1aWxkYT8KVmFtb3MsIGRpZ2EgcXVlIHZhaSBhcHJlbmRlciE=,,W0tpbHRpbl0KSGVvLi4uIHF1ZSBzdWpldG8gdGFuIGluc29sZW50ZS4Kwr9Fc3TDoXMgdHJhdGFuZG8gZGUgaWdub3JhciBsb3MgZXNmdWVyem9zIGRlbCBNYWVzdHJvIGRlbCBHcmVtaW8/CsKhVmFtb3MsIGRpIHF1ZSBhcHJlbmRlcsOhcyE=
JaolAw,,W0tpbHRpbl0KSG1tLi4gSSB0aGluayBJJ3ZlIHNlZW4geW91IGJlZm9yZS4uCkhtbS4uIHllcywgeW91IGRlZmluaXRlbHkgbGVhcm5lZCBeOTkwMDk5VmVub20gS25pZmVeMDAwMDAwIGZyb20gbWUuLgpCdXQgd2hhdCdzIHRoZSBtYXR0ZXIuLg==,,,,,W0tpbHRpbl0KSG1tLi4gQWNobyBxdWUgasOhIHZpIHZvY8OqIGFudGVzLi4KSG1tLi4gc2ltLCB2b2PDqiBkZWZpbml0aXZhbWVudGUgYXByZW5kZXUgXjk5MDA5OUZhY2EgRW52ZW5lbmFkYV4wMDAwMDAgY29taWdvLi4KTWFzIHF1YWwgw6kgbyBwcm9ibGVtYS4u,,W0tpbHRpbl0KSG1tLi4uIENyZW8gcXVlIHRlIGhlIHZpc3RvIGFudGVzLi4uCkhtbS4uLiBzw60sIGRlZmluaXRpdmFtZW50ZSBhcHJlbmRpc3RlIF45OTAwOTlEYWdhIFZlbmVub3NhXjAwMDAwMCBkZSBtw60uLi4KUGVybywgwr9jdcOhbCBlcyBlbCBwcm9ibGVtYS4uLj8=
JqolAw,,W0tpbHRpbl0KV2hhdD8hIFlvdSB3YW50IG1lIHRvIHRlYWNoIHlvdSBhZ2Fpbj8KT2ggZGVhci4uIEl0IHNlZW1zIHlvdSd2ZSBmb3Jnb3R0ZW4gd2hhdCBJIHRhdWdodCB5b3UgYmVmb3JlLi4KQWxyaWdodCwgSSdsbCB0ZWxsIHlvdSBhZ2Fpbiwgc28gbGlzdGVuIGNhcmVmdWxseS4=,,,,,W0tpbHRpbl0KTyBxdcOqPyEgVm9jw6ogcXVlciBxdWUgZXUgbGhlIGVuc2luZSBkZSBub3ZvPwpPaCwgY8OpdXMuLiBQYXJlY2UgcXVlIHZvY8OqIGVzcXVlY2V1IG8gcXVlIGxoZSBlbnNpbmVpIGFudGVzLi4KTXVpdG8gYmVtLCBkaXJlaSBub3ZhbWVudGUsIGVudMOjbyBvdcOnYSBjb20gYXRlbsOnw6NvLg==,,W0tpbHRpbl0KwqHCv1F1w6k/ISDCv1F1aWVyZXMgcXVlIHRlIGVuc2XDsWUgZGUgbnVldm8/Ck9oLCBjaWVsb3MuLi4gUGFyZWNlIHF1ZSBvbHZpZGFzdGUgbG8gcXVlIHRlIGVuc2XDscOpIGFudGVzLi4uCkVzdMOhIGJpZW4sIHRlIGxvIGRpcsOpIGRlIG51ZXZvLCBhc8OtIHF1ZSBlc2N1Y2hhIGNvbiBhdGVuY2nDs24u
J6olAw,,W0tpbHRpbl0KRmlyc3QsIGJlZm9yZSB1c2luZyB0aGUgXjk5MDA5OVZlbm9tIEtuaWZlXjAwMDAwMCBza2lsbCwgeW91IG11c3QgYmUgaG9sZGluZyBhIGtuaWZlLgpUaGVuLi4=,,,,,W0tpbHRpbl0KUHJpbWVpcm8sIGFudGVzIGRlIHVzYXIgYSBoYWJpbGlkYWRlIF45OTAwOTlGYWNhIEVudmVuZW5hZGFeMDAwMDAwLCB2b2PDqiBkZXZlIGVzdGFyIHNlZ3VyYW5kbyB1bWEgZmFjYS4KRW50w6NvLi4=,,W0tpbHRpbl0KUHJpbWVybywgYW50ZXMgZGUgdXNhciBsYSBoYWJpbGlkYWQgXjk5MDA5OURhZ2EgVmVuZW5vc2FeMDAwMDAwLCBkZWJlcyBlc3RhciBzb3N0ZW5pZW5kbyB1bmEgZGFnYS4KRW50b25jZXMuLi4=
KKolAw,,W0tpbHRpbl0KSW5mdXNlIEVudmVub20uLi4gbGlrZSB0aGlzLi4gbGlrZSB0aGF0Li4KWWVzLi4KVGhhdCdzIGhvdyB5b3UgZG8gaXQuCllvdSBzZWVtIHRvIHJlbWVtYmVyIHdlbGwu,,,,,W0tpbHRpbl0KSW5mdW5kYSBvIEVudmVuZW5hci4uLiBhc3NpbS4uIGFzc2ltLi4KU2ltLi4Kw4kgYXNzaW0gcXVlIHNlIGZhei4KVm9jw6ogcGFyZWNlIHNlIGxlbWJyYXIgYmVtLg==,,W0tpbHRpbl0KSW5mdW5kZSBFbnZlbmVuYXIuLi4gYXPDrS4uLiBhc8OtLi4uClPDrS4uLgpBc8OtIGVzIGNvbW8gc2UgaGFjZS4KUGFyZWNlIHF1ZSBsbyByZWN1ZXJkYXMgYmllbi4=
KaolAw,,W0tpbHRpbl0KLi4uQW5kIHRoZW4uLi4uIGRvIHRoYXQuCkdvdCBpdD8KR2l2ZSBpdCBhIHRyeS4=,,,,,W0tpbHRpbl0KLi4uRSBlbnTDo28uLi4uIGZhw6dhIGlzc28uCkVudGVuZGV1PwpUZW50ZSB2b2PDqiBtZXNtby4=,,W0tpbHRpbl0KLi4uWSBsdWVnby4uLi4gaGF6IGVzby4Kwr9FbnRlbmRpc3RlPwpJbnTDqW50YWxvIHTDuiBtaXNtby4=
