4FsHCA,,VGhlIHNlbnNpdGl2ZS1taW5kZWQgZWxkZXN0IHNvbg==,,,,,VHJpc2g=,,R29tYSBDaGFyYQ==
61sHCA,,W0dvbWEgQ2hhcmFdCn5Hcmluc34gVGhpcyBpcyBwZXJmZWN0LiBOb3RoaW5nIG1vcmUsIG5vdGhpbmcgbGVzcy4=,,,,,W1RyaXNoIENoYXJhXQpFc3NlIGFtdWxldG8gasOhIGVzdMOhIHBlcmZlaXRvISBOZW0gcHJlY2lzZWkgbWV4ZXIgbmVsZSE=,,W0dvbWEgQ2hhcmFdCipTb25yw61lKiBFc3RvIGVzIHBlcmZlY3RvLiBOaSBtw6FzIG5pIG1lbm9zLg==
7FsHCA,,W0dvbWEgQ2hhcmFdClNob3cgbWUgeW91ciBhbXVsZXQsIHdpbGwgeW91PyBJIGNhbid0IHNlZW0gdG8gZmluZCBpdCBpbiB5b3VyIGludmVudG9yeS4=,,,,,W1RyaXNoIENoYXJhXQpUZW0gY2VydGV6YSBkZSBxdWUgdm9jw6ogdGVtIHVtIGFtdWxldG8gYcOtPw==,,W0dvbWEgQ2hhcmFdCk11w6lzdHJhbWUgdHUgYW11bGV0bywgwr9xdWllcmVzPyBObyBwdWVkbyBlbmNvbnRyYXJsbyBlbiB0dSBpbnZlbnRhcmlvLg==
7VsHCA,,QmFzaWMgTGVhZiBDaGFybQ==,,,,,QW11bGV0byBGb2xoYSBJ,,QW11bGV0byBkZSBIb2phIEk=
7lsHCA,,RmFpciBMZWFmIENoYXJt,,,,,QW11bGV0byBGb2xoYSBJSQ==,,QW11bGV0byBkZSBIb2phIElJ
71sHCA,,QmFzaWMgQnVubnkgQ2hhcm0=,,,,,QW11bGV0byBMZWJyZSBJ,,QW11bGV0byBkZSBMaWVicmUgSQ==
8FsHCA,,RmFpciBCdW5ueSBDaGFybQ==,,,,,QW11bGV0byBMZWJyZSBJSQ==,,QW11bGV0byBkZSBMaWVicmUgSUk=
8VsHCA,,W0dvbWEgQ2hhcmFdCkxldCBtZS4gSG1tLi4uezB9LCBpdCBpcy4KLi4uSSBrbmV3IHRoaXMgd2FzIGdvaW5nIHRvIGhhcHBlbiBhZ2Fpbi4gV29yc2UsIHRoaXMgb25lIG11c3QgcmVxdWlyZSBhIGxvdCBtb3JlIHRpbWUgdG8gcG9saXNoIQ==,,,,,W1RyaXNoIENoYXJhXQpIdW0sIGVudMOjbyB2b2PDqiB0ZW0gdW0gezB9LgouLi5BaSwgYWkuLi4gU2UgYXMgcGVzc29hcyBmaXplc3NlbSBlc3NlcyBhbXVsZXRvcyBkaXJlaXRvLCBldSBuw6NvIHByZWNpc2F2YSBmaWNhciBhcnJ1bWFuZG8gZWxlcy4=,,W0dvbWEgQ2hhcmFdClBlcm3DrXRlbWUuIE1tbS4uLnswfSwgYXPDrSBlcy4KLi4uU2Fiw61hIHF1ZSBlc3RvIHZvbHZlcsOtYSBhIHBhc2FyLiBQZW9yIGHDum4sIHNlZ3VybyBxdWUgZXN0ZSByZXF1aWVyZSBtdWNobyBtw6FzIHRpZW1wbyBwYXJhIHBlcmZlY2Npb25hcnNlLg==
8lsHCA,,W0dvbWEgQ2hhcmFdCkhleSwgaWYgeW91IGdpdmUgbWUgPElURU0+RG9yYW0gVG9rZW48SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+LHswfUknbGwgZml4IHRoaXMgZm9yIHlvdS4KPElURU0+VGhpcyBzaG91bGQgcHJvZHVjZSB0aGUgPElORk8+ezF9PC9JTkZPPjwvSVRFTT4gZnVuY3Rpb24sIEkgZ3Vlc3MuIEhvdyBkbyB5b3UgbGlrZSBpdD8=,,,,,W1RyaXNoIENoYXJhXQpFbmZpbS4gVm91IHByZWNpc2FyIGRlIHswfSA8SVRFTT5FbWJsZW1hKHMpIERvcmFtPElORk8+MjUxNDI8L0lORk8+PC9JVEVNPi4=,,W0dvbWEgQ2hhcmFdCk95ZSwgc2kgbWUgZGFzIDxJVEVNPkZpY2hhcyBEb3JhbTxJTkZPPjI1MTQyPC9JTkZPPjwvSVRFTT4sezB9IGFycmVnbGFyw6kgZXN0byBwYXJhIHRpLgo8SVRFTT5Fc3RvIGRlYmVyw61hIHByb2R1Y2lyIGxhIGZ1bmNpw7NuIGRlIDxJTkZPPnsxfTwvSU5GTz48L0lURU0+LCBzdXBvbmdvLiDCv1F1w6kgdGUgcGFyZWNlPw==
81sHCA,,VXBncmFkZQ==,,,,,QXBlcmZlacOnb2Fy,,TWVqb3Jhci4=
9FsHCA,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
9VsHCA,,W0dvbWEgQ2hhcmFdCllvdSBzaG91bGQgYnJpbmcgbW9yZSBtYXRlcmlhbHMuIEkgY2FuJ3QgZG8gdGhlIGpvYiBmb3IgZnJlZS4=,,,,,W1RyaXNoIENoYXJhXQpQb3hhLCBuw6NvIHBvc3NvIGZhemVyIGlzc28gZGUgZ3Jhw6dhISBDYWTDqiBzZXVzIEVtYmxlbWFzIERvcmFtPw==,,W0dvbWEgQ2hhcmFdClRpZW5lcyBxdWUgdHJhZXIgbcOhcyBtYXRlcmlhbGVzLiBObyBwdWVkbyBoYWNlciBlbCB0cmFiYWpvIGdyYXRpcy4=
9lsHCA,,W0dvbWEgQ2hhcmFdClRoZSBpbnNpZGUgb2YgdGhpcyBhbXVsZXQgc2VlbXMgcHJldHR5IHRvdWdoLgpCdXQgbXkgZGV4dGVyaXR5IGlzIHRvdWdoZXIuIFRhZGEhIFB1dCBteSBicm90aGVyJ3MgYW11bGV0IHRvIGdvb2QgdXNlLg==,,,,,W1RyaXNoIENoYXJhXQpBcXVpIGVzdMOhISBOb3ZpbmhvIGVtIGZvbGhhIQ==,,W0dvbWEgQ2hhcmFdCkVsIGludGVyaW9yIGRlIGVzdGUgYW11bGV0byBwYXJlY2UgYmFzdGFudGUgZmlybWUuClBlcm8gbWkgZGVzdHJlemEgbG8gZXMgYcO6biBtw6FzLiDCoVRhcsOhbiEgRGFsZSB1biBidWVuIHVzbyBhbCBhbXVsZXRvIGRlIG1pIGhlcm1hbm8u
91sHCA,,W0dvbWEgQ2hhcmFdCkFzIHlvdSBwbGVhc2Uu,,,,,W1RyaXNoIENoYXJhXQpWb2x0ZSBzZSBtdWRhciBkZSBpZGVpYS4=,,W0dvbWEgQ2hhcmFdCkNvbW8gcXVpZXJhcy4=
+FsHCA,,W0dvbWEgQ2hhcmFdCk15IGZhdGhlciB3YXMgYSBib3JuIHNlYW1hbiBzbyB3ZW50IG91dCBpbnRvIHRoZSBzZWEgYSBsb25nIHRpbWUgYWdvLCBzYXlpbmcgaGUnbGwgY2F0Y2ggdGhlIHdvcmxkJ3MgbGFyZ2VzdCB0dW5hLg==,,,,,W1RyaXNoIENoYXJhXQpOb3NzbyBwYWkgw6kgdW0gbWFyaW5oZWlybyBlIHRhbnRvLiBFbGUgc2FpdSBkZSBjYXNhIGjDoSB1bSB0ZW1wbywgY29tIGEgcHJvbWVzc2EgZGUgcXVlIGNhw6dhcmlhIG8gbWFpb3IgQXR1bSBqw6EgdmlzdG8gbm9zIG1hcmVzIGRvIGNvbnRpbmVudGUgZGUgTGFzYWduYS4=,,W0dvbWEgQ2hhcmFdCk1pIHBhZHJlIGVyYSB1biBtYXJpbmVybyBuYXRvLCBhc8OtIHF1ZSBoYWNlIHRpZW1wbyBzYWxpw7MgYWwgbWFyIGRpY2llbmRvIHF1ZSBwZXNjYXLDrWEgZWwgYXTDum4gbcOhcyBncmFuZGUgZGVsIG11bmRvLg==
+VsHCA,,W0dvbWEgQ2hhcmFdCk15IG1vdGhlciBjYW4gYmUgYSBjb2xsZWN0b3Igc28gc2hlIHdvdWxkIGdvIGludG8gdGhlIGRlZXBtb3N0IHNpZGUgb2YgdGhlIGZvcmVzdCwgbG9va2luZyBmb3IgdGhlIG9kZCBmcnVpdHMuIFNoZSB3b3VsZCBjb21lIGFuZCBnbyBldmVuIGJlZm9yZSBJIGtub3cgaXQu,,,,,W1RyaXNoIENoYXJhXQpKw6EgYSBub3NzYSBtw6NlIHZpdmUgbmEgZmxvcmVzdGEsIGVzdHVkYW5kbyBlIGNhdGFsb2dhbmRvIHBsYW50YXMgZSBmcnV0YXMuIEVsYSBwYXNzYSBhIG1haW9yIHBhcnRlIGRvIGRpYSBsw6Eu,,W0dvbWEgQ2hhcmFdCk1pIG1hZHJlIGVzIHJlY29sZWN0b3JhLCBhc8OtIHF1ZSBzZSBhZGVudHJhIGVuIGxvIG3DoXMgcHJvZnVuZG8gZGVsIGJvc3F1ZSBlbiBidXNjYSBkZSBmcnV0YXMgZXh0cmHDsWFzLiBWYSB5IHZpZW5lIGluY2x1c28gYW50ZXMgZGUgcXVlIG1lIGTDqSBjdWVudGEu
+lsHCA,,W0dvbWEgQ2hhcmFdClNvIHRha2luZyBjYXJlIG9mIHRoZXNlIGJyYXR0eSBicm90aGVycyBoYXMgYmVjb21lIG15IHJlc3BvbnNpYmlsaXR5ISBJIHdvbmRlciB3aHkgSSB3YXMgYm9ybiB0aGUgZWxkZXN0ISBJJ3ZlIGFsbW9zdCBoYWQgaXQh,,,,,W1RyaXNoIENoYXJhXQpDb21vIHJlc3VsdGFkbywgY2FiZSBhIG1pbSBjdWlkYXIgZG9zIG1ldXMgaXJtw6Nvcy4gUG9yIHF1ZSDDqSBxdWUgbG9nbyBldSBmdWkgc2VyIGEgbWFpcyB2ZWxoYT8h,,W0dvbWEgQ2hhcmFdCkFzw60gcXVlIGN1aWRhciBkZSBlc3RvcyBtb2Nvc29zIHNlIGNvbnZpcnRpw7MgZW4gbWkgcmVzcG9uc2FiaWxpZGFkLiDCoU1lIHByZWd1bnRvIHBvciBxdcOpIHR1dmUgcXVlIHNlciBsYSBtYXlvciEgwqFZYSBjYXNpIGxvIHRlbmdvIQ==
+1sHCA,,W0dvbWEgQ2hhcmFdCllvdGEhIFRpZHkgdXAgeW91ciBwbGFjZSBhZnRlciBtYWtpbmcgYW11bGV0cyEgUGljayB1cCB0aGUgc2NhbGVzIG9mIGhvcnNlIG1hY2tlcmVscyB0aGVyZS4gT2gsIG15IGRheXMuLi4=,,,,,W1RyaXNoIENoYXJhXQpFaSwgQWJhY2NoaW8hIFF1ZSBiYWd1bsOnYSDDqSBlc3NhPyBUcmF0ZSBkZSBhcnJ1bWFyIGVzc2EgbGFtYmFuw6dhIHF1ZSB2b2PDqiBmZXoh,,W0dvbWEgQ2hhcmFdCsKhWW90YSEgwqFPcmRlbmEgdHUgZXNwYWNpbyBkZXNwdcOpcyBkZSBoYWNlciBhbXVsZXRvcyEgUmVjb2dlIGxhcyBlc2NhbWFzIGRlIGp1cmVsLiBPaCwgbm8gcHVlZGUgc2VyLi4u
/FsHCA,,W0dvbWEgQ2hhcmFdCkpvZ2ksIERhbmRpIGlzIGFib3V0IHRvIGJ1cnN0IGludG8gY3J5aW5nLiBQbGVhc2UgYmVoYXZlIHlvdXJzZWxmLCB3aWxsIHlvdT8=,,,,,W1RyaXNoIENoYXJhXQpNaXN0YSwgdm9jw6ogdmFpIGZhemVyIG8gTmFyYW5jaWEgY2hvcmFyLiBTb3NzZWdhIGVzc2UgZmFpeG8h,,W0dvbWEgQ2hhcmFdCkpvZ2ksIERhbmRpIGVzdMOhIGEgcHVudG8gZGUgbGxvcmFyLiBQb3IgZmF2b3IsIGNvbXDDs3J0YXRlLCDCv3F1aWVyZXM/
/VsHCA,,W0dvbWEgQ2hhcmFdCn5TaWducyBkZWVwbHl+IE15IGhlYWQgaXMgc3Bpbm5pbmchCkknbSBzb3JyeSBidXQgb3VyIGNoaXQtY2hhdCBlbmRzIGhlcmUuIFRpbWUgZmxpZXMgd2hlbiB5b3UncmUgYnVzeSB0YWtpbmcgY2FyZSBvZiBsaXR0bGUgYnJvdGhlcnMu,,,,,W1RyaXNoIENoYXJhXQpNZSBkZXNjdWxwYSwgbWFzIGNvbW8gdm9jw6ogcG9kZSB2ZXIsIGV1IGVzdG91IG11aXRvIG9jdXBhZGEgY29tIGFzIGNyaWFuw6dhcy4uLg==,,W0dvbWEgQ2hhcmFdCipTdXNwaXJhIHByb2Z1bmRvKiDCoU1lIGRhIHZ1ZWx0YXMgbGEgY2FiZXphIQpMbyBzaWVudG8sIHBlcm8gbnVlc3RyYSBjaGFybGEgdGVybWluYSBhcXXDrS4gRWwgdGllbXBvIHZ1ZWxhIGN1YW5kbyBjdWlkYXMgYSB0dXMgaGVybWFuaXRvcy4=
/lsHCA,,VGhlIGRpbGlnZW50IHNlY29uZCBzb24=,,,,,QWJhY2NoaW8=,,WW90YSBDaGFyYQ==
/1sHCA,,W1lvdGEgQ2hhcmFdCkZhdGhlciwgbW90aGVyLiBQbGVhc2UgY29tZSBiYWNrIGhvbWUgc2FmZWx5LgooSGUncyBtYWtpbmcgc29tZXRoaW5nLCBtdW1ibGluZy4p,,,,,W0FiYWNjaGlvIENoYXJhXQpQYXBhaSwgbWFtw6NlLi4uIFZvbHRlbSBsb2dvLCBwb3IgZmF2b3Iu,,W1lvdGEgQ2hhcmFdClBhcMOhLCBtYW3DoS4gUG9yIGZhdm9yLCB2dWVsdmFuIGEgY2FzYSBzYW5vcyB5IHNhbHZvcy4KKEVzdMOhIGhhY2llbmRvIGFsZ28sIG11cm11cmEpLg==
AFwHCA,,Q3JhZnQgQW11bGV0,,,,,RmFicmljYXIgQW11bGV0bw==,,Q3JlYXIgYW11bGV0by4=
AVwHCA,,W1lvdGEgQ2hhcmFdCi4uLkRvIHlvdSBoYXZlIHNvbWVvbmUgeW91J3JlIGNsb3NlIHRvIGFuZCB3aG9tIHlvdSB3aXNoIGZvciB0aGVpciB3ZWxsbmVzcz8KSWYgeW91IHdhbnQgYW4gYW11bGV0LCB5b3UgY2FuIGV4Y2hhbmdlIGl0IHdpdGggdGhlIERvcmFtIHRva2Vucy4gSSBoYXZlIGEgYnVuY2ggb2YgYW11bGV0cyB3aXRoIG1lLg==,,,,,W0FiYWNjaGlvIENoYXJhXQpPLW9pLi4u,,W1lvdGEgQ2hhcmFdCsK/VGllbmVzIGEgYWxndWllbiBjZXJjYW5vIGEgcXVpZW4gbGUgZGVzZWFzIGVsIGJpZW4/ClNpIHF1aWVyZXMgdW4gYW11bGV0bywgcHVlZGVzIGNhbmplYXJsbyBwb3IgRmljaGFzIGRvcmFtLiBUZW5nbyB1biBtb250w7NuIGRlIGFtdWxldG9zIGNvbm1pZ28u
AlwHCA,,QmFzaWMgU2F1cmVsIENoYXJt,,,,,QW11bGV0byBTYXJkaW5oYSBJ,,QW11bGV0byBkZSBTYXJkaW5hIEk=
A1wHCA,,QmFzaWMgTGVhZiBDaGFybQ==,,,,,QW11bGV0byBGb2xoYSBJ,,QW11bGV0byBkZSBIb2phIEk=
BFwHCA,,QmFzaWMgQnVubnkgQ2hhcm0=,,,,,QW11bGV0byBMZWJyZSBJ,,QW11bGV0byBkZSBMaWVicmUgSQ==
BVwHCA,,U2hpbmluZyBCcmFuY2ggQ2hhcm0=,,,,,QW11bGV0byBHYWxobyBDaW50aWxhbnRl,,QW11bGV0byBkZSBSYW1hIEJyaWxsYW50ZQ==
BlwHCA,,RnJlc2ggVHVuYSBDaGFybQ==,,,,,QW11bGV0byBBdHVtIEZyZXNjbw==,,QW11bGV0byBkZSBBdMO6biBGcmVzY28=
B1wHCA,,UGx1bXAgRWFydGh3b3JtIENoYXJt,,,,,QW11bGV0byBNaW5ob2PDo28=,,QW11bGV0byBkZSBMb21icml6
CFwHCA,,W1lvdGEgQ2hhcmFdCjxJVEVNPkJhc2ljIFNhdXJlbCBDaGFybSA8SU5GTz4yODQxMzwvSU5GTz48L0lURU0+IGlzIGZvciBteSBmYXRoZXIgd2hvIGlzIGZhciBvdXQgdG8gdGhlIHNlYS4KV2lsbCB5b3UgZXhjaGFuZ2UgaXQgZm9yIHswfSA8SVRFTT5Eb3JhbSBUb2tlbjxJTkZPPjI1MTQyPC9JTkZPPjwvSVRFTT4/,,,,,W0FiYWNjaGlvIENoYXJhXQpFdSBmaXogbyA8SVRFTT5BbXVsZXRvIFNhcmRpbmhhIEk8SU5GTz4yODQxMzwvSU5GTz48L0lURU0+IGVucXVhbnRvIG9yYXZhIHBlbG8gbWV1IHBhaSwgcXVlIGVzdMOhIHNlIGF2ZW50dXJhbmRvIHBlbG9zIG1hcmVzLgpHb3N0YXJpYSBkZSBvYnTDqi1sbyBwb3IgezB9IDxJVEVNPkVtYmxlbWEocykgRG9yYW08SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+Pw==,,W1lvdGEgQ2hhcmFdCkVsIDxJVEVNPkFtdWxldG8gZGUgU2FyZGluYSBJPElORk8+Mjg0MTM8L0lORk8+PC9JVEVNPiBlcyBwYXJhIG1pIHBhZHJlIHF1ZSBlc3TDoSBsZWpvcyBlbiBlbCBtYXIuCsK/TG8gY2FuamVhcsOtYXMgcG9yIHswfSA8SVRFTT5GaWNoYXMgRG9yYW08SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+Pw==
CVwHCA,,W1lvdGEgQ2hhcmFdCjxJVEVNPkJhc2ljIExlYWYgQ2hhcm08SU5GTz4yODQxNjwvSU5GTz48L0lURU0+IGlzIGZvciBteSBtb3RoZXIgd2hvIHNob3VsZCBiZSB3YW5kZXJpbmcgYWJvdXQgdGhlIGRlZXAgc2lkZSBvZiB0aGUgZm9yZXN0LgpXaWxsIHlvdSBleGNoYW5nZSBpdCBmb3IgezB9IDxJVEVNPkRvcmFtIFRva2VuPElORk8+MjUxNDI8L0lORk8+PC9JVEVNPj8=,,,,,W0FiYWNjaGlvIENoYXJhXQpFdSBmaXogbyA8SVRFTT5BbXVsZXRvIEZvbGhhIEk8SU5GTz4yODQxNjwvSU5GTz48L0lURU0+IGVucXVhbnRvIG9yYXZhIHBlbGEgbWluaGEgbcOjZSwgcXVlIGVzdMOhIG5hIGZsb3Jlc3RhLgpHb3N0YXJpYSBkZSBvYnTDqi1sbyBwb3IgezB9IDxJVEVNPkVtYmxlbWEocykgRG9yYW08SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+Pw==,,W1lvdGEgQ2hhcmFdCkVsIDxJVEVNPkFtdWxldG8gZGUgSG9qYSBJPElORk8+Mjg0MTY8L0lORk8+PC9JVEVNPiBlcyBwYXJhIG1pIG1hZHJlLCBxdWUgZGViZSBlc3RhciBjYW1pbmFuZG8gZW4gbG8gcHJvZnVuZG8gZGVsIGJvc3F1ZS4Kwr9MbyBjYW5qZWFyw61hcyBwb3IgezB9IDxJVEVNPkZpY2hhcyBkb3JhbTxJTkZPPjI1MTQyPC9JTkZPPjwvSVRFTT4/
ClwHCA,,W1lvdGEgQ2hhcmFdCjxJVEVNPkJhc2ljIEJ1bm55IENoYXJtPElORk8+Mjg0MTk8L0lORk8+PC9JVEVNPiBpcyBmb3IgbXkgYnJvdGhlcnMnIGhlYWx0aCBhbmQgd2VsbG5lc3MuCldpbGwgeW91IGV4Y2hhbmdlIGl0IGZvciB7MH0gPElURU0+RG9yYW0gVG9rZW48SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+Pw==,,,,,W0FiYWNjaGlvIENoYXJhXQpFdSBmaXogbyA8SVRFTT5BbXVsZXRvIExlYnJlIEk8SU5GTz4yODQxOTwvSU5GTz48L0lURU0+IGVucXVhbnRvIG9yYXZhIHBlbGEgc2HDumRlIGRvcyBtZXVzIGlybcOjb3MuCkdvc3RhcmlhIGRlIG9idMOqLWxvIHBvciB7MH0gPElURU0+RW1ibGVtYShzKSBEb3JhbTxJTkZPPjI1MTQyPC9JTkZPPjwvSVRFTT4/,,W1lvdGEgQ2hhcmFdCkVsIDxJVEVNPkFtdWxldG8gZGUgTGllYnJlIEk8SU5GTz4yODQxOTwvSU5GTz48L0lURU0+IGVzIHBhcmEgbGEgc2FsdWQgeSBlbCBiaWVuZXN0YXIgZGUgbWlzIGhlcm1hbm9zLgrCv0xvIGNhbmplYXLDrWFzIHBvciB7MH0gPElURU0+RmljaGFzIGRvcmFtPElORk8+MjUxNDI8L0lORk8+PC9JVEVNPj8=
C1wHCA,,W1lvdGEgQ2hhcmFdCjxJVEVNPlNoaW5pbmcgQnJhbmNoIENoYXJtPElORk8+Mjg0MjI8L0lORk8+PC9JVEVNPiBpcyB0byB3aXNoIGZvciBteSBtb3RoZXIgdG8gcmV0dXJuIGhvbWUgc2FmZWx5IGZyb20gYW55d2hlcmUgaW4gdGhlIHdvcmxkLgpXaWxsIHlvdSBleGNoYW5nZSBpdCBmb3IgezB9IDxJVEVNPkRvcmFtIFRva2VuPElORk8+MjUxNDI8L0lORk8+PC9JVEVNPj8=,,,,,W0FiYWNjaGlvIENoYXJhXQpFdSBmaXogbyA8SVRFTT5BbXVsZXRvIEdhbGhvIENpbnRpbGFudGU8SU5GTz4yODQyMjwvSU5GTz48L0lURU0+IGVucXVhbnRvIG9yYXZhIHBlbGEgc2VndXJhbsOnYSBkYSBtaW5oYSBtw6NlLgpHb3N0YXJpYSBkZSBvYnTDqi1sbyBwb3IgezB9IDxJVEVNPkVtYmxlbWEocykgRG9yYW08SU5GTz4yNTE0MjwvSU5GTz48L0lURU0+Pw==,,W1lvdGEgQ2hhcmFdCkVsIDxJVEVNPkFtdWxldG8gZGUgUmFtYSBCcmlsbGFudGU8SU5GTz4yODQyMjwvSU5GTz48L0lURU0+IGVzIHBhcmEgZGVzZWFyIHF1ZSBtaSBtYWRyZSB2dWVsdmEgc2FuYSB5IHNhbHZhIGEgY2FzYSBkZXNkZSBjdWFscXVpZXIgcGFydGUgZGVsIG11bmRvLgrCv0xvIGNhbmplYXLDrWFzIHBvciB7MH0gPElURU0+RmljaGFzIGRvcmFtPElORk8+MjUxNDI8L0lORk8+PC9JVEVNPj8=
