YNIzDQ,,S2VybGlu,,,,,S2VybGlu,,S2VybGlu
ddIzDQ,,W0tlcmxpbl0KWWVhaCwgSSBrbmV3IHlvdSdkIHNheSB0aGF0Lg==,,,,,W0tlcmxpbl0KU2ltLCBldSBzYWJpYSBxdWUgdm9jw6ogZGlyaWEgaXNzby4=,,W0tlcmxpbl0KQmllbiwgaW1hZ2luw6kgcXVlIGFjZXB0YXLDrWFzLg==
dtIzDQ,,W0tlcmxpbl0KWW91IGNhbiBnZXQgXjRENERGRkJsYXppbmcgQmVhZHNeMDAwMDAwIGJ5IGh1bnRpbmcgXjRENERGRkZpcmUgcHJvcGVydHkgbW9uc3RlcnNeMDAwMDAwIHNjYXR0ZXJlZCBhY3Jvc3MgYWxsIGZpZWxkcyBhbmQgZHVuZ2VvbnMu,,,,,W0tlcmxpbl0KVm9jw6ogcG9kZSBvYnRlciBeNEQ0REZGUGlyb2NsYXN0b3NeMDAwMDAwIGNhw6dhbmRvIF40RDRERkZtb25zdHJvcyBkZSBwcm9wcmllZGFkZSBGb2dvXjAwMDAwMCBlc3BhbGhhZG9zIHBvciB0b2RvcyBvcyBjYW1wb3MgZSBtYXNtb3JyYXMu,,W0tlcmxpbl0KUHVlZGVzIG9idGVuZXIgXjRENERGRlBpcm9jbGFzdG9zXjAwMDAwMCBjYXphbmRvIGEgXjRENERGRm1vbnN0cnVvcyBkZSBwcm9waWVkYWRlIEZ1ZWdvXjAwMDAwMCBkZWFtYnVsYW5kbyBwb3IgY2FtcG9zIHkgbWF6bW9ycmFzLg==
d9IzDQ,,W0tlcmxpbl0KVGFrZSBjYXJlIHRoZW4h,,,,,W0tlcmxpbl0KRW50w6NvIHbDoSBjb20gY3VpZGFkbyE=,,W0tlcmxpbl0KwqFFbnRvbmNlcywgdmUgY29uIGN1aWRhZG8h
eNIzDQ,,W0tlcmxpbl0KT2ggbXksIGl0IHNlZW1zIHlvdSdyZSBub3QgcmVhZHkgdG8gZW5qb3kgdGhpcyB3b25kZXJmdWwgZmVzdGl2YWwu,,,,,W0tlcmxpbl0KQ2FyYW1iYSwgcGFyZWNlIHF1ZSB2b2PDqiBuw6NvIGVzdMOhIHByb250byhhKSBwYXJhIGFwcm92ZWl0YXIgZXNzZSBmZXN0aXZhbCBtYXJhdmlsaG9zby4=,,W0tlcmxpbl0KVmF5YSwgcGFyZWNlIHF1ZSBubyBlc3TDoXMgbGlzdG8oYSkgcGFyYSBkaXNmcnV0YXIgZGUgZXN0ZSBmZXN0aXZhbCBtYXJhdmlsbG9zby4=
edIzDQ,,W0tlcmxpbl0KR3JlYXQsIHlvdSd2ZSBnYXRoZXJlZCB0aGVtIHdlbGwuCllvdXIgd2hvbGUgYm9keSBsb29rcyBob3QuIFdvdWxkIHlvdSBsaWtlIHRvIGNvb2wgZG93biBmb3IgYSBiaXQ/,,,,,W0tlcmxpbl0Kw5N0aW1vLCB2b2PDqiBhcyByZXVuaXUgYmVtLgpTZXUgY29ycG8gdG9kbyBwYXJlY2UgcXVlbnRlLiBHb3N0YXJpYSBkZSBzZSByZWZyZXNjYXIgdW0gcG91Y28/,,W0tlcmxpbl0KSW5jcmXDrWJsZSwgbG9ncmFzdGUgcmVjb2xlY3RhcmxhcyBiaWVuLgpUdSBjdWVycG8gc2UgdmUgbXV5IGNhbGllbnRlLCDCv3F1w6kgdGFsIHNpIGRlc2NhbnNhcyB1biBwb2NvIHBhcmEgcmVmcmVzY2FydGU/
etIzDQ,,W0tlcmxpbl0KV2FpdCBhIG1vbWVudCwgcGxlYXNlLg==,,,,,W0tlcmxpbl0KQWd1YXJkZSB1bSBtb21lbnRvLg==,,W0tlcmxpbl0KRXNwZXJhIHVuIG1vbWVudG8u
e9IzDQ,,W0tlcmxpbl0KLg==,,,,,W0tlcmxpbl0KLg==,,W0tlcmxpbl0KLg==
fNIzDQ,,W0tlcmxpbl0KLi4=,,,,,W0tlcmxpbl0KLi4=,,W0tlcmxpbl0KLi4=
fdIzDQ,,W0tlcmxpbl0KLi4u,,,,,W0tlcmxpbl0KLi4u,,W0tlcmxpbl0KLi4u
ftIzDQ,,W0tlcmxpbl0KSG1tLi4uIFRoaXMgaXMgaGFyZGVyIHRoYW4gSSB0aG91Z2h0Li4u,,,,,W0tlcmxpbl0KSG1tLi4uIElzc28gw6kgbWFpcyBkaWbDrWNpbCBkbyBxdWUgcGVuc2F2YS4uLg==,,W0tlcmxpbl0KSG1tLi4uIMK/RXN0byBubyBlcyB0YW4gZsOhY2lsIGNvbW8gcGVuc8OpPw==
f9IzDQ,,W0tlcmxpbl0KSGEuLi4gSSBmYWlsZWQuIEkgY291bGRuJ3QgbWFrZSBhbnl0aGluZyB3b3J0aHkgb2YgZ2l2aW5nIHlvdSBhcyBhIGdpZnQuLi4=,,,,,W0tlcmxpbl0KQWguLi4gRmFsaGVpLCBuw6NvIGNvbnNlZ3VpIGZhemVyIG5hZGEgZGlnbm8gZGUgdGUgZGFyIGRlIHByZXNlbnRlLi4u,,W0tlcmxpbl0KQWguLi4gZmFsbMOpLCBubyBwdWRlIGNyZWFyIG5hZGEgZGlnbm8gcGFyYSByZWdhbGFydGUgYSB0aS4uLg==
gNIzDQ,,W0tlcmxpbl0KSXQgc2VlbXMgSSBuZWVkIG1vcmUgXjRENERGRkJsYXppbmcgQmVhZHNeMDAwMDAwLiBIbW0uLi4gSG93IGFib3V0IF40RDRERkYyMF4wMDAwMDA/,,,,,W0tlcmxpbl0KQWNobyBxdWUgcHJlY2lzbyBkZSBtYWlzIF40RDRERkZQaXJvY2xhc3Rvc14wMDAwMDAuIEhtbS4uLiBRdWUgdGFsIHVucyBeNEQ0REZGMjBeMDAwMDAwPw==,,W0tlcmxpbl0KQ3JlbyBxdWUgZWNlc2l0byBtw6FzIF40RDRERkZQaXJvY2xhc3Rvc14wMDAwMDAuIE1tbS4uLiDCv1Vub3MgXjRENERGRjIwXjAwMDAwMCBtw6FzPw==
gdIzDQ,,W0tlcmxpbl0KSSBrbm93IGl0J3MgYSBoYXNzbGUsIGJ1dCBjb3VsZCB5b3UgYnJpbmcgbWUgXjRENERGRkJsYXppbmcgQmVhZHNeMDAwMDAwIG9uY2UgbW9yZT8=,,,,,W0tlcmxpbl0KU2VpIHF1ZSDDqSB1bSBpbmPDtG1vZG8sIG1hcyB2b2PDqiBwb2RlcmlhIG1lIHRyYXplciBtYWlzIF40RDRERkZQaXJvY2xhc3Rvc14wMDAwMDAgZGUgbm92bz8=,,W0tlcmxpbl0KU8OpIHF1ZSBlcyB1bmEgbW9sZXN0aWEsIHBlcm8gwr9wb2Ryw61hcyB0cmFlcm1lIG3DoXMgXjRENERGRlBpcm9jbGFzdG9zXjAwMDAwMCBvdHJhIHZlej8=
gtIzDQ,,W0tlcmxpbl0KSWYgeW91IGJyaW5nIHRoZW0gYmFjayBzYWZlbHksIEknbGwgZGVmaW5pdGVseSBzdWNjZWVkIHRoaXMgdGltZSE=,,,,,W0tlcmxpbl0KU2Ugdm9jw6ogb3MgdHJvdXhlciBlbSBzZWd1cmFuw6dhLCBjb20gY2VydGV6YSB2b3UgY29uc2VndWlyIGRlc3NhIHZleiE=,,W0tlcmxpbl0KwqFTaSB2dWVsdmVzIGNvbiBlbGxvcyBhIHNhbHZvLCBlc3RhIHZleiB0ZSBhc2VndXJvIHF1ZSBsbyB2b3kgYSBjb25zZWd1aXIh
g9IzDQ,,W0tlcmxpbl0KSGVyZS4gQXMgeXUndmUgd29ya2VkIGhhcmQsIEknbGwgZ2l2ZSB5b3UgQ29tb2RvJ3MgZmFtb3VzIF40RDRERkZHb2xkZW4gQ29ybl4wMDAwMDAhIFlvdSBjYW4gbWFrZSBkZWxpY2lvdXMgcG9wY29ybiB3aXRoIHRoaXMh,,,,,W0tlcmxpbl0KQXF1aS4gQ29tbyB2b2PDqiBmZXogdW0gYm9tIHRyYWJhbGhvLCB2b3UgdGUgZGFyIG8gZmFtb3NvIF40RDRERkZNaWxobyBEb3VyYWRvXjAwMDAwMCBkZSBDb21vZG8hIENvbSBpc3NvIHZvY8OqIHZhaSBwb2RlciBmYXplciB1bWEgcGlwb2NhIGRlbGljaW9zYSE=,,W0tlcmxpbl0KQXF1w60uIFlhIHF1ZSBoaWNpc3RlcyB1biBidWVuIHRyYWJham8sIHRlIHZveSBhIGRhciBlbCBeNEQ0REZGTWHDrXogRG9yYWRvXjAwMDAwMCwgZXNwZWNpYWxpZGFkIGRlIENvbW9kby4gwqFDb24gZXN0byBwb2Ryw6FzIGhhY2VyIGRlbGljaW9zYXMgcGFsb21pdGFzIQ==
hNIzDQ,,W0tlcmxpbl0KWW91IGNhbiBnZXQgXjRENERGRkJsYXppbmcgQmVhZHNeMDAwMDAwIGJ5IGRlZmVhdGluZyB2b2xjYW5pYyBtb25zdGVycyBzY2F0dGVyZWQgYWNyb3NzIGFsbCBmaWVsZHMgYW5kIGR1bmdlb25zLg==,,,,,W0tlcmxpbl0KVm9jw6ogcG9kZSBvYnRlciBeNEQ0REZGUGlyb2NsYXN0b3NeMDAwMDAwIGRlcnJvdGFuZG8gbW9uc3Ryb3MgdnVsY8Oibmljb3MgZXNwYWxoYWRvcyBwb3IgdG9kb3Mgb3MgY2FtcG9zIGUgbWFzbW9ycmFzLg==,,W0tlcmxpbl0KUHVlZGVzIG9idGVuZXIgXjRENERGRlBpcm9jbGFzdG9zXjAwMDAwMCBlbGltaW5hbmRvIG1vbnN0cnVvcyB2b2xjw6FuaWNvcyBkZWFtYnVsYW5kbyBwb3IgY2FtcG9zIHkgbWF6bW9ycmFzLg==
hdIzDQ,,W0tlcmxpbl0KQWZ0ZXIgeW91IGdhdGhlciBeNEQ0REZGMTBeMDAwMDAwIG9mIHRoZW0sIGNvbWUgZmluZCBtZSBhZ2Fpbi4=,,,,,W0tlcmxpbl0KRGVwb2lzIGRlIGp1bnRhciBeNEQ0REZGMTBeMDAwMDAwIGRlbGVzLCB2b2x0ZSBhIG1lIHByb2N1cmFyLg==,,W0tlcmxpbl0KRGVzcHXDqXMgZGUgY29uc2VndWlyIF40RDRERkYxMCB1bmlkYWRlc14wMDAwMDAsIHZ1ZWx2ZSBhIGJ1c2Nhcm1lLg==
htIzDQ,,W0tlcmxpbl0KR29vZCEgWW91J3ZlIGdhdGhlcmVkIGFsbCB0aGUgQmxhemluZyBCZWFkcyBhbmQgY2FtZSBiYWNrLiBJJ2xsIG1ha2Ugc3VyZSB0byBjcmFmdCBpdCBwcm9wZXJseSB0aGlzIHRpbWUu,,,,,W0tlcmxpbl0Kw5N0aW1vISBWb2PDqiBqdW50b3Ugb3MgUGlyb2NsYXN0b3MgZSB2b2x0b3UgYSBtZSBwcm9jdXJhci4gUG9kZSBkZWl4YXIgcXVlIGRlc3NhIHZleiB2b3UgZmFicmljYXIgbyBwcmVzZW50ZSBkaXJlaXRvLg==,,W0tlcmxpbl0KwqFNdXkgYmllbiEgUmV1bmlzdGUgbG9zIFBpcm9jbGFzdG9zIHkgcmVncmVzYXN0ZS4gTm8gdGUgcHJlb2N1cGVzLCBlc3RhIHZleiB2b3kgYSBoYWNlciBlbCByZWdhbG8gY29ycmVjdGFtZW50ZS4=
h9IzDQ,,W0tlcmxpbl0KV291bGQgeW91IGxpa2UgdG8gY3JhZnQgPElURU0+W1tDb3N0dW1lXSBQb3BweWNvcm5dPElORk8+NDEwMDY5PC9JTkZPPjwvSVRFTT4/,,,,,W0tlcmxpbl0KRGVzZWphIGZhYnJpY2FyIDxJVEVNPltbVmlzdWFsXSBQaXBvcXVpbmhvXTxJTkZPPjQxMDA2OTwvSU5GTz48L0lURU0+Pw==,,W0tlcmxpbl0Kwr9RdWllcmVzIGZhYnJpY2FyIDxJVEVNPltbRGlzZnJhel0gUGFsb21pdMOtbl08SU5GTz40MTAwNjk8L0lORk8+PC9JVEVNPj8=
iNIzDQ,,Q3JhZnQgaXQu,,,,,RmFicmljYXIu,,RmFicmljYXIu
idIzDQ,,Tm8sIHRoYW5rcy4=,,,,,TsOjbywgb2JyaWdhZG8u,,Tm8sIGdyYWNpYXMu
itIzDQ,,W0tlcmxpbl0KVGhlIDxJVEVNPltbQ29zdHVtZV0gUG9wcHljb3JuXTxJTkZPPjQxMDA2OTwvSU5GTz48L0lURU0+IHdpbGwgZm9sbG93IHlvdSBhcm91bmQgYW5kIGNoZWVyIHlvdSBvbiE=,,,,,W0tlcmxpbl0KTyA8SVRFTT5bW1Zpc3VhbF0gUGlwb3F1aW5ob108SU5GTz40MTAwNjk8L0lORk8+PC9JVEVNPiB2YWkgdGUgc2VndWlyIHBvciB0b2RhIHBhcnRlIGUgdG9yY2VyIHBvciB2b2PDqiE=,,W0tlcmxpbl0KwqFFbCA8SVRFTT5bW0Rpc2ZyYXpdIFBhbG9taXTDrW5dPElORk8+NDEwMDY5PC9JTkZPPjwvSVRFTT4gdGUgdmEgYSBzZWd1aXIgYSB0b2RhcyBsYXMgcGFydGVzIGFuaW3DoW5kb3RlIQ==
i9IzDQ,,W0tlcmxpbl0KQWxyaWdodC4uIEp1c3Qgd2FpdCBhIG1vbWVudCE=,,,,,W0tlcmxpbl0KQmVtLi4uIEVzcGVyYSB1bSBtb21lbnRvIQ==,,W0tlcmxpbl0KQmllbi4uLiDCoUVzcGVyYSB1biBtb21lbnRvIQ==
jNIzDQ,,W0tlcmxpbl0KLi4uLg==,,,,,W0tlcmxpbl0KLi4uLg==,,W0tlcmxpbl0KLi4uLg==
jdIzDQ,,W0tlcmxpbl0KLi4uLi4u,,,,,W0tlcmxpbl0KLi4uLi4u,,W0tlcmxpbl0KLi4uLi4u
jtIzDQ,,W0tlcmxpbl0KUGhldywgSSBmaW5hbGx5IHN1Y2NlZWRlZC4uLg==,,,,,W0tlcmxpbl0KVWZhLCBmaW5hbG1lbnRlIGNvbnNlZ3VpLi4u,,W0tlcmxpbl0KVWYsIHBvciBmaW4gbG8gY29uc2VndcOtLi4u
