ICYMDQ,,U21hcnQgRWxseQ==,,,,,QXV0w7RtYXRhIEVsbHk=,,QXN0dXRhIEVsbHk=
KyYMDQ,,W0VzdF0KT2gsIHJpZ2h0LiBIYXZlIHlvdSBmb3VuZCBhbnl0aGluZz8KWW91IGhhdmUgYmVlbiB3b3JraW5nIGhhcmQgc2luY2UgbGFzdCBuaWdodC4=,,,,,W0VzdF0KT2gsIHNpbS4gQWxndW0gcHJvZ3Jlc3NvPwpWb2PDqiBlc3TDoSB0cmFiYWxoYW5kbyBiYXN0YW50ZSBkZXNkZSBhIG5vaXRlIHBhc3NhZGEu,,W0VzdF0KRWgsIHPDrS4gRW50b25jZXMsIMK/aGFzIHNhY2FkbyBhbGdvIGVuIGNsYXJvPwpMbGV2YXMgdHJhYmFqYW5kbyBkZXNkZSBhbm9jaGUu
LCYMDQ,,W1Jvb2tpZV0KSSBoZWFyZCBmcm9tIEFscGhhIHRoYXQgYWxsIHRoZSBkYXRhIHRoYXQgY291bGQgYmUgYW5hbHl6ZWQgaW4gdGhlIGN1cnJlbnQgc3RhdGUgaGFzIGJlZW4gcmV2aWV3ZWQu,,,,,W0x1a2llXQpPdXZpIGRhIEdlcmVudGUgQWxwaGEgcXVlIGEgY29uc3VsdGEgZG9zIGRhZG9zIGFuYWxpc8OhdmVpcyBubyBlc3RhZG8gYXR1YWwgasOhIGZvaSBjb25jbHXDrWRhLg==,,W1Jvb2tpZV0KTWUgZGlqZXJvbiBxdWUsIGVuIGVsIGVzdGFkbyBhY3R1YWwsIHlhIGhhIHRlcm1pbmFkbyBsYSBjb25zdWx0YSBkZSBsb3MgZGF0b3MgcXVlIHBvZMOtYW4gYW5hbGl6YXJzZS4=
LSYMDQ,,W0VsbHldClllcy4gSSBqdXN0IHRyYW5zbWl0dGVkIHRoZSBkYXRhLgpUaGVyZSBoYXMgYmVlbiBubyByZWNlcHRpb24gYXQgYWxsIGZyb20gTWFzdGVyJ3MgQ29sbGVjdGlvbiBOby4gMywgYnV0IEkgcGlja2VkIHVwIHNldmVyYWwgdW51c3VhbCBzaWduYWxzLg==,,,,,W0VsbHldClNpbS4gQWNhYmVpIGRlIHRyYW5zbWl0aXIgb3MgZGFkb3MuCk7Do28gaMOhIHJlY2Vww6fDo28gYWxndW1hIGRhIENvbGXDp8OjbyBuwrogMyBkbyBtZXN0cmUsIG1hcyBjYXB0ZWkgYWxndW5zIHNpbmFpcyBpbmNvbXVucy4=,,W0VsbHldClPDrS4gQWNhYm8gZGUgdHJhbnNtaXRpciBsb3MgZGF0b3MuCk5vIHJlY2liaW1vcyBhYnNvbHV0YW1lbnRlIG5hZGEgZGUgbGEgY29sZWNjacOzbiBuw7ptZXJvIDMgZGUgbWkgYW1vLCBwZXJvIGhlIGRldGVjdGFkbyB2YXJpYXMgc2XDsWFsZXMgZXh0cmHDsWFzLg==
LiYMDQ,,VW51c3VhbCBzaWduYWxzPw==,,,,,U2luYWlzIGluY29tdW5zPw==,,wr9TZcOxYWxlcyBleHRyYcOxYXM/
LyYMDQ,,W0VsbHldClRyYWNlcyB0aGF0IHRoZSAnaW50cnVkZXJzJyBzZWNyZXRseSB1c2VkIHRoaXMgZmFjaWxpdHkgd2hpbGUgaXQgcmVtYWluZWQgdW51c2VkIGZvciBhIGxvbmcgdGltZSBhbmQgLi4uLg==,,,,,W0VsbHldClZlc3TDrWdpb3MgZGUgcXVlIG9zICdJbnZhc29yZXMnIHVzYXJhbSBlc3RhIGluc3RhbGHDp8OjbyBzZWNyZXRhbWVudGUgZW5xdWFudG8gZXN0ZXZlIGluYXRpdmEuLi4=,,W0VsbHldClJhc3Ryb3MgZGUgcXVlIGxvcyAnaW50cnVzb3MnIHVzYXJvbiBlc3RlIGx1Z2FyIGEgZXNjb25kaWRhcyBtaWVudHJhcyBwZXJtYW5lY2nDsyBzaW4gdXRpbGl6YXIgZHVyYW50ZSB0YW50byB0aWVtcG8geS4uLi4=
MCYMDQ,,W0VsbHldClRyYWNlcyBvZiBwZXJpb2RpYyBtYWdpY2FsIGNvbW11bmljYXRpb24gd2l0aCBhIHNwZWNpZmljIHJlZ2lvbi4KSW50ZXJtaXR0ZW50IHJlY2VwdGlvbiBzaWduYWxzLg==,,,,,W0VsbHldCkUgdmVzdMOtZ2lvcyBkZSBjb211bmljYcOnw6NvIG3DoWdpY2EgcGVyacOzZGljYSBjb20gdW1hIHJlZ2nDo28gZXNwZWPDrWZpY2EuClNpbmFpcyBpbnRlcm1pdGVudGVzLg==,,W0VsbHldClJhc3Ryb3MgZGUgY29tdW5pY2FjacOzbiBtw6FnaWNhIHBlcmnDs2RpY2EgY29uIHVuYSByZWdpw7NuIGNvbmNyZXRhLgpTZcOxYWxlcyBpbnRlcm1pdGVudGVzLg==
MSYMDQ,,W0VzdF0KV2hhdCwgYXJlIHlvdSBzYXlpbmcgdGhvc2UgYmFzdGFyZHMgd2VyZSBpbiByZWd1bGFyIGNvbnRhY3Qgd2l0aCB0aGUgb3V0c2lkZT8KV2hlcmU/IEEgY29ycG9yYXRpb24/,,,,,W0VzdF0KTyBxdcOqLCBxdWVyIGRpemVyIHF1ZSBlbGVzIG1hbnRpbmhhbSBjb250YXRvIHJlZ3VsYXIgY29tIG8gZXh0ZXJpb3I/Ck9uZGU/IENvbSBhIGNvcnBvcmHDp8Ojbz8=,,W0VzdF0Kwr9RdcOpIGRlbW9uaW9zPyDCv0Vzb3MgdGlwb3MgZXN0YWJhbiBlbiBjb250YWN0byByZWd1bGFyIGNvbiBlbCBleHRlcmlvcj8Kwr9Ew7NuZGU/IMK/Q29uIGxhIGNvcnBvcmFjacOzbj8=
MiYMDQ,,W0VsbHldCkFjY29yZGluZyB0byB0aGUgYW5hbHlzaXMsIHRoZXJlIGFyZSBvbmx5IHRyYWNlcyBvZiBvbmUtd2F5IHJlY2VwdGlvbiwKYW5kIGl0IGFwcGVhcnMgdG8gaGF2ZSBiZWVuIHVzZWQgdG8gY29sbGVjdCByZXBvcnRzIGZyb20gb3V0c2lkZSwgYnV0Li4uLg==,,,,,W0VsbHldClBlbGEgYW7DoWxpc2UsIGjDoSBhcGVuYXMgdmVzdMOtZ2lvcyBkZSByZWNlcMOnw6NvIHVuaWxhdGVyYWwuClBhcmVjZSBxdWUgY29sZXRhdmFtIHJlbGF0w7NyaW9zIGRvIGV4dGVyaW9yLi4u,,W0VsbHldClNlZ8O6biBlbCBhbsOhbGlzaXMsIHNvbG8gaGF5IHJhc3Ryb3MgZGUgcmVjZXBjacOzbiB1bmlsYXRlcmFsLAp5IHBhcmVjZSBxdWUgc2UgdXNhYmEgcGFyYSByZWNvcGlsYXIgaW5mb3JtZXMgZGVsIGV4dGVyaW9yLi4u
MyYMDQ,,W0VsbHldCkl0IHNlZW1zIGl0IHdpbGwgdGFrZSB0aW1lIHRvIGFuYWx5emUsIHNpbmNlIHRoZSBvbmUtd2F5IHNpZ25hbCB1c2VzIHRoZSBjaXBoZXIgZW1wbG95ZWQgYnkgdGhlICdpbnRydWRlcnMnLg==,,,,,W0VsbHldCkNvbW8gbyBzaW5hbCB1bmlsYXRlcmFsIHVzYSBvIGPDs2RpZ28gZW1wcmVnYWRvIHBlbG9zICdJbnZhc29yZXMnLCBsZXZhcsOhIHRlbXBvIHBhcmEgZGVjaWZyYXIu,,W0VsbHldClBhcmVjZSBxdWUgZXNhcyBzZcOxYWxlcyB1bmlsYXRlcmFsZXMgdXNhbiBlbCBjw7NkaWdvIHF1ZSBlbXBsZWFiYW4gbG9zICdpbnRydXNvcycsIGFzw60gcXVlIGVsIGFuw6FsaXNpcyBsbGV2YXLDoSB0aWVtcG8u
NCYMDQ,,W1Jvb2tpZV0KVGhlbiwgRWxpLiBJIGhhdmUgb25lIGZhdm9yIHRvIGFzay4KUGxlYXNlIGNvbnRpbnVlIHJlY2VpdmluZyB0aGUgc2lnbmFsIGFzIHRob3VnaCB0aGUgbGVhZGVycyBvZiB0aGUgJ2ludHJ1ZGVycywnIHRoYXQgaXMsIElsbHVzaW9uLCBhcmUgc3RpbGwgaGVyZS4=,,,,,W0x1a2llXQpFbnTDo28sIEVsbHkuIFRlbmhvIHVtIHBlZGlkby4KQ29udGludWUgcmVjZWJlbmRvIG8gc2luYWwgY29tbyBzZSBhIGxpZGVyYW7Dp2EgZG9zICdJbnZhc29yZXMnLCBvdSBzZWphLCBhIElsdXNpw7NuLCBhaW5kYSBlc3RpdmVzc2UgYXF1aS4=,,W1Jvb2tpZV0KRW50b25jZXMsIEVsbHkuIFNvbG8gdm95IGEgcGVkaXJ0ZSB1bmEgY29zYS4KU2lndWUgcmVjaWJpZW5kbyBsYSBzZcOxYWwgY29tbyBzaSBsb3MgJ2ludHJ1c29zJywgZXMgZGVjaXIsIGxhIGPDunB1bGEgZGUgSWxsdXNpb24sIHNpZ3VpZXJhbiBhcXXDrS4=
NSYMDQ,,W0VzdF0KT2gsIFJvb2tpZSwgdGhpcyBsaXR0bGUgb25lLiBVc2luZyB5b3VyIGhlYWQgd2VsbCwgaHVoPwpUaGVuIHdlIG1pZ2h0IGJlIGFibGUgdG8gdHJhY2UgdGhlIG90aGVyIGNvbGxhYm9yYXRvcnMgb3V0IGluIG90aGVyIGxhbmRzIGluIHJldmVyc2Uu,,,,,W0VzdF0KQWgsIEx1a2llLCBhZ29yYSB2b2PDqiB1c291IGEgY2FiZcOnYS4KQXNzaW0gcG9kZXJlbW9zIHJhc3RyZWFyIG9zIG91dHJvcyBjw7ptcGxpY2VzIHF1ZSBlc3TDo28gZW0gdGVycmFzIGRpc3RhbnRlcy4=,,W0VzdF0KT2gsIG1pcmEgdMO6IGEgUm9va2llLCBxdcOpIGJpZW4gbGUgZnVuY2lvbmEgbGEgY2FiZXphLgpFbnRvbmNlcyBwb2RyZW1vcyByYXN0cmVhciBhIGxhIGludmVyc2EgYSBsb3Mgb3Ryb3MgY8OzbXBsaWNlcyBxdWUgZXN0w6luIGZ1ZXJhLg==
NiYMDQ,,W0VsbHldCkV4YWN0bHkgYXMgeW91IHNheS4KRnJvbSBub3cgb24sIEkgd2lsbCBtYWludGFpbiB0aGUgaW5mb3JtYXRpb24gcGF0dGVybiBvZiB0aGUgJ2ludHJ1ZGVycycgYW5kIGNvbGxlY3QgaW5mb3JtYXRpb24gb24gYWNjb21wbGljZXMgcmVjZWl2ZWQgZnJvbSBvdXRzaWRlLg==,,,,,W0VsbHldCkVudGVuZGlkby4KTWFudGVyZWkgbyBwYWRyw6NvIGRlIGluZm9ybWHDp8OjbyBkb3MgJ0ludmFzb3JlcycgZSBjb2xldGFyZWkgZGFkb3MgZG9zIGPDum1wbGljZXMgcmVjZWJpZG9zIGV4dGVybmFtZW50ZS4=,,W0VsbHldCkV4YWN0YW1lbnRlLgpBIHBhcnRpciBkZSBhaG9yYSBtYW50ZW5kcsOpIGVsIHBhdHLDs24gaW5mb3JtYXRpdm8gZGUgbG9zICdpbnRydXNvcycgeSByZWNvcGlsYXLDqSBsYSBpbmZvcm1hY2nDs24gZGUgbG9zIGPDs21wbGljZXMgcmVjaWJpZGEgZGVzZGUgZWwgZXh0ZXJpb3Iu
NyYMDQ,,W1Jvb2tpZV0KSWYgd2UgYXJlIGx1Y2t5LCB3ZSBtYXkgZXZlbiBiZSBhYmxlIHRvIGZpbmQgdGhlIHJvdXRlIG9mIHRoZSBhaXJzaGlwIElsbHVzaW9uIGVzY2FwZWQgaW4sIG9yIHRoZSBsb2NhdGlvbnMgb2YgdGhlaXIgYWNjb21wbGljZXMu,,,,,W0x1a2llXQpDb20gc29ydGUsIHBvZGVyZW1vcyBkZXNjb2JyaXIgYSByb3RhIGRvIEFlcm9wbGFubyBwYXJhIG9uZGUgYSBJbHVzacOzbiBmdWdpdSwgb3UgYXTDqSBhIGxvY2FsaXphw6fDo28gZG9zIGPDum1wbGljZXMu,,W1Jvb2tpZV0KQ29uIHVuIHBvY28gZGUgc3VlcnRlLCBwb2RyZW1vcyBhdmVyaWd1YXIgaW5jbHVzbyBsYSBydXRhIGRlbCBkaXJpZ2libGUgZW4gZWwgcXVlIGh1ecOzIElsbHVzaW9uIG8gbGEgdWJpY2FjacOzbiBkZSBzdXMgY8OzbXBsaWNlcy4=
OCYMDQ,,W0VzdF0KU28gaW4gdGhlIGVuZCwgeW91IGNvdWxkIG5vdCBjYXRjaCB0aG9zZSB0aGluZ3MgY2FsbGVkICdJbGx1c2lvbicgaGVyZS4KT3RoZXIgdGhhbiB0aGF0IHN0cmFuZ2UgbGl0dGxlIGJyYXQu,,,,,W0VzdF0KRW50w6NvLCBubyBmaW0gZGFzIGNvbnRhcywgbsOjbyBjb25zZWd1aW1vcyBjYXB0dXJhciBhIElsdXNpw7NuIGFxdWkuCkV4Y2V0byBhcXVlbGEgZXN0cmFuaGEgY3JpYW7Dp2EgYXV0w7RtYXRhLg==,,W0VzdF0KRW50b25jZXMgYWwgZmluYWwgbm8gcHVkaW1vcyBhdHJhcGFyIGFxdcOtIGEgZXNvcyBkZSAnSWxsdXNpb24nLgpBIGV4Y2VwY2nDs24gZGUgZXNlIGNyw61vIHRhbiBleHRyYcOxby4=
OSYMDQ,,W1Jvb2tpZV0KU2hvdWxkIHdlIG5vdCBhdCBsZWFzdCBiZSBzYXRpc2ZpZWQgdGhhdCB3ZSBtYW5hZ2VkIHRvIHByb3RlY3QgdGhlIG1hbnNpb24gaW50YWN0Li4uPwpJdCBzZWVtcyBNci4gRXN0IGlzIHdvcmtpbmcgaGFyZCBvbiB0aGUgYWRqdXN0bWVudHMgd2l0aCB0aGUgY29ycG9yYXRpb24sIHNvIHRoaXMgaXMgd2hlcmUgb3VyIHdvcmsgZW5kcy4=,,,,,W0x1a2llXQpOw6NvIGRldmVyw61hbW9zIG5vcyBjb250ZW50YXIgY29tIG8gZmF0byBkZSB0ZXJtb3MgcHJvdGVnaWRvIGEgbWFuc8Ojbz8KT3MgbmVnw7NjaW9zIGNvbSBhIGNvcnBvcmHDp8OjbyBwYXJlY2VtIGVzdGFyIHNlbmRvIHRyYXRhZG9zIHBlbG8gU3IuIEVzdCwgZW50w6NvIG5vc3NvIHRyYWJhbGhvIHRlcm1pbmEgYXF1aS4=,,W1Jvb2tpZV0Kwr9ObyBkZWJlcsOtYW1vcyBjb25mb3JtYXJub3MgYWwgbWVub3MgY29uIGhhYmVyIHByb3RlZ2lkbyBpbnRhY3RhIGxhIG1hbnNpw7NuLi4uPwpQYXJlY2UgcXVlIHVzdGVkLCBzZcOxb3IgRXN0LCBlc3TDoSBnZXN0aW9uYW5kbyBlbCBhc3VudG8gY29uIGxhIGNvcnBvcmFjacOzbiwgYXPDrSBxdWUgbnVlc3RybyB0cmFiYWpvIHRlcm1pbmEgYXF1w60u
OiYMDQ,,W1Jvb2tpZV0KWW91IHdvcmtlZCBoYXJkIGFnYWluIHRoaXMgdGltZS4KSXQgaXMgdW5mb3J0dW5hdGUsIGJ1dCBuZXh0IHRpbWUgbGV0IHVzIGRlZmluaXRlbHkgY2F0Y2ggdGhlIHJlc3Qgb2YgdGhvc2UgYmFzdGFyZHMgYW5kIHNlZSB0aGVpciBmYWNlcy4KVGhlc2UgYXJlIHRoaW5ncyBJIGhhdmUgZ2F0aGVyZWQgaW4gdGhlIG1lYW50aW1lLCBzbyBJIHdpbGwgZ2l2ZSB0aGVtIHRvIHlvdSwgQWR2ZW50dXJlci4=,,,,,W0x1a2llXQpCb20gdHJhYmFsaG8gbWFpcyB1bWEgdmV6LgpOYSBwcsOzeGltYSB2ZXogdmFtb3MgY2FwdHVyYXIgbyByZXN0YW50ZSBlIHZlciBxdWVtIHPDo28uCklzdG8gw6kgYWxnbyBxdWUgcmV1bmkgYXTDqSBhZ29yYSwgdmlhamFudGUsIGZpcXVlIGNvbSB2b2PDqi4=,,W1Jvb2tpZV0KRXN0YSB2ZXogdGFtYmnDqW4gaGEgdHJhYmFqYWRvIG11Y2hvLgpFcyB1bmEgcGVuYSwgcGVybyBsYSBwcsOzeGltYSB2ZXogYXRyYXBhcmVtb3Mgc2luIGZhbHRhIGFsIHJlc3RvIGRlIGVzb3MgdGlwb3MgeSBsZXMgdmVyZW1vcyBsYSBjYXJhIGRlIGNlcmNhLgpFc3RvIGVzIGFsZ28gcXVlIGhlIGlkbyByZXVuaWVuZG8gdG9kbyBlc3RlIHRpZW1wbywgc2UgbG8gZG95LCB0cm90YW11bmRvcy4=
OyYMDQ,,W0VzdF0KSSB3aWxsIGtlZXAgc3RheWluZyBpbiB0aGUgY2FyZXRha2VyIGJyZWFrIHJvb20sIHNvIGlmIHlvdSBuZWVkIGFueXRoaW5nLCBjb21lIG92ZXIgdGhlcmUu,,,,,W0VzdF0KRmljYXJlaSBuYSBzYWxhIGRlIGRlc2NhbnNvIGRhcyBBdXTDtG1hdGFzLCBlbnTDo28gc2UgcHJlY2lzYXIgZGUgYWxnbywgdmVuaGEgYXTDqSBsw6Eu,,W0VzdF0KWW8gc2VndWlyw6kgZW4gbGEgc2FsYSBkZSBkZXNjYW5zbyBkZSBsb3MgYWRtaW5pc3RyYWRvcmVzLCBhc8OtIHF1ZSwgc2kgbmVjZXNpdGFzIGFsZ28sIHZlbiBwb3IgYWxsw60u
