gBo7DA,,QmFuayBUZWxsZXI=,,,,,QXRlbmRlbnRlIGRvIEJhbmNv,,RW1wbGVhZG8gZGVsIEJhbmNv
jRo7DA,,W0JhbmsgVGVsbGVyXQpDYW4geW91IHNlZSBpdD8gVGhlIGJpZywgYmVhdXRpZnVsIGdvbGQgY29pbiBvbiB0aGUgcm9vZj8=,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KQ29uc2VndWUgdmVyPyBBIGdyYW5kZSBlIGJlbGEgbW9lZGEgZGUgb3VybyBubyB0ZWxoYWRvPw==,,W0VtcGxlYWRvIGRlbCBCYW5jb10Kwr9QdWVkZSB2ZXJsYT8gwr9MYSBtb25lZGEgZGUgb3JvIGdyYW5kZSB5IGhlcm1vc2EgZW4gZWwgdGVjaG8/
jho7DA,,W0JhbmsgVGVsbGVyXQpIYWhhLCBJIHNlZS4KRXZlbiB0aG91Z2ggaXQncyB0aGUgZGVzZXJ0LCB5b3UgY2FuJ3QgZW50ZXIgdGhlIGJ1aWxkaW5nLCBhbmQgaGF2ZSB0byBzdGFuZCB1bmRlciB0aGUgc2NvcmNoaW5nIHN1biwgcGxlYXNlIGZlZWwgZnJlZSB0byByZXN0IGhlcmUu,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KSGFoYSwgZW50ZW5kby4KTWVzbW8gZXN0YW5kbyBubyBkZXNlcnRvLCB2b2PDqiBuw6NvIHBvZGUgZW50cmFyIG5vIHByw6lkaW8gZSB0ZW0gcXVlIGZpY2FyIHNvYiBvIHNvbCBlc2NhbGRhbnRlLCBzaW50YS1zZSDDoCB2b250YWRlIHBhcmEgZGVzY2Fuc2FyIGFxdWku,,W0VtcGxlYWRvIGRlbCBCYW5jb10KSmFqYSwgeWEgdmVvLgpBdW5xdWUgZXN0ZW1vcyBlbiBlbCBkZXNpZXJ0bywgbm8gcHVlZGUgZW50cmFyIGFsIGVkaWZpY2lvIHkgdGllbmUgcXVlIHBhcmFyc2UgYmFqbyBlbCBzb2wgYWJyYXNhZG9yLCBzacOpbnRhc2UgbGlicmUgZGUgZGVzY2Fuc2FyIGFxdcOtLg==
jxo7DA,,QWxsYW5nIE1vcmVsbGVuZw==,,,,,QWxsYW5nIE1vcmVsbGVuZw==,,QWxsYW5nIE1vcmVsbGVuZw==
kBo7DA,,W0FsbGFuZyBNb3JlbGxlbmddCkhleSwgd2h5IHdvbid0IHlvdSBnaXZlIG1lIGEgbG9hbj8=,,,,,W0FsbGFuZyBNb3JlbGxlbmddCkVpLCBwb3IgcXVlIHZvY8OqIG7Do28gbWUgY29uY2VkZSB1bSBlbXByw6lzdGltbz8=,,W0FsbGFuZyBNb3JlbGxlbmddCk95ZSwgwr9wb3IgcXXDqSBubyBtZSBkYXMgdW4gcHLDqXN0YW1vPw==
kRo7DA,,W0JhbmsgVGVsbGVyXQpJJ20gc29ycnkuIEhlYWQgb2ZmaWNlIHBvbGljeSBwcm9oaWJpdHMgdHJhbnNhY3Rpb25zIHdpdGggaW5kaXZpZHVhbCBjdXN0b21lcnMu,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KU2ludG8gbXVpdG8uIEEgcG9sw610aWNhIGRhIG1hdHJpeiBwcm/DrWJlIHRyYW5zYcOnw7VlcyBjb20gY2xpZW50ZXMgaW5kaXZpZHVhaXMu,,W0VtcGxlYWRvIGRlbCBCYW5jb10KTG8gc2llbnRvLiBMYSBwb2zDrXRpY2EgZGUgbGEgbWF0cml6IHByb2jDrWJlIGxhcyB0cmFuc2FjY2lvbmVzIGNvbiBjbGllbnRlcyBpbmRpdmlkdWFsZXMu
kho7DA,,W0FsbGFuZyBNb3JlbGxlbmddClVnaCwgdGhpcyBpcyBzbyBmcnVzdHJhdGluZy4gTG9vaywgeW91IGRpZCBidXNpbmVzcyB3aXRoIG1lIGp1c3QgeWVzdGVyZGF5ISBUYWtlIGEgZ29vZCBsb29rLCBkb24ndCB5b3UgcmVjb2duaXplIG15IGZhY2U/,,,,,W0FsbGFuZyBNb3JlbGxlbmddCkFmZiwgaXNzbyDDqSB0w6NvIGZydXN0cmFudGUuIE9saGEsIHZvY8OqIGZleiBuZWfDs2NpbyBjb21pZ28gb250ZW0hIE9saGUgYmVtLCBuw6NvIHJlY29uaGVjZSBtaW5oYSBjYXJhPw==,,W0FsbGFuZyBNb3JlbGxlbmddClVmLCBlc3RvIGVzIHRhbiBmcnVzdHJhbnRlLiDCoU1pcmEsIGhpY2lzdGUgbmVnb2NpbyBjb25taWdvIGF5ZXIhIE1pcmEgYmllbiwgwr9ubyByZWNvbm9jZXMgbWkgY2FyYT8=
kxo7DA,,W0JhbmsgVGVsbGVyXQpQbGVhc2UgcHJlc2VudCB5b3VyIElELiBZb3Uga25vdyBob3cgaXQgaXMsIGRvbid0IHlvdT8gVGhlcmUgYXJlIHNvIG1hbnkgcGVvcGxlIHdpdGggc2ltaWxhciBmYWNlcy4uLg==,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KUG9yIGZhdm9yLCBhcHJlc2VudGUgc3VhIGlkZW50aWZpY2HDp8Ojby4gVm9jw6ogc2FiZSBjb21vIMOpLCBuw6NvPyBIw6EgdGFudGFzIHBlc3NvYXMgY29tIHJvc3RvcyBwYXJlY2lkb3MuLi4=,,W0VtcGxlYWRvIGRlbCBCYW5jb10KUG9yIGZhdm9yLCBtdWVzdHJlIHN1IGlkZW50aWZpY2FjacOzbi4gVXN0ZWQgc2FiZSBjw7NtbyBlcywgwr9ubz8gSGF5IG11Y2hhIGdlbnRlIGNvbiBjYXJhcyBzaW1pbGFyZXMuLi4=
lBo7DA,,W0JhbmsgVGVsbGVyXQpJZiBzb21ldGhpbmcgZ29lcyB3cm9uZywgSSdsbCBiZSBoZWxkIHJlc3BvbnNpYmxlLiBQbGVhc2UsIGNvbnNpZGVyIG15IHNpdHVhdGlvbi4=,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KU2UgYWxnbyBkZXIgZXJyYWRvLCB0ZXJlaSBwcm9ibGVtYXMuIFBvciBmYXZvciwgY29tcHJlZW5kYSBtaW5oYSBzaXR1YcOnw6NvLg==,,W0VtcGxlYWRvIGRlbCBCYW5jb10KU2kgYWxnbyBzYWxlIG1hbCwgeW8gc2Vyw6kgZWwgcmVzcG9uc2FibGUuIFBvciBmYXZvciwgY29uc2lkZXJlIG1pIHNpdHVhY2nDs24u
lRo7DA,,W0FsbGFuZyBNb3JlbGxlbmddCkdyci4uLiAuLiAuLg==,,,,,W0FsbGFuZyBNb3JlbGxlbmddCkdyci4uLiAuLiAuLg==,,W0FsbGFuZyBNb3JlbGxlbmddCkdyci4uLiAuLiAuLg==
lho7DA,,W0JhbmsgVGVsbGVyXQpUaGFuayB5b3UgZm9yIHlvdXIgdW5kZXJzdGFuZGluZy4gUGxlYXNlIHRha2UgY2FyZSwgc2lyLg==,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KQWdyYWRlw6dvIHBlbGEgY29tcHJlZW5zw6NvLiBUY2hhdSwgc2VuaG9yLg==,,W0VtcGxlYWRvIGRlbCBCYW5jb10KR3JhY2lhcyBwb3Igc3UgY29tcHJlbnNpw7NuLiBDdcOtZGVzZSwgc2XDsW9yLg==
lxo7DA,,QmFrZXI=,,,,,UGFkZWlybw==,,UGFuYWRlcm8=
mBo7DA,,RnJlc2hseSBiYWtlZCBicmVhZCB0aGlzIG1vcm5pbmcu,,,,,UMOjbyBmcmVzcXVpbmhvIQ==,,UGFuIHJlY2nDqW4gaG9ybmVhZG8gZXN0YSBtYcOxYW5hLg==
mRo7DA,,QnV5IHNvbWUgYnJlYWQuIEJyZX5hZCEgV2UgaGF2ZSB3YXJtIGJyZWFkfg==,,,,,Q29tcHJlIHDDo8OjbyEgVGVtb3MgcMOjbyBxdWVudGluaG9+,,Q29tcHJlIHBhbi4gwqFQYWFhbiEgVGVuZW1vcyBwYW4gY2FsaWVudGl0b34=
mho7DA,,QnJlYWQgc28gZGVsaWNpb3VzIHlvdSB3b3VsZG4ndCBub3RpY2UgaWYgeW91IGRyb3BwZWQgZGVhZCBlYXRpbmcgaXQgd2l0aCBzb21lb25lLg==,,,,,VW0gcMOjbyB0w6NvIGRlbGljaW9zbyBxdWUgYSBtYW50ZWlnYSBkZXJyZXRlIQ==,,VW4gcGFuIHRhbiBkZWxpY2lvc28gcXVlIG5vIG5vdGFyw61hcyBzaSB0ZSBtdWVyZXMgY29tacOpbmRvbG8gY29uIGFsZ3VpZW4u
mxo7DA,,V2UgZG9uJ3QgbmVlZCBmYW5jeSBwYXN0cmllcyBvciBhbnl0aGluZy4gU2ltcGxlIGJyZWFkIGlzIHRoZSBiZXN0LiBHaXZlIG1lIGJyZWFkLg==,,,,,TsOjbyBwcmVjaXNhbW9zIGRlIGJvbG9zIGNoaXF1ZXMgbmVtIG5hZGEuIFDDo28gc2ltcGxlcyDDqSBvIG1lbGhvciE=,,Tm8gbmVjZXNpdGFtb3MgcGFzdGVsZXMgZmlub3MgbmkgbmFkYS4gRWwgcGFuIHNpbXBsZSBlcyBlbCBtZWpvci4gRGVtZSBwYW4u
nBo7DA,,QnJlYWQhIEJyZWFkLCBicmVhZCEgQnJlYWQsIGJyZWFkLCBicmVhZCE=,,,,,UMOjbyEgUMOjbywgcMOjbyEgUMOjbywgcMOjbywgcMOjbyE=,,wqFQYW4hIMKhUGFuLCBwYW4hIMKhUGFuLCBwYW4sIHBhbiE=
nRo7DA,,WW91IHRoZXJlISBXb24ndCB5b3UgYnV5IHNvbWUgYnJlYWQ/,,,,,Vm9jw6ogYcOtISBOw6NvIHF1ZXIgY29tcHJhciBww6NvPw==,,wqFPeWUgdMO6ISDCv05vIHF1aWVyZXMgY29tcHJhciBwYW4/
nho7DA,,V2Ugc2VsbCBicmVhZCBoZXJlLiBTZXJpb3VzbHksIHdlIHNlbGwganVzdCBvbmUsIHBlcmZlY3QgbG9hZiE=,,,,,QXF1aSB2ZW5kZW1vcyBww6NvLiBTw6lyaW8sIHZlbmRlbW9zIGFwZW5hcyB1bSBww6NvIHBlcmZlaXRvIQ==,,QXF1w60gdmVuZGVtb3MgcGFuLiBFbiBzZXJpbywgwqF2ZW5kZW1vcyBzw7NsbyB1bmEgYmFycmEgcGVyZmVjdGEh
nxo7DA,,Q29tZSBvbiBpbn4=,,,,,VmVuaGFtLCB2ZW5oYW1+,,UGFzZSwgcGFzZX4=
