IJqOAg,,UFZQTmFycmF0b3I=,,,,,R3VpYSBkbyBQdlA=,,TmFycmFkb3IgZGUgSmNK
K5qOAg,,W1BWUCBOYXJyYXRvcl0KWW95byBNb2RlIGlzIHJpc2sgZnJlZS4KWW91IGNhbiBleHBlcmllbmNlIFBWUAp3aXRob3V0IGFueSByZXN0cmljdGlvbiBvcgpwdW5pc2htZW50LiBJdCBpcyByZWNvbW1lbmRlZAp0aGF0IHlvdSBwcmFjdGljZSB5b3VyIHNraWxscwpoZXJlIGJlZm9yZSB5b3UgbW92ZSBvbi4=,,,,,W0d1aWEgZG8gUHZQXQpObyBNb2RvIFlveW8KbsOjbyBleGlzdGUgZXNzZSBwZXJpZ28uCk7Do28gaMOhIHBlcmRhcyBhbyBzZXIgZGVycm90YWRvLgpFc3NhIMOpIGEgbWVsaG9yIG1vZGFsaWRhZGUKcGFyYSBxdWVtIGVzdMOhIGNvbWXDp2FuZG8KZSBxdWVyIHByYXRpY2FyLi4u,,W05hcnJhZG9yIGRlIEpjSl0KRWwgbW9kbyBZb3lvIG5vIGNvbmxsZXZhIG5pbmfDum4gcmllc2dvLiBQdWVkZXMgZXhwZXJpbWVudGFyIGVsIEpjSiBzaW4gbmluZ3VuYSByZXN0cmljY2nDs24gbmkgY2FzdGlnby4gVGUgcmVjb21pZW5kbyBxdWUgcHJhY3RpcXVlcyB0dXMgaGFiaWxpZGFkZXMgYWxsw60gYW50ZXMgZGUgc2VndWlyIGFkZWxhbnRlLg==
LJqOAg,,W1BWUCBOYXJyYXRvcl0KTmlnaHRtYXJlIE1vZGUgaXMgdmVyeQpkYW5nZXJvdXMhIFBsZWFzZSB1c2UgY2F1dGlvbi4KWW91IHdpbGwgbG9zZSBzb21lIG9mIHlvdXIgcmVhbApFWFAgd2hlbiB5b3UgYXJlIGRlZmVhdGVkLiBBbmQKVGhlcmUgaXMgYSBzbWFsbCBjaGFuY2UgdGhhdAp5b3Ugd2lsbCBkcm9wIHNvbWUgZXF1aXBtZW50Lg==,,,,,W0d1aWEgZG8gUHZQXQpObyBNb2RvIFBlc2FkZWxvLAphcyByZWdyYXMgc8OjbyBjb21vLi4uCm5vIG11bmRvIHJlYWwuClZvY8OqIHBvZGUgZGVpeGFyIGNhaXIgCmFsZ3VtIGRvcyBzZXVzIGl0ZW5zCmUgdGFtYsOpbSBwb2RlIHBlcmRlciBFWFAuLi4=,,W05hcnJhZG9yIGRlIEpjSl0KwqFFbCBtb2RvIFBlc2FkaWxsYSBlcyBtdXkgcGVsaWdyb3NvISBUZW4gY3VpZGFkby4gUGVyZGVyw6FzIHBhcnRlIGRlIHR1IEVYUCwgc2kgdGUgZGVycm90YW4uIFkgaGF5IHVuYSBwZXF1ZcOxYSBwb3NpYmlsaWRhZCBkZSBxdWUgc3VlbHRlcyBwaWV6YXMgZGUgZXF1aXBhbWllbnRvLg==
LZqOAg,,W1BWUCBOYXJyYXRvcl0KSG93ZXZlciwgaWYgeW91IHdpbiwgdGhlCnJld2FyZHMgY2FuIGJlIGdyZWF0IQpUbyBhdm9pZCBtaXN1bmRlcnN0YW5kaW5nLgpZb3Ugc2hvdWxkIHRoaW5rIGl0IG92ZXIKdHdpY2UgYmVmb3JlIHlvdSBnbyB0aGVyZS4uLgpHb29kIEx1Y2sh,,,,,W0d1aWEgZG8gUHZQXQpMZW1icmUtc2UgZGlzc28KcGFyYSBldml0YXIgCm1hbC1lbnRlbmRpZG9zLgpQZW5zZSBiZW0gYW50ZXMgZGUgCmVudHJhciBubyBNb2RvIFBlc2FkZWxvLgpCb2Egc29ydGUh,,W05hcnJhZG9yIGRlIEpjSl0KQXVucXVlLCBzaSBnYW5hcywgbGFzIHJlY29tcGVuc2FzIHB1ZWRlbiBzZXIgZmFudMOhc3RpY2FzLiBUZSBsbyByZXBldGlyw6kgcGFyYSBldml0YXIgbWFsZW50ZW5kaWRvczogwqFQacOpbnNhbG8gZG9zIHZlY2VzIGFudGVzIGRlIGlyIGFsbMOtISDCoUJ1ZW5hIHN1ZXJ0ZSE=
LpqOAg,,W1BWUCBOYXJyYXRvcl0KRWFjaCBvZiB0aGUgRmlnaHQgc3F1YXJlcwpoYXZlIGEgcm93IG9mIE5hcnJhdG9ycyB0bwpjaG9vc2UgZnJvbSBiYXNlZCBvbiB5b3VyCnF1YWxpZmljYXRpb25zLg==,,,,,W0d1aWEgZG8gUHZQXQpBbyBmYWxhciBjb20gbyBQb3J0ZWlybyBkbyBQdlAsCnZvY8OqIHBhZ2Fyw6EgdW1hIHRheGEgZGUgNTAwIHplbnkuCkVsZSBsZXZhcsOhIHZvY8OqIHBhcmEgdW1hIMOhcmVhIGRlCnByZXBhcmHDp8OjbyBwYXJhIG8gY29tYmF0ZS4=,,W05hcnJhZG9yIGRlIEpjSl0KQ2FkYSBwbGF6YSBkZSBsdWNoYSB0aWVuZSB1bmEgZmlsYSBkZSBOYXJyYWRvcmVzIHBhcmEgZWxlZ2lyIGVuIGZ1bmNpw7NuIGRlIHR1cyBjdWFsaWZpY2FjaW9uZXMu
L5qOAg,,W1BWUCBOYXJyYXRvcl0KRWFjaCBOYXJyYXRvciB3aWxsIGFzawp3aGljaCBvZiB0aGUgZml2ZSBQVlAgbWFwcwp5b3Ugd2lzaCB0byBnbyB0by4KQ2hvb3NlLCBhbmQgZ28gaW4h,,,,,W0d1aWEgZG8gUHZQXQpOZXNzZSBsdWdhciwgbyByZWNlcGNpb25pc3RhCm9mZXJlY2Vyw6Egb3DDp8O1ZXMgZGUgbWFwYXMKZXhjbHVzaXZvcyBkZSBjb21iYXRlLgpCYXN0YSBlc2NvbGhlciB1bSBlIHNlZ3VpciBhZGlhbnRlLg==,,W05hcnJhZG9yIGRlIEpjSl0KQ2FkYSBOYXJyYWRvciB0ZSBwcmVndW50YXLDoSBhIGN1w6FsIGRlIGxvcyBjaW5jbyBtYXBhcyBkZSBKY0ogZGVzZWFzIGlyLiDCoUVsaWdlcyB5IGVudHJhcyE=
MJqOAg,,W1BWUCBOYXJyYXRvcl0KRWFjaCBtYXAgaGFzIGEgbGltaXRhdGlvbiBvbgp0aGUgbnVtYmVyIG9mIHBlb3BsZSB3aG8gY2FuCnBhcnRpY2lwYXRlLiBTbyB5b3Ugd2lsbCBzZWUKZmlndXJlcyBpbiB0aGUgY29ybmVyIHNob3dpbmcKJ0F0dGVuZGVlL3RvdGFsJy4=,,,,,W0d1aWEgZG8gUHZQXQpDYWRhIG1hcGEgcG9zc3VpIHVtIGxpbWl0ZSBkZQpqb2dhZG9yZXMgcGFydGljaXBhbnRlcy4KU2UgdW1hIMOhcmVhIGVzdGl2ZXIKbG90YWRhLCB2b2PDqiBwb2RlIHNlZ3VpciBwYXJhIGEgcHLDs3hpbWEKb3UgZXNwZXJhciBhbGd1w6ltIHNlciBub2NhdXRlYWRvIGzDoS4=,,W05hcnJhZG9yIGRlIEpjSl0KQ2FkYSBtYXBhIHRpZW5lIHVuIG7Dum1lcm8gbGltaXRhZG8gZGUgcGVyc29uYXMgcXVlIHB1ZWRlbiBwYXJ0aWNpcGFyLiBBc8OtIHF1ZSwgZW4gbGEgZXNxdWluYSwgdmVyw6FzIGNpZnJhcyBxdWUgaW5kaWNhbiBsb3MgdmFsb3JlcyBkZSBBc2lzdGVudGVzL1RvdGFsLg==
MZqOAg,,W1BWUCBOYXJyYXRvcl0KQWxzbywgdGhlcmUgaXMgYSBoaWRkZW4gRVhQCnZhbHVlIGluIFBWUCBtb2RlLiBUaGlzIEVYUApzY29yZSB3aWxsIG9ubHkgYXBwbHkgaW5zaWRlCm9mIHRoZSBQVlAgem9uZSwgc28gZG8gbm90CndvcnJ5Lg==,,,,,W0d1aWEgZG8gUHZQXQpIw6EgdW0gcmFuayBkZSBQdlAgbmEgc3VhIHRlbGEgaW5mZXJpb3IuCkV4ZW1wbG86IDcvMTAKT25kZSA3IMOpIHN1YSBjbGFzc2lmaWNhw6fDo28gCmUgMTAgw6kgbyB0b3RhbCBkZSBqb2dhZG9yZXMgCmRlbnRybyBkbyBtYXBhIFB2UC4=,,W05hcnJhZG9yIGRlIEpjSl0KQWRlbcOhcywgaGF5IHVuIHZhbG9yIGRlIEVYUCBvY3VsdG8gZW4gZWwgbW9kbyBKY0ouIEVzdGUgcHVudGFqZSBkZSBFWFAgc29sbyBzZSBhcGxpY2Fyw6EgZGVudHJvIGRlIGxhIHpvbmEgZGUgSmNKLCBhc8OtIHF1ZSBubyB0ZSBwcmVvY3VwZXMu
MpqOAg,,W1BWUCBOYXJyYXRvcl0KRXZlcnkgcGxheWVyJ3MgRVhQIGF0IHRoZQpiZWdpbm5pbmcgaXMgdXN1YWxseSA1IHBvaW50cy4KSWYgeW91IHdpbiwgeW91IHdpbGwKaW5jcmVzZSB5b3VyIEVYUCBieSAxIHBvaW50,,,,,W0d1aWEgZG8gUHZQXQpWb2PDqiBjb21lw6dhIGNvbSA1IHBvbnRvcwpkZSBjbGFzc2lmaWNhw6fDo28sIG1hcyBxdWFuZG8KZGVycm90YSBvcG9uZW50ZXMsIGdhbmhhICsxIHBvbnRvLgpTZSB2b2PDqiB2YWkgYSBub2NhdXRlLCBwZXJkZSA1IHBvbnRvcy4=,,W05hcnJhZG9yIGRlIEpjSl0KTGEgRVhQIGRlIGNhZGEganVnYWRvciBhbCBwcmluY2lwaW8gc3VlbGUgc2VyIGRlIDUgcHVudG9zLgpTaSBnYW5hcywgcG9kcsOhcyBhdW1lbnRhciB0dSBFWFAgZW4gMSBwdW50by4=
M5qOAg,,W1BWUCBOYXJyYXRvcl0KSW4gdGhlIHNhbWUgd2F5LCB3aGVuIHlvdQpsb3NlLi4uIFlvdXIgRVhQIHdpbGwKZHJvcCBieSA1IHBvaW50cy4KU28gYmUgY2FyZWZ1bCE=,,,,,W0d1aWEgZG8gUHZQXQpTZSB2b2PDqiBwb3NzdWlyIDAgb3UgbWVub3MKcG9udG9zIGRlIGNsYXNzaWZpY2HDp8OjbywKcXVhbmRvIGZvciDDoCBub2NhdXRlLCBuw7NzCmlyZW1vcyByZXRpcmFyIHZvY8OqIGltZWRpYXRhbWVudGUu,,W05hcnJhZG9yIGRlIEpjSl0KRGVsIG1pc21vIG1vZG8sIHNpIHBpZXJkZXMsIHR1IEVYUCBjYWVyw6EgNSBwdW50b3MuCsKhQXPDrSBxdWUgdGVuIGN1aWRhZG8h
NJqOAg,,W1BWUCBOYXJyYXRvcl0KV2hlbiB5b3UgYXJlIGRlZmVhdGVkCkFuZCB5b3VyIEVYUCBpcyBlcXVhbAp0byBvciBsZXNzIHRoYW4gMCwKWW91IHdpbGwgYmUgcmVtb3ZlZCBmcm9tIFBWUApBbmQgeW91ciBkdWVsIGlzIGZpbmlzaGVkIQ==,,,,,W0d1aWEgZG8gUHZQXQpPYnNlcnZlIHF1ZSBvcyBtYXBhcyBkZSBQdlAKYXRlbmRlbSBhIGNyaXTDqXJpb3MgZGUgUmHDp2EgZQpQcm9wcmllZGFkZSBpZ3VhbCBjb21vIG9zIE1vbnN0cm9zLgpKb2dhZG9yZXMgc8OjbyBjb25zaWRlcmFkb3MgSHVtYW5vcywKcHJvcHJpZWRhZGUgTmV1dHJvIGUgZ2VyYWxtZW50ZSBNw6lkaW9zLg==,,W05hcnJhZG9yIGRlIEpjSl0KU2kgdGUgZGVycm90YW4geSB0dSBFWFAgZXMgaWd1YWwgbyBpbmZlcmlvciBhIDAsCnRlIGVsaW1pbmFyw6FuIGRlbCBKY0ogeSB0dSBkdWVsbyB0ZXJtaW5hcsOhLg==
NZqOAg,,W1BWUCBOYXJyYXRvcl0KSG93ZXZlciwgSWYgeW91ciBFWFAgaXMgbW9yZQp0aGFuIDAuIFlvdSBjYW4gc3RpbGwgZ2V0IGhlbHAKVGhyb3VnaCBvdGhlciBwbGF5ZXJzIGhlYWxpbmcuLi4KRG8geW91IGdldCBpdD8=,,,,,W0d1aWEgZG8gUHZQXQpPdSBzZWphLCBqb2dhZG9yZXMgc8OjbzoKUmHDp2E6IEh1bWFubyBvdSBEb3JhbQpUYW1hbmhvOiBQZXF1ZW5vIG91IE3DqWRpbwpQcm9wcmllZGFkZTogTmV1dHJv,,W05hcnJhZG9yIGRlIEpjSl0KU2luIGVtYmFyZ28sIHNpIHR1IEVYUCBlcyBtYXlvciBxdWUgMCwgYcO6biBwdWVkZXMgb2J0ZW5lciBheXVkYQphIHRyYXbDqXMgZGUgbGEgY3VyYWNpw7NuIGRlIG90cm9zIGp1Z2Fkb3Jlcy4gwr9MbyBlbnRpZW5kZXM/
NpqOAg,,W1BWUCBOYXJyYXRvcl0KVGhlIGZpZ2h0aW5nIGNvbW1hbmRzIGluc2lkZSBvZgpQVlAgQXJlIHRoZSBzYW1lIGFzIHRoZSBub3JtYWwuCkFsbCB0aGUgYmFzaWMgY29udHJvbHMgYXJlIHRoZQpzYW1lLg==,,,,,W0d1aWEgZG8gUHZQXQpBbGd1bWFzIGhhYmlsaWRhZGVzIHBvZGVtCm7Do28gZnVuY2lvbmFyIGRlbnRybyBkb3MgbWFwYXMKZGUgUHZQLiBFbnTDo28sIGF0ZW50ZS1zZSDDoHMKc3VhcyBkZXNjcmnDp8O1ZXMgZSBlZmVpdG9zLg==,,W05hcnJhZG9yIGRlIEpjSl0KTG9zIGNvbWFuZG9zIGRlIGx1Y2hhIGRlbnRybyBkZWwgSmNKIHNvbiBsb3MgbWlzbW9zIHF1ZSBsb3Mgbm9ybWFsZXMuIFRvZG9zIGxvcyBjb250cm9sZXMgYsOhc2ljb3Mgc29uIGxvcyBtaXNtb3Mu
N5qOAg,,W1BWUCBOYXJyYXRvcl0KSG93ZXZlciwgdGhlcmUgaXMgb25lIHRoaW5nLi4uCldpdGhpbiB0aGUgUFZQIGZpZ2h0IHNxdWFyZSwKQW5kIGluIHRoZSBQVlAgZmlnaHRpbmcgem9uZXMKWW91IGNhbm5vdCBzYXZlIHlvdXIgcG9zaXRpb24uClJlbWVtYmVyIHdlbGwuLi4gVGhlc2UgcnVsZXMKY2FuIGhlbHAgdG8gZW5zdXJlIHlvdXIgdmljdG9yeS4=,,,,,W0d1aWEgZG8gUHZQXQpUYW1iw6ltIGV4aXN0ZW0gZXF1aXBhbWVudG9zCnF1ZSBzw7MgZnVuY2lvbmFtIGRlbnRybyBkbyBQdlAuCk5vcm1hbG1lbnRlLCBpdGVucyBxdWUgZnVuY2lvbmFtCmNvbnRyYSBIdW1hbm9pZGVzIG7Do28gZnVuY2lvbmFtCmNvbnRyYSBIdW1hbm8sIHBvaXMgc8OjbyByYcOnYXMgZGlmZXJlbnRlcy4KRW50w6NvLCBhdGVudGUtc2Ugw6BzIGRlc2NyacOnw7VlcyEh,,W05hcnJhZG9yIGRlIEpjSl0KSGF5IHVuYSBjb3NhIHF1ZSBkZWJlcyB0ZW5lciBlbiBjdWVudGE6IG5vIHB1ZWRlcyBndWFyZGFyIHR1IHBvc2ljacOzbiBkZW50cm8gZGUgbGEgcGxhemEgbyBlbiBsYXMgem9uYXMgZGUgbHVjaGEgZGVsIEpjSi4gUmVjdcOpcmRhbG8gYmllbi4gRXN0YXMgbm9ybWFzIHB1ZWRlbiBjb250cmlidWlyIGEgZ2FyYW50aXphciB0dSB2aWN0b3JpYS4=
OJqOAg,,W1BWUCBOYXJyYXRvcl0KUG9zaXRpb24gc2F2ZWQuLi4KU3VjY2Vzc2Z1bGx5LgpUaGFuayB5b3UgdmVyeSBtdWNoLCBXZQp3aWxsIHNlZSB5b3UgYWdhaW4gc29vbi4=,,,,,W0d1aWEgZG8gUHZQXQpTZXUgcG9udG8gZGUgcmV0b3JubyBmb2kgc2Fsdm8uClF1YW5kbyBjYWlyIGluY29uc2NpZW50ZSwKdm9jw6ogYWNvcmRhcsOhIG5lc3NlIGxvY2FsLgpPYnJpZ2Fkby4=,,W05hcnJhZG9yIGRlIEpjSl0KUG9zaWNpw7NuIGd1YXJkYWRhIGNvbiDDqXhpdG8uCk11Y2hhcyBncmFjaWFzLCBub3Mgdm9sdmVyZW1vcyBhIHZlciBwcm9udG8u
OZqOAg,,W1BWUCBOYXJyYXRvcl0KSW4gdGhpcyB3YXIgYmV0d2VlbiBNb25zdGVycwphbmQgSHVtYW5zLiBUaGlzIGNvbXBldGl0aW9uCmJldHdlZW4gcGVvcGxlLCBUaGUgUFZQIE1vZGUhCkVuY291cmFnZXMgdXMgYWxsIHRvIGJlY29tZQpzdHJvbmdlci4gQ29tZSBhZ2Fpbi4KV2Ugd2VsY29tZSB5b3VyIGNoYWxsZW5nZSE=,,,,,W0d1aWEgZG8gUHZQXQpBcXVpIGFjb250ZWNlIHVtYSBndWVycmEgZW50cmUgam9nYWRvcmVzLgpNdWl0b3MgY29tYmF0ZW50ZXMgYWRvcmFtLgpFc3NlIMOpIG8gTW9kbyBQdlAhISEKU2VqYW0gYmVtLXZpbmRvcyBlCmFjZWl0ZW0gbyBkZXNhZmlvCnBlbGEgZ2zDs3JpYSBlIGhvbnJhISEh,,W05hcnJhZG9yIGRlIEpjSl0KRW4gZXN0YSBndWVycmEgZW50cmUgbW9uc3RydW9zIHkgaHVtYW5vcywgc3VyZ2UgdW5hIGNvbXBldGVuY2lhIGVudHJlIHBlcnNvbmFzOiDCoWVsIG1vZG8gSmNKISwgcXVlIG5vcyBhbmltYSBhIHRvZG9zIGEgaGFjZXJub3MgbcOhcyBmdWVydGVzLiBWdWVsdmUgcHJvbnRvLiDCoVR1IGRlc2Fmw61vIGVzIGJpZW4gcmVjaWJpZG8h
OpqOAg,,R2F0ZSBLZWVwZXI=,,,,,UG9ydGVpcm8gZG8gUHZQ,,UG9ydGVybw==
O5qOAg,,W0dhdGUgS2VlcGVyXQpHbGFkIHRvIGJlIG9mIHNlcnZpY2UuCkkgd2lsbCBvcGVuIHRoZSBQVlAgZmlnaHQKc3F1YXJlIGZvciB5b3UhIElmIHlvdSBoYXZlCmFueSBxdWVzdGlvbnMgYWJvdXQgdGhlIFBWUAptb2RlcyBvciBydWxlcywgUGxlYXNlIGFzawp0aGUgTmFycmF0b3IuLi4=,,,,,W1BvcnRlaXJvIGRvIFB2UF0KQm9hcy12aW5kYXMhClBvciBmYXZvciwgZXNjb2xoYSBhCm1vZGFsaWRhZGUgZGUgUHZQIHF1ZQp2b2PDqiBkZXNlamEgcGFydGljaXBhci4KUXVhbHF1ZXIgZMO6dmlkYSwgZmFsZQpjb20gbyBeMzM1NUZGR3VpYSBkbyBQdlBeMDAwMDAwLg==,,W1BvcnRlcm9dCkVuY2FudGFkbyBkZSBzZXJ0ZSDDunRpbC4gwqFBYnJpcsOpIGxhIHBsYXphIGRlIGx1Y2hhIGRlIEpjSiBwYXJhIHRpIQpTaSB0aWVuZXMgcHJlZ3VudGFzIHNvYnJlIGVsIG1vZG8gSmNKIG8gc3VzIG5vcm1hcywgcHJlZ8O6bnRhbGUgYWwgTmFycmFkb3Iu
PJqOAg,,XkZGNTUzMycgUHZQIE5pZ2h0bWFyZSBNb2RlJ14wMDAwMDA=,,,,,RW50cmFyIG5vIF5GRjU1MzNNb2RvIFBlc2FkZWxvXjAwMDAwMA==,,XkZGNTUzM01vZG8gUGVzYWRpbGxhIGRlIEpjSi5eMDAwMDAw
PZqOAg,,XjMzNTVGRicgUHZQIFlveW8gTW9kZSdeMDAwMDAw,,,,,RW50cmFyIG5vIF4zMzU1RkZNb2RvIFlveW9eMDAwMDAw,,XjMzNTVGRk1vZG8gWW95byBkZSBKY0ouXjAwMDAwMA==
PpqOAg,,XjMzNTVGRicgUHZQIEV2ZW50IE1vZGUnXjAwMDAwMA==,,,,,RW50cmFyIG5vIF4zMzU1RkZNb2RvIEd2R14wMDAwMDA=,,XjMzNTVGRk1vZG8gRXZlbnRvIGRlIEpjSi5eMDAwMDAw
P5qOAg,,UXVpdA==,,,,,U2Fpcg==,,U2FsaXIu
QJqOAg,,W0dhdGUgS2VlcGVyXQpJIGFtIHNvcnJ5LCBidXQgY3VycmVudGx5IHRoZSBOaWdodG1hcmUgbW9kZSBzZXJ2aWNlIGlzIG5vdCBhdmFpbGFibGUuClBsZWFzZSB1c2UgdGhlIFlveW8gbW9kZSBpbnN0ZWFkLiBXZSBhcG9sb2dpemUgZm9yIHRoZSBpbmNvbnZlbmllbmNlLg==,,,,,W1BvcnRlaXJvIGRvIFB2UF0KU2ludG8gbXVpdG8sIG1hcyBlc3NhIG1vZGFsaWRhZGUgZXN0w6EgXkZGNTUzM2Rlc2F0aXZhZGFeMDAwMDAwLgpQb3IgZmF2b3IsIHV0aWxpemUgbyBNb2RvIFlveW8u,,W1BvcnRlcm9dCkxvIHNpZW50bywgYWN0dWFsbWVudGUgZWwgc2VydmljaW8gZGVsIG1vZG8gUGVzYWRpbGxhIG5vIGVzdMOhIGRpc3BvbmlibGUuIFBlcm8gcHVlZGVzIHVzYXIgZWwgbW9kbyBZb3lvLiBUZSBwZWRpbW9zIGRpc2N1bHBhcyBwb3IgbGFzIG1vbGVzdGlhcy4=
