YDjEBw,,RGllbg==,,,,,RGllbg==,,RGllbg==
hTjEBw,,LSBMZXQncyBicmVhayB0aGUgcGlwZS4KICBXaXRoIGEgc3RyYW5nZSBub2lzZSwKICB0aGUgbWFjaGluZSBzdG9wcGVkLiAt,,,,,LSBWb2PDqiBkZXN0cnVpdSBvIGNhbm8gLQotIGEgbcOhcXVpbmEgZmV6IHVtIGJhcnVsaG8gLQotIG1hcyBwYXJvdSBkZSBmdW5jaW9uYXIgLQ==,,LSBEZXN0cnVpc3RlIGxhIHR1YmVyw61hIC0KLSBsYSBtw6FxdWluYSBoaXpvIHVuIHJ1aWRvIC0KLSBwZXJvIGRlasOzIGRlIGZ1bmNpb25hciAt
hjjEBw,,LSBOb3RoaW5nIGhhcHBlbmVkLiAt,,,,,LSBWb2PDqiBkZWNpZGl1IGlnbm9yYXIgZSAtCi0gbmFkYSBhY29udGVjZXUgLQ==,,LSBEZWNpZGlzdGUgaWdub3JhcmxhIHkgLQotIG5vIHBhc8OzIG5hZGEgLQ==
hzjEBw,,QSBtYWNoaW5lIHRoYXQgbG9va3MgZGFuZ2Vyb3Vz,,,,,TcOhcXVpbmEgUGVyaWdvc2E=,,TcOhcXVpbmEgUGVsaWdyb3Nh
iDjEBw,,W0RpZW5dCk9oIG15ISBUaGlzIGlzIHN1Y2ggYSBwcmVjaXNlIGRldmljZSwgaXQncyBoYXJkIHRvIGJlbGlldmUgaXQncyBmcm9tIGFuIGFiYW5kb25lZCBtaW5lLg==,,,,,W0RpZW5dCkhtbW0hIEVzc2EgbcOhcXVpbmEgbsOjbyBjb21iaW5hIGNvbSB1bWEgbWluZXJhZG9yYSBhYmFuZG9uYWRhLg==,,W0RpZW5dCsKhSG1tbSEgRXN0YSBtw6FxdWluYSBubyBlbmNhamEgY29uIHVuYSBtaW5hIGFiYW5kb25hZGEu
iTjEBw,,W0RpZW5dCldlIHdvbid0IGJlIGFibGUgdG8gZ2V0IHRocm91Z2ggdW5sZXNzIHdlIGRlc3Ryb3kgdGhlIG1hY2hpbmUgb24gdGhlIG90aGVyIHNpZGUh,,,,,W0RpZW5dCkFjaG8gcXVlIG7Do28gY29uc2VndWlyZW1vcyBhdmFuw6dhciBzZW0gZGVzdHJ1aXIgZXNzYSBtw6FxdWluYSE=,,W0RpZW5dCsKhQ3JlbyBxdWUgbm8gcG9kcmVtb3MgYXZhbnphciBzaW4gZGVzdHJ1aXIgZXN0YSBtw6FxdWluYSE=
ijjEBw,,W0RpZW5dCkl0J3MgdG9vIGRhbmdlcm91cyB0byBicmVhayB0aHJvdWdoIGRpcmVjdGx5LCBzbyBsZXQncyBnbyBhcm91bmQgdG8gdGhlIGxvd2VyIHNpZGUgYW5kIGVudGVyIHdoZXJlIHRoZSBtYWNoaW5lIGlzIQ==,,,,,W0RpZW5dCsOJIG11aXRvIHBlcmlnb3NvIGZhemVyIGlzc28gZGlyZXRvIGRhcXVpLiBWYW1vcyBmYXplciB1bSBkZXN2aW8gbMOhIGVtYmFpeG8h,,W0RpZW5dCkVzIG11eSBwZWxpZ3Jvc28gaGFjZXJsbyBkZXNkZSBhcXXDrS4gwqFIYWdhbW9zIHVuIGRlc3bDrW8gcG9yIGFiYWpvIQ==
izjEBw,,W0RpZW5dCk9oIG15fgpTb3JyeSwgYnV0IGxldCdzIHdhaXQgdW50aWwgdGhlIHBhcnR5IGxlYWRlciBhcnJpdmVzIGJlZm9yZSB3ZSBnby4=,,,,,W0RpZW5dCk9ofgpWYW1vcyBhZ3VhcmRhciBhIGRlY2lzw6NvIGRvIGzDrWRlciBkbyBzZXUgZ3J1cG8u,,W0RpZW5dCk9ofgpFc3BlcmVtb3MgbGEgZGVjaXNpw7NuIGRlbCBsw61kZXIgZGUgdHUgZ3J1cG8u
jDjEBw,,VGhpY2sgV2lyZQ==,,,,,RmlvIGdyb3Nzbw==,,Q2FibGUgR3J1ZXNv
jTjEBw,,Umlkc2g6IFRoZSBtYWNoaW5lcyBoYXZlbid0IGFsbCBiZWVuIHNodXQgZG93biB5ZXQuIENoZWNrIHVwc3RhaXJzIHNvbWUgbW9yZS4=,,,,,Umlkc2g6IE5lbSB0b2RhcyBhcyBtw6FxdWluYXMgZGVzbGlnYXJhbS4gQ29uZmlyYSBvdXRyb3MgbHVnYXJlcy4=,,Umlkc2g6IE5vIHRvZGFzIGxhcyBtw6FxdWluYXMgc2UgYXBhZ2Fyb24uIFJldmlzYSBvdHJvcyBsdWdhcmVzLg==
jjjEBw,,Umlkc2g6IEdyZWF0ISBUaGUgcGF0aCBpcyBvcGVuLiBMZXQncyBmb2xsb3cgdGhlIHJhaWx3YXkgYW5kIG1vdmUgdXB3YXJkIGFnYWluIQ==,,,,,Umlkc2g6IFBlcmZlaXRvISBVbSBjYW1pbmhvIHNlIGFicml1ISBWYW1vcyBzZWd1aXIgYSBmZXJyb3ZpYSBkZSBub3ZvIQ==,,Umlkc2g6IMKhUGVyZmVjdG8hIMKhU2UgYWJyacOzIHVuIGNhbWlubyEgwqFTaWdhbW9zIGxhIHbDrWEgZGVsIHRyZW4gb3RyYSB2ZXoh
jzjEBw,,RGllbjogT2ggbXkhIFRoaXMgaXMgc3VjaCBhIHByZWNpc2UgZGV2aWNlLCBpdCdzIGhhcmQgdG8gYmVsaWV2ZSBpdCdzIGZyb20gYW4gYWJhbmRvbmVkIG1pbmUu,,,,,RGllbjogSG1tbSEgRXNzYSBtw6FxdWluYSBuw6NvIGNvbWJpbmEgY29tIHVtYSBtaW5lcmFkb3JhIGFiYW5kb25hZGEu,,RGllbjogwqFIbW1tISBFc3RhIG3DoXF1aW5hIG5vIGVuY2FqYSBjb24gdW5hIG1pbmEgYWJhbmRvbmFkYS4=
kDjEBw,,RGllbjogV2Ugd29uJ3QgYmUgYWJsZSB0byBnZXQgdGhyb3VnaCB1bmxlc3Mgd2UgZGVzdHJveSB0aGUgbWFjaGluZSBvbiB0aGUgb3RoZXIgc2lkZSE=,,,,,RGllbjogQWNobyBxdWUgbsOjbyBjb25zZWd1aXJlbW9zIGF2YW7Dp2FyIHNlbSBkZXN0cnVpciBlc3NhIG3DoXF1aW5hIQ==,,RGllbjogwqFDcmVvIHF1ZSBubyBwb2RyZW1vcyBhdmFuemFyIHNpbiBkZXN0cnVpciBlc3RhIG3DoXF1aW5hIQ==
kTjEBw,,RGllbjogSXQncyB0b28gZGFuZ2Vyb3VzIHRvIGJyZWFrIHRocm91Z2ggZGlyZWN0bHksIHNvIGxldCdzIGdvIGFyb3VuZCBiZWxvdyBhbmQgZW50ZXIgd2hlcmUgdGhlIG1hY2hpbmUgaXMh,,,,,RGllbjogw4kgbXVpdG8gcGVyaWdvc28gZmF6ZXIgaXNzbyBkaXJldG8gZGFxdWkuIFZhbW9zIGZhemVyIHVtIGRlc3ZpbyBsw6EgZW1iYWl4byE=,,RGllbjogRXMgbXV5IHBlbGlncm9zbyBoYWNlcmxvIGRlc2RlIGFxdcOtLiDCoUhhZ2Ftb3MgdW4gZGVzdsOtbyBwb3IgYWJham8h
kjjEBw,,W0RpZW5dCk9oIG15ISBXaGF0IGNvdWxkIHBvc3NpYmx5IGJlIHVwIGFoZWFkPw==,,,,,W0RpZW5dCk9oISBPIHF1ZSBkaWFib3Mgw6kgaXNzbyBuYSBtaW5oYSBmcmVudGU/,,W0RpZW5dCsKhT2ghIMK/UXXDqSBkZW1vbmlvcyBlcyBlc28gZnJlbnRlIGEgbcOtPw==
kzjEBw,,W0NvdG5lc3NdClRoaXMgZG9vciBpcyB3YXkgdG9vIHN0dXJkeSwgaHVoPwpJdCdsbCB0YWtlIHNvbWUgdGltZSB0byBicmVhayBpdCBkb3dufg==,,,,,W0NvdG5lc3NdCkVzc2EgcG9ydGEgw6kgYmVtIHBlc2FkYS4KVm91IGxldmFyIHVtIHRlbXBvIHBhcmEgZGVzdHJ1w60tbGF+,,W0NvdG5lc3NdCkVzdGEgcHVlcnRhIGVzIG11eSBwZXNhZGEuCk1lIHRvbWFyw6EgdW4gdGllbXBvIGRlc3RydWlybGF+
lDjEBw,,Q290bmVzczogVGhpcyBkb29yIGlzIHRvbyBzdHVyZHksIGlzbid0IGl0PyBJdCdsbCB0YWtlIHNvbWUgdGltZSB0byBicmVhayBpdCBkb3dufg==,,,,,Q290bmVzczogRXNzYSBwb3J0YSDDqSBiZW0gcGVzYWRhLiBWb3UgbGV2YXIgdW0gdGVtcG8gcGFyYSBkZXN0cnXDrS1sYX4=,,Q290bmVzczogRXN0YSBwdWVydGEgZXMgbXV5IHBlc2FkYS4gTWUgdG9tYXLDoSB1biB0aWVtcG8gZGVzdHJ1aXJsYX4=
lTjEBw,,W0RpZW5dCk9oIG15IQpJZiB3ZSB0YWtlIHRoZSBwYXRoIHRvIHRoZSByaWdodCwgSSB0aGluayB3ZSBjYW4gZ2V0IGJhY2sgb250byB0aGUgcmFpbHdheSB3aXRob3V0IGhhdmluZyB0byBicmVhayBkb3duIHRoZSBkb29yLg==,,,,,W0RpZW5dCk9oIQpBY2hvIHF1ZSBwb2RlbW9zIGNvbnRvcm5hciBhIHBvcnRhIHNlIGZvcm1vcyDDoCBkaXJlaXRhIGRhIGZlcnJvdmlhLg==,,W0RpZW5dCsKhT2ghCkNyZW8gcXVlIHBvZGVtb3Mgcm9kZWFyIGxhIHB1ZXJ0YSBzaSB2YW1vcyBhIGxhIGRlcmVjaGEgZGUgbGEgdsOtYS4=
ljjEBw,,RGllbjogT2ghIElmIHdlIHRha2UgdGhlIHBhdGggdG8gdGhlIHJpZ2h0LCBJIHRoaW5rIHdlIGNhbiBnZXQgYmFjayBvbnRvIHRoZSByYWlsd2F5IHdpdGhvdXQgYnJlYWtpbmcgZG93biB0aGUgZG9vci4=,,,,,RGllbjogT2ghIEFjaG8gcXVlIHBvZGVtb3MgY29udG9ybmFyIGEgcG9ydGEgc2UgZm9ybW9zIMOgIGRpcmVpdGEgZGEgZmVycm92aWEu,,RGllbjogwqFPaCEgQ3JlbyBxdWUgcG9kZW1vcyByb2RlYXIgbGEgcHVlcnRhIHNpIHZhbW9zIGEgbGEgZGVyZWNoYSBkZSBsYSB2w61hLg==
lzjEBw,,W0NvdG5lc3NdCklzIHRoZSBwYXJ0eSBsZWFkZXIgbm90IGhlcmU/,,,,,W0NvdG5lc3NdCk8gbMOtZGVyIGRvIGdydXBvIGVzdMOhIGJlbT8=,,W0NvdG5lc3NdCsK/RWwgbMOtZGVyIGRlbCBncnVwbyBlc3TDoSBiaWVuPw==
mDjEBw,,W0RpZW5dCkhhcyB0aGUgcGFydHkgbGVhZGVyIG5vdCBhcnJpdmVkIHlldD8=,,,,,W0RpZW5dCk8gbMOtZGVyIGRvIGdydXBvIGFpbmRhIG7Do28gZXN0w6EgYXF1aT8=,,W0RpZW5dCsK/RWwgbMOtZGVyIGRlbCBncnVwbyBhw7puIG5vIGhhIGxsZWdhZG8/
mTjEBw,,W0RpZW5dCkkgdGhpbmsgaXQgd291bGQgYmUgYmV0dGVyIHRvIHRha2UgdGhlIHBhdGggb24gdGhlIHJpZ2h0IHJhdGhlciB0aGFuIHRoaXMgd2F5Lg==,,,,,W0RpZW5dCkFjaG8gcXVlIGRldmVyw61hbW9zIHNlZ3VpciBwZWxhIGRpcmVpdGEgYW8gaW52w6lzIGRlIHZpciBwb3IgYXF1aS4=,,W0RpZW5dCkNyZW8gcXVlIGRlYmVyw61hbW9zIGlyIHBvciBsYSBkZXJlY2hhIGVuIGx1Z2FyIGRlIHZlbmlyIHBvciBhcXXDrS4=
mjjEBw,,RGllbjogSSB0aGluayBpdCB3b3VsZCBiZSBiZXR0ZXIgdG8gdGFrZSB0aGUgcGF0aCBvbiB0aGUgcmlnaHQgcmF0aGVyIHRoYW4gdGhpcyB3YXku,,,,,RGllbjogQWNobyBxdWUgZGV2ZXLDrWFtb3Mgc2VndWlyIHBlbGEgZGlyZWl0YSBhbyBpbnbDqXMgZGUgdmlyIHBvciBhcXVpLg==,,RGllbjogQ3JlbyBxdWUgZGViZXLDrWFtb3MgaXIgcG9yIGxhIGRlcmVjaGEgZW4gbHVnYXIgZGUgdmVuaXIgcG9yIGFxdcOtLg==
mzjEBw,,W1JpZHNoXQpFZWsh,,,,,W1JpZHNoXQoqR3JpdG8q,,W1JpZHNoXQoqR3JpdG8q
nDjEBw,,Umlkc2g6IEt5YWEh,,,,,Umlkc2g6ICpHcml0byo=,,Umlkc2g6ICpHcml0byo=
