oIvrBg,,U2NhbXA=,,,,,VmVsaGFjbw==,,U2NhbXA=
q4vrBg,,W0FobWFuXQpBcmUgeW91IGhlcmUgYWdhaW4/CkZvciBhIHJvb2tpZSB0byBiZSBkb2luZyB0aGlzIGpvYiB0d2ljZSwKeW91IG11c3QgZWl0aGVyIGJlIGluIGRpcmUgZmluYW5jaWFsIHN0cmFpdHMKb3IgaGF2ZSBleGNlcHRpb25hbCB0ZW5hY2l0eS4=,,,,,W0FobWFuXQpWb2PDqiBlc3TDoSBhcXVpIGRlIG5vdm8/ClBhcmEgdW0gbm92YXRvIGZhemVyIGVzc2UgdHJhYmFsaG8gZHVhcyB2ZXplcywKdm9jw6ogZGV2ZSBlc3RhciBlbSBkaWZpY3VsZGFkZXMgZmluYW5jZWlyYXMKb3UgdGVyIHVtYSB0ZW5hY2lkYWRlIGV4Y2VwY2lvbmFsLg==,,W0FobWFuXQrCv0VzdMOhcyBhcXXDrSBvdHJhIHZlej8KUGFyYSBxdWUgdW4gcHJpbmNpcGlhbnRlIGhhZ2EgZXN0ZSB0cmFiYWpvIGRvcyB2ZWNlcywKZGViZXMgZXN0YXIgZW4gZ3JhdmVzIGFwdXJvcyBmaW5hbmNpZXJvcwpvIHRlbmVyIHVuYSB0ZW5hY2lkYWQgZXhjZXBjaW9uYWwu
rIvrBg,,W0FobWFuXQpXZWxsLCBpdCBkb2Vzbid0IG1hdHRlciBlaXRoZXIgd2F5Li4uCkFueXdheSwgaXQgbG9va3MgbGlrZSB0aGUgaXRlbXMgSSBvcmRlcmVkIGFycml2ZWQgc2FmZWx5IHRoaXMgdGltZS4KR3JlYXQgam9iLg==,,,,,W0FobWFuXQpCZW0sIG7Do28gaW1wb3J0YSBkZSBxdWFscXVlciBmb3JtYS4uLgpEZSBxdWFscXVlciBmb3JtYSwgcGFyZWNlIHF1ZSBvcyBpdGVucyBxdWUgZW5jb21lbmRlaSBjaGVnYXJhbSBlbSBzZWd1cmFuw6dhIGRlc3RhIHZlei4Kw5N0aW1vIHRyYWJhbGhvLg==,,W0FobWFuXQpCdWVubywgbm8gaW1wb3J0YS4uLgpEZSB0b2RvcyBtb2RvcywgcGFyZWNlIHF1ZSBsb3Mgb2JqZXRvcyBxdWUgcGVkw60gbGxlZ2Fyb24gYmllbiBlc3RhIHZlei4KR3JhbiB0cmFiYWpvLg==
rYvrBg,,W3swfV0KTXIuIEFobWFuLgpMeW96aWVuIGFuZCBJIHdlcmUgYXR0YWNrZWQgYnkgc29tZSB0aHVncyBkdXJpbmcgdHJhbnNwb3J0YXRpb24sCnNvIHdlIGZlbHQgb3VyIGxpdmVzIHdlcmUgaW4gZGFuZ2VyLgpEbyB5b3Uga25vdyBhbnl0aGluZz8=,,,,,W3swfV0KU2ltLCDDqSBpc3NvLgpOYSB2ZXJkYWRlLCBkZXNzYSB2ZXogCmZvbW9zIGF0YWNhZG9zIHBvciB1bSBncnVwbwpkZSBicnV0YW1vbnRlcywgZW50w6NvIGV1IGVzdGF2YSBtZSBwZXJndW50YW5kbwpzZSBwb3IgYWNhc28gdm9jw6ogc2FiZSBhbGdvIHNvYnJlIGlzc28uLi4=,,W3swfV0KU3IuQWhtYW4uCkx5b3ppZW4geSB5byBmdWltb3MgYXRhY2Fkb3MgcG9yIHVub3MgbWF0b25lcyBkdXJhbnRlIGVsIHRyYW5zcG9ydGUsCmFzw60gcXVlIHNlbnRpbW9zIHF1ZSBudWVzdHJhcyB2aWRhcyBlc3RhYmFuIGVuIHBlbGlncm8uCkRvIHlvdSBrbm93IGFueXRoaW5nPw==
rovrBg,,W0FobWFuXQpIYXMgc29tZXRoaW5nIGxpa2UgdGhhdCBoYXBwZW5lZCBhZ2Fpbj8KWW91IG1pZ2h0IGRvdWJ0IG1lLgpCdXQgdW5mb3J0dW5hdGVseSBJIGhhdmUgbm8gaWRlYS4KVGhpbmsgYWJvdXQgaXQuCldoYXQgY2FuIEkgZ2FpbiBmcm9tIGhhcm1pbmcgbXkgcGFydG5lcj8KT25seSBteSBmb29kIGxpbmUgaXMgY3V0IG9mZi4=,,,,,W0FobWFuXQpFbGVzIGF0YWNhcmFtIG5vdmFtZW50ZT8Kb2gsIGlzc28gbsOjbyDDqSBib20uCkJlbSwgZXUgbsOjbyB0ZW5obyBpZMOpaWEKZG8gcXVlIGVzdMOhIGFjb250ZWNlbmRvLiBCZW0gcXVlIGV1IHF1ZXJpYQp0ZXIgYWxndW1hIGlkw6lpYSBkbyBxdWUKZWxlcyBlc3TDo28gdHJhbWFuZG8sIHPDqXJpby4=,,W0FobWFuXQrCv1ZvbHZpw7MgYSBvY3VycmlyIGFsZ28gYXPDrT8KUHVlZGUgcXVlIGR1ZGVzIGRlIG3DrS4KUGVybywgcG9yIGRlc2dyYWNpYSwgbm8gdGVuZ28gbmkgaWRlYS4KUGnDqW5zYWxvLgrCv1F1w6kgcHVlZG8gZ2FuYXIgcGVyanVkaWNhbmRvIGEgbWkgY29sZWdhPwpTb2xvIG1pIGzDrW5lYSBkZSBjb21pZGEgZXN0w6EgY29ydGFkYS4=
r4vrBg,,W0FobWFuXQpJIGFtIHdpbGxpbmcgdG8gZG8gYW55dGhpbmcgaWxsZWdhbCBpZiBuZWNlc3NhcnksCmJ1dCBpbiB0aGlzIGNhc2UsIEkgd291bGQgYWxzbyBiZSBoYXJtZWQuClRoZXJlJ3Mgbm8gd2F5IEkgY2FuIGRvIHNvbWV0aGluZyBsaWtlIHRoYXQsIHJpZ2h0PwpSYXRoZXIsCkkgd2FudCB0byBjYXRjaCB0aGUgY3VscHJpdAphbmQgZWxpbWluYXRlIHRob3NlIHdobyBhcmUgaW4gdGhlIHdheS4=,,,,,W0FobWFuXQpFc3RvdSBkaXNwb3N0byBhIGZhemVyIHF1YWxxdWVyIGNvaXNhIGlsZWdhbCBzZSBuZWNlc3PDoXJpbywKbWFzLCBuZXNzZSBjYXNvLCBldSB0YW1iw6ltIHNlcmlhIHByZWp1ZGljYWRvLgpOw6NvIGjDoSBjb21vIGV1IGZhemVyIGFsZ28gYXNzaW0sIGNlcnRvPwpFbSB2ZXogZGlzc28sCmV1IHF1ZXJvIHBlZ2FyIG8gY3VscGFkbwplIGVsaW1pbmFyIGFxdWVsZXMgcXVlIGVzdMOjbyBubyBjYW1pbmhvLg==,,W0FobWFuXQpFc3RveSBkaXNwdWVzdG8gYSBoYWNlciBjdWFscXVpZXIgY29zYSBpbGVnYWwgc2kgZXMgbmVjZXNhcmlvLApwZXJvIGVuIGVzdGUgY2FzbywgeW8gdGFtYmnDqW4gc2FsZHLDrWEgcGVyanVkaWNhZG8uCk5vIGhheSBmb3JtYSBkZSBxdWUgcHVlZGEgaGFjZXIgYWxnbyBhc8OtLCDCv3ZlcmRhZD8KTcOhcyBiaWVuLApxdWllcm8gYXRyYXBhciBhbCBjdWxwYWJsZQp5IGVsaW1pbmFyIGEgbG9zIHF1ZSBlc3RvcmJhbi4=
sIvrBg,,W0FobWFuXQpBbnl3YXksIGlmIHlvdSB3YW50IHRvIGtub3csIGdvIGFoZWFkLgpJIGFtIGEgYnVzeSBwZXJzb24gd2hvIGhhcyB0byBwdXQgZG93biB0aGUgbHVnZ2FnZSB5b3UgYnJvdWdodAphbmQgbW92ZSBpdCB0byB0aGUgZGVzaWduYXRlZCBsb2NhdGlvbi4=,,,,,W0FobWFuXQpEZSBxdWFscXVlciBmb3JtYSwgc2Ugdm9jw6ogcXVpc2VyIHNhYmVyLCB2w6EgZW0gZnJlbnRlLgpTb3UgdW1hIHBlc3NvYSBvY3VwYWRhIHF1ZSBwcmVjaXNhIGd1YXJkYXIgYSBiYWdhZ2VtIHF1ZSB2b2PDqiB0cm91eGUKZSBsZXbDoS1sYSBwYXJhIG8gbG9jYWwgZGVzaWduYWRvLg==,,W0FobWFuXQpEZSB0b2RvcyBtb2Rvcywgc2kgcXVpZXJlcyBzYWJlcmxvLCBhZGVsYW50ZS4KU295IHVuYSBwZXJzb25hIG9jdXBhZGEgcXVlIHRpZW5lIHF1ZSBiYWphciBlbCBlcXVpcGFqZSBxdWUgdHJhamlzdGUKeSBtb3ZlcmxvIGFsIGx1Z2FyIGRlc2lnbmFkby4=
sYvrBg,,W0FobWFuXQpZb3UgY2FtZSBhZ2FpbiB0aGlzIHRpbWUuLi4ga2VrZWtla2UuCkkgdGhpbmsgeW91J3JlIGEgcmVhbGx5IHVzZWZ1bCB0YWxlbnQuCkFyZSB5b3UgdGhpbmtpbmcgYWJvdXQgZ2V0dGluZyBhIGZvcm1hbCBqb2I/,,,,,W0FobWFuXQpWb2PDqiB2ZWlvIG5vdmFtZW50ZSBkZXN0YSB2ZXouLi4ga2VrZWtla2UuCkFjaG8gcXVlIHZvY8OqIMOpIHVtIHRhbGVudG8gcmVhbG1lbnRlIMO6dGlsLgpFc3TDoSBwZW5zYW5kbyBlbSBjb25zZWd1aXIgdW0gZW1wcmVnbyBmb3JtYWw/,,W0FobWFuXQpWaW5pc3RlIGRlIG51ZXZvIGVzdGEgdmV6Li4uIGplLCBqZSwgamUuCkNyZW8gcXVlIHRpZW5lcyB1biB0YWxlbnRvIG11eSDDunRpbC4Kwr9Fc3TDoXMgcGVuc2FuZG8gZW4gY29uc2VndWlyIHVuIHRyYWJham8gZm9ybWFsPw==
sovrBg,,W0FobWFuXQpIbW0uCk15IGNvbXBsZXhpb24gaXMgYmFkLgpJJ2xsIHRyeSB0byBhdm9pZCB1bm5lY2Vzc2FyeSB0YWxrLApzbyBxdWlja2x5IGdvIGluc2lkZSB0aGUgYWlyc2hpcCBhbmQgcmVzdC4KSSB3aWxsIGNvbnRpbnVlIHRvIG1vdmUgdGhlIGx1Z2dhZ2UgaGVyZS4=,,,,,W0FobWFuXQpIbW0uCk1pbmhhIGFwYXLDqm5jaWEgZXN0w6EgcnVpbS4KVGVudGFyZWkgZXZpdGFyIGNvbnZlcnNhcyBkZXNuZWNlc3PDoXJpYXMsCnBvcnRhbnRvLCBlbnRyZSByYXBpZGFtZW50ZSBuYSBhZXJvbmF2ZSBlIGRlc2NhbnNlLgpFdSBjb250aW51YXJlaSBhIG1vdmVyIGEgYmFnYWdlbSBwYXJhIGPDoS4=,,W0FobWFuXQpNbW0uCk1pIHRleiBlc3TDoSBtYWwuCkludGVudGFyw6kgZXZpdGFyIGNvbnZlcnNhY2lvbmVzIGlubmVjZXNhcmlhcywKYXPDrSBxdWUgcsOhcGlkYW1lbnRlIGVudHJhIGVuIGxhIGFlcm9uYXZlIHkgZGVzY2Fuc2EuClNlZ3VpcsOpIG1vdmllbmRvIGVsIGVxdWlwYWplIGFxdcOtLg==
s4vrBg,,W0FobWFuXQprZWtla2VrZS4uLg==,,,,,W0FobWFuXQprZWtla2VrZS4uLg==,,W0FobWFuXQpKZSwgamUsIGplLg==
tIvrBg,,W0FobWFuXQpXaHkgZG9uJ3QgeW91IGdvIGluIGFuZCByZXN0IHF1aWNrbHk/Ckl0IGRvZXNuJ3QgbWF0dGVyIGlmIHlvdSBzaWNrLApidXQgaXQgd291bGQgYmUgYSBwcm9ibGVtIGlmIHlvdSBmZWxsCmFuZCBkaXNydXB0ZWQgbXkgZm9vZCBzdXBwbHku,,,,,W0FobWFuXQpQb3IgcXVlIHZvY8OqIG7Do28gZW50cmEgZSBkZXNjYW5zYSByYXBpZGFtZW50ZT8KTsOjbyBpbXBvcnRhIHNlIHZvY8OqIGVzdMOhIGRvZW50ZSwKbWFzIHNlcmlhIHVtIHByb2JsZW1hIHNlIHZvY8OqIGNhw61zc2UKZSBpbnRlcnJvbXBlc3NlIG1ldSBzdXByaW1lbnRvIGRlIGFsaW1lbnRvcy4=,,W0FobWFuXQrCv1BvciBxdcOpIG5vIGVudHJhcyB5IGRlc2NhbnNhcyByw6FwaWRvPwpObyBpbXBvcnRhIHNpIHRlIHNpZW50ZXMgbWFsLApwZXJvIHNlcsOtYSB1biBwcm9ibGVtYSBzaSB0ZSBjYXllcmFzCnkgYWx0ZXJhcmFzIG1pIHN1bWluaXN0cm8gZGUgYWxpbWVudG9zLg==
tYvrBg,,W0FobWFuXQpBcmUgeW91IGJvcmVkIGJlY2F1c2UgeW91IGRvbid0IGhhdmUgd29yayB0byBkbz8KV2VsbCwgdGhlcmUgYXJlIHRpbWVzIGluIGxpZmUgd2hlbiB5b3UgYXJlIGZyZWUuCkRvbid0IGJlIGltcGF0aWVudCBhbmQgZW5qb3kgeW91ciB0aW1lLgprZWtla2VrZS4uLg==,,,,,W0FobWFuXQpWb2PDqiBlc3TDoSBlbnRlZGlhZG8gcG9ycXVlIG7Do28gdGVtIHRyYWJhbGhvIHBhcmEgZmF6ZXI/CkJlbSwgaMOhIG1vbWVudG9zIG5hIHZpZGEgZW0gcXVlIHZvY8OqIGVzdMOhIGxpdnJlLgpOw6NvIHNlamEgaW1wYWNpZW50ZSBlIGFwcm92ZWl0ZSBzZXUgdGVtcG8uCmtla2VrZWtla2UuLi4=,,W0FobWFuXQrCv1RlIGFidXJyZXMgcG9ycXVlIG5vIHRpZW5lcyB0cmFiYWpvIHF1ZSBoYWNlcj8KQnVlbm8sIGhheSBtb21lbnRvcyBlbiBsYSB2aWRhIGVuIGxvcyBxdWUgZXJlcyBsaWJyZS4KTm8gc2VhcyBpbXBhY2llbnRlIHkgZGlzZnJ1dGEgZGUgdHUgdGllbXBvLgpKZSwgamUsIGplLg==
tovrBg,,W0FobWFuXQpJIGNhbid0IHNheSBpdCdzIGFuIGFpcnBvcnQsIGJ1dCBmb3Igc29tZSByZWFzb24sCkkgcmVhbGx5IGxpa2UgdGhpcyBwbGFjZS4KTGV0IGl0IHBhc3MuClRoaXMgaXMgbm90IHdoZXJlIHlvdSBzaG91bGQgYmUu,,,,,W0FobWFuXQpOw6NvIHBvc3NvIGRpemVyIHF1ZSDDqSB1bSBhZXJvcG9ydG8sIG1hcyBwb3IgYWxndW1hIHJhesOjbywKZXUgcmVhbG1lbnRlIGdvc3RvIGRlc3NlIGx1Z2FyLgpEZWl4ZSBwYXNzYXIuCk7Do28gw6kgYXF1aSBxdWUgdm9jw6ogZGV2ZXJpYSBlc3Rhci4=,,W0FobWFuXQpObyBwdWVkbyBkZWNpciBxdWUgc2VhIHVuIGFlcm9wdWVydG8sIHBlcm8gcG9yIGFsZ8O6biBtb3Rpdm8sCm1lIGd1c3RhIG11Y2hvIGVzdGUgbHVnYXIuCkTDqWphbG8gcGFzYXIuCkFxdcOtIG5vIGVzIGRvbmRlIGRlYmVyw61hcyBlc3Rhci4=
