oAFnCw,,RXJpZGFudXM=,,,,,RWR1YXJkbw==,,RXJpZGFudXM=
qwFnCw,,W0VyaWRhbnVzXQpXZSBzaG91bGQgc3RlcCB1cCBmb3IgdGhlIHBvcGUhClNvPyBBcmUgeW91IHVwIGZvciBpdD8=,,,,,W0VkdWFyZG9dCkEgUGFwaXNhIHZhaSBtZSBhZ3JhZGVjZXIhClZhaSBtZSBhanVkYXI/,,W0VyaWRhbnVzXQrCoURlYmVtb3MgaGFjZXJsbyBwb3IgbGEgcGFwaXNhIQrCv1k/IMK/VGUgYXRyZXZlcz8=
rAFnCw,,W0VyaWRhbnVzXQpUaGVyZSB3b3VsZCBiZSBmYW5hdGljcyB3aG8gd2VudCBtYWQgYW5kIGJlY2FtZSBtb25zdGVycy4KS2lsbCBeNEQ0REZGSXNpbGxhLCBWYW5iZXJrLCBhbmQgSG9kcmVtbGluXjAwMDAwMC4=,,,,,W0VkdWFyZG9dCkRldmVtIHRlciBmYW7DoXRpY29zIHF1ZSBlbmxvdXF1ZWNlcmFtIHBlbG8gZGVtw7RuaW8uClBvciBmYXZvciwgYWNhYmUgY29tIF40RDRERkZJc2lsbGEsIFZhbmJlcmsgZSBIb2RyZW1saW5eMDAwMDAwIHBlbGEgbm9zc2EgRGV1c2Eu,,W0VyaWRhbnVzXQpEZWJlbiBzZXIgZmFuw6F0aWNvcyBxdWUgZW5sb3F1ZWNpZXJvbiB5IHNlIGNvbnZpcnRpZXJvbiBlbiBtb25zdHJ1b3MuCk1hdGEgYSBeNEQ0REZGSXNpbGxhLCBWYW5iZXJrIHkgSG9kcmVtbGluXjAwMDAwMC4=
rQFnCw,,QWNjZXB0,,,,,QWNlaXRhci4=,,QWNlcHRhci4=
rgFnCw,,UmVmdXNlLg==,,,,,UmVjdXNhci4=,,UmVjaGF6YXIu
rwFnCw,,W0VyaWRhbnVzXQpUaGFuayB5b3UgZm9yIGRvaW5nIHRoaXMuClBsZWFzZSBiZSBjYXJlZnVsLgpUYWtlIHRoaXMgdmVudGlsYXRpb24gc2hhZnQuIEl0IGxlYWRzIHRvIHRoZSBwbGFjZSB3aGVyZSBtb25zdGVycyBhcmUgcnVubmluZyBhbW9rLg==,,,,,W0VkdWFyZG9dCkVudMOjbywgdmFtb3MuClRlbmhhIGN1aWRhZG8uClZvdSBhYnJpciBlc3NhIHBhc3NhZ2VtIGRlIHR1YnVsYcOnw6NvIHBhcmEgdm9jw6ogZW50cmFyLg==,,W0VyaWRhbnVzXQpHcmFjaWFzIHBvciBhY2VwdGFyLgpUZW4gY3VpZGFkby4KVmUgcG9yIGVzdGUgY29uZHVjdG8gZGUgdmVudGlsYWNpw7NuLiBMbGV2YSBhbCBsdWdhciBwb3IgZG9uZGUgbWVyb2RlYW4gbG9zIG1vbnN0cnVvcy4=
sAFnCw,,W0VyaWRhbnVzXQpHcnIsIEkgY2FuJ3QganVzdCBzdGFuZCBieSB3aGVuIG1vbnN0ZXJzIGFyZSByYW1wYWdpbmcgaW4gdGhlcmUuLi4h,,,,,W0VkdWFyZG9dClZvY8OqIHRlbSBxdWUgb3V2aXIgZXNzZXMgYmFydWxob3MgcHJhIGVudGVuZGVyIQ==,,W0VyaWRhbnVzXQrCoUdyciwgbm8gcHVlZG8gcXVlZGFybWUgZGUgYnJhem9zIGNydXphZG9zIG1pZW50cmFzIGxvcyBtb25zdHJ1b3MgaGFjZW4gZXN0cmFnb3PigKYh
sQFnCw,,W0VyaWRhbnVzXQouLi5JIGFza2VkIHlvdSB0byBnZXQgcmlkIG9mIHRoZSBtb25zdGVycyBpbiB0aGUgaG9seSBncm91bmQgZm9yIHRoZSBwb3BlIGFuZCBvdXIgZ29kZGVzcyBGcmV5amEu,,,,,W0VkdWFyZG9dCi4uLlBvciBhbW9yIMOgIFBhcGlzYSBlIMOgIEZyZXlhIHF1ZSBldSBwZWRpIHN1YSBhanVkYS4=,,W0VyaWRhbnVzXQrigKZUZSBwZWTDrSBxdWUgdGUgZGVzaGljaWVyYXMgZGUgbG9zIG1vbnN0cnVvcyBlbiBsYSB0aWVycmEgc2FncmFkYSBlbiBub21icmUgZGUgbGEgcGFwaXNhIHkgZGUgbnVlc3RyYSBkaW9zYSBGcmV5YS4=
sgFnCw,,W0VyaWRhbnVzXQpJIGNhbiBnZXQgeW91IHRoZXJlIHRocm91Z2ggdGhlIHNoYWZ0IHJpZ2h0IG5vdyBpZiB5b3UncmUgcmVhZHku,,,,,W0VkdWFyZG9dClZvY8OqIHF1ZXIgcXVlIGV1IGFicmEgYSBwYXNzYWdlbSBub3ZhbWVudGU/,,W0VyaWRhbnVzXQpQdWVkbyBsbGV2YXJ0ZSBwb3IgZWwgY29uZHVjdG8geWEgbWlzbW8gc2kgdGllbmVzIHRvZG8gbGlzdG8u
swFnCw,,U2VuZCBtZSB0aGVyZSE=,,,,,RW50cmFyIQ==,,wqFFbnbDrWFtZSBhbGzDrSE=
tAFnCw,,SSBuZWVkIGEgbW9tZW50IHRvIHByZXBhcmUu,,,,,UHJlY2lzbyBtZSBwcmVwYXJhci4=,,TmVjZXNpdG8gcHJlcGFyYXJtZS4=
tQFnCw,,W0VyaWRhbnVzXQpUYWtlIGNhcmUsIHRoZW4h,,,,,W0VkdWFyZG9dCkN1aWRlLXNlIQ==,,W0VyaWRhbnVzXQrCoUN1w61kYXRlIQ==
tgFnCw,,W0VyaWRhbnVzXQpDb21lIGJhY2sgd2hlbiB5b3UgZmluaXNoIHByZXBhcmluZyE=,,,,,W0VkdWFyZG9dClZvbHRlIHF1YW5kbyBxdWlzZXIh,,W0VyaWRhbnVzXQrCoVZ1ZWx2ZSBjdWFuZG8gdGVybWluZXMgZGUgcHJlcGFyYXJ0ZSE=
twFnCw,,W0VyaWRhbnVzXQpFeGNlbGxlbnQhClVoLCBidXQgdGhlcmUgYXJlIG1hbnkgbW9uc3RlcnMgbGVmdCBpbiB0aGVyZSBzdGlsbCwgcmlnaHQ/CkRvbid0IHlvdSB0aGluayB0aGUgcGxhY2UgbmVlZHMgdG8gYmUgdGFrZW4gY2FyZSBvZiByZWd1bGFybHk/,,,,,W0VkdWFyZG9dCkV4Y2VsZW50ZSEKQWguLi4gbWFzIGFpbmRhIHRlbSBtYWlzIG1vbnN0cm9zIGzDoSwgbsOjbyDDqT8KTsOjbyBxdWVyIGZhemVyIGlzc28gZGlhcmlhbWVudGU/,,W0VyaWRhbnVzXQrCoUV4Y2VsZW50ZSEKRWgsIHBlcm8gYcO6biBxdWVkYW4gbXVjaG9zIG1vbnN0cnVvcyBhaMOtLCDCv3ZlcmRhZD8Kwr9ObyBjcmVlcyBxdWUgaGFicsOtYSBxdWUgb2N1cGFyc2UgZGVsIGx1Z2FyIGNvbiByZWd1bGFyaWRhZD8=
uAFnCw,,W0VyaWRhbnVzXQpJIGNhbiBnZXQgeW91IGluc2lkZSB3aGlsZSB3b3JraW5nIG9uIHRoZSB2ZW50aWxhdGlvbiBzaGFmdCBoZXJlLgpQbGVhc2UgdGFrZSBjYXJlIG9mIHRoZSBwbGFjZSB3aGVuIHlvdSBoYXZlIHRpbWUh,,,,,W0VkdWFyZG9dCkVucXVhbnRvIGVzdGl2ZXIgdHJhYmFsaGFuZG8gYXF1aSwgcG9zc28gZmljYXIgZW52aWFuZG8gdm9jw6ogcGVsYSB0dWJ1bGHDp8Ojby4uLgpWb2x0ZSBxdWFuZG8gcHVkZXIh,,W0VyaWRhbnVzXQpQdWVkbyBsbGV2YXJ0ZSBhaMOtIGRlbnRybyBtaWVudHJhcyB0cmFiYWpvIGVuIGVsIGNvbmR1Y3RvIGRlIHZlbnRpbGFjacOzbi4KwqFQb3IgZmF2b3IsIG9jw7pwYXRlIGRlbCBsdWdhciBjdWFuZG8gdGVuZ2FzIHRpZW1wbyE=
uQFnCw,,W0VyaWRhbnVzXQpIb2x5IGdyb3VuZCwgbW9uc3RlciBlbGltaW5hdGlvbj8=,,,,,W0VkdWFyZG9dClZhaSBlbnRyYXIgbm8gU2FudHXDoXJpbz8=,,W0VyaWRhbnVzXQpFc3RhIGVzIHRpZXJyYSBzYWdyYWRhLCDCv3ZpZW5lcyBhIGVsaW1pbmFyIG1vbnN0cnVvcz8=
ugFnCw,,Kk5vZCo=,,,,,U2lt,,KkFzaWVudGUgY29uIGxhIGNhYmV6YSo=
uwFnCw,,KlNoYWtlIGhlYWQq,,,,,TsOjbw==,,Kk5pZWdhIGNvbiBsYSBjYWJlemEq
vAFnCw,,W0VyaWRhbnVzXQooR2l2ZXMgYSB0aHVtYnMtdXAgd2l0aCBhIG5vZC4pCi4uLg==,,,,,W0VkdWFyZG9dCihBYnJlIGEgcGFzc2FnZW0gZGEgdHVidWxhw6fDo28uKQouLi4u,,W0VyaWRhbnVzXQooTGV2YW50YSBlbCBwdWxnYXIgeSBhc2llbnRlIGNvbiBsYSBjYWJlemEpLgrigKY=
vQFnCw,,W0VyaWRhbnVzXQpXZWxsLCBuZXh0IHRpbWUsIHRoZW4u,,,,,W0VkdWFyZG9dClF1ZW0gc2FiZSBvdXRybyBkaWEu,,W0VyaWRhbnVzXQpCdWVubywgcGFyYSBsYSBwcsOzeGltYSBlbnRvbmNlcy4=
vgFnCw,,Li4uTG9va3MgbGlrZSBzb21ldGhpbmcgd2lsbCBicmVhayBvdXQgc29vbi4=,,,,,Li4uQWxnbyB2YWkgYWNvbnRlY2VyIGVtIGJyZXZlLg==,,4oCmUGFyZWNlIHF1ZSBhbGdvIGVzdMOhIHBvciBlc2NhcGFyLg==
vwFnCw,,XjMzNTVGRlRoaXMgbXVzdCBiZSB0aGUKZW50cmFuY2UgdG8gdGhlIEhvbHkKR3JvdW5kLiBIb3dldmVyLCB0aGUKZG9vciBpbiB5b3VyIHdheSBpcyBsb2NrZWQuXjAwMDAwMA==,,,,,XjMzNTVGRkVzdGEgZGV2ZSBzZXIgYQplbnRyYWRhIHBhcmEgbyBTb2xvIFNhZ3JhZG8uIE5vIGVudGFudG8sIGEgcG9ydGEKZW0gc2V1IGNhbWluaG8gZXN0w6EgdHJhbmNhZGEuXjAwMDAwMA==,,XjMzNTVGRkVzdGEgZGViZSBzZXIgbGEKZW50cmFkYSBhbCBTdWVsbwpzYWdyYWRvLiBTaW4gZW1iYXJnbywgbGEKcHVlcnRhIGVzdMOhIGNlcnJhZGEuXjAwMDAwMA==
wAFnCw,,UXVpdA==,,,,,U2Fpcg==,,U2FsaXIu
wQFnCw,,VXNlIFNtYWxsIEtleQ==,,,,,VXNhciBDaGF2ZSBQZXF1ZW5h,,VXNhciBsbGF2ZWNpdGEu
wgFnCw,,XjMzNTVGRllvdSBpbnNlcnQgdGhlIFNtYWxsCktleSB0aGF0IHlvdSBmb3VuZCBpbgpIaWdoIFByaWVzdCBaaGVkJ3Mgcm9vbSwKYW5kIGZpbmQgdGhhdCBpdCBpcyBhYmxlCnRvIHVubG9jayB0aGlzIGRvb3IuXjAwMDAwMA==,,,,,XjMzNTVGRlZvY8OqIGluc2VyZSBhIHBlcXVlbmEKY2hhdmUgcXVlIGVuY29udHJvdSBuYSBzYWxhIGRvClN1bW8gU2FjZXJkb3RlIFpoZWQsCmUgZGVzY29icml1IHF1ZSBlbGEgw6kgY2FwYXogZGUKZGVzdHJhbmNhciBlc3NhIHBvcnRhLl4wMDAwMDA=,,XjMzNTVGRkNvbG9jYXMgbGEKbGxhdmVjaXRhIHF1ZSBlbmNvbnRyYXN0ZSBlbgpsYSBoYWJpdGFjacOzbiBkZWwgc3VtbyBzYWNlcmRvdGUgWmhlZDsKdmVzIHF1ZQpjb3JyZXNwb25kZSBhIGVzdGEgcHVlcnRhLl4wMDAwMDA=
wwFnCw,,XjMzNTVGRlRoaXMgZG9vciBpcyBsb2NrZWQuXjAwMDAwMA==,,,,,XjMzNTVGRkVzdGEgcG9ydGEgZXN0w6EgdHJhbmNhZGEuXjAwMDAwMA==,,XjMzNTVGRkxhIHB1ZXJ0YSBlc3TDoSBjZXJyYWRhLl4wMDAwMDA=
