IG1dAQ,,THVjaWE=,,,,,QmnDs2xvZ2EgTWFyaW5oYQ==,,THVjw61h
K21dAQ,,W0x1Y2lhXQpJIGhvcGUgbWFueSBhZHZlbnR1cmVycwp2b2x1bnRlZXIgZm9yIHRoaXMgam9iLg==,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpFc3Blcm8gcXVlIHbDoXJpb3MgYXZlbnR1cmVpcm9zCmFjZWl0ZW0gZXN0YSB0YXJlZmEgZSBub3MgYWp1ZGVtLgpTZXLDoSBtdWl0byBib20gcGFyYSBhIGVjb2xvZ2lhLg==,,W0x1Y2lhXQpFc3Blcm8gcXVlIG11Y2hvcyBhdmVudHVyZXJvcwpzZSBvZnJlemNhbiB2b2x1bnRhcmlvcyBwYXJhIGVzdGUgdHJhYmFqby4=
LG1dAQ,,SSByZWFsbHkgaGF0ZSBIeWRyYSE=,,,,,RXUgZGV0ZXN0byBBbsOqbW9uYXMh,,wqFSZWFsbWVudGUgb2RpbyBhIEh5ZHJhIQ==
LW1dAQ,,W0x1Y2lhXQpIZWxsbywgeW91IHJlYWxseSBtYWRlIGl0IQ==,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpOb3NzYSwgdm9jw6ogY29uc2VndWl1IQ==,,W0x1Y2lhXQrCoUhvbGEsIHJlYWxtZW50ZSBsbyBsb2dyYXN0ZSE=
Lm1dAQ,,SSBkb24ndCBoYXZlIGVub3VnaCBeMDA2NDAwSHlkcmEgYmFsbF4wMDAwMDBzIHRvIGdpdmUgeW91LgpJIGhvcGUgeW91IHdpbGwgY29tZQphZ2FpbiB0byBoZWxwIG1lLgpIYXZlIGEgbmljZSBkYXl+IQ==,,,,,TsOjbyB0ZW5obyBtYWlzIF4wMDY0MDBSZWRlcyBkZSBDYXB0dXJhXjAwMDAwMApwYXJhIGxoZSBlbnRyZWdhciBhZ29yYS4KRXNwZXJvIHF1ZSB2b2x0ZSBub3ZhbWVudGUKcGFyYSBtZSBhanVkYXIhClRlbmhhIHVtIGJvbSBkaWEh,,Tm8gdGVuZ28gc3VmaWNpZW50ZXMgXjAwNjQwMEh5ZHJhIGJhbGxeMDAwMDAwcyBwYXJhIGRhcnRlLgpFc3Blcm8gcXVlIHZlbmdhcwpvdHJhIHZleiBwYXJhIGF5dWRhcm1lLgrCoVF1ZSB0ZW5nYXMgdW4gYnVlbiBkw61hIQ==
L21dAQ,,QnkgdGhlIHdheSwgeW91ciBiYWcgaXMgZnVsbC4KSSB3aWxsIGdpdmUgeW91IHJld2FyZHMsCnBsZWFzZSBsaWdodGVuIHlvdXIgd2VpZ2h0IGEgbGl0dGxlLg==,,,,,Li4uCkEgcHJvcMOzc2l0bywgc2V1IGludmVudMOhcmlvIGVzdMOhIGNoZWlvLgpSZWNlYmVyw6EgYSBzdWEgcmVjb21wZW5zYSwKYXNzaW0gcXVlIGFycnVtYXIgYWxndW0gZXNwYcOnby4=,,UG9yIGNpZXJ0bywgdHUgYm9sc2EgZXN0w6EgbGxlbmEuClRlIGRhcsOpIHJlY29tcGVuc2FzLApwb3IgZmF2b3IgYWxpZ2VyYSB0dSBwZXNvIHVuIHBvY28u
MG1dAQ,,W0x1Y2lhXQ==,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQ==,,W0x1Y2lhXQ==
MW1dAQ,,RGlkIHlvdSBuZWVkIGFub3RoZXIgXjAwNjQwMEh5ZHJhIGJhbGxeMDAwMDAwLgpJIHdpbGwgZ2l2ZSB5b3Ugb25lIG1vcmUu,,,,,Vm9jw6ogcHJlY2lzYSBkZSBvdXRyYSBeMDA2NDAwUmVkZSBkZSBDYXB0dXJhXjAwMDAwMD8KUG9zc28gbGhlIGRhciBtYWlzLg==,,wr9OZWNlc2l0YWJhcyBvdHJhIGJvbGEgZGUgSHlkcmE/ClRlIGRhcsOpIHVuYSBtw6FzLg==
Mm1dAQ,,QW55IHByb2JsZW1zPw==,,,,,UHJvYmxlbWFzPw==,,wr9BbGfDum4gcHJvYmxlbWE/
M21dAQ,,XjAwNjQwMFRlbGwgbWUgYWdhaW4gd2hhdCBoYXBwZW5lZF4wMDAwMDA=,,,,,XjAwNjQwME1lIGV4cGxpcXVlIG8gcXVlIGFjb250ZWNldS5eMDAwMDAw,,e0N1w6ludGFtZSBvdHJhIHZleiBsbyBxdWUgcGFzw7Mu
NG1dAQ,,W0x1Y2lhXQpPaywgcGxlYXNlIGRvIG1lIGEgZmF2b3Iu,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpPayBlbnTDo28u,,W0x1Y2lhXQpPaywgcG9yIGZhdm9yLCBoYXptZSB1biBmYXZvci4=
NW1dAQ,,W0x1Y2lhXQpPaCwgezB9IGNvbWUgYWdhaW4u,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpPaCwgezB9IHZvbHRlIHNlbXByZSE=,,W0x1Y2lhXQpPaCwgezB9IHZlbiBvdHJhIHZlei4=
Nm1dAQ,,SSdtIHNvIGdyYXRlZnVsIGZvciB5b3VyIGhlbHAuCkVhY2ggXjAwNjQwMEh5ZHJhIGJhbGxeMDAwMDAwIGlzIHByb3ZpZGVkIF4wMDY0MDBldmVyeSAyNCBob3Vyc14wMDAwMDAuClBsZWFzZSBjb21lIGF0IHRoZSBhcHByb3ByaWF0ZSB0aW1lLg==,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpTZSBhaW5kYSBlc3TDoSBjb20gYSBeMDA2NDAwUmVkZSBkZSBDYXB0dXJhXjAwMDAwMCwKcG9yIGZhdm9yIGVuY29udHJlIGEgXjAwNjQwMEFuw6ptb25hXjAwMDAwMCAKbm9zIGFycmVkb3JlcyBkYSBjaWRhZGUgZSB1c2UtYSBuZWxhLgpTZSB0aXZlciBzb3J0ZSwgdmFpIGZ1bmNpb25hci4=,,RXN0b3kgbXV5IGFncmFkZWNpZG8gcG9yIHN1IGF5dWRhLgpDYWRhIF4wMDY0MDBiYWzDs24gZGUgSHlkcmFeMDAwMDAwIHNlIHByb3BvcmNpb25hIF4wMDY0MDBjYWRhIDI0IGhvcmFzXjAwMDAwMC4KUG9yIGZhdm9yLCB2ZW4gYSBsYSBob3JhIGFwcm9waWFkYS4=
N21dAQ,,QXJlIHlvdSBiYWNrIHRvIGNhdGNoIF5GRjAwMDBTdHJhbmdlIEh5ZHJhXjAwMDAwMD8=,,,,,Vm9jw6ogdmVpbyBhcXVpIHBhcmEgY29sZXRhciBhIF5GRjAwMDBBbsOqbW9uYV4wMDAwMDA/,,wr9IYXMgdnVlbHRvIHBhcmEgYXRyYXBhciBhIF5GRjAwMDBIaWRyYSBFeHRyYcOxYV4wMDAwMDA/
OG1dAQ,,XkZGMDAwMFdoYXQgaXMgaGFwcGVuaW5nIGhlcmUuXjAwMDAwMA==,,,,,XkZGMDAwME8gcXVlIGVzdMOhIGFjb250ZWNlbmRvIGFxdWk/XjAwMDAwMA==,,XkZGMDAwMFF1w6kgZXN0w6EgcGFzYW5kbyBhcXXDrS5eMDAwMDAw
OW1dAQ,,W0x1Y2lhXQpJIGhhdmUgZ2l2ZW4geW91IGEgXjAwNjQwMExlYWZjYXQgYmFsbF4wMDAwMDAuClVzZSBpdCB0byBjYXB0dXJlIF5GRjAwMDBTdHJhbmdlIEh5ZHJhXjAwMDAwMC4KSSBob3BlIHlvdSBjYW4gbWFrZSBpdCE=,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpWb2PDqiByZWNlYmV1IHVtYSBeMDA2NDAwUmVkZSBkZSBDYXB0dXJhXjAwMDAwMC4KVm9jw6ogZGV2ZSB1c2FyIGEgcmVkZQpwYXJhIGNvbGV0YXIgYSBeRkYwMDAwQW7Dqm1vbmFeMDAwMDAwLgpFc3RvdSB0b3JjZW5kbyBwb3Igdm9jw6oh,,W0x1Y2lhXQpUZSBoZSBkYWRvIHVuYSBeMDA2NDAwQm9sYSBkZSBHYXRvIEhvamFeMDAwMDAwLgrDmnNhbGEgcGFyYSBjYXB0dXJhciBhIGxhIF5GRjAwMDBIaWRyYSBFeHRyYcOxYV4wMDAwMDAuCsKhRXNwZXJvIHF1ZSBsbyBjb25zaWdhcyE=
Om1dAQ,,W0x1Y2lhXQpBaCwgSSBtaXN1bmRlcnN0b29kLi4KU2VlIHlvdSB0aGVuLi4=,,,,,W0Jpw7Nsb2dhIEx1Y2lhXQpBaCwgZW50ZW5kaSBlcnJhZG8uClRlIHZlam8gcG9yIGHDrSBlbnTDo28u,,W0x1Y2lhXQpBaCwgZW50ZW5kw60gbWFsLi4KTm9zIHZlbW9zIGVudG9uY2VzIC4u
