YP8vAg,,QmFyZA==,,,,,QmFyZG8=,,QmFyZA==
a/8vAg,,RGVyIFJpbmcgZGVzIE5pYmVsdW5nZW4=,,,,,TyBBbmVsIGRvcyBOaWJlbHVuZ29z,,RWwgYW5pbGxvIGRlbCBOaWJlbHVuZ28=
bP8vAg,,W05lbGxpb3JkZV0KQnJhZ2kncyBQb2VtIQpXaGF0IGEgZ29vZCBjaG9pY2UhCkkgbXVzdCBzYXksIHRoaXMgc29uZwpyZXByZXNlbnRzIHRoZSBoZWFydApvZiBhIHBvZXQh,,,,,W05lbGxpb3JkZV0KTyBQb2VtYSBkZSBCcmFnaSEKQmVsYSBlc2NvbGhhIQpEZXZvIGRpemVyIHF1ZSBlc3NhIGNhbsOnw6NvCnJlcHJlc2VudGEgbyBjb3Jhw6fDo28KZGUgdW0gcG9ldGEh,,W05lbGxpb3JkZV0KwqFQb2VtYSBkZSBCcmFnaSEKwqFRdcOpIGJ1ZW5hIGVsZWNjacOzbiEKRGVibyBkZWNpciBxdWUgZXN0YSBjYW5jacOzbgpyZXByZXNlbnRhIGVsIGNvcmF6w7NuCsKhZGUgdW4gcG9ldGEh
bf8vAg,,W05lbGxpb3JkZV0KRXRlcm5hbCBDaGFvcy4uLgpTb3VuZHMgdG9vIGNoYW90aWMuCkJ5IHRoZSB3YXksIEkgd29uZGVyCndoYXQgdGhlIHRpdGxlIHJlYWxseQpyZWZlcnMgdG8uIElzIGl0IHRoZSBjaGFvcwpvZiBoZWxsLCBvciBvdXIgb3duIHJlYWxpdHk/,,,,,W05lbGxpb3JkZV0KQ2FvcyBFdGVybm8uLi4KU29hIGNhw7N0aWNhLCBtZXNtby4KQSBwcm9ww7NzaXRvLCBldSBtZSBwZXJndW50bwpkbyBxdcOqIG8gdMOtdHVsbyBlc3TDoSAKZmFsYW5kby4gw4kgZG8gY2FvcyBkbwppbmZlcm5vIG91IGRhIG5vc3NhIHByw7NwcmlhIHJlYWxpZGFkZT8=,,W05lbGxpb3JkZV0KQ2FvcyBFdGVybm8uLi4KU3VlbmEgZGVtYXNpYWRvIGNhw7N0aWNvLgpQb3IgY2llcnRvLCBtZSBwcmVndW50bwphIHF1w6kgc2UgcmVmaWVyZQpzZSByZWZpZXJlLiDCv0VzIGVsIGNhb3MKZGVsIGluZmllcm5vLCBvIGEgbnVlc3RyYSBwcm9waWEgcmVhbGlkYWQ/
bv8vAg,,W05lbGxpb3JkZV0KQXNzYXNzaW4gaW4KdGhlIFN1bnNldCEKU29tZWhvdywgdGhlIGltYWdlIG9mIHRoZSBzZXR0aW5nIHN1biBmaXRzIHdlbGwgd2l0aCBhc3Nhc3NpbnMuIERvbid0IHlvdSBhZ3JlZT8=,,,,,W05lbGxpb3JkZV0KTWVyY2Vuw6FyaW8KYW8gUMO0ci1kby1Tb2whClNpbSwgbmFkYSBtYWlzIGxlZ2FsIHF1ZSB1bSBNZXJjZW7DoXJpbywgbyBtZW5zYWdlaXJvIGRhIG1vcnRlLCBkZSBww6kgc296aW5obywgYW8gcMO0ci1kby1zb2whIEhlIGhlLi4u,,W05lbGxpb3JkZV0KQXNlc2lubyBlbgrCoWVsIG9jYXNvIQpEZSBhbGfDum4gbW9kbywgbGEgaW1hZ2VuIGRlbCBzb2wgcG9uaWVudGUgZW5jYWphIGJpZW4gY29uIGxvcyBhc2VzaW5vcy4gwr9ObyB0ZSBwYXJlY2U/
b/8vAg,,W05lbGxpb3JkZV0KRGVyIFJpbmcgZGVzIE5pYmVsdW5nZW4uLi4KT2theSwgYXJlIHlvdSByZWFkeSB0byBsaXN0ZW4/Ckh1bSBodW0gaHVtLi4uLg==,,,,,W05lbGxpb3JkZV0KTyBBbmVsIGRvcyBOaWJlbHVuZ29zLi4uLi4KT0ssIGVzdMOhIHByb250byBwcmEgb3V2aXI/Ckh1bSBodW0gaHVtLi4uLg==,,W05lbGxpb3JkZV0KRGVyIFJpbmcgZGVzIE5pYmVsdW5nZW4uLi4KQmllbiwgwr9lc3TDoXMgbGlzdG8gcGFyYSBlc2N1Y2hhcj8KSHVtIGh1bSBodW0uLi4u
cP8vAg,,XjRENERGRlJoZWluZ29sZC4uLgpIaWRkZW4gaW4gdGhlIFJpdmVyIFJoZWluLgpJZiB0dXJuZWQgaW50byBhIHJpbmcsCml0IGNvdWxkIHJ1bGUgdGhlIHdvcmxkLi4uXjAwMDAwMA==,,,,,XjRENERGRk8gb3VybyBkYXMgbmluZmFzLi4uCkVzY29uZGlkbyBubyBSaW8gUmVuby4KU2UgZm9yamFkbyBudW0gYW5lbCwKUG9kZXJpYSBkb21pbmFyIG8gbXVuZG8uLi5eMDAwMDAw,,XjRENERGRlJoZWluZ29sZC4uLgpFc2NvbmRpZG8gZW4gZWwgcsOtbyBSaGVpbi4KU2kgc2UgY29udmllcnRlIGVuIHVuIGFuaWxsbywKcG9kcsOtYSBnb2Jlcm5hciBlbCBtdW5kby4uLl4wMDAwMDA=
cf8vAg,,XjRENERGRlByb3RlY3RlZCBieSBhIHNwZWxsLApjdXJzaW5nIGl0cyB0aGllZgp0byBuZXZlciBmaW5kIGxvdmUuCkFsYmVyaWNoIGtuZXcsIGFuZApuZXZlcnRoZWxlc3MsIGhlIHN0b2xlIGl0LgpMb3ZlIGZvcnNha2VuIGZvciBwb3dlci5eMDAwMDAw,,,,,XjRENERGRlByb3RlZ2lkbyBwb3IgdW0gZmVpdGnDp28KQ29uZGVuYW5kbyBvIGxhZHLDo28KQSBudW5jYSBlbmNvbnRyYXIgbyBhbW9yLgpBbGJlcmljaCBzYWJpYQpFIG1lc21vIGFzc2ltIG8gbGV2b3UuCk8gYW1vciByZWxlZ2FkbyBwZWxvIHBvZGVyLl4wMDAwMDA=,,XjRENERGRlByb3RlZ2lkbyBwb3IgdW4gaGVjaGl6bywKbWFsZGljaWVuZG8gYSBzdSBsYWRyw7NuCnBhcmEgcXVlIG51bmNhIGVuY3VlbnRyZSBlbCBhbW9yLgpBbGJlcmljaCBsbyBzYWLDrWEsIHkKc2luIGVtYmFyZ28sIGxvIHJvYsOzLgpBbW9yIGFiYW5kb25hZG8gcG9yIHBvZGVyLl4wMDAwMDA=
cv8vAg,,XjRENERGRkdpYW50cyBidWlsdCBiZWF1dGlmdWwgVmFsaGFsbGEuCk1hdHJpbW9ueSB3aXRoIEZyZXlhLApnb2RkZXNzIG9mIGJlYXV0eS4KVGhlaXIgc3VwcG9zZWQgcGF5bWVudC4KV2hlbiBub3QgcmVjZWl2ZWQsCnRoZXkgZm9yY2VmdWxseSB0b29rIGhlci5eMDAwMDAw,,,,,XjRENERGRk9zIGdpZ2FudGVzIGVyZ3VlcmFtIG8gYmVsbyBWYWxoYWxsYQpBIG3Do28gZGUgRnJleWEKRGV1c2EgZGEgYmVsZXphCk8gcGFnYW1lbnRvIHByb21ldGlkby4KUXVhbmRvIG7Do28gbyByZWNlYmVyYW0KTGV2YXJhbS1uYSDDoCBmb3LDp2EuXjAwMDAwMA==,,XjRENERGRkxvcyBnaWdhbnRlcyBjb25zdHJ1eWVyb24gZWwgaGVybW9zbyBWYWxoYWxsYS4KTWF0cmltb25pbyBjb24gRnJleWEsCmRpb3NhIGRlIGxhIGJlbGxlemEuClN1IHN1cHVlc3RvIHBhZ28uCkN1YW5kbyBubyBmdWUgcmVjaWJpZG8sCnNlIGxhIGxsZXZhcm9uIGEgbGEgZnVlcnphLl4wMDAwMDA=
c/8vAg,,XjRENERGRlRoZSBnb2RzIHdvdWxkCmdpdmUgQWxiZXJpY2gncyB0cmVhc3VyZQp0byB0aGUgR2lhbnRzIGZvciBGcmV5YSdzIHJldHVybi4KTG9raSB0cmlja2VkIEFsYmVyaWNoLApzdGVhbGluZyBoaXMgcmluZyBvZiBwb3dlci5eMDAwMDAw,,,,,XjRENERGRk9zIGRldXNlcyBkYXJpYW0KbyB0ZXNvdXJvIGRlIEFsYmVyaWNoCmFvcyBnaWdhbnRlcyBlbSB0cm9jYSBkZSBGcmV5YS4KTG9raSBlbmdhbm91IEFsYmVyaWNoLApSb3ViYW5kbyBzZXUgYW5lbCBlIHNldSBwb2Rlci5eMDAwMDAw,,XjRENERGRkxvcyBkaW9zZXMKZGFyw61hbiBlbCB0ZXNvcm8gZGUgQWxiZXJpY2gKYSBsb3MgR2lnYW50ZXMgcG9yIGVsIHJlZ3Jlc28gZGUgRnJleWEuCkxva2kgZW5nYcOxw7MgYSBBbGJlcmljaCwKcm9iYW5kbyBzdSBhbmlsbG8gZGUgcG9kZXIuXjAwMDAwMA==
dP8vAg,,XjRENERGRkJ1dCBBbGJlcmljaCBjdXJzZWQgaGlzIHJpbmcKYmVmb3JlIGl0IHdhcyByZXR1cm5lZCB0byBoaW0uCkVudnkgYW5kIGRlYXRoIHdvdWxkCmJlZmFsbCB0aG9zZSB3aG8gd29yZSBpdC5eMDAwMDAw,,,,,XjRENERGRk1hcyBBbGJlcmljaCBhbWFsZGnDp29vdSBvIGFuZWwKQXTDqSBxdWUgdm9sdGFzc2UgYSBlbGUsCkludmVqYSBlIG1vcnRlIHNlZ3VpcmlhbQpxdWVtIG8gdXNhc3NlLl4wMDAwMDA=,,XjRENERGRlBlcm8gQWxiZXJpY2ggbWFsZGlqbyBzdSBhbmlsbG8KYW50ZXMgZGUgcXVlIHNlIGxvIGRldm9sdmllcmFuLgpMYSBlbnZpZGlhIHkgbGEgbXVlcnRlCmNhZXLDrWFuIHNvYnJlIGFxdWVsbG9zIHF1ZSBsbyBsbGV2YXJhbi5eMDAwMDAw
df8vAg,,XjRENERGRlRoZSByaW5nIHdhcyBnaXZlbiB0byB0aGUgZ2lhbnRzLApGcmV5YSB3YXMgcmV0dXJuZWQgdG8gdGhlIGdvZHMuClRoZSBnaWFudHMga2lsbGVkIGVhY2ggb3RoZXIKZmlnaHRpbmcgb3ZlciB0aGUgcmhlaW5nb2xkLAp2aWN0aW1zIG9mCkFsYmVyaWNoJ3MgY3Vyc2UuXjAwMDAwMA==,,,,,XjRENERGRk8gYW5lbCBmb2kgZGFkbyBhb3MgZ2lnYW50ZXMKRnJleWEgcmV0b3Jub3UgYW9zIGRldXNlcwpPcyBnaWdhbnRlcyBzZSBtYXRhcmFtCkx1dGFuZG8gcGVsbyBvdXJvIGRvIFJlbm8sClbDrXRpbWFzIGRhCm1hbGRpw6fDo28gZGUgQWxiZXJpY2guLi5eMDAwMDAw,,XjRENERGRkVsIGFuaWxsbyBmdWUgZW50cmVnYWRvIGEgbG9zIGdpZ2FudGVzLApGcmV5YSBmdWUgZGV2dWVsdGEgYSBsb3MgZGlvc2VzLgpMb3MgZ2lnYW50ZXMgc2UgbWF0YXJvbiB1bm9zIGEgb3Ryb3MKbHVjaGFuZG8gcG9yIGVsIFJoZWluZ29sZCwKdsOtY3RpbWFzIGRlIGxhIG1hbGRpY2nDs24gZGUKTGEgbWFsZGljacOzbiBkZSBBbGJlcmljaC5eMDAwMDAw
dv8vAg,,W05lbGxpb3JkZV0KWW91IHdpc2ggdG8KaGVhciBvZiBzb21lIG5ld3M/CldoYXQga2luZCBvZiBuZXdzIGRvCnlvdSB3aXNoIHRvIGhlYXIgYWJvdXQ/,,,,,W05lbGxpb3JkZV0KUXVlciBvdXZpcgphcyBub3TDrWNpYXM/ClNvYnJlIG8gcXXDqiB2b2PDqiAKcXVlciBzYWJlcj8=,,W05lbGxpb3JkZV0Kwr9EZXNlYXMKbm90aWNpYXM/CsK/UXXDqSB0aXBvIGRlIG5vdGljaWFzCmRlc2VhIG/DrXI/
d/8vAg,,QWJvdXQgUHJvbnRlcmEu,,,,,U29icmUgUHJvbnRlcmEh,,QWNlcmNhIGRlIFByb250ZXJhLg==
eP8vAg,,QWJvdXQgc2Vhc2lkZSBhcmVhcy4=,,,,,U29icmUgYXMgw6FyZWFzIGNvc3RlaXJhcy4=,,U29icmUgbGFzIHpvbmFzIGNvc3RlcmFzLg==
ef8vAg,,SXMgdGhlIGRlc2VydCBzdGlsbCBob3Q/,,,,,TyBkZXNlcnRvIGFpbmRhIGVzdMOhIHF1ZW50ZT8=,,wr9TaWd1ZSBoYWNpZW5kbyBjYWxvciBlbiBlbCBkZXNpZXJ0bz8=
ev8vAg,,SG93IGFib3V0IHRoZSBib3JkZXJsYW5kcz8=,,,,,Q29tbyBlc3TDo28gYXMgZnJvbnRlaXJhcz8=,,wr9ZIGxhcyB6b25hcyBmcm9udGVyaXphcz8=
e/8vAg,,W05lbGxpb3JkZV0KV2hhdD8hIFByb250ZXJhPyEKQ2FuIHlvdSBub3Qgc2VlIHRoYXQgdGhlIGZyb250IGdhdGUgb2YgUHJvbnRlcmEgaXMgcmlnaHQgYmVmb3JlIHlvdT8gWW91IHNob3VsZCBhdCBsZWFzdCBrbm93IHdoZXJlIHlvdSBhcmUsIGFkdmVudHVyZXIh,,,,,W05lbGxpb3JkZV0KUXXDqj8hIFByb250ZXJhPyEKTsOjbyB2w6ogcXVlIG8gcG9ydGFsIGZyb250YWwgZGUgUHJvbnRlcmEgZXN0w6EgYmVtIGRpYW50ZSBkZSBuw7NzPyBWb2PDqiBkZXZlcmlhIHBlbG8gbWVub3Mgc2FiZXIgb25kZSBlc3TDoSwgdmlhamFudGUu,,W05lbGxpb3JkZV0KwqHCv1F1w6k/ISDCocK/UHJvbnRlcmE/IQrCv05vIHZlcyBxdWUgbGEgcHVlcnRhIHByaW5jaXBhbCBkZSBQcm9udGVyYSBlc3TDoSBqdXN0byBkZWxhbnRlIGRlIHRpPyDCoUFsIG1lbm9zIGRlYmVyw61hcyBzYWJlciBkw7NuZGUgZXN0w6FzLCBhdmVudHVyZXJvIQ==
fP8vAg,,W05lbGxpb3JkZV0KQW55d2F5cywgSSBrbm93IHNvbWUgaW50ZXJlc3RpbmcgbmV3cyBhYm91dCBQcm9udGVyYS4gQnV0LCBpdCdzIGEgc2VjcmV0LiBTc2hoISBBcmUgeW91Li4uIHNpbmdsZT8=,,,,,W05lbGxpb3JkZV0KRGUgcXVhbHF1ZXIgZm9ybWEsIHNlaSBkZSB1bWEgY29pc2EgaW50ZXJlc3NhbnRlIHNvYnJlIFByb250ZXJhLiBNYXMgw6kgc2VncmVkby4gU2hoISBWb2PDqiDDqS4uLiBTb2x0ZWlybz8=,,W05lbGxpb3JkZV0KRGUgdG9kb3MgbW9kb3MsIHPDqSBhbGd1bmFzIG5vdGljaWFzIGludGVyZXNhbnRlcyBzb2JyZSBQcm9udGVyYS4gUGVybywgZXMgdW4gc2VjcmV0by4gwqFTc2hoISDCv0VzdMOhcy4uLiBzb2x0ZXJhPw==
ff8vAg,,W05lbGxpb3JkZV0KSWYgc28sIGdvIHZpc2l0IHRoZSB0YXZlcm4uIEkgbWV0IGEgZ3V5IHRoZXJlIHdobyB0b29rIG1lIHRvIGEgbmljZSBwbGFjZS4gSGUgdG9vayBtZSB0byAndGhlIHBsYWNlJyB0aGF0J3Mgb2ZmLWxpbWl0cyB0byBzaW5nbGVzIQ==,,,,,W05lbGxpb3JkZV0KU2UgZm9yLCB2w6EgdmlzaXRhciBhIHRhdmVybmEuIEVuY29udHJlaSB1bSBjYXJhIGzDoSBxdWUgbWUgbGV2b3UgYSB1bSBsdWdhciBsZWdhbC4gQWgsIHNpbS4gTWUgbGV2b3UgcGFyYSBvIGx1Z2FyIGVtIHF1ZSBvcyBzb2x0ZWlyb3Mgc2UgZGl2ZXJ0ZW0gbWFpcy4uLg==,,W05lbGxpb3JkZV0KU2kgZXMgYXPDrSwgdmUgYSB2aXNpdGFyIGxhIHRhYmVybmEuIEFsbMOtIGNvbm9jw60gYSB1biB0aXBvIHF1ZSBtZSBsbGV2w7MgYSB1biBzaXRpbyBtdXkgYm9uaXRvLiDCoU1lIGxsZXbDsyBhICcnZWwgbHVnYXInJyBwcm9oaWJpZG8gcGFyYSBsb3Mgc29sdGVyb3Mh
fv8vAg,,W05lbGxpb3JkZV0KU2Vhc2lkZSBhcmVhcz8KVGhhdCdzIGZ1bm55LiBJIG1lYW4sIHRoZXJlJ3MgQWxiZXJ0YSBhbmQgYSBmZXcgb3RoZXIgcGxhY2VzIHdoZXJlIHlvdSBjYW4gc2VlIHRoZSBzZWEu,,,,,W05lbGxpb3JkZV0Kw4FyZWFzIGNvc3RlaXJhcz8KRW5ncmHDp2FkbyB2b2PDqiBwZXJndW50YXIuIFNhYmUsIHRlbSBBbGJlcnRhIGUgYWxndW5zIG91dHJvcyBsdWdhcmVzIGRlIG9uZGUgc2UgcG9kZSB2ZXIgbyBtYXIu,,W05lbGxpb3JkZV0Kwr9ab25hcyBjb3N0ZXJhcz8KRXMgY3VyaW9zby4gUXVpZXJvIGRlY2lyLCBoYXkgQWxiZXJ0YSB5IGFsZ3Vub3Mgb3Ryb3MgbHVnYXJlcyBkb25kZSBzZSBwdWVkZSB2ZXIgZWwgbWFyLg==
f/8vAg,,W05lbGxpb3JkZV0KVG8gdGhlIHNvdXRod2VzdCB0aGVyZSdzIEtva29tbyBCZWFjaC4gQnV0IEkgc3VwcG9zZSBpdCdzIHRvbyBkYW5nZXJvdXMgdG8gZ28gdGhlcmUganVzdCB0byB0YWtlIGEgc3Ryb2xsLg==,,,,,W05lbGxpb3JkZV0KQSBzdWRvZXN0ZSB0ZW0gYSBQcmFpYSBLb2tvbW8uIE1hcyBhY2hvIHF1ZSDDqSBwZXJpZ29zbyBkZW1haXMgaXIgbMOhIHPDsyBwcmEgcGFzc2Vhci4=,,W05lbGxpb3JkZV0KQWwgc3Vyb2VzdGUgZXN0w6EgbGEgcGxheWEgZGUgS29rb21vLiBQZXJvIHN1cG9uZ28gcXVlIGVzIGRlbWFzaWFkbyBwZWxpZ3Jvc28gaXIgYWxsw60gc8OzbG8gcGFyYSBkYXIgdW4gcGFzZW8u
gP8vAg,,W05lbGxpb3JkZV0=,,,,,W05lbGxpb3JkZV0=,,W05lbGxpb3JkZV0=
gf8vAg,,S29rb21vIEJlYWNoIGlzIGEgbGFyZ2UgZXhwYW5zZSBvZiBzYW5kLiBUaGUgd2F0ZXIgdGhlcmUgaXMgdGVlbWluZyB3aXRoIHNlYSBsaWZlLCB3aGljaCB5b3UgY2FuIGVuam95IGNhdGNoaW5nLg==,,,,,QSBQcmFpYSBLb2tvbW8gw6kgdW1hIGdyYW5kZSBleHRlbnPDo28gZGUgYXJlaWEuIEEgw6FndWEgZXN0w6EgY2hlaWEgZGUgYW5pbWFpcyBtYXJpbmhvcywgZW50w6NvIHZvY8OqIHBvZGUgc2UgZGl2ZXJ0aXIgY2F0YW5kbyBNb2x1c2Nvcy4=,,TGEgcGxheWEgZGUgS29rb21vIGVzIHVuYSBncmFuIGV4dGVuc2nDs24gZGUgYXJlbmEuIEVsIGFndWEgZXN0w6EgcmVwbGV0YSBkZSB2aWRhIG1hcmluYSwgcXVlIHBvZHLDoSBkaXNmcnV0YXIgY2FwdHVyYW5kby4=
gv8vAg,,W05lbGxpb3JkZV0KSG93ZXZlciwgdGhlcmUgYXJlIGFsd2F5cyBidWxsaWVzIGluIHRoYXQgcGxhY2UuIE9uY2UsIEkgbWV0IGEgc2NhcnktbG9va2luZyBob29kbHVtIHdpdGggc3Bpa3kgcmVkIGhhaXIu,,,,,W05lbGxpb3JkZV0KTWFzIHRlbSBzZW1wcmUgdW5zIHZhbGVudMO1ZXMgbmVzc2UgdGlwbyBkZSBsdWdhci4gVW1hIHZleiwgZW5jb250cmVpIHVtIG1hcmdpbmFsIGJlbSBkdXLDo28sIGNvbSB1bSBjYWJlbG8gcnVpdm8gZXNwZXRhZG8u,,W05lbGxpb3JkZV0KU2luIGVtYmFyZ28sIHNpZW1wcmUgaGF5IG1hdG9uZXMgZW4gZXNlIGx1Z2FyLiBVbmEgdmV6LCBjb25vY8OtIGEgdW4gbWF0w7NuIGRlIGFzcGVjdG8gYXRlcnJhZG9yIGNvbiBlbCBwZWxvIHJvam8gZGUgcHVudGEu
g/8vAg,,SGUgd2FzIGNoZXdpbmcgb24gc29tZXRoaW5nIGFuZCB0aGVuIHNwYXQgaXQgb3V0LiBUaGUgYmlnIGJ1ZmZvb24gbWFuYWdlZCB0byBpbnRpbWlkYXRlIG1lIGludG8gZ2l2aW5nIGhpbSBhbGwgb2YgbXkgWmVueSE=,,,,,RWxlIGVzdGF2YSBtYXN0aWdhbmRvIGFsZ3VtYSBjb2lzYSwgZSBjdXNwaWEgbm8gY2jDo28uIEVzc2UgcGFsaGHDp28gY29uc2VndWl1IG1lIGludGltaWRhciBlIG1lIGZhemVyIGRhciB0b2RvcyBvcyBtZXVzIFplbnlzIQ==,,RXN0YWJhIG1hc3RpY2FuZG8gYWxnbyB5IGx1ZWdvIGxvIGVzY3VwacOzLiDCoUVsIGdyYW4gYnVmw7NuIGNvbnNpZ3Vpw7MgaW50aW1pZGFybWUgcGFyYSBxdWUgbGUgZGllcmEgdG9kbyBtaSBaZW55IQ==
hP8vAg,,W05lbGxpb3JkZV0KXjMzMzMzM1NpZ2guLi5eMDAwMDAwClRoaXMgd29ybGQgaXMgdG9vCmRhbmdlcm91cyBmb3IgYSBmcmFnaWxlCnlvdW5nIGJhcmQu,,,,,W05lbGxpb3JkZV0KXjMzMzMzMypwZmZmLi4uKl4wMDAwMDAKRXN0ZSBtdW5kbyDDqSAKcGVyaWdvc28gZGVtYWlzIHBhcmEKdW0gam92ZW0gZSBmcsOhZ2lsIEJhcmRvLg==,,W05lbGxpb3JkZV0KXjMzMzMzM1N1c3Bpcm8uLi5eMDAwMDAwCkVzdGUgbXVuZG8gZXMgZGVtYXNpYWRvCnBlbGlncm9zbyBwYXJhIHVuIGZyw6FnaWwKam92ZW4gYmFyZG8u
hf8vAg,,QnkgdGhlIHdheSwgQWxiZXJ0YSBkb2Vzbid0IHNlZW0gdG8gaGF2ZSBjaGFuZ2VkLiBUaGUgc3Vua2VuIHNoaXAgbG9va3MgdGhlIHNhbWUgYXMgd2VsbCwgd2l0aCBhbGwgb2YgaXRzIHNrZWxldG9uIHBpcmF0ZXMgYW5kIHdoYXRub3QuIFlvdSBrbm93IGhvdyBpdCBpcy4=,,,,,QSBwcm9ww7NzaXRvLCBwYXJlY2UgcXVlIEFsYmVydGEgbsOjbyBtdWRvdSBuYWRhLiBPIE5hdmlvIE5hdWZyYWdhZG8gdGFtYsOpbSBjb250aW51YSBvIG1lc21vLCBjb20gdG9kb3Mgb3MgUGlyYXRhcyBFc3F1ZWxldG9zIGUgdHVkbyBvIG1haXMuIFZvY8OqIHNhYmUgY29tbyDDqS4=,,UG9yIGNpZXJ0bywgQWxiZXJ0YSBubyBwYXJlY2UgaGFiZXIgY2FtYmlhZG8uIEVsIGJhcmNvIGh1bmRpZG8gdGFtYmnDqW4gcGFyZWNlIGVsIG1pc21vLCBjb24gdG9kb3Mgc3VzIHBpcmF0YXMgZXNxdWVsw6l0aWNvcyB5IGRlbcOhcy4gWWEgc2FiZXMgY8OzbW8gZXMu
