QHdQDA,7JiI7Ja47J6QIEs=,UHJvcGhldCBL,,,,,UHJvZmV0YSBL,,UHJvZmV0YSBL
T3dQDA,W+yYiOyWuOyekCBLXQrshLjruYTsp4DrpbwK7J6h7JWE7IScIOuPvOyngOydmCDsmIHtmLwg7KGw6rCBCjE1MOqwnOulvCDqtaztlbTsmYAg7KO86rKMLg==,W1Byb3BoZXQgS10KSHVudCB0aGUgU2F2YWdlcwphbmQgYnJpbmcgYmFjawoxNTAgUGlnJ3MgU291bCBGcmFnbWVudHMu,,,,,W1Byb2ZldGEgS10KRGVycm90ZSBvcyBTZWx2YWdlbnMKZSB0cmFnYSBwYXJhIG1pbQoxNTAgRnJhZ21lbnRvcyBkZSBBbG1hIFN1w61ub3Mu,,W1Byb2ZldGEgS10KUG9yIGZhdm9yLCBkZXJyb3RhIGEgbG9zIFNhdmFnZXMKeSBjb25zw61ndWVtZQoxNTAgRnJhZ21lbnRvcyBkZSBBbG1hIFBvcmNpbm9zLg==
UHdQDA,W+yYiOyWuOyekCBLXQrqt7gg7KCV64+E652866m0IOu2hOuqhe2eiArrj7zsp4DsnZgg6riw7Jq07J2EIOuwm+ydgCDsgqzrnozsnYQK7LC+64qUIOydmOyLneyXkCDrtoDsobHtlajsnbQg7JeG7J2E6rGw7JW8Lg==,W1Byb3BoZXQgS10KVGhhdCBhbW91bnQgc2hvdWxkIHN1cmVseSBiZQpzdWZmaWNpZW50IGZvciB0aGUgcml0dWFsIHRvIGZpbmQKdGhlIHBlcnNvbiBpbWJ1ZWQgd2l0aCB0aGUgUGlnJ3MgZW5lcmd5Lg==,,,,,W1Byb2ZldGEgS10KQ29tIGVzc2EgcXVhbnRpZGFkZSwgY2VydGFtZW50ZQpzZXLDoSBvIHN1ZmljaWVudGUgcGFyYSBvIHJpdHVhbApkZSBlbmNvbnRyYXIgYSBwZXNzb2EgY29tIGEgZW5lcmdpYSBkbyBQb3Jjby4=,,W1Byb2ZldGEgS10KQ29uIGVzYSBjYW50aWRhZCwgc2VndXJhbWVudGUKc2Vyw6Egc3VmaWNpZW50ZSBwYXJhIGVsIHJpdHVhbApwYXJhIGVuY29udHJhciBhIGxhIHBlcnNvbmEKcXVlIHBvc2VlIGxhIGVuZXJnw61hIGRlbCBjZXJkby4=
UXdQDA,W+yYiOyWuOyekCBLXQrsmIHtmLwg7KGw6rCB7J2EIOyghOu2gCDrqqjsnLzqs6AK64KY66W8IOuLpOyLnCDssL7slYTsmYDso7zquLgg67CU652864SkLg==,W1Byb3BoZXQgS10KSSBob3BlIHlvdSBnYXRoZXIgYWxsIHRoZSBzb3VsIGZyYWdtZW50cwphbmQgY29tZSBmaW5kIG1lIGFnYWluLg==,,,,,W1Byb2ZldGEgS10KRXNwZXJvIHF1ZSB2b2PDqiBjb2xldGUgdG9kb3MKb3MgRnJhZ21lbnRvcyBkZSBBbG1hCmUgbWUgdmlzaXRlIG5vdmFtZW50ZS4=,,W1Byb2ZldGEgS10KRXNwZXJvIHF1ZSByZcO6bmFzIHRvZG9zIGxvcyBGcmFnbWVudG9zIGRlIEFsbWEKeSB2dWVsdmFzIGEgYnVzY2FybWUu
UndQDA,W+yYiOyWuOyekCBLXQrrgpjripQg7JiI7Ja47J6QIEvrnbzqs6Ag7ZWY64SkLAoxMuyngOyLoOydhCDrqqjsi5zqs6Ag7J6I64qUCuyCrOygnOydtOq4sOuPhCDtlZjrqbAsCuyjvOuhnCDsmIjsp4Drqr3snYQg7J207Jqp7ZW0CuuvuOuemOulvCDsmIjsuKHtlZjqs6DripQg7ZWY7KeALg==,W1Byb3BoZXQgS10KSSBhbSBjYWxsZWQgUHJvcGhldCBLLgpJIGFtIGEgcHJpZXN0IHdobyBzZXJ2ZXMKdGhlIDEyIFpvZGlhYyBEZWl0aWVzLAphbmQgSSBtYWlubHkgcHJlZGljdCB0aGUgZnV0dXJlCnVzaW5nIHByb3BoZXRpYyBkcmVhbXMu,,,,,W1Byb2ZldGEgS10KTWV1IG5vbWUgw6kgUHJvZmV0YSBLLApzb3UgdW0gc2FjZXJkb3RlIHF1ZSBzZXJ2ZQpvcyAxMiBTaWdub3MgRGl2aW5vcywKZSBjb3N0dW1vIHByZXZlciBvIGZ1dHVybwp1c2FuZG8gc29uaG9zIHByb2bDqXRpY29zLg==,,W1Byb2ZldGEgS10KTWUgbGxhbWFuIGVsIFByb2ZldGEgSy4KU295IHVuIHNhY2VyZG90ZSBxdWUgc2lydmUKYSBsb3MgMTIgRGlvc2VzIFpvZGlhY2FsZXMsCnkgcHJpbmNpcGFsbWVudGUgdXNvIHN1ZcOxb3MgcHJvZsOpdGljb3MKcGFyYSBwcmVkZWNpciBlbCBmdXR1cm8u
U3dQDA,W+yYiOyWuOyekCBLXQrslrTsoJwg7KCA64WB7JeQIOuTnOuUlOyWtAoxMuyngOyLoOydmCDqs4Tsi5zrpbwg67Cb7JWECuyeoOydhCDsnpDri6TqsIAg7JiI7KeA66q97J2EIOq/qOyWtC4uCuydtOqxtCDsoJXrp5Ag7KSR7JqU7ZWcCuq/iCDsnbgg6rKDIOqwmeyVhCwg6re4656Y7IScIOuCtOqwgArrtoDtg4HtlaAg7IKs656M7J20IO2VhOyalO2VnOuNsC4u,W1Byb3BoZXQgS10KTGFzdCBuaWdodCwgSSBmaW5hbGx5IHJlY2VpdmVkCmEgcmV2ZWxhdGlvbiBmcm9tIHRoZSAxMiBab2RpYWMgRGVpdGllcwphbmQgaGFkIGEgcHJvcGhldGljIGRyZWFtIHdoaWxlIHNsZWVwaW5nLi4KVGhpcyBzZWVtcyBsaWtlIGEgdmVyeSBpbXBvcnRhbnQKZHJlYW0sIHNvIEkgbmVlZApzb21lb25lIHRvIGRvIG1lIGEgZmF2b3IuLg==,,,,,W1Byb2ZldGEgS10KRmluYWxtZW50ZSwgb250ZW0gw6Agbm9pdGUsCnJlY2ViaSB1bWEgcmV2ZWxhw6fDo28gZG9zIDEyIFNpZ25vcyBEaXZpbm9zCmUgdGl2ZSB1bSBzb25obyBwcm9mw6l0aWNvIGVucXVhbnRvIGRvcm1pYS4uLgpQYXJlY2Ugc2VyIHVtIHNvbmhvIG11aXRvIGltcG9ydGFudGUsCmVudMOjbyBwcmVjaXNvIGRlIGFsZ3XDqW0KcGFyYSB1bSBmYXZvci4uLg==,,W1Byb2ZldGEgS10KQW5vY2hlLCBmaW5hbG1lbnRlCnJlY2liw60gdW5hIHJldmVsYWNpw7NuIGRlIGxvcyAxMiBEaW9zZXMgWm9kaWFjYWxlcwp5IHR1dmUgdW4gc3Vlw7FvIHByb2bDqXRpY28gbWllbnRyYXMgZG9ybcOtYS4uLgpQYXJlY2UgdW4gc3Vlw7FvIG11eSBpbXBvcnRhbnRlLAphc8OtIHF1ZSBuZWNlc2l0bwpxdWUgYWxndWllbiBtZSBoYWdhIHVuIGZhdm9yLi4u
VHdQDA,XjhCNDUxM+yYiOyngOuqvV4wMDAwMDDsl5Ag64yA7ZW07IScIOuTo+uKlOuLpC4=,TGlzdGVuIGFib3V0IHRoZSBeOEI0NTEzUHJvcGhldGljIERyZWFtXjAwMDAwMC4=,,,,,T3V2ZSBzb2JyZSBvIF44QjQ1MTNzb25obyBwcm9mw6l0aWNvXjAwMDAwMC4=,,RXNjdWNoYXIgc29icmUgZWwgXjhCNDUxM3N1ZcOxbyBwcm9mw6l0aWNvXjAwMDAwMC4=
VXdQDA,7JiI7Ja47J6QIEvsnZggXjhCNDUxM+u2gO2DgV4wMDAwMDDsnYQg65Ok7Ja067O464uk,SGVhciBQcm9waGV0IEsncyBeOEI0NTEzUmVxdWVzdF4wMDAwMDAu,,,,,T3V2ZSBvIF44QjQ1MTNwZWRpZG9eMDAwMDAwIGRvIFByb2ZldGEgSy4=,,RXNjdWNoYXIgbGEgXjhCNDUxM3NvbGljaXR1ZF4wMDAwMDAgZGVsIFByb2ZldGEgSy4=
VndQDA,W+yYiOyWuOyekCBLXQrqt7jrnpgg6re4IOq/iCDsho3snYAuLgrtko3smpTroa3qs6Ag7JWI65297ZWcIOuTpO2MkC4uCuq3uCDqs7Psl5DshJzripQg662Q65Og7KeAIOuLpArsnbTro6jslrTsp4gg6rKDIOqwmeydgCDripDrgozsnbTsl4jslrQu,W1Byb3BoZXQgS10KV2VsbCwgaW4gdGhhdCBkcmVhbS4uLgpJdCB3YXMgYSByaWNoIGFuZCBjb21mb3J0YWJsZSBwbGFpbi4uCkkgZmVsdCBsaWtlIGFueXRoaW5nCmNvdWxkIGJlIGFjaGlldmVkIHRoZXJlLg==,,,,,W1Byb2ZldGEgS10KQ2VydG8sIG8gc29uaG8gZXJhLi4uCm51bWEgcGxhbsOtY2llIHByw7NzcGVyYSBlIGNvbmZvcnTDoXZlbC4uClBhcmVjaWEgcXVlIHF1YWxxdWVyIGNvaXNhCnBvZGVyaWEgc2UgcmVhbGl6YXIgbmFxdWVsZSBsdWdhci4=,,W1Byb2ZldGEgS10KQnVlbm8sIGVuIGVzZSBzdWXDsW8uLi4KaGFiw61hIHVuYSBsbGFudXJhIHByw7NzcGVyYSB5IGPDs21vZGEuLi4KU2VudMOtYSBxdWUgY3VhbHF1aWVyIGNvc2EKcG9kcsOtYSBsb2dyYXJzZSBhbGzDrS4=
V3dQDA,W+yYiOyWuOyekCBLXQrsspzsspztnogg65Ok7YyQ7J2EIOqxt+qzoCDsnojripTrjbAK6rCR7J6Q6riwIOqygOydgCDtmJXssrTqsIAg64KY7YOA64KY7IScCuuCmOulvCDqs7XqsqntlZjquLAg7Iuc7J6R7ZaI7KeALgrtlZjsp4Drp4wg6re4IOuVjCEg65Ok7YyQ7J20IOyauOumrOuKlArquLDtlajqs7wg7ZWo6ruYIOqygOydgCDtmJXssrTrk6TsnYAK64+E66ed6rCAIOuyhOumrOqzoCDrp5DslZjslrQh,W1Byb3BoZXQgS10KSSB3YXMgd2Fsa2luZyBzbG93bHkgYWNyb3NzIHRoZSBwbGFpbgp3aGVuIHN1ZGRlbmx5IGEgZGFyayBmaWd1cmUgYXBwZWFyZWQKYW5kIHN0YXJ0ZWQgYXR0YWNraW5nIG1lLgpCdXQgdGhlbiEgV2l0aCBhIHdhciBjcnkgdGhhdCBzaG9vayB0aGUgcGxhaW4sCnRoZSBkYXJrIGZpZ3VyZXMKZmxlZCBhbmQgcmFuIGF3YXkh,,,,,W1Byb2ZldGEgS10KRXUgZXN0YXZhIGNhbWluaGFuZG8gbGVudGFtZW50ZSBwZWxhIHBsYW7DrWNpZQpxdWFuZG8sIGRlIHJlcGVudGUsIGZvcm1hcyBuZWdyYXMgYXBhcmVjZXJhbQplIGNvbWXDp2FyYW0gYSBtZSBhdGFjYXIuCk1hcyBuYXF1ZWxlIG1vbWVudG8hIENvbSB1bSBncml0byBkZSBndWVycmEKcXVlIGVjb291IHBlbGEgcGxhbsOtY2llLCBhcyBmb3JtYXMgbmVncmFzCmZ1Z2lyYW0gY29ycmVuZG8h,,W1Byb2ZldGEgS10KQ2FtaW5hYmEgbGVudGFtZW50ZSBwb3IgbGEgbGxhbnVyYQpjdWFuZG8gZGUgcmVwZW50ZSBhcGFyZWNpZXJvbiB1bmFzIHNvbWJyYXMgbmVncmFzCnkgY29tZW56YXJvbiBhIGF0YWNhcm1lLgrCoVBlcm8gZW4gZXNlIG1vbWVudG8hIENvbiB1biBncml0byBkZSBndWVycmEKcXVlIGVzdHJlbWVjacOzIGxhIGxsYW51cmEsCsKhbGFzIHNvbWJyYXMgbmVncmFzIGh1eWVyb24h
WHdQDA,W+yYiOyWuOyekCBLXQrrsJTroZwgMTLsp4Dsi6Ag7KSRCuuPvOyngOydmCDsi6Ag7J207JeI7Ja0IQrrj7zsp4DsnZgg7Iug7J2YIOq4sO2VqOyXkCDqsoDsnYAg7ZiV7LK07J2YCuychO2YkeycvOuhnOu2gO2EsCDslYjsoJXsnYQg65CY7LC+7JWY7KeA66eMCuyWuOygnCDrmJAg64uk7IucIOq3uOufsOydvOydtArrsozslrTsp4jsp4Ag66qo66W464uk64qUIOuKkOuCjOydtCDrk6Tsl4jslrQu,W1Byb3BoZXQgS10KSXQgd2FzIHRoZSBQaWcgRGVpdHksCm9uZSBvZiB0aGUgMTIgWm9kaWFjIERlaXRpZXMhClRoYW5rcyB0byB0aGUgUGlnIERlaXR5J3MgY3J5LCBzdGFiaWxpdHkgd2FzIHJlc3RvcmVkIGZyb20gdGhlIHRocmVhdCBvZiB0aGUgZGFyayBmaWd1cmVzLApidXQgSSBmZWx0IHRoYXQgc3VjaCBhIHRoaW5nCm1pZ2h0IGhhcHBlbiBhZ2FpbiBhdCBhbnkgdGltZS4=,,,,,W1Byb2ZldGEgS10KRXJhIG8gRGV1cyBQb3JjbwplbnRyZSBvcyAxMiBTaWdub3MgRGl2aW5vcyEKR3Jhw6dhcyBhbyBzZXUgZ3JpdG8gZGUgZ3VlcnJhLCByZWN1cGVyZWkgYSBjYWxtYQpkYSBhbWVhw6dhIGRhcyBmb3JtYXMgbmVncmFzLAptYXMgc2VudGkgcXVlIG7Do28gc2FiaWEKcXVhbmRvIGFsZ28gYXNzaW0gcG9kZXJpYSBhY29udGVjZXIgbm92YW1lbnRlLg==,,W1Byb2ZldGEgS10KwqFFcmEgZWwgRGlvcyBDZXJkbwplbnRyZSBsb3MgMTIgRGlvc2VzIFpvZGlhY2FsZXMhCkdyYWNpYXMgYWwgZ3JpdG8gZGUgZ3VlcnJhIGRlbCBEaW9zIENlcmRvLCByZWN1cGVyw6kgbGEgY2FsbWEgZGUgbGEgYW1lbmF6YSBkZSBsYXMgc29tYnJhcywKcGVybyBzZW50w60gcXVlIHVuIGluY2lkZW50ZSBhc8OtCnBvZHLDrWEgdm9sdmVyIGEgb2N1cnJpciBlbiBjdWFscXVpZXIgbW9tZW50by4=
WXdQDA,W+yYiOyWuOyekCBLXQrqt7gg65WMIOyVjOqyjCDrkJjsl4jsp4AsCuyVhCDsnbTqsbQg7JiI7KeA66q97J2064ukIQrtgbAg7ZmY656A7J20IOyVnuycvOuhnArsnbzslrTrgqAg6rKD7J2064ukISDrnbzqs6A=,W1Byb3BoZXQgS10KVGhhdCdzIHdoZW4gSSByZWFsaXplZCwKQWgsIHRoaXMgaXMgYSBwcm9waGV0aWMgZHJlYW0hCkEgZ3JlYXQgY2FsYW1pdHkKd2lsbCBvY2N1ciBpbiB0aGUgZnV0dXJlIQ==,,,,,W1Byb2ZldGEgS10KRm9pIHF1YW5kbyBldSBwZXJjZWJpLAphaCwgZXN0ZSDDqSB1bSBzb25obyBwcm9mw6l0aWNvIQpVbWEgZ3JhbmRlIGNhbGFtaWRhZGUKZXN0w6EgcG9yIHZpciE=,,W1Byb2ZldGEgS10KwqFFbnRvbmNlcyBtZSBkaSBjdWVudGEhCsKhQWgsIGVzdG8gZXMgdW4gc3Vlw7FvIHByb2bDqXRpY28hCsKhU2lnbmlmaWNhIHF1ZSB1bmEgZ3JhbiBjYWxhbWlkYWQKb2N1cnJpcsOhIGVuIGVsIGZ1dHVybyE=
WndQDA,W+yYiOyWuOyekCBLXQrqt7jrpqzqs6DripQg64+87KeA7J2YIOyLoCDqu5jshJwK64K06rKMIOunkO2WiOyWtCEKMTLsp4Dsi6DsnZgg6riw7Jq07J2EIOuwm+ydgArsgqzrnozsnYQg7LC+7JWE7JW8IO2VnOuLpOqzoC4uCuq3uOuemOyVvCDsnbQg7ZmY656A7J2ECuunieydhCDsiJgg7J6I64uk6rOgLi4=,W1Byb3BoZXQgS10KQW5kIHRoZW4gdGhlIFBpZyBEZWl0eQpzcG9rZSB0byBtZSEKV2UgbXVzdCBmaW5kIHRoZSBwZW9wbGUKaW1idWVkIHdpdGggdGhlIGVuZXJneSBvZiB0aGUgMTIgWm9kaWFjIERlaXRpZXMuLgpPbmx5IHRoZW4gY2FuIHdlIHN0b3AKdGhpcyBjYWxhbWl0eS4u,,,,,W1Byb2ZldGEgS10KRSBlbnTDo28gbyBEZXVzIFBvcmNvCm1lIGRpc3NlIQpRdWUgZXUgcHJlY2lzbyBlbmNvbnRyYXIKdW1hIHBlc3NvYSBxdWUgcG9zc3VpIGEgZW5lcmdpYSBkb3MgMTIgU2lnbm9zIERpdmlub3MuLi4KU8OzIGFzc2ltIHBvZGVtb3MKaW1wZWRpciBlc3RhIGNhbGFtaWRhZGUuLg==,,W1Byb2ZldGEgS10KwqFZIGVudG9uY2VzIGVsIERpb3MgQ2VyZG8KbWUgaGFibMOzIQpEaWpvIHF1ZSBkZWLDrWFtb3MgZW5jb250cmFyCmEgbGFzIHBlcnNvbmFzIHF1ZSBwb3NlZW4gbGEgZW5lcmfDrWEKZGUgbG9zIDEyIERpb3NlcyBab2RpYWNhbGVzLi4uClNvbG8gYXPDrSBwb2RyZW1vcyBldml0YXIKZXN0YSBjYWxhbWlkYWQuLi4=
W3dQDA,W+yYiOyWuOyekCBLXQrslYTsp4Eg6re4IOyCrOuejOydmCDsnbTrpoTrj4QsCuyCrOuKlCDqs7Prj4Qg7KCE7ZiAIOuqqOultOyngOunjCwK7J20IOyYiOyngOuqveydgCDrgpjsl5DqsowK6re4IOulvCDssL7slYTslbwg7ZWc64uk6rOgCuunkO2VmOqzoCDsnojslrQhLg==,W1Byb3BoZXQgS10KSSBzdGlsbCBkb24ndCBrbm93IHRoZWlyIG5hbWVzIG9yCndoZXJlIHRoZXkgbGl2ZSBhdCBhbGwsCmJ1dCB0aGlzIHByb3BoZXRpYyBkcmVhbQppcyB0ZWxsaW5nIG1lCnRoYXQgSSBtdXN0IGZpbmQgdGhlbSEu,,,,,W1Byb2ZldGEgS10KQWluZGEgbsOjbyBzYWJlbW9zIG8gbm9tZSBkZWxhLApuZW0gb25kZSB2aXZlLAptYXMgZXN0ZSBzb25obyBwcm9mw6l0aWNvCmVzdMOhIG1lIGRpemVuZG8KcXVlIGRldm8gZW5jb250csOhLWxhIQ==,,W1Byb2ZldGEgS10KVG9kYXbDrWEgbm8gc8OpIHN1cyBub21icmVzLApuaSBkw7NuZGUgdml2ZW4sCnBlcm8gZXN0ZSBzdWXDsW8gcHJvZsOpdGljbwrCoW1lIGRpY2UgcXVlIGRlYm8gZW5jb250cmFybG9zIQ==
XHdQDA,W+yYiOyWuOyekCBLXQrsl63si5wg7J2064yA66Gc64qUIOuLqOyEnOqwgArrhIjrrLQg67aA7KGx7ZW0LCDqt7jrnpjshJwK64KY7J2YIOyYiOyWuCDriqXroKXsnYQg67Cc7ZyY7ZWY64qUCuydmOyLneydhCDthrXtlbQg6re4IOulvCDssL7slYTslbwg7ZW0,W1Byb3BoZXQgS10KQXMgZXhwZWN0ZWQsIHRoZXJlIGFyZSB0b28gZmV3IGNsdWVzIGxpa2UgdGhpcywgc28Kd2UgbXVzdCBmaW5kIHRoZW0gdGhyb3VnaCBhIHJpdHVhbAp3aGVyZSBJIGV4ZXJjaXNlIG15IHByb3BoZXRpYyBhYmlsaXRpZXMu,,,,,W1Byb2ZldGEgS10KQ29tIGNlcnRlemEsIGFzc2ltIGFzIHBpc3RhcyBzw6NvCmluc3VmaWNpZW50ZXMuIFBvcnRhbnRvLApwcmVjaXNvIGVuY29udHLDoS1sYSBhdHJhdsOpcyBkZSB1bSByaXR1YWwKb25kZSBwb3NzbyB1c2FyIG1pbmhhIGhhYmlsaWRhZGUgZGUgcHJvZmVjaWEu,,W1Byb2ZldGEgS10KQ29tbyBwZW5zw6ksIGxhcyBwaXN0YXMgc29uCm11eSBpbnN1ZmljaWVudGVzLiBQb3IgZXNvLApkZWJlbW9zIGVuY29udHJhcmxvcyBtZWRpYW50ZSB1biByaXR1YWwKZW4gZWwgcXVlIHVzbyBtaXMgaGFiaWxpZGFkZXMgZGUgcHJvZmVjw61hLg==
XXdQDA,W+yYiOyWuOyekCBLXQrqt7gg7J2Y7Iud7J2EIO2VmOq4sCDsnITtlbTshJzripQK7J2Y7Iud7JeQIOqwgOyepSDspJHsmpTtlZwK7LC+6rOg7J6QIO2VmOuKlCDrjIDsg4HsnYQK64KY7YOA64K064qUIOusvO2SiCwg65iQ64qUIOycoOyCrO2VnArquLDsmrQsIOyXkOuEiOyngOqwgCDtlYTsmpTtlZjsp4Au,W1Byb3BoZXQgS10KVG8gcGVyZm9ybSB0aGF0IHJpdHVhbCwKd2UgbmVlZCB0aGUgbW9zdCBpbXBvcnRhbnQgdGhpbmcgZm9yIHRoZSByaXR1YWw6CmFuIGl0ZW0gcmVwcmVzZW50aW5nIHRoZSB0YXJnZXQgd2Ugc2VlaywKb3IgYSBzaW1pbGFyIGF1cmEsIGVuZXJneS4=,,,,,W1Byb2ZldGEgS10KUGFyYSByZWFsaXphciBlc3RlIHJpdHVhbCwKcHJlY2lzbyBkbyBpdGVtIG1haXMgY3J1Y2lhbDoKdW0gb2JqZXRvIHF1ZSByZXByZXNlbnRlIG8gYWx2bwpwcm9jdXJhZG8sIG91IHVtYSBlbmVyZ2lhIHNpbWlsYXIsCnVtYSBhdXJhLg==,,W1Byb2ZldGEgS10KUGFyYSByZWFsaXphciBlc2Ugcml0dWFsLApuZWNlc2l0YW1vcyB1biBvYmpldG8gcXVlIHJlcHJlc2VudGUKYWwgb2JqZXRpdm8gcXVlIGJ1c2NhbW9zLApvIHVuYSBlbmVyZ8OtYSBzaW1pbGFyLApxdWUgZXMgbG8gbcOhcyBpbXBvcnRhbnRlLg==
XndQDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg6re46rG4IOq1rO2VmOq4sCDsnITtlbQK7J6Q64Sk7J2YIOuPhOybgOydtCDtlYTsmpTtlZzqsbDslbwu,W1Byb3BoZXQgS10KU28sIHRvIG9idGFpbiB0aGF0LApJIG5lZWQgeW91ciBoZWxwLg==,,,,,W1Byb2ZldGEgS10Kw4kgcGFyYSBjb25zZWd1aXIgaXNzbwpxdWUgcHJlY2lzbyBkYSBzdWEgYWp1ZGEu,,W1Byb2ZldGEgS10KWSBwYXJhIGNvbnNlZ3VpciBlc28sCm5lY2VzaXRvIHR1IGF5dWRhLg==
X3dQDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg7J2067KI7JeQIOq+vCDqv4jsnYAK64+87KeA7J2YIOq4sOyatOydhCDrsJvsnYAK7IKs656M7J2EIOunkO2VmOuKlCDqsoMK7J2065286rOgIOyDneqwge2VtC4=,W1Byb3BoZXQgS10KU28sIHRoZSBkcmVhbSBJIGhhZCB0aGlzIHRpbWUsCkkgYmVsaWV2ZSBpdCByZWZlcnMgdG8KYSBwZXJzb24gaW1idWVkIHdpdGggdGhlIFBpZydzIGVuZXJneS4=,,,,,W1Byb2ZldGEgS10KRW50w6NvLCBhY2hvIHF1ZSBvIHNvbmhvIHF1ZSB0aXZlCnNlIHJlZmVyZSBhIHVtYSBwZXNzb2EKcXVlIHBvc3N1aSBhIGVuZXJnaWEKZG8gUG9yY28u,,W1Byb2ZldGEgS10KQXPDrSBxdWUsIGNyZW8gcXVlIGVsIHN1ZcOxbyBxdWUgdHV2ZSBlc3RhIHZlegpzZSByZWZpZXJlIGEgbGEgcGVyc29uYQpxdWUgcG9zZWUgbGEgZW5lcmfDrWEgZGVsIGNlcmRvLg==
YHdQDA,W+yYiOyWuOyekCBLXQrqt7jrnpjshJwg66eQ7JW8CuuPvOyngOydmCDsmIHtmLwg7KGw6rCB7J20IO2VhOyalO2VnOuNsArrgpjrpbwg64+E7JmAIOyYge2YvCDsobDqsIHsnYQK7LC+7JWEIOykhCDsiJgg7J6I6rKg64qU6rCAPw==,W1Byb3BoZXQgS10KU28sIHlvdSBzZWUsCkkgbmVlZCBQaWcncyBTb3VsIEZyYWdtZW50cy4KQ2FuIHlvdSBoZWxwIG1lCmZpbmQgdGhlIHNvdWwgZnJhZ21lbnRzPw==,,,,,W1Byb2ZldGEgS10KRW50w6NvLCB2ZWphIGJlbSwKcHJlY2lzbyBkZSBGcmFnbWVudG9zIGRlIEFsbWEgU3XDrW5vcy4KVm9jw6ogcG9kZXJpYSBtZSBhanVkYXIKYSBlbmNvbnRyw6EtbG9zPw==,,W1Byb2ZldGEgS10KQXPDrSBxdWUsIHZlcsOhcywKbmVjZXNpdG8gRnJhZ21lbnRvcyBkZSBBbG1hIFBvcmNpbm9zLgrCv1BvZHLDrWFzIGF5dWRhcm1lCmEgZW5jb250cmFybG9zPw==
YXdQDA,67aA7YOB7J2EIOuTpOyWtOykgOuLpC4=,QWdyZWUgdG8gdGhlIHJlcXVlc3Qu,,,,,QWNlaXRhIG8gcGVkaWRvLg==,,QWNlcHRhciBsYSBzb2xpY2l0dWQu
YndQDA,67aA7YOB7J2EIOqxsOygiO2VnOuLpC4=,UmVmdXNlIHRoZSByZXF1ZXN0Lg==,,,,,UmVjdXNhIG8gcGVkaWRvLg==,,UmVjaGF6YXIgbGEgc29saWNpdHVkLg==
Y3dQDA,W+yYiOyWuOyekCBLXQrqs6Drp5nrhKQuCuyXrOq4sCDsmIHtmLzsnZgg67aA7KCB7J2EIOyjvOqyoOuEpArsnbTqsbgg6rCA7KeA6rOgIOyeiOuKlCDsg4Htg5zroZwK64+87KeA7J2YIOyYge2YvOydhCDslrvsnYQg7IiYIOyeiOuKlArrqqzsiqTthLDrpbwg7IKs64Ol7ZW07JW8IO2VmOuEpC4=,W1Byb3BoZXQgS10KVGhhbmsgeW91LgpJJ2xsIGdpdmUgeW91IHRoaXMgU291bCBBbXVsZXQuCldoaWxlIGhvbGRpbmcgdGhpcywKeW91IG11c3QgaHVudCBtb25zdGVycwpmcm9tIHdoaWNoIHlvdSBjYW4gb2J0YWluIFBpZydzIFNvdWxzLg==,,,,,W1Byb2ZldGEgS10KT2JyaWdhZG8uCkFxdWksIHRvbWUgZXN0ZSBBbXVsZXRvIGRhIEFsbWEuClZvY8OqIHByZWNpc2EgY2FycmVnw6EtbG8gY29uc2lnbwplIGNhw6dhciBtb25zdHJvcyBxdWUgcG9zc2FtCmZvcm5lY2VyIEFsbWFzIFN1w61uYXMu,,W1Byb2ZldGEgS10KR3JhY2lhcy4KVGUgZGFyw6kgZXN0ZSBBbXVsZXRvIGRlIEFsbWFzLgpEZWJlcyBsbGV2YXJsbyBjb250aWdvCnkgY2F6YXIgbW9uc3RydW9zCmRlIGxvcyBjdWFsZXMgcHVlZGFzIG9idGVuZXIgYWxtYXMgcG9yY2luYXMu
ZHdQDA,W+yYiOyWuOyekCBLXQrtlITroaDthYzrnbwg6re87LKY7JeQIOyeiOuKlCwK66yY66W064uQIOyCsOunpSDrgqjsqr0g7IKw6riw7Iqt7JeQCuqwgOuptCDshLjruYTsp4Ag67Kg67Kg66W8CuywvuydhCDsiJgg7J6I7J2EIOqyg+ydtOuEpC4=,W1Byb3BoZXQgS10KTmVhciBQcm9udGVyYSwKb24gdGhlIHNvdXRoZXJuIGZvb3RoaWxscyBvZiB0aGUgTXlvbG5pciBNb3VudGFpbnMsCnlvdSBzaG91bGQgYmUgYWJsZSB0byBmaW5kClNhdmFnZSBCZWJlcy4=,,,,,W1Byb2ZldGEgS10KUGVydG8gZGUgUHJvbnRlcmEsCm5vIHNvcMOpIHN1bCBkbyBNb250ZSBNam9sbmlyLAp2b2PDqiBwb2RlcsOhIGVuY29udHJhcgpvcyBCZWLDqnMgU2VsdmFnZW5zLg==,,W1Byb2ZldGEgS10KUHVlZGVzIGVuY29udHJhciBTYXZhZ2UgQmViZXMKZW4gbGFzIGxhZGVyYXMgc3VyIGRlIGxhcyBNb250YcOxYXMgTWpvbG5pciwKY2VyY2EgZGUgUHJvbnRlcmEu
