oGUzAw,,TW9uaw==,,,,,TW9uZ2U=,,TW9uamU=
q2UzAw,,W01vbmtdCklmIHlvdSBkb24ndCB3YW50IHRvLCB5b3UgY2FuIGxlYXJuIENoaSBJbmplY3Rpb24gb24geW91ciBvd24u,,,,,W01vbmdlXQpTZSB2b2PDqiBuw6NvIHF1aXNlciwgcG9kZSBhcHJlbmRlciBJbmplw6fDo28gZGUgQ2hpIHBvciBjb250YSBwcsOzcHJpYS4=,,W01vbmplXQpTaSBubyBxdWllcmVzLCBwdWVkZXMgYXByZW5kZXIgSW55ZWNjacOzbiBkZSBDaGkgcG9yIHR1IGN1ZW50YS4=
rGUzAw,,UGxlYXNlIHRlYWNoIG1lIFBhbHRhLg==,,,,,UG9yIGZhdm9yLCBlbnNpbmUtbWUgUGFsdGEu,,UG9yIGZhdm9yLCBlbnPDqcOxYW1lIFBhbHRhLg==
rWUzAw,,W01vbmtdCldoYXQ/IFlvdSB3YW50IG1lIHRvIHRlYWNoIHlvdSBeRkYwMDAwUGFsdGFeMDAwMDAwPw==,,,,,W01vbmdlXQpPIHF1w6o/IFZvY8OqIHF1ZXIgcXVlIGV1IGxoZSBlbnNpbmUgXkZGMDAwMFBhbHRhXjAwMDAwMD8=,,W01vbmplXQrCv1F1w6k/IMK/UXVpZXJlcyBxdWUgdGUgZW5zZcOxZSBeRkYwMDAwUGFsdGFeMDAwMDAwPw==
rmUzAw,,W01vbmtdClRoZXJlIGFyZSB0d28gcHJvYmxlbXMu,,,,,W01vbmdlXQpFeGlzdGVtIGRvaXMgcHJvYmxlbWFzLg==,,W01vbmplXQpIYXkgZG9zIHByb2JsZW1hcy4=
r2UzAw,,W01vbmtdCkZpcnN0LCB0aG9zZSB3aG8gaGF2ZW4ndCBsZWFybmVkIENoaSBJbmplY3Rpb24gY2Fubm90IHVzZSBQYWx0YS4gSSB0b2xkIHlvdSB0aGlzIGJlZm9yZSwgc28geW91IGtub3cgaXQgd2VsbCwgcmlnaHQ/,,,,,W01vbmdlXQpQcmltZWlybywgYXF1ZWxlcyBxdWUgbsOjbyBhcHJlbmRlcmFtIEluamXDp8OjbyBkZSBDaGkgbsOjbyBwb2RlbSB1c2FyIFBhbHRhLiBFdSBsaGUgZGlzc2UgaXNzbyBhbnRlcywgZW50w6NvIHZvY8OqIHNhYmUgYmVtLCBjZXJ0bz8=,,W01vbmplXQpQcmltZXJvLCBhcXVlbGxvcyBxdWUgbm8gaGFuIGFwcmVuZGlkbyBJbnllY2Npw7NuIGRlIENoaSBubyBwdWVkZW4gdXNhciBQYWx0YS4gVGUgbG8gZGlqZSBhbnRlcywgYXPDrSBxdWUgbG8gc2FiZXMgYmllbiwgwr92ZXJkYWQ/
sGUzAw,,W01vbmtdCkFuZCBzZWNvbmQsIEkgY2FuJ3QganVzdCB0ZWFjaCBhIHN0cm9uZyB0ZWNobmlxdWUgbGlrZSBQYWx0YSB0byBzb21lb25lIHdobyBkb2Vzbid0IGhhdmUgdHJ1ZSBzdHJlbmd0aC4gSG93IGRvIEkga25vdyB3aGF0IHdpbGwgaGFwcGVuIGlmIEkgdGVhY2ggaXQgdG8gc29tZW9uZSB3aXRoIGNvcnJ1cHRlZCBwb3dlcj8=,,,,,W01vbmdlXQpFIHNlZ3VuZG8sIG7Do28gcG9zc28gc2ltcGxlc21lbnRlIGVuc2luYXIgdW1hIHTDqWNuaWNhIGZvcnRlIGNvbW8gUGFsdGEgcGFyYSBhbGd1w6ltIHF1ZSBuw6NvIHRlbSB2ZXJkYWRlaXJhIGZvcsOnYS4gQ29tbyB2b3Ugc2FiZXIgbyBxdWUgYWNvbnRlY2Vyw6Egc2UgZXUgZW5zaW5hciBhIGFsZ3XDqW0gY29tIHBvZGVyIGNvcnJvbXBpZG8/,,W01vbmplXQpZIHNlZ3VuZG8sIG5vIHB1ZWRvIHNpbXBsZW1lbnRlIGVuc2XDsWFyIHVuYSB0w6ljbmljYSBmdWVydGUgY29tbyBQYWx0YSBhIGFsZ3VpZW4gcXVlIG5vIHRpZW5lIHZlcmRhZGVyYSBmdWVyemEuIMK/Q8OzbW8gdm95IGEgc2FiZXIgbG8gcXVlIHN1Y2VkZXLDoSBzaSBzZSBsYSBlbnNlw7FvIGEgYWxndWllbiBjb24gcG9kZXIgY29ycm9tcGlkbz8=
sWUzAw,,W01vbmtdClRoZSBmaXJzdCBpcyB0cnVseSB1bmF2b2lkYWJsZSwgYW5kIGZvciB0aGUgc2Vjb25kLi4uIGhtbS4gV2UgYXJlIHRlc3Rpbmcgd2hldGhlciB5b3UgdHJ1bHkgdXNlIHBvd2VyIGZvciB0aGUgc2FrZSBvZiBwZW9wbGUu,,,,,W01vbmdlXQpPIHByaW1laXJvIMOpIHZlcmRhZGVpcmFtZW50ZSBpbmV2aXTDoXZlbCwgZSBwYXJhIG8gc2VndW5kby4uLiBobW0uIEVzdGFtb3MgdGVzdGFuZG8gc2Ugdm9jw6ogdmVyZGFkZWlyYW1lbnRlIHVzYSBvIHBvZGVyIGVtIHByb2wgZGFzIHBlc3NvYXMu,,W01vbmplXQpFbCBwcmltZXJvIGVzIHZlcmRhZGVyYW1lbnRlIGluZXZpdGFibGUsIHkgcGFyYSBlbCBzZWd1bmRvLi4uIGhtbS4gRXN0YW1vcyBwcm9iYW5kbyBzaSByZWFsbWVudGUgdXNhcyBlbCBwb2RlciBlbiBiZW5lZmljaW8gZGUgbGFzIHBlcnNvbmFzLg==
smUzAw,,W01vbmtdCllvdSBtdXN0IGhhdmUgYmVlbiBhdHRhY2tlZCBieSBtYW55IHBsYW50cyBvbiB5b3VyIHdheSBoZXJlLiBNYW5kcmFnb3Jhcywgd2hpY2ggYXR0YWNrIHlvdSB3aGlsZSB5b3UncmUganVzdCBtaW5kaW5nIHlvdXIgb3duIGJ1c2luZXNzLCBhcmUgdHJ1bHkgdHJvdWJsZXNvbWUu,,,,,W01vbmdlXQpWb2PDqiBkZXZlIHRlciBzaWRvIGF0YWNhZG8gcG9yIG11aXRhcyBwbGFudGFzIG5vIHNldSBjYW1pbmhvIGF0w6kgYXF1aS4gTWFuZHLDoWdvcmFzLCBxdWUgYXRhY2FtIHZvY8OqIGVucXVhbnRvIGVzdMOhIGFwZW5hcyBjdWlkYW5kbyBkYSBzdWEgdmlkYSwgc8OjbyB2ZXJkYWRlaXJhbWVudGUgcHJvYmxlbcOhdGljYXMu,,W01vbmplXQpEZWJlcyBoYWJlciBzaWRvIGF0YWNhZG8gcG9yIG11Y2hhcyBwbGFudGFzIGVuIHR1IGNhbWlubyBoYXN0YSBhcXXDrS4gTGFzIE1hbmRyw6Fnb3JhcywgcXVlIHRlIGF0YWNhbiBtaWVudHJhcyBlc3TDoXMgb2N1cMOhbmRvdGUgZGUgdHVzIHByb3Bpb3MgYXN1bnRvcywgc29uIHZlcmRhZGVyYW1lbnRlIHByb2JsZW3DoXRpY2FzLg==
s2UzAw,,W01vbmtdCkRlZmVhdGluZyB0aGUgdmljaW91cyBwbGFudHMgdGhhdCBvbmx5IGhhcm0gb3RoZXIgdHJhdmVsZXJzIHByb3ZlcyB0aGF0IHlvdSBoYXZlIGJvdGggc3RyZW5ndGggYW5kIGEga2luZCBoZWFydCB0aGF0IGNvbnNpZGVycyBvdGhlciB0cmF2ZWxlcnMu,,,,,W01vbmdlXQpEZXJyb3RhciBhcyBwbGFudGFzIHZpY2lvc2FzIHF1ZSBhcGVuYXMgcHJlanVkaWNhbSBvdXRyb3MgdmlhamFudGVzIHByb3ZhIHF1ZSB2b2PDqiB0ZW0gZm9yw6dhIGUgdW0gY29yYcOnw6NvIGJvbmRvc28gcXVlIGNvbnNpZGVyYSBvdXRyb3MgdmlhamFudGVzLg==,,W01vbmplXQpEZXJyb3RhciBhIGxhcyBwbGFudGFzIHZpY2lvc2FzIHF1ZSBzb2xvIGRhw7FhbiBhIG90cm9zIHZpYWplcm9zIGRlbXVlc3RyYSBxdWUgdGllbmVzIGZ1ZXJ6YSB5IHVuIGNvcmF6w7NuIGJvbmRhZG9zbyBxdWUgY29uc2lkZXJhIGEgb3Ryb3MgdmlhamVyb3Mu
tGUzAw,,W01vbmtdCldlbGwsIEkgY2FuJ3QgZXhhY3RseSBzYXksICdKdXN0IHRoaXMgbWFueSBpcyBlbm91Z2ghJyBidXQgaWYgSSBoYWQgdG8gc2V0IGEgbnVtYmVyLCBicmluZ2luZyBeRkYwMDAwMjAgU3RlbXNeMDAwMDAwIGFuZCBeRkYwMDAwMyBTaG9vdHNeMDAwMDAwIHdvdWxkIHNob3cgc29tZSBzaW5jZXJpdHksIEkgdGhpbmsu,,,,,W01vbmdlXQpCZW0sIG7Do28gcG9zc28gZXhhdGFtZW50ZSBkaXplciAnQXBlbmFzIGVzdGEgcXVhbnRpZGFkZSDDqSBzdWZpY2llbnRlIScgbWFzIHNlIGV1IHRpdmVzc2UgcXVlIGRlZmluaXIgdW0gbsO6bWVybywgdHJhemVyIF5GRjAwMDAyMCBDYXVsZXNeMDAwMDAwIGUgXkZGMDAwMDMgQnJvdG9zXjAwMDAwMCBtb3N0cmFyaWEgYWxndW1hIHNpbmNlcmlkYWRlLCBldSBhY2hvLg==,,W01vbmplXQpCdWVubywgbm8gcHVlZG8gZGVjaXIgZXhhY3RhbWVudGUgJ8KhU29sbyBlc3RhIGNhbnRpZGFkIGVzIHN1ZmljaWVudGUhJywgcGVybyBzaSB0dXZpZXJhIHF1ZSBlc3RhYmxlY2VyIHVuIG7Dum1lcm8sIHRyYWVyIF5GRjAwMDAyMCBUYWxsb3NeMDAwMDAwIHkgXkZGMDAwMDMgQnJvdGVzXjAwMDAwMCBtb3N0cmFyw61hIGFsZ28gZGUgc2luY2VyaWRhZCwgY3Jlby4=
tWUzAw,,W01vbmtdCldlbGwuLi4gbm90IHRoYXQgdGhpcyB0ZXN0IG9mIHJpZ2h0ZW91cyBwb3dlciBtZWFucyBhbnl0aGluZyBub3cgYW55d2F5LiBFdmVuIGlmIHlvdSBwYXNzIHRoZSB0ZXN0LCBzaW5jZSB5b3UgY2FuJ3QgaW5qZWN0IGNoaSwgbGVhcm5pbmcgUGFsdGEgd291bGQgYmUuLi4=,,,,,W01vbmdlXQpCZW0uLi4gbsOjbyBxdWUgZXN0ZSB0ZXN0ZSBkZSBwb2RlciBqdXN0byBzaWduaWZpcXVlIGFsZ28gYWdvcmEgZGUgcXVhbHF1ZXIgZm9ybWEuIE1lc21vIHF1ZSB2b2PDqiBwYXNzZSBubyB0ZXN0ZSwgasOhIHF1ZSBuw6NvIHBvZGUgaW5qZXRhciBjaGksIGFwcmVuZGVyIFBhbHRhIHNlcmlhLi4u,,W01vbmplXQpCdWVuby4uLiBubyBlcyBxdWUgZXN0YSBwcnVlYmEgZGUgcG9kZXIganVzdG8gc2lnbmlmaXF1ZSBhbGdvIGFob3JhIGRlIHRvZG9zIG1vZG9zLiBJbmNsdXNvIHNpIHBhc2FzIGxhIHBydWViYSwgY29tbyBubyBwdWVkZXMgaW55ZWN0YXIgY2hpLCBhcHJlbmRlciBQYWx0YSBzZXLDrWEuLi4=
tmUzAw,,W01vbmtdClNvIGZvcmdldCBhYm91dCBQYWx0YS4gSG5nLi4uIEhvdyBjYW4gSSBzcHJlYWQgQ2hpIEluamVjdGlvbiB0byBNb25rcz8=,,,,,W01vbmdlXQpFbnTDo28gZXNxdWXDp2EgbyBQYWx0YS4gSG5nLi4uIENvbW8gcG9zc28gZXNwYWxoYXIgYSBJbmplw6fDo28gZGUgQ2hpIHBhcmEgb3MgTW9uZ2VzPw==,,W01vbmplXQpBc8OtIHF1ZSBvbHbDrWRhdGUgZGUgUGFsdGEuIEhuZy4uLiDCv0PDs21vIHB1ZWRvIGRpZnVuZGlyIGxhIElueWVjY2nDs24gZGUgQ2hpIGEgbG9zIE1vbmplcz8=
t2UzAw,,W01vbmtdCi4uLlBlcnNpc3RlbnQgZmVsbG93LiBZZXMuIDIwIFN0ZW1zIGFuZCBhdCBsZWFzdCAzIFNob290cy4gVGhhdCBjZXJ0YWlubHkgcHJvdmVzIHlvdSd2ZSBkZWZlYXRlZCBtYW55IE1hbmRyYWdvcmFzLiBJdCBnb2VzIHdpdGhvdXQgc2F5aW5nIHRoYXQgeW91IGhhdmUgcHJvdmVuIHlvdSBwb3NzZXNzIHJpZ2h0ZW91cyBwb3dlci4=,,,,,W01vbmdlXQouLi5TdWplaXRvIHBlcnNpc3RlbnRlLiBTaW0uIDIwIENhdWxlcyBlIHBlbG8gbWVub3MgMyBCcm90b3MuIElzc28gY2VydGFtZW50ZSBwcm92YSBxdWUgdm9jw6ogZGVycm90b3UgbXVpdGFzIE1hbmRyw6Fnb3Jhcy4gTmVtIMOpIHByZWNpc28gZGl6ZXIgcXVlIHZvY8OqIHByb3ZvdSBwb3NzdWlyIHBvZGVyIGp1c3RvLg==,,W01vbmplXQouLi5TdWpldG8gcGVyc2lzdGVudGUuIFPDrS4gMjAgVGFsbG9zIHkgYWwgbWVub3MgMyBCcm90ZXMuIEVzbyBjaWVydGFtZW50ZSBwcnVlYmEgcXVlIGhhcyBkZXJyb3RhZG8gYSBtdWNoYXMgTWFuZHLDoWdvcmFzLiBObyBoYWNlIGZhbHRhIGRlY2lyIHF1ZSBoYXMgZGVtb3N0cmFkbyBwb3NlZXIgdW4gcG9kZXIganVzdG8u
uGUzAw,,W01vbmtdCkJ1dCBzbyB3aGF0PyBVbmxlc3MgdGhhdCBpZGlvdCBzb21ld2hlcmUgc3ByZWFkcyBDaGkgSW5qZWN0aW9uIHRvIG90aGVycywgZXZlbiBpZiBJIHRlYWNoIHlvdSBhYm91dCBQYWx0YSwgaXQncyBqdXN0IHRoZW9yeS4=,,,,,W01vbmdlXQpNYXMgZSBkYcOtPyBBIG1lbm9zIHF1ZSBhcXVlbGUgaWRpb3RhIGVtIGFsZ3VtIGx1Z2FyIGVzcGFsaGUgYSBJbmplw6fDo28gZGUgQ2hpIHBhcmEgb3V0cm9zLCBtZXNtbyBxdWUgZXUgbGhlIGVuc2luZSBzb2JyZSBQYWx0YSwgw6kgYXBlbmFzIHRlb3JpYS4=,,W01vbmplXQrCv1Blcm8gZGUgcXXDqSBzaXJ2ZT8gQSBtZW5vcyBxdWUgZXNlIGlkaW90YSBlbiBhbGfDum4gbHVnYXIgZGlmdW5kYSBsYSBJbnllY2Npw7NuIGRlIENoaSBhIG90cm9zLCBpbmNsdXNvIHNpIHRlIGVuc2XDsW8gc29icmUgUGFsdGEsIGVzIHNvbG8gdGVvcsOtYS4=
uWUzAw,,W01vbmtdCkV2ZW4gaWYgeW91IGtub3cgdGhlIHRoZW9yeSB3ZWxsLCBpZiB5b3UgY2FuJ3QgYWN0dWFsbHkgbWFuaXB1bGF0ZSB5b3VyIGludGVybmFsIGVuZXJneSBwcm9wZXJseSwgeW91J2xsIGp1c3QgaGF2ZSB0aGVvcmV0aWNhbCBrbm93bGVkZ2UgYnV0IHdvbid0IGJlIGFibGUgdG8gYWN0dWFsbHkgZG8gaXQu,,,,,W01vbmdlXQpNZXNtbyBxdWUgdm9jw6ogY29uaGXDp2EgYmVtIGEgdGVvcmlhLCBzZSBuw6NvIHB1ZGVyIHJlYWxtZW50ZSBtYW5pcHVsYXIgc3VhIGVuZXJnaWEgaW50ZXJuYSBhZGVxdWFkYW1lbnRlLCB2b2PDqiB0ZXLDoSBhcGVuYXMgY29uaGVjaW1lbnRvIHRlw7NyaWNvLCBtYXMgbsOjbyBzZXLDoSBjYXBheiBkZSByZWFsbWVudGUgZmF6w6otbG8u,,W01vbmplXQpJbmNsdXNvIHNpIGNvbm9jZXMgYmllbiBsYSB0ZW9yw61hLCBzaSBubyBwdWVkZXMgcmVhbG1lbnRlIG1hbmlwdWxhciB0dSBlbmVyZ8OtYSBpbnRlcm5hIGFkZWN1YWRhbWVudGUsIHNvbG8gdGVuZHLDoXMgY29ub2NpbWllbnRvIHRlw7NyaWNvIHBlcm8gbm8gcG9kcsOhcyBoYWNlcmxvIHJlYWxtZW50ZS4=
