AAlyDA,,VmVya2hhc2Vs,,,,,VmVya2hhc2Vs,,VmVya2hhc2Vs
CwlyDA,,W1ZlcmtoYXNlbF0KTm90IHRlYW0gcGxheWVycywgdGhvc2UuCllvdSBzaG91bGQgbG9vayBhcm91bmQgYW5kIGZpbmQgd2hlcmUgdGhlIGRhcmsgZWxlbWVudGFsIHJlYWN0cy4=,,,,,W1ZlcmtoYXNlbF0KVG9kbyBtdW5kbyBmZXogbyBxdWUgcXVpcy4KVm9jw6ogZmljYSBkZSBvbGhvIG5vcyBhcnJlZG9yZXMgZSB0ZW50YSBhY2hhciB1bSBsdWdhciBvbmRlIG8gRWxlbWVudGFsIFNvbWJyaW8gcmVhamEu,,W1ZlcmtoYXNlbF0KVG9kb3MgaGFjZW4gbG8gcXVlIGxlcyBkYSBsYSBnYW5hLgpUw7ogZWNoYSB1biB2aXN0YXpvIHBvciBhaMOtIHkgYnVzY2EgYWxnw7puIGx1Z2FyIGRvbmRlIGVsIGVzcMOtcml0dSBkZSBsYSBvc2N1cmlkYWQgcmVhY2Npb25lLg==
DAlyDA,,W1ZlcmtoYXNlbF0KRmluZCB0aGUgc3BvdCBhbmQgc2lnbmFsIHVzLiBXZSdsbCBiZSB0aGVyZSBhdCBvbmNlLg==,,,,,W1ZlcmtoYXNlbF0KUXVhbmRvIGVuY29udHJhciBvIGx1Z2FyIGUgZW52aWFyIG8gc2luYWwsIGlyZWkgY29ycmVuZG8u,,W1ZlcmtoYXNlbF0KQ3VhbmRvIGVuY3VlbnRyZXMgZWwgbHVnYXIgeSBtZSBlbnbDrWVzIHVuYSBzZcOxYWwsIG1lIGRlc3BsYXphcsOpIGlubWVkaWF0YW1lbnRlIGhhY2lhIGFsbMOtLg==
DQlyDA,,W1ZlcmtoYXNlbF0KWW91IHNob3VsZCBsb29rIGFyb3VuZCBhbmQgZmluZCB3aGVyZSB0aGUgZGFyayBlbGVtZW50YWwgcmVhY3RzLgpJZiB5b3UgZmluZCBpdCwgc2lnbmFsIHVzLiBXZSdsbCBiZSB0aGVyZSBhdCBvbmNlLg==,,,,,W1ZlcmtoYXNlbF0KVm9jw6ogZmljYSBkZSBvbGhvIG5vcyBhcnJlZG9yZXMgZSBwcm9jdXJhIHBvciB1bSBsdWdhciBvbmRlIG8gRWxlbWVudGFsIFNvbWJyaW8gcmVhamEuClF1YW5kbyBlbmNvbnRyYXIgbyBsdWdhciBlIG1hbmRhciB1bSBzaW5hbCwgZXUgdm91IHByYSBsw6EgbmEgaG9yYS4=,,W1ZlcmtoYXNlbF0KVMO6IGVjaGEgdW4gdmlzdGF6byBwb3IgYWjDrSB5IGJ1c2NhIHVuIGx1Z2FyIGRvbmRlIHJlYWNjaW9uZSBlbCBlc3DDrXJpdHUgZGUgbGEgb3NjdXJpZGFkLgpDdWFuZG8gZW5jdWVudHJlcyBlbCBsdWdhciB5IG1lIGVudsOtZXMgdW5hIHNlw7FhbCwgbWUgZGVzcGxhemFyw6kgaGFjaWEgYWxsw60gZGUgaW5tZWRpYXRvLg==
DglyDA,,RG9vbWs=,,,,,RHVtaw==,,RHVtaw==
DwlyDA,,U28sIHdoYXQgYXJlIHdlIGdvaW5nIHRvIGRvIG5vdz8=,,,,,RW50w6NvLCBvIHF1ZSB2YW1vcyBmYXplciBhZ29yYT8=,,wr9ZIGFob3JhIHF1w6kgaGFjZW1vcz8=
EAlyDA,,TWF5c3NlbA==,,,,,TWF5c3NlbA==,,TWVpc2Vs
EQlyDA,,TG9uZyB0aW1lIG5vIHNlZS4=,,,,,SMOhIHF1YW50byB0ZW1wby4uLg==,,Q3XDoW50byB0aWVtcG8gc2luIHZlcm5vcy4=
EglyDA,,U2hhZG93,,,,,U29tYnJh,,U29tYnJh
EwlyDA,,VGhpcyBzcG90IGxvb2tzIGdvb2Qu,,,,,QWNobyBxdWUgYXF1aSDDqSB1bSBib20gbHVnYXIh,,wqFFc3RlIGx1Z2FyIGVzdMOhIGJpZW4h
FAlyDA,,LSBZb3UncmUgY2FycnlpbmcgdG9vIG1hbnkgaXRlbXMgdG8gcHJvY2VlZCB3aXRoIHRoaXMgcXVlc3QuIC0=,,,,,LSBOw6NvIGTDoSBwcmEgY29udGludWFyIGEgbWlzc8OjbyBwb3JxdWUgdm9jw6ogcG9zc3VpIG11aXRvcyBpdGVucy4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zIHkgbm8gcHVlZGVzIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4gLQ==
FQlyDA,,VGhlIENyeXN0YWxzIG9mIERhcmtuZXNzIGFuZCBEYXJrIFBpZWNlcyBpbnNpZGUgbXkgcG9ja2V0IHJlYWN0ZWQu,,,,,T3MgQ3Jpc3RhaXMgZGEgRXNjdXJpZMOjbyBlIG9zIEZyYWdtZW50b3MgU29tYnJpb3MgcXVlIGVzdGF2YW0gY29taWdvIHJlYWdpcmFtLg==,,RWwgY3Jpc3RhbCBkZSBsYSBvc2N1cmlkYWQgeSBlbCBmcmFnbWVudG8gZGUgbGEgb3NjdXJpZGFkIHF1ZSBndWFyZGFiYSBlbiBtaSBwZWNobyByZWFjY2lvbmFyb24u
FglyDA,,SSdtIGJhY2sh,,,,,RXN0ZSBjb3JwbyByZXNzdXNjaXRvdSE=,,wqFFc3RlIGN1ZXJwbywgcmVzdWNpdGEh
FwlyDA,,V2hhdCdzIHRoaXMgZW5lcmd5Pw==,,,,,UXVlIGVuZXJnaWEgw6kgZXNzYT8=,,wr9RdcOpIGVzIGVzdGEgZW5lcmfDrWE/
GAlyDA,,V2hhdCdzIGdvaW5nIG9uPw==,,,,,TyBxdWUgw6kgaXNzbz8gTyBxdWUgZXN0w6EgYWNvbnRlY2VuZG8/,,wr9RdcOpIHBhc2E/IMK/UXXDqSBlc3TDoSBwYXNhbmRvPw==
GQlyDA,,W01heXNzZWxdCkRhcmt5ISBMb25nIHRpbWUgbm8gc2VlIQ==,,,,,W01heXNzZWxdClRyZXZvc28/ISBIw6EgcXVhbnRvIHRlbXBvIQ==,,W01laXNlbF0KwqFFb2R1bWkhIMKhQ3XDoW50byB0aWVtcG8gc2luIHZlcnRlIQ==
GglyDA,,W0JsYWNreV0KT29vaD8gVGhhdCdzIGEgbmFtZSBJIGhhdmVuJ3QgaGVhcmQgaW4gYSB3aGlsZS4KQnV0IG5vdywgdGhpcyBib2R5J3MgbmFtZSBpcyBCbGFja3kuClNvbWUgeW91bmcgaHVtYW5zIGdhdmUgbWUgdGhpcyBwcmVjaW91cyBuYW1lLg==,,,,,W1Z1bHRpbmhvXQpUcmV2b3NvPyBGYXogdGVtcG8gcXVlIG7Do28gb3XDp28gZXNzZSBub21lLgpNYXMgYWdvcmEgbyBub21lIGRlc3RlIGNvcnBvIMOpIFZ1bHRpbmhvLgrDiSB1bSBub21lIHByZWNpb3NvIHF1ZSBhcyBjcmlhbsOnYXMgaHVtYW5hcyBtZSBkZXJhbS4=,,W0trYW1hbi1pXQrCv09oPyBIYWNlIHRpZW1wbyBxdWUgbm8gb2lnbyBlc2Ugbm9tYnJlLgpQZXJvIGFob3JhIG1pIG5vbWJyZSBlcyBLa2FtYW4taS4KTG9zIGh1bWFub3MgcGVxdWXDsW9zIG1lIHB1c2llcm9uIHVuIG5vbWJyZSBwcmVjaW9zby4=
GwlyDA,,W0JsYWNreV0KV2hldyEgQnkgdGhlIHdheSwgd2hhdCBraW5kIG9mIHBsYWNlIGlzIHRoaXM/IEl0J3MgcHJldHR5IG5pY2UuCkNhbiBJIHN0YXkgaGVyZSBmb3IgYSB3aGlsZT8=,,,,,W1Z1bHRpbmhvXQpVZmEuLi4gRW5maW0sIHF1ZSBsdWdhciDDqSBlc3NlIGFxdWk/IMOJIGJlbSBsZWdhbCwgbsOpPwpQb3IgZW5xdWFudG8sIHBvc3NvIGZhemVyIGRpc3NvIG1ldSBsYXI/,,W0trYW1hbi1pXQpVZi4uLiBQb3IgY2llcnRvLCDCv3F1w6kgZXMgZXN0bz8gwr9FcyB1biBsdWdhciBnZW5pYWw/CsK/UHVlZG8gdXNhciBlc3RvIGNvbW8gbWkgbW9yYWRhIHBvciB1biB0aWVtcG8/
HAlyDA,,W0Rvb21rXQpXaGF0J3MgdGhpcz8gVGhpcyBkYXJrIHRoaW5nLgpJcyB0aGlzIHRoZSBkYXJrIGVsZW1lbnRhbD8KSXQgbG9va3MgcHJldHR5IGludGVyZXN0aW5nLi4uLg==,,,,,W0R1bWtdCk8gcXVlIMOpIGlzc28/IEVzc2EgY29pc2EgdG9kYSBzb21icmlhPwpTZXLDoSBxdWUgw6kgbyB0YWwgRWxlbWVudGFsIFNvbWJyaW8/ClRlbSB1bWEgYXBhcsOqbmNpYSBiZW0gZXN0cmFuaGEuLi4=,,W0R1bWtdCsK/UXXDqSBlcyBlc3RvPyDCv0VzdGEgY29zYSBuZWdyYT8Kwr9FcyBlc3RlIGVsIGVzcMOtcml0dSBkZSBsYSBvc2N1cmlkYWQ/ClRpZW5lIHVuIGFzcGVjdG8gY3VyaW9zby4uLg==
HQlyDA,,W1ZlcmtoYXNlbF0KVGhpcyBwbGFjZSBpcyBwcml2YXRlIHByb3BlcnR5LCBhbnl3YXkuIFBlb3BsZSBjYW4ndCBjb21lIGluIGhlcmUgYXMgdGhleSBwbGVhc2UuIFlvdSBjYW4gc3RheSBmb3IgYXMgbG9uZyBhcyB5b3Ugd2FudC4=,,,,,W1ZlcmtoYXNlbF0KRGUgcXVhbHF1ZXIgZm9ybWEsIGVzdGUgw6kgdW0gbHVnYXIgY29tIGFjZXNzbyByZXN0cml0bywgb25kZSBuaW5ndcOpbSBwb2RlIGVudHJhciwgZW50w6NvIGZpcXVlIMOgIHZvbnRhZGUgcG9yIHF1YW50byB0ZW1wbyBxdWlzZXIu,,W0Jlcmthc2VsXQpEZSB0b2RvcyBtb2RvcywgZXN0ZSBlcyB1biBsdWdhciBhbCBxdWUgbmFkaWUgcHVlZGUgZW50cmFyLCBhc8OtIHF1ZSBwdWVkZXMgcXVlZGFydGUgdG9kbyBlbCB0aWVtcG8gcXVlIHF1aWVyYXMu
HglyDA,,W1ZlcmtoYXNlbF0KQnV0IG5vdGhpbmcgaW4gdGhpcyB3b3JsZCBpcyBmcmVlLgpUaGVyZSdzIGEgY29uZGl0aW9uLCBEYXJrIEVsZW1lbnRhbC4=,,,,,W1ZlcmtoYXNlbF0KTWFzIG5hZGEgbmEgdmlkYSDDqSBkZSBncmHDp2EuCkjDoSB1bWEgY29uZGnDp8OjbywgRWxlbWVudGFsIFNvbWJyaW8u,,W1ZlcmtoYXNlbF0KUGVybyBuYWRhIGVzIGdyYXRpcyBlbiBlc3RlIG11bmRvLgpIYXkgdW5hIGNvbmRpY2nDs24sIGVzcMOtcml0dSBkZSBsYSBvc2N1cmlkYWQu
HwlyDA,,W0JsYWNreV0KVGhhdCBjb25kaXRpb24sIHlvdSBtZWFuIHlvdSB3YW50IGEgcG9ydGlvbiBvZiB0aGlzIGJvZHkncyBwb3dlciwgcmlnaHQ/CkZpbmUuIFRoYXQgbXVjaCBpcyB3aXRoaW4gdGhpcyBib2R5J3MgZXhwZWN0YXRpb25zLg==,,,,,W1Z1bHRpbmhvXQpFc3NhIGNvbmRpw6fDo28gw6kgcXVlIHZvY8OqIHF1ZXIgdW1hIHBhcnRlIGRvIG1ldSBwb2RlciwgbsOjbyDDqT8KVHVkbyBiZW0uIElzc28gZXN0w6EgZGVudHJvIGRvIHF1ZSBldSBlc3BlcmF2YS4=,,W05lZ3JpdG9dCkVzYSBjb25kaWNpw7NuIHNlcsOhIHF1ZSBxdWllcmVzIHF1ZWRhcnRlIGNvbiBwYXJ0ZSBkZSBtaSBwb2Rlciwgwr9ubz8KRXN0w6EgYmllbi4gSGFzdGEgYWjDrSwgZXN0YWJhIGRlbnRybyBkZSBsbyBxdWUgZXNwZXJhYmEu
IAlyDA,,W0JsYWNreV0KWW91IGxvdCBhbHJlYWR5IHNlZW0gdG8gcG9zc2VzcyB0aGUgZXNzZW5jZSBvZiBzaGFkb3csIHNvIEknbSBub3Qgd29ycmllZCBhYm91dCBjb21wYXRpYmlsaXR5LgpCdXQgdGhlIG9uZSB3aG8nbGwgbWFzdGVyIHRoaXMgYm9keSdzIHBvd2VyIGNhbid0IGJlIHdlYWsgYW5kIGNvbGxhcHNlIGF0IHRoZSBzbGlnaHRlc3QgcHJvdm9jYXRpb24u,,,,,W1Z1bHRpbmhvXQpQYXJlY2UgcXVlIHZvY8OqcyBqw6EgZXN0w6NvIGltYnXDrWRvcyBkYSBlbmVyZ2lhIHNvbWJyaWEsIGVudMOjbyBuw6NvIG1lIHByZW9jdXBvIGNvbSBhIGNvbXBhdGliaWxpZGFkZS4KTWFzIGEgcGVzc29hIHF1ZSB2YWkgYWJzb3J2ZXIgbWV1IHBvZGVyIG7Do28gcG9kZSBzZXIgdMOjbyBmcsOhZ2lsIGEgcG9udG8gZGUgZGVzbWFpYXIu,,W0trYW1hbi1pXQpQYXJlY2UgcXVlIHlhIHRpZW5lbiBsYSBlbmVyZ8OtYSBkZSBsYXMgc29tYnJhcywgYXPDrSBxdWUgbm8gbWUgcHJlb2N1cGEgbGEgY29tcGF0aWJpbGlkYWQuClBlcm8gZWwgY2hpY28gcXVlIHZhIGEgYWJzb3JiZXIgZWwgcG9kZXIgZGUgZXN0ZSBjdWVycG8gbm8gcHVlZGUgc2VyIHRhbiBkw6liaWwgY29tbyBwYXJhIGRlc21heWFyc2UgYSBjYWRhIHJhdG8u
IQlyDA,,W0JsYWNreV0KQW5kIEknbGwgZGVjaWRlIHdobyB0aGF0IGlzLg==,,,,,W1Z1bHRpbmhvXQpFIHF1ZW0gdmFpIHNlciBvIGVzY29saGlkbywgc291IGV1IHF1ZW0gZGVjaWRvLg==,,W05lZ3JpdG9dClkgeW8gZGVjaWRpcsOpIHF1acOpbiBzZXLDoSBlc2Uu
IglyDA,,W1ZlcmtoYXNlbF0KRG8gYXMgeW91IHdpc2guCkJ1dCB3aGlsZSB5b3Ugc3RheSBoZXJlLCB5b3UgbXVzdCBjb25zaWRlciBzaGFyaW5nIHlvdXIgcG93ZXIgd2l0aCBhbnkgb25lIG9mIHVzIHdobyB3YW50cyBpdC4=,,,,,W1ZlcmtoYXNlbF0KRmHDp2EgY29tbyBxdWlzZXIuCk1hcyBzZSBhbGd1w6ltIGFwYXJlY2VyIGFxdWkgZSBzZSB2b2x1bnRhcmlhciwgdGVyw6EgcXVlIGNvbnNpZGVyYXIgY29tbyBjYW5kaWRhdG8u,,W1ZlcmtoYXNlbF0KSGF6IGxvIHF1ZSBxdWllcmFzLgpQZXJvIG1pZW50cmFzIHRlIHF1ZWRlcyBhcXXDrSwgdGVuZHLDoXMgcXVlIGNvbnNpZGVyYXIgY29tbyBvYmpldGl2byBhIGN1YWxxdWllcmEgcXVlIHNlIHByZXNlbnRlLg==
IwlyDA,,W0JsYWNreV0KRG9lc24ndCB0aGlzIGVuZCBhZnRlciBqdXN0IG9uZSB0aW1lPw==,,,,,W1Z1bHRpbmhvXQpOw6NvIHZhaSBhY2FiYXIgbG9nbyBkZSB1bWEgdmV6LCBuw6k/,,W05lZ3JpdG9dCsK/Tm8gc2UgYWNhYmFyw6EgZW4gdW5hIHNvbGEgdmV6Pw==
JAlyDA,,W01heXNzZWxdCk9oLCBvZiBjb3Vyc2UuCllvdSBnZXQgdG8ga2VlcCB0aGlzIG1hbnNpb24gYWxsIHRvIHlvdXJzZWxmLgpJbiByZXR1cm4sIHdlIGp1c3Qgd2FudCB5b3UgdG8gaGVscCB1cyBncm93IHN0cm9uZ2VyLiBZb3UgY2FuIGRvIGl0LCBjYW4ndCB5b3U/,,,,,W01heXNzZWxdCk7Do28gbWVzbW8uClBvciBlbnF1YW50bywgdm9jw6ogbsOjbyBwb2RlIHNhaXIgZGVzdGEgbWFuc8Ojby4KVm9jw6ogYWp1ZGFyw6Egb3MgU2ljw6FyaW9zIGUgUmVuZWdhZG9zIHF1ZSBlbnZpYXJlbW9zLCBvaz8=,,W01laXNlbF0KQXksIHF1w6kgY29tZW50YXJpb3MgdGFuIGRlc2FncmFkYWJsZXMuClBvciBlbCBtb21lbnRvIG5vIHBvZHJlbW9zIHNhbGlyIGRlIGVzdGEgbWFuc2nDs24uCsK/Tm8gZGViZXLDrWFzIGF5dWRhciBhw7puIG3DoXMgYSBsb3MgZXhjZWxlbnRlcyBjb21iYXRpZW50ZXMgcXVlIGVudmlhbW9zPw==
JQlyDA,,W0Rvb21rXQpIb3cgZGFyZSB5b3Ugc2NoZW1lIGxpa2UgdGhpcyB3aXRoIHRoZSBkYXJrIGVsZW1lbnRhbD8KRG8geW91IHRoaW5rIHRoYXQnbGwgd29yaz8=,,,,,W0R1bWtdCkNvbW8gdm9jw6pzIGZhemVtIGVzc2UgdGlwbyBkZSBwcm9wb3N0YSBjb20gbyBFbGVtZW50YWwgU29tYnJpbz8KQWNoYSBxdWUgaXNzbyB2YWkgZnVuY2lvbmFyPw==,,W0R1bWtdCsK/Q8OzbW8gdGUgYXRyZXZlcyBhIGhhY2VybWUgZXNlIHRpcG8gZGUgY2hhbnRhamUgYSB1biBlc3DDrXJpdHUgZGUgbGEgb3NjdXJpZGFkPwrCv0NyZWVzIHF1ZSBlc28gdmEgYSBmdW5jaW9uYXI/
JglyDA,,W0JsYWNreV0KVGhpcyBib2R5Li4u,,,,,W1Z1bHRpbmhvXQpFc3RlIGNvcnBvIMOpLi4u,,W05lZ3JpdG9dCkVzdGUgY3VlcnBvIGVzLi4u
JwlyDA,,SXQncyBtYWduaWZpY2VudCEgQSBjYXBhYmxlIGVsZW1lbnRhbCB0aGF0IGNhbiBkbyBhbnl0aGluZyE=,,,,,w4kgZ3JhbmRpb3NvISDDiSB1bSBlc3DDrXJpdG8gY2FwYXogZGUgZmF6ZXIgcXVhbHF1ZXIgY29pc2Eh,,wqFFcyBncmFuZGlvc28hIMKhRXMgdW4gZXNww61yaXR1IGNhcGF6IGRlIGhhY2VyIGN1YWxxdWllciBjb3NhIQ==
KAlyDA,,QXdlc29tZSEgSSBjYW4gZG8gYW55dGhpbmch,,,,,UG9zc28gZmF6ZXIgcXVhbHF1ZXIgY29pc2Eh,,wqFFcyBncmFuZGlvc28hIMKhUHVlZG8gaGFjZXIgY3VhbHF1aWVyIGNvc2Eh
