IH6qDA,,Yg==,,,,,Yg==,,Yg==
OX6qDA,,YXRrLXswfSBhdGsyLXsxfSB7Mn0=,,,,,YXRrLXswfSBhdGsyLXsxfSB7Mn0=,,YXRrLXswfSBhdGsyLXsxfSB7Mn0=
On6qDA,,MTAw,,,,,MTAw,,MTAw
O36qDA,,T3NjYXI6IFRpbWUgaGFzIHN0YXJ0ZWQgZmxvd2luZyBub3JtYWxseSBpbiB0aGUgZmlyc3Qgc2VjdGlvbi4gTGV0J3MgbW92ZSBvbiB0byB0aGUgbmV4dCBzZWN0aW9uLg==,,,,,T3NjYXI6IFByaW1laXJhIMOhcmVhIGxpbXBhLiBWb3UgdGUgdGVsZXBvcnRhciBwYXJhIGEgcHLDs3hpbWEgem9uYS4=,,T3NjYXI6IFByaW1lcmEgem9uYSBkZXNwZWphZGEuIFRlIHRlbGV0cmFuc3BvcnRhcsOpIGEgbGEgc2lndWllbnRlIHpvbmEu
PH6qDA,,T3NjYXI6IFRpbWUgaGFzIHN0YXJ0ZWQgZmxvd2luZyBub3JtYWxseSBpbiB0aGUgc2Vjb25kIHNlY3Rpb24uIExldCdzIG1vdmUgb24gdG8gdGhlIG5leHQgc2VjdGlvbi4=,,,,,T3NjYXI6IFNlZ3VuZGEgw6FyZWEgbGltcGEuIFZvdSB0ZSB0ZWxlcG9ydGFyIHBhcmEgYSBwcsOzeGltYSB6b25hLg==,,T3NjYXI6IFNlZ3VuZGEgem9uYSBkZXNwZWphZGEuIFRlIHRlbGV0cmFuc3BvcnRhcsOpIGEgbGEgc2lndWllbnRlIHpvbmEu
PX6qDA,,T3NjYXI6IFRpbWUgaGFzIHN0YXJ0ZWQgZmxvd2luZyBub3JtYWxseSBpbiB0aGUgdGhpcmQgc2VjdGlvbi4gTGV0J3MgbW92ZSBvbiB0byB0aGUgbmV4dCBzZWN0aW9uLg==,,,,,T3NjYXI6IFRlcmNlaXJhIMOhcmVhIGxpbXBhLiBWb3UgdGUgdGVsZXBvcnRhciBwYXJhIGEgcHLDs3hpbWEgem9uYS4=,,T3NjYXI6IFRlcmNlcmEgem9uYSBkZXNwZWphZGEuIFRlIHRlbGV0cmFuc3BvcnRhcsOpIGEgbGEgc2lndWllbnRlIHpvbmEu
Pn6qDA,,T3NjYXI6IFRoaXMgaXMgdGhlIGxhc3Qgcm9vbS4gTGV0J3MgY2hlY2sgd2hldGhlciBLaW5nIFNjaG1pZHQncyBsaW5nZXJpbmcgdGhvdWdodHMgYXJlIHdhbmRlcmluZyBoZXJlLg==,,,,,T3NjYXI6IFZhbW9zIHZlciBzZSBvIFJlaSBTY2htaWR0IGVzdMOhIHZhZ2FuZG8gcG9yIGVzc2UgbHVnYXIu,,T3NjYXI6IFZhbW9zIGEgdmVyIHNpIGVsIFJleSBTY2htaWR0IGVzdMOhIHZhZ2FuZG8gcG9yIGVzdGUgbHVnYXIu
P36qDA,,U3Vydml2aW5nIE1vbnN0ZXJzIC0gezB9,,,,,RmFsdGFtIHswfSBzb2JyZXZpdmVudGVz,,RmFsdGFuIHswfSBzb2JyZXZpdmllbnRlcw==
QH6qDA,,T3NjYXI=,,,,,T3NjYXI=,,T3NjYXI=
QX6qDA,,VGhpcyB3YXMgdGhlIHBsYWNlIHdoZXJlIHRoZSBLbmlnaHRzIHJvdGF0ZWQgc2hpZnRzLg==,,,,,RXN0ZSBsdWdhciBlcmEgbyBkZXNjYW5zbyBkb3MgYW50aWdvcyBDYXZhbGVpcm9zLg==,,RXN0ZSBsdWdhciBlcmEgZWwgZGVzY2Fuc28gZGUgbG9zIGFudGlndW9zIENhYmFsbGVyb3Mu
Qn6qDA,,VGhvc2Ugd2hvIGhhZCBqdXN0IGNoYW5nZWQgc2hpZnRzIGFuZCB3ZXJlIHJlc3RpbmcgZm9yIGEgbW9tZW50IGNvdWxkbid0IGV2YWN1YXRlIGluIHRpbWUu,,,,,QXMgcGVzc29hcyBxdWUgZXN0YXZhbSBhcXVpIG7Do28gY29uc2VndWlyYW0gZXZhY3VhciBhIHRlbXBvLg==,,TGFzIHBlcnNvbmFzIHF1ZSBlc3RhYmFuIGFxdcOtIG5vIGxvZ3Jhcm9uIGV2YWN1YXIgYSB0aWVtcG8u
Q36qDA,,VGhlIG1haWRzIHdobyBjYXJyaWVkIHRoZSBtZWFscyB3ZXJlIHRoZSBzYW1lIHdheSwgdG9vLg==,,,,,TyBtZXNtbyBhY29udGVjZXUgY29tIGFzIHNlcnZlbnRlcyBxdWUgZW50cmVnYXZhbSBhcyByZWZlacOnw7Vlcy4=,,TG8gbWlzbW8gc3VjZWRpw7MgY29uIGxhcyBzaXJ2aWVudGFzIHF1ZSBlbnRyZWdhYmFuIGxhcyBjb21pZGFzLg==
RH6qDA,,SSB3aWxsIGdvIGFoZWFkIGZvciBhIHdoaWxlLCBmb3IgdGhlIGZsb3cgb2YgdGltZSB0byBjb250aW51ZSwgc28gcGxlYXNlIGdyYW50IHRoZXNlIHBlb3BsZSByZXN0IGFzIHdlbGwu,,,,,RXN0YXJlbW9zIG1vdmVuZG8gcGFyYSBhIHByw7N4aW1hIGRpbWVuc8OjbyBubyB0ZW1wby4gRW50w6NvLCBkw6ogdW0gZGVzY2Fuc28gYSBlbGVzLg==,,RXN0YXJlbW9zIHBhc2FuZG8gYSBsYSBzaWd1aWVudGUgZGltZW5zacOzbiBlbiBlbCB0aWVtcG8uIEFzw60gcXVlLCBkYWxlcyB1biBkZXNjYW5zby4=
RX6qDA,,VGhpcyBpcyB3aGVyZSB0aGUgc2Vjb25kIGxvZGdpbmcsIHRoZSBkaW5pbmcgaGFsbCwgYW5kIHRoZSBsb3VuZ2UgdXNlZCB0byBiZS4=,,,,,RXNzZSBhbG9qYW1lbnRvIHRhbWLDqW0gZnVuY2lvbmF2YSBjb21vIHNhbGEgZGUgamFudGFyLg==,,RXN0ZSBhbG9qYW1pZW50byB0YW1iacOpbiBmdW5jaW9uYWJhIGNvbW8gY29tZWRvci4=
Rn6qDA,,VGhlIGZvb2QgdGhhdCB3YXMgbWVhbnQgdG8gYmUgZGlzdHJpYnV0ZWQgaW4gdGhlIG1vcm5pbmcgd2FzIGNhcnJpZWQgaGVyZSBmcm9tIHRoZSBraXRjaGVuLCBidXQgaXQgYmVjYW1lIGN1cnNlZCBhcyBpZiBwb2lzb24gd2VyZSBzcHJlYWRpbmcgdGhyb3VnaCBpdC4=,,,,,QSBtYWxkacOnw6NvIHNlIGVzcGFsaG91IHLDoXBpZG8gcG9yIGFxdWksIGlndWFsIGNvbW8gY29taWRhIGVudmVuZW5hZGEu,,TGEgbWFsZGljacOzbiBzZSBlc3BhcmNpw7MgcsOhcGlkbyBwb3IgYXF1w60sIGlndWFsIHF1ZSBjb21pZGEgZW52ZW5lbmFkYS4=
R36qDA,,VGhvc2Ugd2hvIHRvdWNoZWQgdGhlIGZvb2Qgd2l0aG91dCBrbm93aW5nIGFueXRoaW5nIGNvdWxkbid0IGV2ZW4gbWFrZSBpdCBvdXQgb2YgdGhlIGNhc3RsZS4=,,,,,QXMgcGVzc29hcyBxdWUgZXN0YXZhbSBhcXVpIG7Do28gZmF6aWFtIGlkZWlhIGRvIHF1ZSBlc3RhdmEgYWNvbnRlY2VuZG8u,,TGFzIHBlcnNvbmFzIHF1ZSBlc3RhYmFuIGFxdcOtIG5vIHRlbsOtYW4gaWRlYSBkZSBsbyBxdWUgZXN0YWJhIHBhc2FuZG8u
SH6qDA,,SXTigJlzIHF1aXRlIGNvbnZlbmllbnQgbm90IGhhdmluZyB0byBsaWZ0IGEgZmluZ2VyIG15c2VsZi4gQ291bGQgeW91IHRpZHkgdXAgdGhpcyBwbGFjZSBhcyB3ZWxsPw==,,,,,U2UgaW1wb3J0YXJpYSBlbSBsaW1wYXIgZXNzYSDDoXJlYSB0YW1iw6ltPw==,,wr9UZSBpbXBvcnRhcsOtYSBsaW1waWFyIGVzdGEgw6FyZWEgdGFtYmnDqW4/
SX6qDA,,VGhpcyBwbGFjZSB1c2VkIHRvIHN0b3JlIG1pbGl0YXJ5IHN0cmF0ZWd5IGJvb2tzLg==,,,,,w4kgYXF1aSBxdWUgZ3VhcmRhdmFtIHJlZ2lzdHJvcyBtaWxpdGFyZXMu,,QXF1w60gZXMgZG9uZGUgZ3VhcmRhYmFuIGxvcyByZWdpc3Ryb3MgbWlsaXRhcmVzLg==
Sn6qDA,,SXQgd2FzIG1haW5seSBhIHBsYWNlIHVzZWQgYnkgaGlnaC1yYW5raW5nIGNvbW1hbmRlcnMu,,,,,RXJhIHVtIGxvY2FsIHVzYWRvIHBvciBjb21hbmRhbnRlcyBkYXMgdHJvcGFzLg==,,RXJhIHVuIGx1Z2FyIHVzYWRvIHBvciBjb21hbmRhbnRlcyBkZSBsYXMgdHJvcGFzLg==
S36qDA,,U28gdGhlIGxpbmdlcmluZyB0aG91Z2h0cyB3YW5kZXJpbmcgYXJvdW5kIGhlcmUgYXJlIHF1aXRlIHBvd2VyZnVsLiBCZSBjYXJlZnVsLg==,,,,,Q3VpZGFkbyBjb20gb3MgbW9uc3Ryb3MgZGFxdWksIGVsZXMgc8OjbyBmb3J0ZXMu,,Q3VpZGFkbyBjb24gbG9zIG1vbnN0cnVvcyBkZSBhcXXDrSwgc29uIGZ1ZXJ0ZXMu
TH6qDA,,T3NjYXI6IFRoaXMgcGxhY2UgdXNlZCB0byBiZSB0aGUga2l0Y2hlbi4=,,,,,T3NjYXI6IEFxdWkgZXJhIGEgY296aW5oYS4=,,T3NjYXI6IEFxdcOtIGVyYSBsYSBjb2NpbmEu
TX6qDA,,T3NjYXI6IFNvIHRoZSBtYWlkcyB3aG8gd2VyZSBwcmVwYXJpbmcgdGhlIG1lYWwgc3VmZmVyZWQgdGhlIG1vc3QgZGFtYWdlLg==,,,,,T3NjYXI6IEFzIHNlcnZlbnRlcyBmb3JhbSBhcyBxdWUgbWFpcyBzb2ZyZXJhbSBhcXVpLg==,,T3NjYXI6IExhcyBzaXJ2aWVudGFzIGZ1ZXJvbiBsYXMgcXVlIG3DoXMgc3Vmcmllcm9uIGFxdcOtLg==
Tn6qDA,,T3NjYXI6IFRoZSBvbmx5IHRoaW5nIHlvdSBjYW4gZG8gaXMgZ3JhbnQgdGhlbSByZXN0LCBzbyB0aGV5IHdpbGwgc3VmZmVyIG5vIG1vcmUu,,,,,T3NjYXI6IFBvciBmYXZvciwgZMOqIGEgZWxhcyBvIG1lcmVjaWRvIGRlc2NhbnNvLg==,,T3NjYXI6IFBvciBmYXZvciwgZGFsZXMgZWwgbWVyZWNpZG8gZGVzY2Fuc28u
T36qDA,,T3NjYXI6IEFzIHlvdSBwdXJpZnkgdGhvc2UgY29uc3VtZWQgYnkgdGhlIGN1cnNlLCBhIHJpZnQgaW4gdGltZSB3aWxsIG5hdHVyYWxseSBvcGVuIGFuZCBndWlkZSB5b3UgdG8gdGhlIG5leHQgcGxhY2Uu,,,,,T3NjYXI6IFB1cmlmaWNhciBhcyBwZXNzb2FzIGFxdWkgZmFyw6EgY29tIHF1ZSB2b2PDqiBhdmFuY2UgYWluZGEgbWFpcyBubyB0ZW1wby4=,,T3NjYXI6IFB1cmlmaWNhciBhIGxhcyBwZXJzb25hcyBhcXXDrSBoYXLDoSBxdWUgYXZhbmNlcyBhw7puIG3DoXMgZW4gZWwgdGllbXBvLg==
UH6qDA,,T3NjYXI6IFVudGlsIHRoZW4sIGl0IHdpbGwgYmUgaGFyZCB0byBtb3ZlLCBiZWNhdXNlIHRpbWUgaW4gdGhpcyBwbGFjZSBrZWVwcyB0cnlpbmcgdG8gcmVwZWF0IGl0c2VsZi4=,,,,,T3NjYXI6IFNlIG7Do28gZml6ZXIgaXNzbywgYSBkaW1lbnPDo28gdmFpIGZpY2FyIHNlIHJlcGV0aW5kby4=,,T3NjYXI6IFNpIG5vIGxvIGhhY2VzLCBsYSBkaW1lbnNpw7NuIHNlZ3VpcsOhIHJlcGl0acOpbmRvc2Uu
UX6qDA,,T3NjYXI6IE9oLCBhbmQgaWYgeW91IHNlZSBhIEZsYW1lIFRob3JuLCBhdm9pZCBpdCBubyBtYXR0ZXIgd2hhdC4gSXTigJlzIHRoZSBtb3N0IHRyb3VibGVzb21lIHRoaW5nIGluIHRoaXMgcGxhY2Uu,,,,,T3NjYXI6IEFoLCBlIGV2aXRlIG9zIEVzcGluaG9zIE1hbGRpdG9zLCBlbGVzIHPDo28gaXJyaXRhbnRlcy4=,,T3NjYXI6IEFoLCB5IGV2aXRhIGxhcyBFc3BpbmFzIE1hbGRpdGFzLCBzb24gaXJyaXRhbnRlcy4=
Un6qDA,,Q29ycnVwdGVkIFJvb3Q=,,,,,T3JpZ2VtIGRhIENvcnJ1cMOnw6Nv,,T3JpZ2VuIGRlIGxhIENvcnJ1cGNpw7Nu
U36qDA,,VGhhdCBpcyBtZXJlbHkgYSB0aG91Z2h0LWZvcm0gdGFraW5nIHRoZSBzaGFwZSBvZiBLaW5nIFNjaG1pZHQsIHNvIHlvdSBuZWVkIG5vdCBmZWVsIGFueSBndWlsdCBhYm91dCBhdHRhY2tpbmcgaGltLg==,,,,,SXNzbyDDqSBhIGZpZ3VyYSBkZSBTY2htaWR0LCBtYXMgbsOjbyBzZSBwcmVvY3VwZSwgbsOjbyDDqSBlbGUgZGUgdmVyZGFkZS4=,,RXN0YSBlcyBsYSBmaWd1cmEgZGUgU2NobWlkdCwgcGVybyBubyB0ZSBwcmVvY3VwZXMsIG5vIGVzIMOpbCBkZSB2ZXJkYWQu
VH6qDA,,SSdsbCBzdGFydCBsaWZ0aW5nIHRoZSB0aW1lIGJhcnJpZXIgbm93LiBUaGUgYmF0dGxlIHdpbGwgYmVnaW4sIHNvIGJlIHJlYWR5Lg==,,,,,UG9kZSBhdGFjw6EtbG8gc2VtIGN1bHBhLiBBIGJhdGFsaGEgY29tZcOnYXLDoSBlbSBicmV2ZS4=,,UHVlZGVzIGF0YWNhcmxvIHNpbiBjdWxwYS4gTGEgYmF0YWxsYSBjb21lbnphcsOhIHByb250by4=
VX6qDA,,Q3Vyc2VkIEtpbmcgU2NobWlkdCM=,,,,,U2NobWlkdCBDb3Jyb21waWRvIw==,,U2NobWlkdCBDb3Jyb21waWRvIw==
Vn6qDA,,Q3Vyc2VkIEtpbmcgU2NobWlkdCM=,,,,,U2NobWlkdCBDb3Jyb21waWRvIw==,,U2NobWlkdCBDb3Jyb21waWRvIw==
V36qDA,,T3NjYXI6IFRoZSB3cmFpdGggaGFzIGNhbG1lZCBkb3duLiBIZSB3b27igJl0IGJlIGFibGUgdG8gYXR0YWNrIHByb3Blcmx5IGZvciBhIHdoaWxlLg==,,,,,T3NjYXI6IEVsZSBuw6NvIGluY29tb2RhcsOhIG1haXMgbmluZ3XDqW0gYWdvcmEu,,T3NjYXI6IEFob3JhIHlhIG5vIG1vbGVzdGFyw6EgYSBuYWRpZSBtw6FzLg==
WH6qDA,,T3NjYXI6IEFuZCB0aGUgVGhvdWdodCBFbnRpdHnigJlzIGJlcnNlcmsgc3RhdGUgaGFzIGJlZW4gbGlmdGVkLiBOb3figJlzIG91ciBjaGFuY2UgdG8gYXR0YWNrLg==,,,,,T3NjYXI6IEVsZSBuw6NvIGVzdMOhIG1haXMgZW0gRnJlbmVzaSwgdm9jw6ogcG9kZSBhdGFjw6EtbG8gYWdvcmEu,,T3NjYXI6IFlhIG5vIGVzdMOhIGVuIEZyZW5lc8OtLCBwdWVkZXMgYXRhY2FybG8gYWhvcmEu
WX6qDA,,T3NjYXI6IFRoZSBwb3dlciBvZiBkYXJrIHRob3VnaHRzIGlzIHJldHVybmluZy4gQWRqdXN0IHlvdXIgQXR0YWNrIFNwZWVkLg==,,,,,T3NjYXI6IE8gcG9kZXIgZGVsZSBlc3TDoSB2b2x0YW5kby4gVGVuaGEgbWFpcyB2ZWxvY2lkYWRlIG5vIGF0YXF1ZS4=,,T3NjYXI6IFN1IHBvZGVyIGVzdMOhIHZvbHZpZW5kby4gVGVuIG3DoXMgdmVsb2NpZGFkIGVuIGVsIGF0YXF1ZS4=
Wn6qDA,,T3NjYXI6IEkgc3RvcHBlZCB0aGUgRmxhbWUgVGlkZSBmb3IgYSBtb21lbnQuIFN1cnZpdmUgYXMgbG9uZyBhcyB5b3UgY2FuLg==,,,,,T3NjYXI6IEV1IHBhcmVpIG8gdGVtcG8gcGFyYSBpbXBlZGlyIGEgY2hlZ2FkYSBkYSBQYXJlZGUgZGUgRm9nby4=,,T3NjYXI6IERldHV2ZSBlbCB0aWVtcG8gcGFyYSBpbXBlZGlyIGxhIGxsZWdhZGEgZGUgbGEgUGFyZWQgZGUgRnVlZ28u
W36qDA,,XkZGMDAwMEl0IGxvb2tzIGxpa2UgeW914oCZcmUgY2FycnlpbmcgdG9vIG1hbnkgaXRlbXMsIG9yIHRoZXnigJlyZSB0b28gaGVhdnkuIFBsZWFzZSBvcmdhbml6ZSB5b3VyIGludmVudG9yeS5eMDAwMDAw,,,,,XkZGMDAwMEVzdmF6aWUgc2V1IGludmVudMOhcmlvIGUgdGVudGUgbm92YW1lbnRlLl4wMDAwMDA=,,XkZGMDAwMFZhY8OtYSB0dSBpbnZlbnRhcmlvIGUgaW50ZW50YSBkZSBudWV2by5eMDAwMDAw
XH6qDA,,XkZGMDAwMFlvdSBhbHJlYWR5IGhhdmUgdG9vIG1hbnkgcmV3YXJkIGl0ZW1zLiBQbGVhc2UgY2xlYXIgc29tZSBzcGFjZSBhbmQgdHJ5IGFnYWluLl4wMDAwMDA=,,,,,XkZGMDAwMFZvY8OqIGrDoSBwb3NzdWkgcmVjb21wZW5zYXMgZGVtYWlzLiBHdWFyZGUtb3Mgbm8gYXJtYXrDqW0gZSB0ZW50ZSBub3ZhbWVudGVeMDAwMDAw,,XkZGMDAwMFlhIHRpZW5lcyBkZW1hc2lhZGFzIHJlY29tcGVuc2FzLiBHdcOhcmRhbGFzIGVuIGVsIGFsbWFjw6luIGUgaW50ZW50YSBkZSBudWV2b14wMDAwMDA=
XX6qDA,,W09zY2FyXQpUaGF0IHdhcyBxdWl0ZSBhIHRvdWdoIGZpZ2h0LCB3YXNuJ3QgaXQ/IEl0IHRvb2sgbG9uZ2VyIHRoYW4gaWYgSSBoYWQgc3RlcHBlZCBpbiBteXNlbGYsIGJ1dCB5b3UgZGlkIHF1aXRlIHdlbGwu,,,,,W09zY2FyXQpGb2kgdW1hIGJhdGFsaGEgY29tcGxpY2FkYSwgaGVpbj8gUGVsbyBtZW5vcyB2b2PDqiBsZXZvdSBtZW5vcyB0ZW1wbyBxdWUgZXUgbGV2YXJpYS4=,,W09zY2FyXQpGdWUgdW5hIGJhdGFsbGEgY29tcGxpY2FkYSwgwr9laD8gUG9yIGxvIG1lbm9zIHRvbWFzdGUgbWVub3MgdGllbXBvIGRlbCBxdWUgeW8gdG9tYXLDrWEu
Xn6qDA,,W09zY2FyXQpUcmF2ZWxpbmcgdGhyb3VnaCB0aW1lIGFjcm9zcyBtYW55IGRpbWVuc2lvbnMgYW5kIGV2ZW4gZmlnaHRpbmcgaW4gcGVyc29uIHRha2VzIHF1aXRlIGEgbG90IG9mIHN0cmVuZ3RoLg==,,,,,W09zY2FyXQrDiSBiZW0gZGlmw61jaWwgdmlhamFyIGVudHJlIGFzIGRpbWVuc8O1ZXMgZG8gZXNwYcOnbyBlIGRvIHRlbXBvLCBpbWFnaW5hIGx1dGFyIGFpbmRhLg==,,W09zY2FyXQpFcyBtdXkgZGlmw61jaWwgdmlhamFyIGVudHJlIGxhcyBkaW1lbnNpb25lcyBkZWwgZXNwYWNpbyB5IGVsIHRpZW1wbywgaW1hZ8OtbmF0ZSBwZWxlYXIgYWRlbcOhcy4=
X36qDA,,W09zY2FyXQpPaCwgcmlnaHQuIFRoaXMgaXMgdGhlIGl0ZW0gdGhhdCB3YXMgbGVmdCBiZWhpbmQgd2hlbiBLaW5nIFNjaG1pZHQncyBsaW5nZXJpbmcgdGhvdWdodHMgdmFuaXNoZWQganVzdCBub3cu,,,,,W09zY2FyXQpBaCwgZXN0ZSDDqSB1bSBvYmpldG8gcXVlIHVtIGRvcyBwZW5zYW1lbnRvcyBkZSBTY2htaWR0IGRlaXhvdSBwYXJhIHRyw6FzLg==,,W09zY2FyXQpBaCwgZXN0ZSBlcyB1biBvYmpldG8gcXVlIHVubyBkZSBsb3MgcGVuc2FtaWVudG9zIGRlIFNjaG1pZHQgZGVqw7MgYXRyw6FzLg==
YH6qDA,,W09zY2FyXQpPaCBubywgaXQgbG9va3MgbGlrZSB0aGlzIHRpbWUgYmFycmllciBpcyBhYm91dCB0byBjb2xsYXBzZS4gRm9yIG5vdywgbGV0J3MgZ2V0IG91dCBvZiBoZXJlIHF1aWNrbHku,,,,,W09zY2FyXQpJaCwgYWNobyBxdWUgZXNzZSBsdWdhciB2YWkgZW50cmFyIGVtIGNvbGFwc28uIMOJIG1lbGhvciBkYXJtb3MgbyBmb3JhIGRhcXVpLg==,,W09zY2FyXQpVeSwgY3JlbyBxdWUgZXN0ZSBsdWdhciB2YSBhIGNvbGFwc2FyLiBTZXLDoSBtZWpvciBxdWUgbm9zIGxhcmd1ZW1vcyBkZSBhcXXDrS4=
YX6qDA,,T2gsIGl0IGxvb2tzIGxpa2UgdGhlIHRpbWUgYmFycmllciB3b27igJl0IGhvbGQgbXVjaCBsb25nZXIuIEkgc2hvdWxkIGdldCBvdXQgcXVpY2tseSwgdG9vLg==,,,,,RXNzZSBsdWdhciB2YWkgY29sYXBzYXIuIFZhbW9zIGVtYm9yYS4=,,RXN0ZSBsdWdhciB2YSBhIGNvbGFwc2FyLiBWw6Ftb25vcy4=
Yn6qDA,,TG9vayBhcm91bmQgYSBiaXQgbW9yZS4=,,,,,RGFyIHVtYSBvbGhhZGE=,,RWNoYXIgdW4gdmlzdGF6bw==
