AFkAAQ,,R2F0ZQ==,,,,,R2F0ZWk=,,R2F0ZWk=
ElkAAQ,,W0dhdGVdClVuZGVyc3Rvb2QuIFBsZWFzZSB1c2Ugb3VyIHNlcnZpY2UgYW5vdGhlciB0aW1lLg==,,,,,W0dhdGVpXQpFbnRlbmRpZG8uIFBvciBmYXZvciwgdm9sdGUgZGVwb2lzLg==,,W0dhdGVpXQpFbnRlbmRpZG8uIFBvciBmYXZvciwgcmVncmVzYSBkZXNwdcOpcy4=
E1kAAQ,,W0dhdGVdClllcy4gVGhhdCB0b3dlciB5b3Ugc2VlIGJlaGluZCBtZSBpcyAnVGhhbmF0b3MgVG93ZXInLg==,,,,,W0dhdGVpXQpTaW0uIEFxdWVsYSB0b3JyZSBxdWUgZXN0w6EgdmVuZG8gYXRyw6FzIGRlIG1pbSDDqSBqdXN0YW1lbnRlIGEgJ1RvcnJlIGRlIFRoYW5hdG9zJy4=,,W0dhdGVpXQpTw60uIEVzYSB0b3JyZSBxdWUgdmVzIGRldHLDoXMgZGUgbcOtIGVzIHByZWNpc2FtZW50ZSBsYSAnVG9ycmUgZGUgVGhhbmF0b3MnLg==
FFkAAQ,,W0dhdGVdCkFmdGVyIFJla2VuYmVyIGNhcnJpZWQgb3V0IG1ham9yIHJlcGFpcnMgb24gdGhpcyBkZXNvbGF0ZSB0b3dlciB0aGF0IGhhZCBsb25nIGJlZW4gYWJhbmRvbmVkIGFuZCBvcGVuZWQgaXQgdG8gdGhlIHB1YmxpYywgaXQgaGFzIG5vdyBiZWNvbWUgYSB0b3VyaXN0IGF0dHJhY3Rpb24gaW4gdGhpcyBhcmVhLg==,,,,,W0dhdGVpXQpEZXBvaXMgcXVlIG7Ds3MsIGRhICdSZWtlbmJlcicsIHJlc3RhdXJhbW9zIGVtIGdyYW5kZSBlc2NhbGEgZXNzYSB0b3JyZSBkZXZhc3RhZGEgcXVlIGZpY291IGFiYW5kb25hZGEgcG9yIG11aXRvIHRlbXBvIGUgYSBhYnJpbW9zIGFvIHDDumJsaWNvLCBlbGEgc2UgdG9ybm91IHVtYSBhdHJhw6fDo28gdHVyw61zdGljYSBkZXN0YSByZWdpw6NvLg==,,W0dhdGVpXQpEZXNwdcOpcyBkZSBxdWUgbm9zb3Ryb3MsIGRlICdSZWtlbmJlcicsIHJlc3RhdXJhbW9zIGEgZ3JhbiBlc2NhbGEgZXN0YSB0b3JyZSBkZXZhc3RhZGEgcXVlIGVzdHV2byBhYmFuZG9uYWRhIHBvciBtdWNobyB0aWVtcG8geSBsYSBhYnJpbW9zIGFsIHDDumJsaWNvLCBzZSBjb252aXJ0acOzIGVuIHVuYSBhdHJhY2Npw7NuIHR1csOtc3RpY2EgZGUgZXN0YSByZWdpw7NuLg==
FVkAAQ,,W0dhdGVdCldoZW4gdGhpcyB0b3dlciB3YXMgZmlyc3QgZGlzY292ZXJlZCwgaXRzIG5hbWUsICdUaGFuYXRvcyBUb3dlcicsIHdhcyBnaXZlbiBhZnRlciB0aGUgbmFtZSBvZiBhIGhlcm8gd3JpdHRlbiBvbiBhIHN0b25lIHRhYmxldCBmb3VuZCBuZWFyYnku,,,,,W0dhdGVpXQpRdWFuZG8gZXNzYSB0b3JyZSBmb2kgZGVzY29iZXJ0YSBwZWxhIHByaW1laXJhIHZleiwgZGVtb3MgYSBlbGEgbyBub21lIGRlICdUb3JyZSBkZSBUaGFuYXRvcycsIGluc3BpcmFkbyBubyBub21lIGRvIGhlcsOzaSBlc2NyaXRvIGVtIHVtYSBwbGFjYSBkZSBwZWRyYSBlbmNvbnRyYWRhIG5hcyBwcm94aW1pZGFkZXMu,,W0dhdGVpXQpDdWFuZG8gZXN0YSB0b3JyZSBmdWUgZGVzY3ViaWVydGEgcG9yIHByaW1lcmEgdmV6LCBsZSBkaW1vcyBlbCBub21icmUgZGUgJ1RvcnJlIGRlIFRoYW5hdG9zJywgaW5zcGlyYWRvcyBlbiBlbCBub21icmUgZGVsIGjDqXJvZSBlc2NyaXRvIGVuIHVuYSBwaWVkcmEgZW5jb250cmFkYSBjZXJjYS4=
FlkAAQ,,W0dhdGVdClNpbmNlIHRoZW4sIGRldmVsb3BtZW50IGhhcyBzdGVhZGlseSBjb250aW51ZWQsIGFuZCBtb3N0IG9mIHRoZSBtb25zdGVycyB0aGF0IHdlcmUgb24gdGhlIDFzdCBhbmQgMm5kIGZsb29ycyBoYXZlIGJlZW4gZWxpbWluYXRlZCwgYWxsb3dpbmcgdGhvc2UgYXJlYXMgdG8gYmUgb3BlbmVkIGFzIHNwYWNlcyBzYWZlIGVub3VnaCBmb3Igb3JkaW5hcnkgcGVvcGxlIHRvIHdhbGsgYXJvdW5kLg==,,,,,W0dhdGVpXQpEZXNkZSBlbnTDo28sIGNvbnRpbnVhbW9zIG8gdHJhYmFsaG8gZGUgZGVzZW52b2x2aW1lbnRvIGUgZGVycm90YW1vcyBhIG1haW9yIHBhcnRlIGRvcyBtb25zdHJvcyBxdWUgZXhpc3RpYW0gbm8gMcK6IGUgMsK6IGFuZGFyZXMsIGFicmluZG8gZXNzYXMgw6FyZWFzIGVtIHVtIG7DrXZlbCBkZSBzZWd1cmFuw6dhIHN1ZmljaWVudGUgcGFyYSBxdWUgcGVzc29hcyBjb211bnMgcG9zc2FtIGNpcmN1bGFyLg==,,W0dhdGVpXQpEZXNkZSBlbnRvbmNlcywgY29udGludWFtb3MgZWwgdHJhYmFqbyBkZSBkZXNhcnJvbGxvIHkgZGVycm90YW1vcyBhIGxhIG1heW9yw61hIGRlIGxvcyBtb25zdHJ1b3MgcXVlIGV4aXN0w61hbiBlbiBlbCAxLsK6IHkgMi7CuiBwaXNvLCBhYnJpZW5kbyBlc3RhcyDDoXJlYXMgY29uIHVuIG5pdmVsIGRlIHNlZ3VyaWRhZCBzdWZpY2llbnRlIHBhcmEgcXVlIGxhIGdlbnRlIGNvbcO6biBwdWVkYSBjaXJjdWxhci4=
F1kAAQ,,W0dhdGVdClRoZSBhcmVhcyBhYm92ZSB0aGUgM3JkIGZsb29yIGFyZSBzdGlsbCB1bmRlciBkZXZlbG9wbWVudCwgYW5kIGFjY29yZGluZ2x5IHdlIGFyZSByZWNydWl0aW5nIHBlb3BsZSB3aWxsaW5nIHRvIGNvb3BlcmF0ZSBpbiBleHRlcm1pbmF0aW5nIG1vbnN0ZXJzLg==,,,,,W0dhdGVpXQpBcyDDoXJlYXMgYWNpbWEgZG8gM8K6IGFuZGFyIGFpbmRhIGVzdMOjbyBlbSBkZXNlbnZvbHZpbWVudG8gZSwgcG9yIGlzc28sIGVzdGFtb3MgcmVjcnV0YW5kbyBwZXNzb2FzIHF1ZSBwb3NzYW0gY29vcGVyYXIgY29tIGEgZWxpbWluYcOnw6NvIGRvcyBtb25zdHJvcy4=,,W0dhdGVpXQpMYXMgw6FyZWFzIHBvciBlbmNpbWEgZGVsIDMuwrogcGlzbyBhw7puIGVzdMOhbiBlbiBkZXNhcnJvbGxvIHksIHBvciBlc28sIGVzdGFtb3MgcmVjbHV0YW5kbyBwZXJzb25hcyBxdWUgcHVlZGFuIGNvb3BlcmFyIGNvbiBsYSBlbGltaW5hY2nDs24gZGUgbG9zIG1vbnN0cnVvcy4=
GFkAAQ,,W0dhdGVdCklmIHlvdSBoYXZlIGFueSBmdXJ0aGVyIHF1ZXN0aW9ucywgcGxlYXNlIGFzayB0aGUgZ3VpZGVzIGluc2lkZS4=,,,,,W0dhdGVpXQpTZSB0aXZlciBtYWlzIGFsZ3VtYSBkw7p2aWRhLCBwZXJndW50ZSDDoHMgZ3VpYXMgbMOhIGRlbnRyby4=,,W0dhdGVpXQpTaSB0aWVuZXMgYWxndW5hIG90cmEgZHVkYSwgcHJlZ8O6bnRhbGVzIGEgbGFzIGd1w61hcyBkZSBhZGVudHJvLg==
GVkAAQ,,W0dhdGVdCk9mIGNvdXJzZSB5b3UgbWF5IGVudGVyLiBJdCBpcyBvcGVuIHRvIHRoZSBnZW5lcmFsIHB1YmxpYyBhcyB3ZWxsLiBIb3dldmVyLCBzaW5jZSBpdCBpcyBzdGlsbCB1bmRlciBkZXZlbG9wbWVudCwgd2UgY2hhcmdlIGEgc21hbGwgZW50cmFuY2UgZmVlIHRoYXQgaW5jbHVkZXMgZGV2ZWxvcG1lbnQgYW5kIG1haW50ZW5hbmNlIGNvc3RzLg==,,,,,W0dhdGVpXQpDbGFybyBxdWUgcG9kZSBlbnRyYXIuIEFmaW5hbCwgZXN0w6EgYWJlcnRvIGFvIHDDumJsaWNvIGVtIGdlcmFsLiBObyBlbnRhbnRvLCBjb21vIGFpbmRhIGVzdMOhIGVtIGRlc2Vudm9sdmltZW50bywgY29icmFtb3MgdW1hIHBlcXVlbmEgdGF4YSBkZSBlbnRyYWRhIHBhcmEgY29icmlyIG9zIGN1c3RvcyBkZSBkZXNlbnZvbHZpbWVudG8gZSBtYW51dGVuw6fDo28u,,W0dhdGVpXQpDbGFybyBxdWUgcHVlZGVzIGVudHJhci4gRGVzcHXDqXMgZGUgdG9kbywgZXN0w6EgYWJpZXJ0YSBhbCBww7pibGljbyBlbiBnZW5lcmFsLiBTaW4gZW1iYXJnbywgY29tbyBhw7puIGVzdMOhIGVuIGRlc2Fycm9sbG8sIGNvYnJhbW9zIHVuYSBwZXF1ZcOxYSB0YXJpZmEgZGUgZW50cmFkYSBwYXJhIGN1YnJpciBsb3MgY29zdG9zIGRlIGRlc2Fycm9sbG8geSBtYW50ZW5pbWllbnRvLg==
GlkAAQ,,W0dhdGVdClRoZSBeMDAwMENEZW50cmFuY2UgZmVlXjAwMDAwMCBpcyBeMDAwMENEJzUwMDAgWmVueSdeMDAwMDAwIHBlciBwZXJzb24sIGJ1dCB3ZSBvZmZlciBhIGRpc2NvdW50IGFzIGEgdG9rZW4gb2Ygb3VyIGFwcHJlY2lhdGlvbiB0byB0aG9zZSB3aG8gY29vcGVyYXRlIGluIGV4dGVybWluYXRpbmcgbW9uc3RlcnMgZm9yIHRoZSBkZXZlbG9wbWVudCBvZiB0aGUgYXJlYXMgYWJvdmUgdGhlIDNyZCBmbG9vci4=,,,,,W0dhdGVpXQpBIF4wMDAwQ0R0YXhhIGRlIGVudHJhZGFeMDAwMDAwIMOpIGRlIF4wMDAwQ0QnNS4wMDAgemVueXMnXjAwMDAwMCBwb3IgcGVzc29hLCBtYXMgb2ZlcmVjZW1vcyB1bSBkZXNjb250bywgY29tbyBmb3JtYSBkZSBhZ3JhZGVjaW1lbnRvLCDDoHF1ZWxlcyBxdWUgY29vcGVyYXJlbSBjb20gYSBlbGltaW5hw6fDo28gZG9zIG1vbnN0cm9zIHBhcmEgbyBkZXNlbnZvbHZpbWVudG8gZGFzIMOhcmVhcyBhY2ltYSBkbyAzwrogYW5kYXIu,,W0dhdGVpXQpMYSBeMDAwMENEdGFyaWZhIGRlIGVudHJhZGFeMDAwMDAwIGVzIGRlIF4wMDAwQ0QnNS4wMDAgemVueXMnXjAwMDAwMCBwb3IgcGVyc29uYSwgcGVybyBvZnJlY2Vtb3MgdW4gZGVzY3VlbnRvLCBjb21vIGFncmFkZWNpbWllbnRvLCBhIGFxdWVsbG9zIHF1ZSBjb29wZXJlbiBjb24gbGEgZWxpbWluYWNpw7NuIGRlIG1vbnN0cnVvcyBwYXJhIGVsIGRlc2Fycm9sbG8gZGUgbGFzIMOhcmVhcyBzdXBlcmlvcmVzIGFsIDMuwrogcGlzby4=
G1kAAQ,,TW9uc3RlciBleHRlcm1pbmF0aW9uPw==,,,,,RWxpbWluYXIgbW9uc3Ryb3M/,,wr9FbGltaW5hciBtb25zdHJ1b3M/
HFkAAQ,,W0dhdGVdCk9ubHkgdGhlIDFzdCBhbmQgMm5kIGZsb29ycyBoYXZlIGJlZW4gZnVsbHkgZGV2ZWxvcGVkIGFuZCBtYWRlIHNhZmUuIFRoZSBhcmVhcyBhYm92ZSB0aGUgM3JkIGZsb29yIGFyZSBzdGlsbCB1bmRlciBkZXZlbG9wbWVudCwgYW5kIGFjY29yZGluZ2x5IGFyZSBvcGVuIG9ubHkgdG8gdGhvc2Ugd2lsbGluZyB0byBjb29wZXJhdGUgaW4gZXh0ZXJtaW5hdGluZyBtb25zdGVycy4KVGhpcyBpcyB0aGUgZGlzY291bnQgYmVuZWZpdCB3ZSBwcm92aWRlIHRvIHRob3NlIHVuZGVyIGNvbnRyYWN0IHdpdGggdXMu,,,,,W0dhdGVpXQpTb21lbnRlIG8gMcK6IGUgbyAywrogYW5kYXJlcyBzw6NvIMOhcmVhcyBzZWd1cmFzIGNvbSBvIGRlc2Vudm9sdmltZW50byBjb25jbHXDrWRvLiBBcyDDoXJlYXMgYWNpbWEgZG8gM8K6IGFuZGFyIGFpbmRhIGVzdMOjbyBlbSBkZXNlbnZvbHZpbWVudG8gZSwgcG9yIGlzc28sIHPDo28gYWJlcnRhcyBzb21lbnRlIMOgcXVlbGVzIHF1ZSBjb29wZXJhcmVtIGNvbSBhIGVsaW1pbmHDp8OjbyBkb3MgbW9uc3Ryb3MKw4kgdW0gYmVuZWbDrWNpbyBkZSBkZXNjb250byBjb25jZWRpZG8gw6BxdWVsZXMgcXVlIGZpcm1hbSBjb250cmF0byBjb25vc2NvLg==,,W0dhdGVpXQpTb2xvIGVsIDEuwrogeSAyLsK6IHBpc28gc29uIMOhcmVhcyBzZWd1cmFzIGNvbiBlbCBkZXNhcnJvbGxvIGNvbXBsZXRhZG8uIExhcyDDoXJlYXMgcG9yIGVuY2ltYSBkZWwgMy7CuiBwaXNvIGHDum4gZXN0w6FuIGVuIGRlc2Fycm9sbG8geSwgcG9yIGVzbywgc2UgYWJyZW4gc29sbyBhIGFxdWVsbG9zIHF1ZSBjb29wZXJlbiBjb24gbGEgZWxpbWluYWNpw7NuIGRlIG1vbnN0cnVvcy4KRXMgdW4gYmVuZWZpY2lvIGRlIGRlc2N1ZW50byBjb25jZWRpZG8gYSBxdWllbmVzIGZpcm1hbiB1biBjb250cmF0byBjb24gbm9zb3Ryb3Mu
HVkAAQ,,V2hhdCBhcmUgdGhlIHJlY3J1aXRtZW50IHJlcXVpcmVtZW50cz8=,,,,,UXVhaXMgYXMgY29uZGnDp8O1ZXM/,,wr9DdcOhbGVzIHNvbiBsYXMgY29uZGljaW9uZXM/
HlkAAQ,,W0dhdGVdCkJlY2F1c2UgcG93ZXJmdWwgbW9uc3RlcnMgYXBwZWFyIHRoZXJlLCB3ZSBtYWlubHkgcmVjcnVpdCB0aG9zZSB3aXRoIGEgY2VydGFpbiBhbW91bnQgb2YgZXhwZXJpZW5jZS4KSWYgeW91IGFyZSBpbnRlcmVzdGVkLCBpdCB3b3VsZCBiZSBhIGdvb2QgaWRlYSB0byBoZWFyIHRoZSBkZXRhaWxzIGZyb20gYSBndWlkZS4=,,,,,W0dhdGVpXQpDb21vIG1vbnN0cm9zIHBvZGVyb3NvcyBhcGFyZWNlbSBwb3IgbMOhLCByZWNydXRhbW9zIHByaW5jaXBhbG1lbnRlIHBlc3NvYXMgY29tIGJhc3RhbnRlIGV4cGVyacOqbmNpYS4KU2UgdGl2ZXIgaW50ZXJlc3NlLCBzZXJpYSBib20gb3V2aXIgb3MgZGV0YWxoZXMgY29tIHVtYSBkYXMgcmVjZXBjaW9uaXN0YXMu,,W0dhdGVpXQpDb21vIGFsbMOtIGFwYXJlY2VuIG1vbnN0cnVvcyBwb2Rlcm9zb3MsIHJlY2x1dGFtb3MgcHJpbmNpcGFsbWVudGUgYSBwZXJzb25hcyBjb24gbXVjaGEgZXhwZXJpZW5jaWEuClNpIGVzdMOhcyBpbnRlcmVzYWRvLCBzZXLDrWEgYnVlbm8gcXVlIGVzY3VjaGVzIGxvcyBkZXRhbGxlcyBjb24gdW5hIGRlIGxhcyByZWNlcGNpb25pc3Rhcy4=
H1kAAQ,,W0dhdGVdCkkgc2VlLgpJZiB5b3UgZXZlciBoYXZlIGFueSBidXNpbmVzcyByZWxhdGVkIHRvICdUaGFuYXRvcyBUb3dlcicgbGF0ZXIgb24sIHBsZWFzZSBjb21lIGZpbmQgbWUu,,,,,W0dhdGVpXQrDiSBtZXNtbz8KU2Ugbm8gZnV0dXJvIHRpdmVyIGFsZ3VtIGFzc3VudG8gcmVsYWNpb25hZG8gYSBlc3RlIGx1Z2FyLCAnVG9ycmUgZGUgVGhhbmF0b3MnLCB2ZW5oYSBtZSBwcm9jdXJhci4=,,W0dhdGVpXQrCv0VzIGFzw60/ClNpIGVuIGVsIGZ1dHVybyB0aWVuZXMgYWxnw7puIGFzdW50byByZWxhY2lvbmFkbyBjb24gZXN0ZSBsdWdhciwgbGEgJ1RvcnJlIGRlIFRoYW5hdG9zJywgdmVuIGEgYnVzY2FybWUu
IFkAAQ,,RGljZSBMYXBh,,,,,UmVjZXBjaW9uaXN0YQ==,,UmVjZXBjaW9uaXN0YQ==
IVkAAQ,,W0RpY2VdCkhlbGxvLgpXZWxjb21lIHRvICdUaGFuYXRvcyBUb3dlcicsIGEgbmV3IHBsYWNlIG9mIGFkdmVudHVyZSBhbmQgZXhwbG9yYXRpb24gcHJvcG9zZWQgYnkgUmVrZW5iZXIu,,,,,W0RpdHplXQpTYXVkYcOnw7Vlcy4KQm9hcy12aW5kYXMgw6AgJ1RvcnJlIGRlIFRoYW5hdG9zJywgcGF0cm9jaW5hZGEgcGVsYSBDb3Jwb3Jhw6fDo28gUmVrZW5iZXIu,,W0RpdHplXQpTYWx1ZG9zLgpCaWVudmVuaWRvIGEgbGEgJ1RvcnJlIGRlIFRoYW5hdG9zJywgcGF0cm9jaW5hZGEgcG9yIGxhIENvcnBvcmFjacOzbiBSZWtlbmJlci4=
IlkAAQ,,W0RpY2VdClNvLCB5b3UgYXJlIGEgcHJldmlvdXNseSBjb250cmFjdGVkIGNvbnRyYWN0b3I/IEkgd2lsbCByZW5ldyB5b3VyIGNvbnRyYWN0LiBFbmpveSB5b3VyIHRpbWUgYXQgVGhhbmF0b3MgVG93ZXIu,,,,,W0RpdHplXQpFbnTDo28gdm9jw6ogw6kgYWxndcOpbSBxdWUgasOhIGhhdmlhIGZpcm1hZG8gY29udHJhdG8gYW50ZXM/IFZvdSByZW5vdmFyIHNldSBjb250cmF0by4gQXByb3ZlaXRlIHNldSB0ZW1wbyBuYSBUb3JyZSBkZSBUaGFuYXRvcy4=,,W0RpdHplXQpFbnRvbmNlcywgwr9lcmVzIGFsZ3VpZW4gcXVlIHlhIGhhYsOtYSBmaXJtYWRvIGNvbnRyYXRvIGFudGVzPyBWb3kgYSByZW5vdmFyIHR1IGNvbnRyYXRvLiBEaXNmcnV0YSB0dSB0aWVtcG8gZW4gbGEgVG9ycmUgZGUgVGhhbmF0b3Mu
I1kAAQ,,SG93IG1heSBJIGhlbHAgeW91Pw==,,,,,Q29tbyBwb3NzbyBhanVkYXI/,,wr9Dw7NtbyBwdWVkbyBheXVkYXI/
JFkAAQ,,QWJvdXQgVGhhbmF0b3MgVG93ZXIu,,,,,U29icmUgYSBUb3JyZSBkZSBUaGFuYXRvcy4=,,U29icmUgbGEgVG9ycmUgZGUgVGhhbmF0b3Mu
JVkAAQ,,SSBoZWFyZCB5b3UgYXJlIHJlY3J1aXRpbmcgcGVvcGxlLg==,,,,,T3V2aSBkaXplciBxdWUgZXN0w6NvIHJlY3J1dGFuZG8gcGVzc29hcy4=,,RXNjdWNow6kgcXVlIGVzdMOhbiByZWNsdXRhbmRvIGdlbnRlLg==
JlkAAQ,,SXQncyBub3RoaW5nLg==,,,,,TmFkYSBuw6NvLg==,,TmFkYS4=
