gI2QDA,,U3JhdG9z,,,,,U3JhdG9z,,U3JhdG9z
lI2QDA,,W1NjaHJpYmVsXQpCdXQgaWYgeW91IHN0aWxsIGRlY2lkZSB0byB0cnkgdGhlIEdyYWRlLXVwIHNlcnZpY2UuLi4KSSwgU2NocmliZWwsIHdpbGwgcG91ciBteSBoZWFydCBhbmQgc291bCBpbnRvIHRoaXMgYW5kIGRvIG15IGJlc3Qh,,,,,W1NjaHJpYmVsXQpNYXMgc2Ugdm9jw6ogYWluZGEgcXVlciBlbmNhcmFyIG8gU2lzdGVtYSBkZSBHcmF1Li4uCkV1LCBTY2hyaWJlbCwgdm91IG1lIGRlZGljYXIgYW8gbcOheGltbyE=,,W1NjaHJpYmVsXQrCoVBlcm8gc2kgdGUgYW5pbWFzIGEgaW50ZW50YXIgbGEgbWVqb3JhIGRlIGdyYWRvLi4uIQrCoUVzdGUgU2h1cmliZWwgc2UgZXNmb3J6YXLDoSBhbCBtw6F4aW1vLCBwb25pZW5kbyBoYXN0YSBlbCBhbG1hIGVuIGVsbG8h
lY2QDA,,W1NjaHJpYmVsXQpIb2xkIG15IGhhbmRzIGFuZCBiZWxpZXZlISBDb21lIG9uLCB3ZSBjYW4gZG8gdGhpcyE=,,,,,W1NjaHJpYmVsXQpTZWd1cmUgYXMgbWluaGFzIG3Do29zIGUgdGVuaGEgZsOpISBWYW1vcyBsw6Eh,,W1NjaHJpYmVsXQrCoUTDqW1vbm9zIGxhIG1hbm8sIGNvbiBmZSEgwqFBcHJpZXRhIGxvcyBkaWVudGVzIHkgdmFtb3MgYSBwb3IgZWxsbyE=
lo2QDA,,W1NjaHJpYmVsXQpBbHJpZ2h0ISBMZXQncyBkbyBpdCBhZnRlciB5b3UgZ2V0IHBzeWNoZWQgdXAgd2l0aCBhIG5pY2UsIGNoaWxsZWQgZ2xhc3Mgb2Ygd2F0ZXIh,,,,,W1NjaHJpYmVsXQrDiSBpc3NvIGHDrSEgVmFtb3MgYWNvcmRhciBjb20gdW0gY29wbyBkZSDDoWd1YSBiZW0gZ2VsYWRhIGUgY29tZcOnYXIh,,W1NjaHJpYmVsXQrCoVPDrSEgwqFUb21lbW9zIHVuIHZhc28gZGUgYWd1YSBmcsOtYSB5IGVtcGVjZW1vcyE=
l42QDA,,W1NjaHJpYmVsXQpHcmFkZS11cCByZXF1aXJlcyBFdGhlciBnZW1zdG9uZXMhCkNvbWJpbmUgRXRoZXIgRHVzdCBhbmQgZ2Vtc3RvbmVzLCBhbmQgdm9pbGEtLXlvdSd2ZSBnb3QgRXRoZXIgZ2Vtc3RvbmVzIQpTYXksIHdvdWxkIHlvdSBsaWtlIHRvIGNvbWJpbmUgZ2Vtc3RvbmVzIHdpdGggRXRoZXIgRHVzdD8=,,,,,W1NjaHJpYmVsXQpQYXJhIGF1bWVudGFyIG8gZ3JhdSwgcHJlY2lzYW1vcyBkZSBtaW7DqXJpb3MgZGUgw4l0ZXIhClNlIGNvbWJpbmFybW9zIHDDsyBkZSDDqXRlciBjb20gY2VydGFzIGdlbWFzLCB2b2PDqiB0ZXLDoSBvIHNldSBtaW7DqXJpbyBkZSDDiXRlciEKUXVlciBjb21iaW5hciBnZW1hcyBjb20gcMOzIGRlIMOJdGVyPw==,,W1NjaHJpYmVsXQrCoVBhcmEgbGEgbWVqb3JhIGRlIGdyYWRvIHNlIG5lY2VzaXRhbiBnZW1hcyBkZSDDqXRlciEKU2kgY29tYmluYXMgcG9sdm8gZGUgw6l0ZXIgY29uIGdlbWFzLCDCoXRhLWRhISDCoVlhIHRpZW5lcyB1bmEgZ2VtYSBkZSDDqXRlciBwYXJhIHRpLCBhdmVudHVyZXJvIQrCv1F1aWVyZXMgY29tYmluYXIgZ2VtYXMgeSBwb2x2byBkZSDDqXRlcj8=
mI2QDA,,W1NjaHJpYmVsXQpTb21ldGltZXMgdW5zdGFibGUgZ2Vtc3RvbmVzIG92ZXJmbG93aW5nIHdpdGggaGlnaGx5IHB1cmUgbWFuYSBhcmUgZm91bmQuClRoZXkndmUgYmVlbiBuYW1lZCB0aGUgRXRoZXIgZ2Vtc3RvbmVzIGluIGdlbmVyYWwuCkJ5IHdob20/IE1lLS1TaHVyaWJlbGwh,,,,,W1NjaHJpYmVsXQrDgHMgdmV6ZXMsIGVuY29udHJhbW9zIG1pbsOpcmlvcyBpbnN0w6F2ZWlzIHJlcGxldG9zIGRlIG1hZ2lhIHB1cmEuCkVudMOjbywgZGVjaWRpcmFtIGNoYW1hciBlc3NhcyBwZWRyYXMgZGUgbWluw6lyaW9zIGRlIMOJdGVyLgpRdWVtIGRlY2lkaXU/IEV1IG1lc21vLCBTY2hyaWJlbCE=,,W1NjaHJpYmVsXQpBIHZlY2VzIHNlIGVuY3VlbnRyYW4gZ2VtYXMgaW5lc3RhYmxlcyBxdWUgY29udGllbmVuIG11Y2hhIG1hZ2lhIGRlIGFsdGEgcHVyZXphLgpIZW1vcyBkZWNpZGlkbyBsbGFtYXIgYSBlc2FzIGdlbWFzLCBlbiBnZW5lcmFsLCDCq2dlbWFzIGRlIMOpdGVywrsuCsK/UXVpw6luPyDCoVB1ZXMgeW8sIFNjaHJpYmVsIQ==
mY2QDA,,W1NjaHJpYmVsXQpUaGUgRXRoZXIgZ2Vtc3RvbmVzIGNhbiBhd2FrZW4gZXF1aXBtZW50J3MgaGlkZGVuIHBvdGVudGlhbApieSBpbmNyZWFzaW5nIGl0cyBncmFkZSwgc28gd2UgY2FsbCB0aGF0IHByb2Nlc3MgR3JhZGUtdXAu,,,,,W1NjaHJpYmVsXQpBIG1hZ2lhIGRvcyBtaW7DqXJpb3MgZGUgw4l0ZXIgcG9kZSBkZXNwZXJ0YXIgbyBwb3RlbmNpYWwgb2N1bHRvIGRvIGVxdWlwYW1lbnRvLgpPIGVxdWlwYW1lbnRvIMOpIG1lbGhvcmFkbyBubyBxdWUgY2hhbWFtb3MgZGUgIlNpc3RlbWEgZGUgR3JhdSIh,,W1NjaHJpYmVsXQpMYSBtYWdpYSBkZSBsYXMgZ2VtYXMgZXTDqXJlYXMgYSB2ZWNlcyBkZXNwaWVydGEgZWwgcG90ZW5jaWFsIG9jdWx0byBkZWwgZXF1aXBvLgrCoUEgZXNvIGxvIGxsYW1hbW9zIMKrbWVqb3JhIGRlIGdyYWRvwrssIHBvcnF1ZSBzdWJlIHVuIG5pdmVsIQ==
mo2QDA,,W1NjaHJpYmVsXQpZb3VyIHdlYXBvbnMgYW5kIGVxdWlwbWVudCBtaWdodCBob2xkIGhpZGRlbiBwb3RlbnRpYWwgeW91IGRvbid0IGV2ZW4gcmVhbGl6ZS4KVGhlcmUncyBhIHJpc2sgdGhleSBjb3VsZCBiZSBkZXN0cm95ZWQgaW4gdGhlIHByb2Nlc3MsIGJ1dCBubyBwYWluLCBubyBnYWluLCByaWdodD8=,,,,,W1NjaHJpYmVsXQpUYWx2ZXogbyBzZXUgZXF1aXBhbWVudG8gdGFtYsOpbSBndWFyZGUgdW0gcG90ZW5jaWFsIG9jdWx0by4KRW1ib3JhIGhhamEgbyByaXNjbyBkZSBlbGUgc2VyIGRlc3RydcOtZG8gc2UgbsOjbyBmb3IgZmVpdG8gY29ycmV0YW1lbnRlLCBxdWVtIG7Do28gYXJyaXNjYSBuw6NvIHBldGlzY2Eh,,W1NjaHJpYmVsXQpRdWl6w6FzIGVsIGVxdWlwbyBkZWwgYXZlbnR1cmVybyB0ZW5nYSB1biBwb3RlbmNpYWwgcXVlIG5pIHNpcXVpZXJhIGNvbm9jZXMuCkF1bnF1ZSBleGlzdGUgZWwgcmllc2dvIGRlIHF1ZSBzZSBkZXN0cnV5YSBzaSBubyBzZSBoYWNlIGJpZW4sIMKhaW50w6ludGFsbyBjb24gY29uZmlhbnphIQ==
m42QDA,,R3JhZGUgRW5oYW5jZXI=,,,,,RXNwZWNpYWxpc3RhIGRlIFNpc3RlbWEgZGUgR3JhdQ==,,RXNwZWNpYWxpc3RhIGVuIG1lam9yYSBkZSBncmFkbw==
nI2QDA,,W0dyYWRlIEVuaGFuY2VyXQpNYXkgbHVjayBiZSB3aXRoIHlvdSBhdCBhbGwgdGltZXMhCldlIGF3YWtlbiB0aGUgaGlkZGVuIHBvdGVudGlhbCBvZiB5b3VyIGVxdWlwbWVudC4=,,,,,W0VzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXVdClF1ZSBhIHNvcnRlIGVzdGVqYSBzZW1wcmUgY29udGlnbyEKVm91IGRlc3BlcnRhciBvIHBvdGVuY2lhbCBvY3VsdG8gZG8gc2V1IGVxdWlwYW1lbnRvLg==,,W0VzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG9dCsKhUXVlIGxhIHN1ZXJ0ZSB0ZSBhY29tcGHDsWUgc2llbXByZSEKRGVzcGVydGFyw6kgZWwgcG90ZW5jaWFsIG9jdWx0byBkZSB0dSBlcXVpcG8u
nY2QDA,,W0dyYWRlLVVwIFNwZWNpYWxpc3RdCldhbnQgdG8gdW5sb2NrIHRoZSBwb3RlbnRpYWwgb2YgeW91ciB0cmVhc3VyZWQgZ2Vhcj8KRXhwbG9zaW9ucyBtYXkgb2NjdXIgZHVyaW5nIHRoZSBwcm9jZXNzIG9mIG1hbmlwdWxhdGluZyBtYWdpYy4=,,,,,W0VzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXVdClZvY8OqIHF1ZXIgZGVzcGVydGFyIG8gcG90ZW5jaWFsIGRvIHNldSBwcmVjaW9zbyBlcXVpcGFtZW50bywgbsOjbyDDqT8KTGVtYnJlLXNlIHF1ZSBlc3NlIHByb2Nlc3NvIMOpIGRlbGljYWRvIGUgcG9kZSBhY2FycmV0YXIgZW0gZXhwbG9zw6NvIGEgcXVhbHF1ZXIgbW9tZW50by4=,,W0VzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG9dCsK/UXVpZXJlcyBkZXNwZXJ0YXIgZWwgcG90ZW5jaWFsIGRlIHR1IGVxdWlwbyBmYXZvcml0bywgdmVyZGFkPwpEdXJhbnRlIGVsIHByb2Nlc28gZGUgbWFuaXB1bGFjacOzbiBkZSBsYSBtYWdpYSwgcG9kcsOtYSBwcm9kdWNpcnNlIHVuYSBleHBsb3Npw7NuLg==
no2QDA,,W0dyYWRlLVVwIFNwZWNpYWxpc3RdCkJ1dCBpZiB5b3Ugc3RpbGwgd2lzaCB0byBhdHRlbXB0IGdyYWRlLXVwLi4uIQpUaGlzIEdyYWRlLVVwIFNwZWNpYWxpc3Qgd2lsbCBwb3VyIG15IHZlcnkgc291bCBpbnRvIGl0IGFuZCB3b3JrIHRpcmVsZXNzbHkh,,,,,W0VzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXVdCk1hcyBzZSB2b2PDqiBhaW5kYSBxdWVyIGVuY2FyYXIgbyBTaXN0ZW1hIGRlIEdyYXUuLi4KRXUsIG8gRXNwZWNpYWxpc3RhIGRlIFNpc3RlbWEgZGUgR3JhdSwgdm91IG1lIGRlZGljYXIgYW8gbcOheGltbyE=,,W0VzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG9dCsKhUGVybyBzaSBkZWNpZGVzIGludGVudGFyIGxhIG1lam9yYSBkZSBncmFkby4uLiEKwqFFc3RlIHJlZm9yemFkb3IgZGUgZ3JhZG8gc2UgZXNmb3J6YXLDoSBhbCBtw6F4aW1vLCBwb25pZW5kbyBoYXN0YSBlbCBhbG1hIGVuIGVsbG8h
n42QDA,,W0dyYWRlIEVuaGFuY2VyXQpMZXQncyBqb2luIGhhbmRzLCBob2xkIG9udG8gZmFpdGghIEdyaXQgeW91ciB0ZWV0aCBhbmQgZ2l2ZSBpdCBhIHNob3Qh,,,,,W0VzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXVdClNlZ3VyZSBhcyBtaW5oYXMgbcOjb3MgZSB0ZW5oYSBmw6khIFZhbW9zIGzDoSE=,,W0VzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG9dCsKhRMOpbW9ub3MgbGEgbWFubywgY29uIGZlISDCoUFwcmV0ZW1vcyBsb3MgZGllbnRlcyB5IHZhbW9zIGEgcG9yIGVsbG8h
oI2QDA,,W0dyYWRlIEVuaGFuY2VyXQpBbHJpZ2h0ISBMZXQncyB0YWtlIGEgZGVlcCBicmVhdGggYW5kIGRvIHRoaXMh,,,,,W0VzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXVdCsOJIGlzc28gYcOtISBWYW1vcyBhY29yZGFyIGNvbSB1bSBjb3BvIGRlIMOhZ3VhIGJlbSBnZWxhZGEgZSBjb21lw6dhciE=,,W0VzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG9dCsKhU8OtISDCoVRvbWVtb3MgdW4gdmFzbyBkZSBhZ3VhIGZyw61hIHkgZW1wZWNlbW9zIQ==
