4FZSDQ,,U2lnbnBvc3Q=,,,,,UGxhY2E=,,Q2FydGVs
61ZSDQ,,W1NpZ25wb3N0XQpJIHdpbGwgc2VuZCB5b3UgdG8gdGhlIHRvd24gb2ZmaWNlLCBzbyB3aHkgbm90IGJlY29tZSBpbmRlcGVuZGVudCBhbmQgdGhlbiB0cmFpbiB3aXRoIG1lPyBJIGd1YXJhbnRlZSB5b3Ugd2lsbCBiZSBhYmxlIHRvIHN1cnBhc3MgeW91ciBsaW1pdHMu,,,,,W1BsYWNhXQpWb3UgZW52acOhLWxvIMOgIHByZWZlaXR1cmEsIGVudMOjbyBxdWUgdGFsIHRvcm5hci1zZSBpbmRlcGVuZGVudGUgZSBkZXBvaXMgdHJlaW5hciBjb21pZ28/IEdhcmFudG8gcXVlIHBvZGVyw6Egc3VwZXJhciBzZXVzIGxpbWl0ZXMu,,W1BsYWNhXQpUZSBlbnZpYXLDqSBhbCBheXVudGFtaWVudG8sIGFzw60gcXVlIMK/cXXDqSB0ZSBwYXJlY2UgaW5kZXBlbmRpemFydGUgeSBsdWVnbyBlbnRyZW5hciBjb25taWdvPyBUZSBnYXJhbnRpem8gcXVlIHBvZHLDoXMgc3VwZXJhciB0dXMgbMOtbWl0ZXMu
7FZSDQ,,XjAwMDBDRFRoZSBqb2IgY2hhbmdlIHRlc3QgaW5jbHVkZXMgYSBoYXJzaCBwcm9jZXNzIHRoYXQgY2Fubm90IGJlIGVuZHVyZWQgd2l0aCBhIHNtYWxsIGFuZCBmcmFnaWxlIGJvZHkuIFlvdSBjYW4gcHJvY2VlZCBhZ2FpbiBhZnRlciBiZWNvbWluZyBpbmRlcGVuZGVudC5eMDAwMDAw,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIGluY2x1aSB1bSBwcm9jZXNzbyDDoXJkdW8gcXVlIHVtIGNvcnBvIHBlcXVlbm8gZSBmcsOhZ2lsIG7Do28gY29uc2VndWUgc3Vwb3J0YXIuIFZvY8OqIHBvZGVyw6EgcHJvc3NlZ3VpciBub3ZhbWVudGUgYXDDs3Mgc2UgdG9ybmFyIGluZGVwZW5kZW50ZS5eMDAwMDAw,,XjAwMDBDRExhIHBydWViYSBkZSBjYW1iaW8gZGUgY2xhc2UgaW5jbHV5ZSB1biBwcm9jZXNvIGFyZHVvIHF1ZSB1biBjdWVycG8gcGVxdWXDsW8geSBmcsOhZ2lsIG5vIHB1ZWRlIHNvcG9ydGFyLiBQb2Ryw6FzIGNvbnRpbnVhciBkZXNwdcOpcyBkZSBpbmRlcGVuZGl6YXJ0ZS5eMDAwMDAw
7VZSDQ,,U2hhbGwgd2UgZ28sIHRoZW4/,,,,,RW50w6NvIHZhbW9zPw==,,wr9WYW1vcyBlbnRvbmNlcz8=
7lZSDQ,,V2hhdCBpcyB0aGlzPw==,,,,,TyBxdWUgw6kgaXN0bz8=,,wr9RdcOpIGVzIGVzdG8/
71ZSDQ,,W3swfV0KVGhpcyBzZWVtcyBsaWtlIGEgc2NhbSwgYnV0IGl0IHdvdWxkIG5vdCBodXJ0IHRvIHRyeS4KU2lnbnBvc3QsIHNlbmQgbWUgdG8gdGhlIFByb250ZXJhIHRvd24gb2ZmaWNlLg==,,,,,W3swfV0KUGFyZWNlIGdvbHBlLCBtYXMgbsOjbyBjdXN0YSB0ZW50YXIuClBsYWNhLCBlbnZpZS1tZSDDoCBwcmVmZWl0dXJhIGRlIFByb250ZXJhLg==,,W3swfV0KUGFyZWNlIHVuYSBlc3RhZmEsIHBlcm8gdGFtcG9jbyBlc3TDoSBtYWwgaW50ZW50YXJsby4KQ2FydGVsLCBlbnbDrWFtZSBhbCBheXVudGFtaWVudG8gZGUgUHJvbnRlcmEu
8FZSDQ,,W1NpZ25wb3N0XQpZb3VyIHdvcmRzIGFyZSB0ZXJyaWJseSBhcnJvZ2FudC4gSG93ZXZlciwgSSB3aWxsIGZvcmdpdmUgeW91IGp1c3QgdGhpcyBvbmNlLgpHbyBhbmQgcmV0dXJuLCB0aGVuIHdlIHNoYWxsIG1lZXQgYWdhaW4u,,,,,W1BsYWNhXQpTdWFzIHBhbGF2cmFzIHPDo28gZXh0cmVtYW1lbnRlIGFycm9nYW50ZXMuIE1hcyB2b3UgcGVyZG/DoS1sbyBhcGVuYXMgZGVzdGEgdmV6LgpWb2x0ZSBlIG5vcyB2ZXJlbW9zIG5vdmFtZW50ZS4=,,W1BsYWNhXQpUdXMgcGFsYWJyYXMgc29uIG11eSBpbnNvbGVudGVzLiBBdW4gYXPDrSwgdGUgcGVyZG9uYXLDqSBzb2xvIHBvciBlc3RhIHZlei4KVnVlbHZlIGN1YW5kbyBoYXlhcyB0ZXJtaW5hZG8u
8VZSDQ,,W3swfV0KV2hhdCBpcyBhIG1lcmUgc2lnbnBvc3QgZG9pbmcsIHRlbGxpbmcgbWUgd2hhdCB0byBkbz8KSSBzaG91bGQganVzdCBiZSBvbiBteSB3YXku,,,,,W3swfV0KUXVlbSB1bWEgc2ltcGxlcyBwbGFjYSBwZW5zYSBxdWUgw6kgcGFyYSBmaWNhciBtZSBkaXplbmRvIG8gcXVlIGZhemVyPwrDiSBtZWxob3IgZXUgc2VndWlyIG1ldSBjYW1pbmhvLg==,,W3swfV0Kwr9RdcOpIHNlIGNyZWUgZXN0ZSBjYXJ0ZWwgcGFyYSBkZWNpcm1lIHF1w6kgaGFjZXI/ClNlcsOhIG1lam9yIHF1ZSBzaWdhIG1pIGNhbWluby4=
8lZSDQ,,W1NpZ25wb3N0XQpUaG9zZSB3aG8gYmVsaWV2ZSB0aGV5IGFyZSBraW5kZXIgdGhhbiBvdGhlcnMgYW5kIHBvc3Nlc3Mgb3V0c3RhbmRpbmcgYWJpbGl0aWVzLCBjb21lIHRvIG1lIGFuZCBtYWtlIHlvdXIgd2lsbCBrbm93biBmYXIgYW5kIHdpZGUh,,,,,W1BsYWNhXQpBcXVlbGUgcXVlIHNlIGNvbnNpZGVyYXIgbWFpcyBnZW50aWwgZSBtYWlzIGZvcnRlIHF1ZSBvcyBvdXRyb3MsIHZlbmhhIGF0w6kgbWltIGUgZmHDp2Egc3VhIHZvbnRhZGUgZWNvYXIgYW1wbGFtZW50ZSE=,,W1BsYWNhXQrCoVF1aWVuIHNlIGNvbnNpZGVyZSBtw6FzIGJvbmRhZG9zbyB5IGNhcGF6IHF1ZSBsb3MgZGVtw6FzLCBxdWUgdmVuZ2EgYSBtw60geSBoYWdhIHJlc29uYXIgc3Ugdm9sdW50YWQgcG9yIHRvZGFzIHBhcnRlcyE=
81ZSDQ,,QSBnb29kIHBlcnNvbj8gV2hhdCBpcyB0aGUgcHVycG9zZS4uLj8=,,,,,VW1hIHBlc3NvYSBnZW50aWw/IFF1YWwgw6kgbyBvYmpldGl2by4uLj8=,,wr9VbmEgcGVyc29uYSBib25kYWRvc2E/IMK/Q3XDoWwgZXMgc3UgcHJvcMOzc2l0by4uLj8=
9FZSDQ,,UmVhZCBtb3JlLg==,,,,,TGVyIG1haXMgdW0gcG91Y28u,,TGVlciB1biBwb2NvIG3DoXMu
9VZSDQ,,SWdub3JlIGl0IGFuZCBwYXNzIGJ5Lg==,,,,,SWdub3JhciBlIHBhc3Nhci4=,,SWdub3JhcmxvIHkgcGFzYXIgZGUgbGFyZ28u
9lZSDQ,,W1RpcmVkIFBlcnNvbl0KQ2FuIHlvdSBzZWUgdGhlIHdvcmRzIHdyaXR0ZW4gaGVyZT8=,,,,,W1Blc3NvYSBDYW5zYWRhXQpWb2PDqiBjb25zZWd1ZSB2ZXIgbyBxdWUgZXN0w6EgZXNjcml0byBhcXVpPw==,,W1BlcnNvbmEgZmF0aWdhZGFdClTDuiwgwr9wdWVkZXMgdmVyIGxvIHF1ZSBlc3TDoSBlc2NyaXRvIGFxdcOtPw==
91ZSDQ,,Q2FuIHlvdSBzZWUgdGhlIHdvcmRzIHdyaXR0ZW4gaGVyZT8=,,,,,Vm9jw6ogY29uc2VndWUgdmVyIG8gcXVlIGVzdMOhIGVzY3JpdG8gYXF1aT8=,,VMO6LCDCv3B1ZWRlcyB2ZXIgbG8gcXVlIGVzdMOhIGVzY3JpdG8gYXF1w60/
+FZSDQ,,W1RpcmVkIFBlcnNvbl0KT2YgYWxsIHRoZSBwZW9wbGUgd2hvIHBhc3NlZCB0aHJvdWdoIGhlcmUgdG9kYXksIG5vbmUgY291bGQgc2VlIHRoZXNlIHdvcmRzLiBZb3UgYXJlIHRoZSBmaXJzdC4=,,,,,W1Blc3NvYSBDYW5zYWRhXQpFbnRyZSB0b2RvcyBxdWUgcGFzc2FyYW0gcG9yIGFxdWkgaG9qZSwgbmluZ3XDqW0gY29uc2VndWlhIHZlciBlc3RhcyBwYWxhdnJhcy4gVm9jw6ogw6kgYSBwcmltZWlyYSBwZXNzb2Eu,,W1BlcnNvbmEgZmF0aWdhZGFdCkRlIHRvZG9zIGxvcyBxdWUgaGFuIHBhc2FkbyBob3kgcG9yIGFxdcOtLCBuYWRpZSBwdWRvIHZlciBlc3RhcyBwYWxhYnJhcy4gVMO6IGVyZXMgZWwgcHJpbWVyby4=
+VZSDQ,,QXJlIHlvdSB0aGUgb25lIHdobyB3cm90ZSB0aGlzPw==,,,,,Rm9pIHZvY8OqIHF1ZSBlc2NyZXZldSBpc3RvPw==,,wr9FcyB1c3RlZCBxdWllbiBsbyBlc2NyaWJpw7M/
+lZSDQ,,W1RpcmVkIFBlcnNvbl0KVGhhdCB3YXMgbm90IG1lLiBCdXQgSSBhbSBzZWFyY2hpbmcgZm9yIHRoZSBvbmUgd2hvIHdyb3RlIGl0Lg==,,,,,W1Blc3NvYSBDYW5zYWRhXQpOw6NvIGZ1aSBldS4gTWFzIGVzdG91IHByb2N1cmFuZG8gcXVlbSBlc2NyZXZldSBpc3RvLg==,,W1BlcnNvbmEgZmF0aWdhZGFdCk5vIGZ1aSB5by4gUGVybyBidXNjbyBhIGxhIHBlcnNvbmEgcXVlIGxvIGVzY3JpYmnDsy4=
+1ZSDQ,,SXQgZXZlbiBnaXZlcyBkaXJlY3Rpb25zLg==,,,,,VGFtYsOpbSBow6EgdW1hIGluZGljYcOnw6NvIGRlIGNhbWluaG8u,,UGVybyB0YW1iacOpbiBpbmRpY2EgZWwgY2FtaW5vLCDCv25vPw==
/FZSDQ,,W1RpcmVkIFBlcnNvbl0KVGhlc2Ugd29yZHMgY29udGFpbiBhIHNwZWNpYWwgcG93ZXIsIHNvIHRob3NlIHdobyBhcmUgbm90IHF1YWxpZmllZCBjYW5ub3Qgc2VlIHRoZW0sIGFuZCBldmVuIGlmIHRoZXkgaGFwcGVuIHRvIHNlZSB0aGVtLCB0aGV5IGNhbm5vdCBmaW5kIHRoZSB3YXku,,,,,W1Blc3NvYSBDYW5zYWRhXQpFc3RhcyBwYWxhdnJhcyBjb250w6ptIHVtIHBvZGVyIGVzcGVjaWFsLCBwb3IgaXNzbyBuw6NvIGFwYXJlY2VtIHBhcmEgcXVlbSBuw6NvIHRlbSBxdWFsaWZpY2HDp8Ojby4gRSBtZXNtbyBxdWUgYXBhcmXDp2FtLCBlc3NhIHBlc3NvYSBuw6NvIGNvbnNlZ3VlIGVuY29udHJhciBvIGNhbWluaG8u,,W1BlcnNvbmEgZmF0aWdhZGFdCkVzdGFzIHBhbGFicmFzIGNvbnRpZW5lbiB1biBwb2RlciBlc3BlY2lhbCwgZGUgbW9kbyBxdWUgbm8gc2UgbXVlc3RyYW4gYW50ZSBxdWllbmVzIG5vIHJlw7puZW4gbGFzIGNvbmRpY2lvbmVzLiBZIGF1bnF1ZSBhbGd1aWVuIGxsZWdhcmEgYSB2ZXJsYXMsIG5vIHBvZHLDrWEgZW5jb250cmFyIGVsIGNhbWluby4=
/VZSDQ,,W1RpcmVkIFBlcnNvbl0KSSB0cmllZCB0byBnbyB0byB0aGUgcGxhY2Ugd3JpdHRlbiBoZXJlLCBidXQgSSBrZXB0IGxvc2luZyBteSB3YXksIHNvIEkgd2FzIHdhaXRpbmcgaGVyZSBmb3Igc29tZW9uZSBlbHNlIHRvIGFwcGVhci4gUGVyaGFwcyBteSB2aXJ0dWUgaXMgbGFja2luZy4uLg==,,,,,W1Blc3NvYSBDYW5zYWRhXQpNZXNtbyB0ZW50YW5kbyBpciBhbyBsdWdhciBlc2NyaXRvIGFxdWksIGV1IGNvbnRpbnVhdmEgbWUgcGVyZGVuZG8sIGVudMOjbyBmaXF1ZWkgZXNwZXJhbmRvIG5lc3RlIGxvY2FsIGF0w6kgcXVlIG91dHJhIHBlc3NvYSBhcGFyZWNlc3NlLiBUYWx2ZXogc2VqYSBwb3IgZmFsdGEgZGUgdmlydHVkZSBtaW5oYS4uLg==,,W1BlcnNvbmEgZmF0aWdhZGFdCkhlIGludGVudGFkbyBpciBhbCBsdWdhciBlc2NyaXRvIGFxdcOtLCBwZXJvIG5vIGRlam8gZGUgcGVyZGVybWUsIGFzw60gcXVlIGVzcGVyYWJhIGVuIGVzdGUgc2l0aW8gYSBxdWUgYXBhcmVjaWVyYSBvdHJhIHBlcnNvbmEuIFF1aXrDoSBzZWEgcG9ycXVlIG1lIGZhbHRhIHZpcnR1ZC4uLg==
/lZSDQ,,QSBzdXNwaWNpb3VzIHNpZ25wb3N0IGFuZCBhIHN1c3BpY2lvdXMgcGVyc29uLi4u,,,,,VW1hIHBsYWNhIHN1c3BlaXRhIGUgdW1hIHBlc3NvYSBzdXNwZWl0YS4uLg==,,VW4gY2FydGVsIHNvc3BlY2hvc28geSB1bmEgcGVyc29uYSBzb3NwZWNob3NhLi4u
/1ZSDQ,,W1RpcmVkIFBlcnNvbl0KSWYgbXkgZ3Vlc3MgaXMgY29ycmVjdCwgdGhpcyB3aWxsIG5vdCBicmluZyB5b3UgaGFybSwgc28gaXQgd291bGQgYmUgZ29vZCBmb3IgeW91IHRvIGdvIHRoZXJlIG9uY2Uu,,,,,W1Blc3NvYSBDYW5zYWRhXQpTZSBtZXUgcGFscGl0ZSBlc3RpdmVyIGNvcnJldG8sIG7Do28gc2Vyw6EgYWxnbyBwcmVqdWRpY2lhbCBwYXJhIHZvY8OqLiBTZXJpYSBib20gdGVudGFyIGlyIGF0w6kgbMOhLg==,,W1BlcnNvbmEgZmF0aWdhZGFdClNpIG1pIHN1cG9zaWNpw7NuIGVzIGNvcnJlY3RhLCBubyBzZXLDoSBhbGdvIHF1ZSB0ZSBwZXJqdWRpcXVlLCBhc8OtIHF1ZSBzZXLDrWEgYnVlbm8gcXVlIGZ1ZXJhcyBhIGVjaGFyIHVuIHZpc3Rhem8u
AFdSDQ,,W1RpcmVkIFBlcnNvbl0KSSBzZW5zZSBeMDAwMENEdGhlIHRyYWNlIG9mIHRoZSBvbmUgd2hvIHdyb3RlIHRoZXNlIHdvcmRzXjAwMDAwMCBmcm9tIHlvdS4gWW91IG11c3QgYWxyZWFkeSBiZSBjb25uZWN0ZWQgdG8gdGhhdCBwZXJzb24sIHNvIGJlIGF0IGVhc2Uu,,,,,W1Blc3NvYSBDYW5zYWRhXQpTaW50byBlbSB2b2PDqiBeMDAwMENEb3MgdmVzdMOtZ2lvcyBkZSBxdWVtIGVzY3JldmV1IGVzdGFzIHBhbGF2cmFzXjAwMDAwMC4gRGV2ZSBzZXIgYWxndcOpbSBjb20gcXVlbSB2b2PDqiBqw6EgdGVtIGxpZ2HDp8OjbywgZW50w6NvIG7Do28gc2UgcHJlb2N1cGUu,,W1BlcnNvbmEgZmF0aWdhZGFdClBlcmNpYm8gZW4gdGkgXjAwMDBDRGVsIHJhc3RybyBkZSBsYSBwZXJzb25hIHF1ZSBlc2NyaWJpw7MgZXN0YXMgcGFsYWJyYXNeMDAwMDAwLiBZYSB0ZW5kcsOhcyB1biB2w61uY3VsbyBjb24gZWxsYSwgYXPDrSBxdWUgcHVlZGVzIGVzdGFyIHRyYW5xdWlsby4=
AVdSDQ,,UmVhbGx5PyBXaG8gY291bGQgaXQgYmUuLi4/IEFsbCByaWdodC4=,,,,,w4kgbWVzbW8/IFF1ZW0gc2Vyw6EuLi4/IEVudGVuZGku,,wr9BaCwgc8OtPyDCv1F1acOpbiBzZXLDoS4uLj8gRGUgYWN1ZXJkby4=
AldSDQ,,SWYgeW91IHB1dCBpdCB0aGF0IHdheS4uLg==,,,,,U2Ugdm9jw6ogaW5zaXN0ZSB0YW50by4uLg==,,U2kgaW5zaXN0ZSB0YW50by4uLg==
A1dSDQ,,W1RpcmVkIFBlcnNvbl0KRXhjZWxsZW50ISBUaGFuayB5b3UgdHJ1bHkuIEkgd2lsbCBzdXJlbHkgcmVwYXkgdGhpcyBmYXZvci4uLg==,,,,,W1Blc3NvYSBDYW5zYWRhXQpRdWUgYm9tISBNdWl0byBvYnJpZ2Fkby4gVW0gZGlhLCBldSBjZXJ0YW1lbnRlIHJldHJpYnVpcmVpIGVzdGUgZmF2b3IuLi4=,,W1BlcnNvbmEgZmF0aWdhZGFdCsKhRXhjZWxlbnRlISBUZSBsbyBhZ3JhZGV6Y28gZGUgdmVyZGFkLiBFc3RhIGRldWRhLCBzaW4gZHVkYS4uLg==
BFdSDQ,,V2FpdCBoZXJlIHVudGlsIEkgY29tZSBiYWNrLg==,,,,,RXNwZXJlIGFxdWkgYXTDqSBldSB2b2x0YXIu,,RXNwZXJlIGFxdcOtIGhhc3RhIHF1ZSB2dWVsdmEu
BVdSDQ,,W1RpcmVkIFBlcnNvbl0KV2hhdCBhcmUgeW91IHNheWluZz8gWW91IG11c3QgdGFrZSBtZSB3aXRoIHlvdS4uLg==,,,,,W1Blc3NvYSBDYW5zYWRhXQpPIHF1ZSBxdWVyIGRpemVyIGNvbSBpc3NvPyBWb2PDqiBwcmVjaXNhIG1lIGxldmFyIGp1bnRvLi4u,,W1BlcnNvbmEgZmF0aWdhZGFdCsK/UXXDqSBzaWduaWZpY2EgZXNvPyBEZWJlcyBsbGV2YXJtZSBjb250aWdvLi4u
BldSDQ,,W3swfV0KWW91IHNhaWQgeW91IGNhbm5vdCBmaW5kIHRoZSB3YXkgYmVjYXVzZSB5b3UgYXJlIHVucXVhbGlmaWVkLCByaWdodD8gSG93IGRvIEkga25vdyB5b3Ugd2lsbCBub3QgYnJpbmcgaGFybSB0byB0aGUgb25lIHdobyB3cm90ZSB0aGlzPw==,,,,,W3swfV0KVm9jw6ogZGlzc2UgcXVlIG7Do28gY29uc2VndWUgZW5jb250cmFyIG8gY2FtaW5obyBwb3IgbsOjbyB0ZXIgcXVhbGlmaWNhw6fDo28sIG7Do28gZGlzc2U/IENvbW8gZXUgdm91IHNhYmVyIHNlIHZvY8OqIG7Do28gZmFyw6EgYWxndW0gbWFsIGEgcXVlbSBlc2NyZXZldSBpc3RvPw==,,W3swfV0Kwr9ObyBkaWpvIHF1ZSBubyBlbmNvbnRyYWJhIGVsIGNhbWlubyBwb3JxdWUgbm8gY3VtcGzDrWEgbGFzIGNvbmRpY2lvbmVzPyDCv0PDs21vIHPDqSBxdWUgbm8gc2Vyw6EgdW5hIGFtZW5hemEgcGFyYSBsYSBwZXJzb25hIHF1ZSBlc2NyaWJpw7MgZXN0bz8=
B1dSDQ,,W1RpcmVkIFBlcnNvbl0KTm8sIEkgYW0gbm90IHRoYXQga2luZCBvZiBwZXJzb24uLi4hIFRoZXJlIGFyZSBjaXJjdW1zdGFuY2VzLi4uISBQbGVhc2UsIGxpc3RlbiB0byBtZSE=,,,,,W1Blc3NvYSBDYW5zYWRhXQpOw6NvLCBldSBuw6NvIHNvdSBlc3NlIHRpcG8gZGUgcGVzc29hLi4uISBIw6EgY2lyY3Vuc3TDom5jaWFzLi4uISBQb3IgZmF2b3IsIG91w6dhIG8gcXVlIHRlbmhvIGEgZGl6ZXIh,,W1BlcnNvbmEgZmF0aWdhZGFdCk5vLCB5byBubyBzb3kgZXNhIGNsYXNlIGRlIHBlcnNvbmEuLi4hIEhheSBjaXJjdW5zdGFuY2lhcy4uLiEgwqFQb3IgZmF2b3IsIGVzY3VjaGEgbG8gcXVlIHRlbmdvIHF1ZSBkZWNpciE=
CFdSDQ,,SSBzYXkhIFRha2UgbWUgd2l0aCB5b3Uh,,,,,RWkhIExldmUtbWUgY29tIHZvY8OqIQ==,,wqFPeWUhIMKhTGzDqXZhbWUgY29udGlnbyE=
CVdSDQ,,W3swfV0KVGhpcyBpcyBzdXNwaWNpb3VzLCBzbyBJIHNob3VsZCBqdXN0IHBhc3MgYnku,,,,,W3swfV0Kw4kgc3VzcGVpdG8sIGVudMOjbyDDqSBtZWxob3IgZXUgc2ltcGxlc21lbnRlIHBhc3Nhci4=,,W3swfV0KRXMgc29zcGVjaG9zbywgYXPDrSBxdWUgc2Vyw6EgbWVqb3Igc2VndWlyIG1pIGNhbWluby4=
CldSDQ,,W1RpcmVkIFBlcnNvbl0KWW91IGxlZnQgbWUgaGVyZSBhbmQgd2VudCBvbiBhbG9uZS4gRGlkIHRoaW5ncyBnbyB3ZWxsPw==,,,,,W1Blc3NvYSBDYW5zYWRhXQpWb2PDqiBtZSBkZWl4b3UgYXF1aSBlIGZvaSBlbWJvcmEuIEEgdGFyZWZhIGZvaSBiZW0tc3VjZWRpZGE/,,W1BlcnNvbmEgZmF0aWdhZGFdClTDuiwgbWUgZGVqYXN0ZSBhcXXDrSB5IHRlIGZ1aXN0ZS4gwr9TYWxpw7MgYmllbiBhcXVlbGxvIGEgbG8gcXVlIGZ1aXN0ZT8=
