YCMkAw,,S2VsbGFzdXM=,,,,,S2VsbGFzdXM=,,S2VsbGFzdXM=
ayMkAw,,W0tlbGxhc3VzXQpNZWRpY2luZSwgY2hlbWlzdHJ5LCBiaW9sb2d5LCBnZW9sb2d5LCBhc3Ryb25vbXksIGFzdHJvbG9neSwKZmVuZyBzaHVpLCBwaGlsb3NvcGh5LCBwaHlzaWNzLCBtYXRoZW1hdGljcy4uLiB0aGUgc3ludGhlc2lzIG9mIGV2ZXJ5CmV4aXN0aW5nIGRpc2NpcGxpbmUgaW4gdGhlIHdvcmxkLCB0aGF0IGlzIGFsY2hlbXku,,,,,W0tlbGxhc3VzXQpNZWRpY2luYSwgcXXDrW1pY2EsIGJpb2xvZ2lhLCBnZW9sb2dpYSwgYXN0cm9ub21pYSwgYXN0cm9sb2dpYSwKZmVuZyBzaHVpLCBmaWxvc29maWEsIGbDrXNpY2EsIG1hdGVtw6F0aWNhLi4uIGEgc8OtbnRlc2UgZGUgdG9kYXMKYXMgZGlzY2lwbGluYXMgZXhpc3RlbnRlcyBubyBtdW5kbywgaXNzbyDDqSBhbHF1aW1pYS4=,,W0tlbGxhc3VzXQpNZWRpY2luYSwgcXXDrW1pY2EsIGJpb2xvZ8OtYSwgZ2VvbG9nw61hLCBhc3Ryb25vbcOtYSwgYXN0cm9sb2fDrWEsCmZlbmcgc2h1aSwgZmlsb3NvZsOtYSwgZsOtc2ljYSwgbWF0ZW3DoXRpY2FzLi4uIGxhIHPDrW50ZXNpcyBkZSB0b2RhcwpsYXMgZGlzY2lwbGluYXMgZXhpc3RlbnRlcyBlbiBlbCBtdW5kbywgZXNvIGVzIGxhIGFscXVpbWlhLg==
bCMkAw,,W0tlbGxhc3VzXQpFeHBsb3Jpbmcgc3VjaCBhIGNvbXBsZXgsIGRpZmZpY3VsdCwgYW5kIHZhc3QgZGlzY2lwbGluZSwKaXQncyBhbG1vc3Qgc3RyYW5nZXIgdGhhdCBpdCB3b3VsZG4ndCB0cmFpbiBvbmVzZWxmLgpUaGUgYWN0IG9mIG1ha2luZyBnb2xkIGl0c2VsZiBpcywgaW4gYSB3YXksIG1lcmVseSBhIHNpbXBsZSBwcm9jZXNzLg==,,,,,W0tlbGxhc3VzXQpFeHBsb3JhciB1bWEgZGlzY2lwbGluYSB0w6NvIGNvbXBsZXhhLCBkaWbDrWNpbCBlIHZhc3RhLArDqSBxdWFzZSBlc3RyYW5obyBxdWUgaXNzbyBuw6NvIHRyZWluZSBhIHNpIG1lc21vLgpPIGF0byBkZSBmYXplciBvdXJvIGVtIHNpIMOpLCBkZSBjZXJ0YSBmb3JtYSwgbWVyYW1lbnRlIHVtIHByb2Nlc3NvIHNpbXBsZXMu,,W0tlbGxhc3VzXQpFeHBsb3JhciB1bmEgZGlzY2lwbGluYSB0YW4gY29tcGxlamEsIGRpZsOtY2lsIHkgdmFzdGEsCmVzIGNhc2kgZXh0cmHDsW8gcXVlIG5vIGVudHJlbmUgYSB1bm8gbWlzbW8uCkVsIGFjdG8gZGUgaGFjZXIgb3JvIGVuIHPDrSBtaXNtbyBlcywgZW4gY2llcnRvIG1vZG8sIG1lcmFtZW50ZSB1biBwcm9jZXNvIHNpbXBsZS4=
bSMkAw,,W0tlbGxhc3VzXQpZb3UgaGF2ZSBzZXQgZm9vdCBpbnRvIHRoaXMgd29ybGQgb2YgYWxjaGVteS4KRG9lc24ndCB5b3VyIGhlYXJ0IHJhY2U/IERvIHlvdXIgYmVzdC4=,,,,,W0tlbGxhc3VzXQpWb2PDqiBjb2xvY291IG9zIHDDqXMgbmVzdGUgbXVuZG8gZGEgYWxxdWltaWEuClNldSBjb3Jhw6fDo28gbsOjbyBhY2VsZXJhPyBGYcOnYSBvIHNldSBtZWxob3Iu,,W0tlbGxhc3VzXQpIYXMgcHVlc3RvIHVuIHBpZSBlbiBlc3RlIG11bmRvIGRlIGxhIGFscXVpbWlhLgrCv05vIHNlIHRlIGFjZWxlcmEgZWwgY29yYXrDs24/IEhhemxvIGxvIG1lam9yIHF1ZSBwdWVkYXMu
biMkAw,,W0tlbGxhc3VzXQpFdmVuIGlmIHlvdSBsYXRlciByZWdyZXQgb3IgYmVjb21lIGZydXN0cmF0ZWQsIHlvdSBoYXZlIGFscmVhZHkKZW50ZXJlZCB0aGUgcGF0aCBvZiBhbGNoZW15LiBTaW5jZSB5b3UndmUgc3RhcnRlZCwgZXZlbiBpZiB5b3UgY2FuJ3QgZ28gYWxsIHRoZSB3YXksCnlvdSBzaG91bGQgYXQgbGVhc3QgZG8gYXMgbXVjaCBhcyB5b3UgY2FuLCByaWdodD8=,,,,,W0tlbGxhc3VzXQpNZXNtbyBxdWUgbWFpcyB0YXJkZSB2b2PDqiBzZSBhcnJlcGVuZGEgb3UgZmlxdWUgZnJ1c3RyYWRvLCB2b2PDqiBqw6EKZW50cm91IG5vIGNhbWluaG8gZGEgYWxxdWltaWEuIErDoSBxdWUgY29tZcOnb3UsIG1lc21vIHF1ZSBuw6NvIHBvc3NhIGlyIGF0w6kgbyBmaW0sCmRldmVyaWEgcGVsbyBtZW5vcyBmYXplciBvIG3DoXhpbW8gcXVlIHB1ZGVyLCBjZXJ0bz8=,,W0tlbGxhc3VzXQpJbmNsdXNvIHNpIGx1ZWdvIHRlIGFycmVwaWVudGVzIG8gdGUgZnJ1c3RyYXMsIHlhIGhhcwplbnRyYWRvIGVuIGVsIGNhbWlubyBkZSBsYSBhbHF1aW1pYS4gWWEgcXVlIGVtcGV6YXN0ZSwgaW5jbHVzbyBzaSBubyBwdWVkZXMgbGxlZ2FyIGhhc3RhIGVsIGZpbmFsLAphbCBtZW5vcyBkZWJlcsOtYXMgaGFjZXIgdG9kbyBsbyBxdWUgcHVlZGFzLCDCv3ZlcmRhZD8=
byMkAw,,W0tlbGxhc3VzXQpCYWNrIGFnYWluPyBXZWxsLCBkZWFsaW5nIHdpdGggYSBwYXNzaW9uYXRlIHJvb2tpZSBhbGNoZW1pc3QgbGlrZSB5b3UKaXMgZmFyIG1vcmUgY29tZm9ydGFibGUgdGhhbiBiZWluZyBib3RoZXJlZCBieSBmb29saXNoIGh1bWFucy4uLgpGaW5lLiBXaGF0IHN0b3J5IHNob3VsZCBJIHRlbGwgeW91IHRoaXMgdGltZT8=,,,,,W0tlbGxhc3VzXQpEZSB2b2x0YSBvdXRyYSB2ZXo/IEJlbSwgbGlkYXIgY29tIHVtIGFscXVpbWlzdGEgbm92YXRvIGUgYXBhaXhvbmFkbyBjb21vIHZvY8OqCsOpIG11aXRvIG1haXMgY29uZm9ydMOhdmVsIGRvIHF1ZSBzZXIgaW5jb21vZGFkbyBwb3IgaHVtYW5vcyB0b2xvcy4uLgpNdWl0byBiZW0uIFF1ZSBoaXN0w7NyaWEgZGV2byBjb250YXIgZGVzdGEgdmV6Pw==,,W0tlbGxhc3VzXQrCv0hhcyB2dWVsdG8gb3RyYSB2ZXo/IEJpZW4sIHRyYXRhciBjb24gdW4gYWxxdWltaXN0YSBub3ZhdG8geSBhcGFzaW9uYWRvIGNvbW8gdMO6CmVzIG11Y2hvIG3DoXMgY8OzbW9kbyBxdWUgc2VyIG1vbGVzdGFkbyBwb3IgaHVtYW5vcyB0b250b3MuLi4KTXV5IGJpZW4uIMK/UXXDqSBoaXN0b3JpYSBkZWJlcsOtYSBjb250YXJ0ZSBlc3RhIHZlej8=
cCMkAw,,W0tlbGxhc3VzXQpIbW0uIElmIHlvdSBjYW4gbWFrZSBnb2xkLCB5b3UgY2FuIG1ha2UgYW55dGhpbmcgZWxzZSwgYnV0Li4uCnBsZWFzZSByZWZyYWluIGZyb20gcGxheWluZyB3aXRoIGxpZmUgYXMgbXVjaCBhcyBwb3NzaWJsZS4=,,,,,W0tlbGxhc3VzXQpIbW0uIFNlIHZvY8OqIHBvZGUgZmF6ZXIgb3VybywgcG9kZSBmYXplciBxdWFscXVlciBvdXRyYSBjb2lzYSwgbWFzLi4uCnBvciBmYXZvciwgZXZpdGUgYnJpbmNhciBjb20gYSB2aWRhIG8gbcOheGltbyBwb3Nzw612ZWwu,,W0tlbGxhc3VzXQpIbW0uIFNpIHB1ZWRlcyBoYWNlciBvcm8sIHB1ZWRlcyBoYWNlciBjdWFscXVpZXIgb3RyYSBjb3NhLCBwZXJvLi4uCnBvciBmYXZvciwgZXZpdGEganVnYXIgY29uIGxhIHZpZGEgbG8gbcOhcyBwb3NpYmxlLg==
cSMkAw,,W0tlbGxhc3VzXQpBbW9uZyBhbGNoZW15LCB0aGVyZSBpcyBhIHRlY2huaXF1ZSB0byBjcmVhdGUgbGlmZSBmcm9tIG5vdGhpbmcsCmEgdGVjaG5pcXVlIHRoYXQgdHJ1bHkgbXVzdCBub3QgYmUgZG9uZSwgbm9yIGV2ZW4gbGVhcm5lZC4=,,,,,W0tlbGxhc3VzXQpEZW50cm8gZGEgYWxxdWltaWEsIGjDoSB1bWEgdMOpY25pY2EgcGFyYSBjcmlhciB2aWRhIGRvIG5hZGEsCnVtYSB0w6ljbmljYSBxdWUgdmVyZGFkZWlyYW1lbnRlIG7Do28gZGV2ZSBzZXIgZmVpdGEsIG5lbSBtZXNtbyBhcHJlbmRpZGEu,,W0tlbGxhc3VzXQpEZW50cm8gZGUgbGEgYWxxdWltaWEsIGhheSB1bmEgdMOpY25pY2EgcGFyYSBjcmVhciB2aWRhIGRlIGxhIG5hZGEsCnVuYSB0w6ljbmljYSBxdWUgdmVyZGFkZXJhbWVudGUgbm8gZGViZSBoYWNlcnNlLCBuaSBzaXF1aWVyYSBhcHJlbmRlcnNlLg==
ciMkAw,,W0tlbGxhc3VzXQpUaGluayBhYm91dCBpdC4gVGhpcyBsaWZlIG9mIG91cnMgaXMgYSBub2JsZSB3aWxsIG9mIHRoZSBnb2RzIGJlc3Rvd2VkIHVwb24gdXMuCkFuZCB0aGF0IHdpbGwgaXMgZ2l2ZW4gY29uY3JldGUgZXhpc3RlbmNlIGluIHRoaXMgd29ybGQgdGhyb3VnaCBvdXIgcGFyZW50cy4=,,,,,W0tlbGxhc3VzXQpQZW5zZSBuaXNzby4gRXN0YSBub3NzYSB2aWRhIMOpIHVtYSBub2JyZSB2b250YWRlIGRvcyBkZXVzZXMgY29uY2VkaWRhIGEgbsOzcy4KRSBlc3NhIHZvbnRhZGUgcmVjZWJlIGV4aXN0w6puY2lhIGNvbmNyZXRhIG5lc3RlIG11bmRvIGF0cmF2w6lzIGRlIG5vc3NvcyBwYWlzLg==,,W0tlbGxhc3VzXQpQacOpbnNhbG8uIEVzdGEgdmlkYSBudWVzdHJhIGVzIHVuYSBub2JsZSB2b2x1bnRhZCBkZSBsb3MgZGlvc2VzIG90b3JnYWRhIGEgbm9zb3Ryb3MuClkgZXNhIHZvbHVudGFkIHJlY2liZSBleGlzdGVuY2lhIGNvbmNyZXRhIGVuIGVzdGUgbXVuZG8gYSB0cmF2w6lzIGRlIG51ZXN0cm9zIHBhZHJlcy4=
cyMkAw,,W0tlbGxhc3VzXQpMaWZlIGlzIHRoYXQgZ3JlYXQgYW5kIGJlYXV0aWZ1bC4gVG8gdGhpbmsgYSBtZXJlIGh1bWFuIGNvdWxkIGNyZWF0ZSBzdWNoIGxpZmU/ClRoYXQgaXMgdGhlIGhlaWdodCBvZiBodW1hbiBhcnJvZ2FuY2UuIEl0J3Mgbm90IGV2ZW4gYSBtYXR0ZXIgb2YgY2hhbGxlbmdpbmcgZGl2aW5lIGF1dGhvcml0eS4=,,,,,W0tlbGxhc3VzXQpBIHZpZGEgw6kgYXNzaW0gZ3JhbmRlIGUgYmVsYS4gUGVuc2FyIHF1ZSB1bSBtZXJvIGh1bWFubyBwb2RlcmlhIGNyaWFyIHRhbCB2aWRhPwpJc3NvIMOpIG8gYXVnZSBkYSBhcnJvZ8OibmNpYSBodW1hbmEuIE7Do28gw6kgbmVtIG1lc21vIHVtYSBxdWVzdMOjbyBkZSBkZXNhZmlhciBhIGF1dG9yaWRhZGUgZGl2aW5hLg==,,W0tlbGxhc3VzXQpMYSB2aWRhIGVzIGFzw60gZGUgZ3JhbmRlIHkgaGVybW9zYS4gwr9QZW5zYXIgcXVlIHVuIG1lcm8gaHVtYW5vIHBvZHLDrWEgY3JlYXIgdGFsIHZpZGE/CkVzbyBlcyBlbCBjb2xtbyBkZSBsYSBhcnJvZ2FuY2lhIGh1bWFuYS4gTmkgc2lxdWllcmEgZXMgdW5hIGN1ZXN0acOzbiBkZSBkZXNhZmlhciBsYSBhdXRvcmlkYWQgZGl2aW5hLg==
dCMkAw,,W0tlbGxhc3VzXQpJIGFtIHRoZSBmb3JlbW9zdCBleHBlcnQgaW4gdGhhdCBsaWZlLWNyZWF0aW5nIHRlY2huaXF1ZSwgeWVzLi4uIHRoZSBvbmUgY2FsbGVkIF5GRjAwMDBIb211bmN1bHVzXjAwMDAwMC4KQnV0Li4uIG5vdyBJIHJlZ3JldCBpdC4=,,,,,W0tlbGxhc3VzXQpFdSBzb3UgbyBtYWlvciBlc3BlY2lhbGlzdGEgbmVzc2EgdMOpY25pY2EgZGUgY3JpYXIgdmlkYSwgc2ltLi4uIGFxdWVsZSBjaGFtYWRvIF5GRjAwMDBIb23Dum5jdWxvXjAwMDAwMC4KTWFzLi4uIGFnb3JhIG1lIGFycmVwZW5kby4=,,W0tlbGxhc3VzXQpTb3kgZWwgbWF5b3IgZXhwZXJ0byBlbiBlc2EgdMOpY25pY2EgZGUgY3JlYXIgdmlkYSwgc8OtLi4uIGxhIGxsYW1hZGEgXkZGMDAwMEhvbcO6bmN1bG9eMDAwMDAwLgpQZXJvLi4uIGFob3JhIG1lIGFycmVwaWVudG8u
dSMkAw,,W0tlbGxhc3VzXQpXaGF0IGlzIGFsY2hlbXk/IFdoYXQgaXMgYSBtZXRhLWRpc2NpcGxpbmUgdGhhdCBzeW50aGVzaXplcyBhbGwga25vd2xlZGdlPwpJIGNhbiBubyBsb25nZXIgZm9yZ2l2ZSBodW1hbiBhcnJvZ2FuY2Uu,,,,,W0tlbGxhc3VzXQpPIHF1ZSDDqSBhbHF1aW1pYT8gTyBxdWUgw6kgdW1hIG1ldGFkaXNjaXBsaW5hIHF1ZSBzaW50ZXRpemEgdG9kbyBvIGNvbmhlY2ltZW50bz8KTsOjbyBwb3NzbyBtYWlzIHBlcmRvYXIgYSBhcnJvZ8OibmNpYSBodW1hbmEu,,W0tlbGxhc3VzXQrCv1F1w6kgZXMgbGEgYWxxdWltaWE/IMK/UXXDqSBlcyB1bmEgbWV0YWRpc2NpcGxpbmEgcXVlIHNpbnRldGl6YSB0b2RvIGVsIGNvbm9jaW1pZW50bz8KWWEgbm8gcHVlZG8gcGVyZG9uYXIgbGEgYXJyb2dhbmNpYSBodW1hbmEu
diMkAw,,W0tlbGxhc3VzXQpEaWQgSSBub3QgdGVsbCB5b3U/IFRoZXJlIGNvbWVzIGEgdGltZSBvZiByZWdyZXQgYW5kIGZydXN0cmF0aW9uIGluIGFsY2hlbXkuCllvdSBtYXkgbm90IGhhdmUgZXhwZXJpZW5jZWQgaXQgeWV0LCBidXQgYXMgeW91IGNvbnRpbnVlIGRvd24gdGhpcyBwYXRoLCBzb21lZGF5Li4u,,,,,W0tlbGxhc3VzXQpFdSBuw6NvIGxoZSBkaXNzZT8gQ2hlZ2EgdW0gbW9tZW50byBkZSBhcnJlcGVuZGltZW50byBlIGZydXN0cmHDp8OjbyBuYSBhbHF1aW1pYS4KVm9jw6ogcG9kZSBhaW5kYSBuw6NvIHRlciBleHBlcmltZW50YWRvLCBtYXMgY29uZm9ybWUgY29udGludWEgcG9yIGVzdGUgY2FtaW5obywgdW0gZGlhLi4u,,W0tlbGxhc3VzXQrCv05vIHRlIGxvIGRpamU/IExsZWdhIHVuIG1vbWVudG8gZGUgYXJyZXBlbnRpbWllbnRvIHkgZnJ1c3RyYWNpw7NuIGVuIGxhIGFscXVpbWlhLgpQdWVkZSBxdWUgYcO6biBubyBsbyBoYXlhcyBleHBlcmltZW50YWRvLCBwZXJvIGNvbmZvcm1lIGNvbnRpbsO6ZXMgcG9yIGVzdGUgY2FtaW5vLCBhbGfDum4gZMOtYS4uLg==
