QAVdDQ,,RXVuaGE=,,,,,Q29zbW9z,,Q29zbW9z
SwVdDQ,,W0V1bmhhXQpJdCdzIHByZXR0eSBuaWNlLCByaWdodD8gRXZlbiBpZiBJIGxpdmUgZm9yIG9ubHkgYSBkYXksIEkgd2FudCB0byBsaXZlIHNvbWV3aGVyZSBjb21mb3J0YWJsZS4gSSBwdXQgc29tZSBlZmZvcnQgaW50byBpdC4gV2hhdCBkbyB5b3UgdGhpbms/IElzbid0IGl0IGNvenk/,,,,,W0Nvc21vc10KTsOjbyDDqSBiZW0gbGVnYWw/IE1lc21vIHF1ZSBmb3NzZSB2aXZlciBzw7MgcG9yIHVtIGRpYSwgcXVlcmlhIHZpdmVyIGVtIHVtIGx1Z2FyIGNvbmZvcnTDoXZlbC4gQ2FwcmljaGVpIGJhc3RhbnRlLiBPIHF1ZSBhY2hvdT8gTsOjbyDDqSBhY29uY2hlZ2FudGU/,,W0Nvc21vc10KRXN0w6EgYmFzdGFudGUgYmllbiwgwr9ubz8gQXVucXVlIHNvbG8gZnVlcmEgYSB2aXZpciB1biBkw61hLCBxdWVyw61hIHZpdmlyIGVuIHVuIHNpdGlvIGFncmFkYWJsZS4gTWUgZXNtZXLDqSB1biBwb2NvLiDCv1F1w6kgdGFsPyDCv05vIGVzIGFjb2dlZG9yPw==
TAVdDQ,,W0h1aXVuXQpBaCwgeWVzLiBUaGlzIGlzIHRoZSBraW5kIG9mIHBlcnNvbiB5b3Ugd2VyZS4=,,,,,W0hlZXVuXQpBaCwgc2ltLiBWb2PDqiBlcmEgZXNzZSB0aXBvIGRlIHBlc3NvYS4=,,W0hlZXVuXQpBaCwgc8OtLiBFcmFzIGVzZSB0aXBvIGRlIHBlcnNvbmEu
TQVdDQ,,W0V1bmhhXQpOb3csIGdvIGRvd24gZm9yIG5vdyBhbmQgbG9vayBhcm91bmQgdGhlIHlhcmQuIEkgcHV0IHF1aXRlIGEgYml0IG9mIGVmZm9ydCBpbnRvIHRoZSBsYW5kc2NhcGluZyB0b28u,,,,,W0Nvc21vc10KQmVtLCBwcmltZWlybyBkZXPDp2EgZSBkw6ogdW1hIG9saGFkYSBubyBqYXJkaW0uIFRhbWLDqW0gY2FwcmljaGVpIGJhc3RhbnRlIG5vIHBhaXNhZ2lzbW8u,,W0Nvc21vc10KTWlyYSwgYmFqYSB5IGVjaGEgdW4gdmlzdGF6byBhbCBwYXRpby4gVGFtYmnDqW4gY3VpZMOpIGJhc3RhbnRlIGVsIHBhaXNhamlzbW8u
TgVdDQ,,W0V1bmhhXQpXaHk/IElzIGl0IHRvbyBoYXJkIHRvIHNwYXIgd2l0aCBIdWl1bj8gSXQncyBmaW5lLiBZb3UgY2FuIGRvIGl0LiBJIHRvbGQgaGltIHRvIGdvIGVhc3kgb24geW91IHRvby4gR28gb24u,,,,,W0Nvc21vc10KSMOjPyBFc3TDoSBkaWbDrWNpbCBkdWVsYXIgY29tIEhlZXVuPyBOw6NvIHNlIHByZW9jdXBlLiBWb2PDqiBjb25zZWd1ZS4gRXUgdGFtYsOpbSBkaXNzZSBwYXJhIGVsZSBwZWdhciBsZXZlLiBWw6EgbG9nby4=,,W0Nvc21vc10Kwr9RdcOpPyDCv1RlIGN1ZXN0YSBjb21iYXRpciBjb250cmEgSGVldW4/IENhbG1hLCBwdWVkZXMgaGFjZXJsby4gWWEgbGUgZGlqZSBxdWUgZnVlcmEgc3VhdmUgY29udGlnby4gVmUu
TwVdDQ,,W0V1bmhhXQpDdXRpZT8=,,,,,W0Nvc21vc10KRm9mdXJhPw==,,W0Nvc21vc10Kwr9MaW5kdXJhPw==
UAVdDQ,,W0V1bmhhXQpUaGF0J3Mgc3RyYW5nZS4gV2h5IGRvIHlvdSBzZWVtIHdlYWtlci4uLj8=,,,,,W0Nvc21vc10KRXN0cmFuaG8uIFBvciBxdWUgcGFyZWNlIHF1ZSB2b2PDqiBlbmZyYXF1ZWNldS4uLj8=,,W0Nvc21vc10KRXh0cmHDsW8uIMK/UG9yIHF1w6kgcGFyZWNlIHF1ZSB0ZSBkZWJpbGl0YXN0ZS4uLj8=
UQVdDQ,,XjAwMDBDRFlvdSBjYW4gdGFrZSB0aGUgam9iIGNoYW5nZSB0ZXN0IHN0YXJ0aW5nIGZyb20gQmFzZSBMZXZlbCAyMDAuXjAwMDAwMA==,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHPDsyBwb2RlIHNlciByZWFsaXphZG8gYSBwYXJ0aXIgZG8gTsOtdmVsIGRlIEJhc2UgMjAwLl4wMDAwMDA=,,XjAwMDBDRFB1ZWRlcyByZWFsaXphciBsYSBwcnVlYmEgZGUgY2FtYmlvIGRlIGNsYXNlIGEgcGFydGlyIGRlbCBuaXZlbCBiYXNlIDIwMC5eMDAwMDAw
UgVdDQ,,XjAwMDBDRFlvdSBjYW4gdGFrZSB0aGUgam9iIGNoYW5nZSB0ZXN0IHN0YXJ0aW5nIGZyb20gSm9iIExldmVsIDcwLl4wMDAwMDA=,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHPDsyBwb2RlIHNlciByZWFsaXphZG8gYSBwYXJ0aXIgZG8gTsOtdmVsIGRlIENsYXNzZSA3MC5eMDAwMDAw,,XjAwMDBDRFB1ZWRlcyByZWFsaXphciBsYSBwcnVlYmEgZGUgY2FtYmlvIGRlIGNsYXNlIGEgcGFydGlyIGRlbCBuaXZlbCBkZSBvZmljaW8gNzAuXjAwMDAwMA==
UwVdDQ,,W0V1bmhhXQpZb3UncmUganVzdCBhYm91dCB0byBiZWdpbiBhIG5ldyBsaWZlLCBidXQgdGhlcmUgYXJlIHN0aWxsIHRoaW5ncyB5b3UgaGF2ZW4ndCBmdWxseSBsZWFybmVkIGZyb20geW91ciBvbGQgb25lLiBHbyBsZWFybiB0aGVtIGZpcnN0Lg==,,,,,W0Nvc21vc10KVm9jw6ogZXN0w6EgcHJlc3RlcyBhIGNvbWXDp2FyIHVtYSBub3ZhIHZpZGEsIG1hcyBhaW5kYSBow6EgY29pc2FzIGRhIHZpZGEgYW50ZXJpb3IgcXVlIG7Do28gYXByZW5kZXUgY29tcGxldGFtZW50ZS4gVsOhIGFwcmVuZMOqLWxhcyBwcmltZWlyby4=,,W0Nvc21vc10KRXN0w6FzIGEgcHVudG8gZGUgZW1wZXphciB1bmEgbnVldmEgdmlkYSwgcGVybyBhw7puIHF1ZWRhbiBjb3NhcyBkZSBsYSBhbnRlcmlvciBxdWUgbm8gYXByZW5kaXN0ZSBkZWwgdG9kby4gVmUgYSBhcHJlbmRlcmxhcy4=
VAVdDQ,,XjAwMDBDRFlvdSBjYW5ub3QgcHJvY2VlZCB3aXRoIHRoZSBqb2IgY2hhbmdlIHdoaWxlIHlvdSBoYXZlIHJlbWFpbmluZyBTa2lsbCBQb2ludHMuXjAwMDAwMA==,,,,,XjAwMDBDRE7Do28gw6kgcG9zc8OtdmVsIHByb3NzZWd1aXIgY29tIGEgbXVkYW7Dp2EgZGUgY2xhc3NlIGVucXVhbnRvIGhvdXZlciBwb250b3MgZGUgaGFiaWxpZGFkZSByZXN0YW50ZXMuXjAwMDAwMA==,,XjAwMDBDRE5vIHB1ZWRlcyBjb250aW51YXIgY29uIGVsIGNhbWJpbyBkZSBjbGFzZSBwb3JxdWUgdGllbmVzIHB1bnRvcyBkZSBoYWJpbGlkYWQgc2luIHVzYXIuXjAwMDAwMA==
VQVdDQ,,W0V1bmhhXQpXaHkgYXJlIHlvdSBzdGlsbCBvbiBhIG1vdW50PyBIdXJyeSBhbmQgZ2V0IGRvd24u,,,,,W0Nvc21vc10KUG9yIHF1ZSB2b2PDqiBhaW5kYSBlc3TDoSBlbSBjaW1hIGRhIG1vbnRhcmlhPyBEZXPDp2EgbG9nby4=,,W0Nvc21vc10Kwr9Qb3IgcXXDqSBzaWd1ZXMgZW4gdHUgbW9udHVyYT8gQsOhamF0ZS4=
VgVdDQ,,XjAwMDBDRFlvdSBjYW5ub3QgcHJvY2VlZCB3aXRoIHRoZSBqb2IgY2hhbmdlIHdoaWxlIHJpZGluZyBhIG1vdW50Ll4wMDAwMDA=,,,,,XjAwMDBDRE7Do28gw6kgcG9zc8OtdmVsIHByb3NzZWd1aXIgY29tIGEgbXVkYW7Dp2EgZGUgY2xhc3NlIGVzdGFuZG8gZW0gdW1hIG1vbnRhcmlhLl4wMDAwMDA=,,XjAwMDBDRE5vIHB1ZWRlcyBjb250aW51YXIgY29uIGVsIGNhbWJpbyBkZSBjbGFzZSBtaWVudHJhcyBlc3TDoXMgZW4gdW5hIG1vbnR1cmEuXjAwMDAwMA==
VwVdDQ,,WW91IGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIGNvbnZlcnNhdGlvbiBiZWNhdXNlIHlvdSBhcmUgY2FycnlpbmcgdG9vIG1hbnkgaXRlbXMuClBsZWFzZSBvcmdhbml6ZSB5b3VyIGl0ZW1zIGFuZCB0cnkgYWdhaW4u,,,,,Vm9jw6ogZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMgcGFyYSBwcm9zc2VndWlyIGNvbSBhIGNvbnZlcnNhLgpPcmdhbml6ZSBzZXVzIGl0ZW5zIGUgdGVudGUgbm92YW1lbnRlLg==,,Tm8gcHVlZGVzIGNvbnRpbnVhciBsYSBjb252ZXJzYWNpw7NuIHBvcnF1ZSBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLgpPcmdhbml6YSB0dXMgaW52ZW50YXJpbyBlIGludMOpbnRhbG8gZGUgbnVldm8u
WAVdDQ,,W0V1bmhhXQpIb3cgZG8geW91IGZlZWw/IERvIHlvdSBmZWVsIGxpa2Ugc29tZXRoaW5nIGhhcyBjaGFuZ2VkPyBMaWtlIHBvd2VyIGlzIHdlbGxpbmcgdXAsIG9yIGxpa2UgeW91IG1pZ2h0IHNvYXIgaW50byB0aGUgYWlyLi4u,,,,,W0Nvc21vc10KQ29tbyBlc3TDoT8gU2VudGUgcXVlIGFsZ28gbXVkb3U/IENvbW8gc2UgbyBwb2RlciBlc3RpdmVzc2UgZmVydmVuZG8gZGVudHJvIGRlIHZvY8OqIG91IGNvbW8gc2UgcHVkZXNzZSB2b2FyLi4u,,W0Nvc21vc10Kwr9RdcOpIHRhbD8gwr9Ob3RhcyBhbGdvIGRpc3RpbnRvPyDCv1RlIGhpZXJ2ZSBlbCBwb2RlciBwb3IgZGVudHJvIG8gY29tbyBzaSBwdWRpZXJhcyB2b2xhci4uLj8=
WQVdDQ,,SSdtIG5vdCBzdXJlLg==,,,,,TsOjbyBzZWkgYmVtLg==,,Tm8gbG8gc8OpLg==
WgVdDQ,,W0V1bmhhXQpUaGF0J3Mgc3RyYW5nZS4uLiBUaGF0J3Mgc3RyYW5nZS4uLiBBZnRlciBkb2luZyB0aGlzIG11Y2gsIHRoZXJlIHNob3VsZCBiZSBzb21lIGNoYW5nZSBpbiB5b3VyIGJvZHkuIEh1aXVuPyBXaGF0IGhhcHBlbmVkPw==,,,,,W0Nvc21vc10KRXN0cmFuaG8uLi4gRXN0cmFuaG8uLi4gRGVwb2lzIGRlIHR1ZG8gaXNzbywgc2V1IGNvcnBvIGrDoSBkZXZlcmlhIHRlciBtdWRhZG8uIEhlZXVuPyBPIHF1ZSBhY29udGVjZXU/,,W0Nvc21vc10KRXh0cmHDsW8uLi4gRXh0cmHDsW8uLi4gRGVzcHXDqXMgZGUgdG9kbyBlc3RvLCB0dSBjdWVycG8gZGViZXLDrWEgaGFiZXIgY2FtYmlhZG8uIEhlZXVuLCDCv3F1w6kgcGFzw7M/
WwVdDQ,,W0h1aXVuXQpIb3cgYW0gSSBzdXBwb3NlZCB0byBrbm93PyBEbyB5b3Uga25vdyBob3cgaGFyZCBpdCB3YXMgdG8gc3BhciBtb2RlcmF0ZWx5IGFnYWluc3QgYSBodW1hbj8gVGhlbiB3aHkgZG9uJ3QgeW91IHNwYXIgd2l0aCB0aGVtIHRoaXMgdGltZSwgTGFkeSBFdW5oYSE=,,,,,W0hlZXVuXQpDb21vIGV1IHNvdSBzYWJlcj8gU2FiZSBjb21vIGZvaSBkaWbDrWNpbCBkdWVsYXIgY29tIHVtYSBwZXNzb2Egc2VtIGV4YWdlcmFyPyBFbnTDo28sIGRlc3RhIHZleiwgcXVlIHRhbCBvIFNlbmhvciBDb3Ntb3MgZHVlbGFyPw==,,W0h1aXl1bl0Kwr9Qb3IgcXXDqSBtZSBwcmVndW50YXMgYSBtw60/IMK/U2FiZXMgbG8gZGlmw61jaWwgcXVlIGZ1ZSBjb21iYXRpciBjb24gbW9kZXJhY2nDs24gY29udHJhIHVuIGh1bWFubz8gwqFUZSB0b2NhIHBlbGVhciBlc3RhIHZleiwgQ29zbW9zIQ==
XAVdDQ,,W0V1bmhhXQpTaG91bGQgSS4uLj8gSGFoISE=,,,,,W0Nvc21vc10KU2Vyw6E/Li4uIElpw6HDoSEh,,W0Nvc21vc10Kwr9Tw60uLi4/IMKhVG9tYSE=
XQVdDQ,,QWghISEgV2h5IGRpZCB5b3UgaGl0IG1lPz8=,,,,,QWkhISEgUG9yIHF1ZSBtZSBiYXRldT8/,,wqHCocKhQWghISEgwr9Qb3IgcXXDqSBtZSBnb2xwZWFzPw==
XgVdDQ,,W0V1bmhhXQpKdXN0IGluIGNhc2Uu,,,,,W0Nvc21vc10KU8OzIHBhcmEgY29uZmVyaXIu,,W0Nvc21vc10KUG9yIHNpIGFjYXNvLg==
XwVdDQ,,VGhhdCBkb2Vzbid0IG1lYW4geW91IGNhbiBoaXQgcGVvcGxlLi4uIEFoLi4uPyEhIQ==,,,,,TWVzbW8gYXNzaW0sIGJhdGVyIGVtIGFsZ3XDqW0uLi4gSMOjLi4uPyEhIQ==,,RXNvIG5vIGVzIGp1c3RpZmljYWNpw7NuLiDCoUF5IQ==
YAVdDQ,,W0V1bmhhXQpJIGtuZXcgaXQhISEgTG9vayEgVGhlIGFkdmVudHVyZXIgaGFzIGdhaW5lZCBlbmxpZ2h0ZW5tZW50IQ==,,,,,W0Nvc21vc10KRXUgc2FiaWEhISEgVmVqYSBzw7MhIE8gdmlhamFudGUgYWxjYW7Dp291IGEgaWx1bWluYcOnw6NvIQ==,,W0Nvc21vc10KwqHCoUxvIHNhYsOtYSEhIMKhTWlyYSEgwqFFbCBhdmVudHVyZXJvIGFsY2FuesOzIGxhIGlsdW1pbmFjacOzbiE=
YQVdDQ,,W0h1aXVuXQouLi5Zb3Ugc2hvdWxkIGhhdmUgc3RlcHBlZCBpbiBlYXJsaWVyLiBBbnl3YXksIHdoYXQgYWJvdXQgeW91LCBMYWR5IEV1bmhhPyBJZiB0aGUgYWR2ZW50dXJlciByZWNlaXZlZCBoZWxwIGFuZCBnYWluZWQgZW5saWdodGVubWVudCwgc29tZXRoaW5nIHNob3VsZCBjaGFuZ2UgZm9yIHlvdSB0b28uIERvIHlvdSBmZWVsIHBvd2VyIHJpc2luZywgb3IgeW91ciBib2R5IGJlY29taW5nIGxpZ2h0ZXIsIG9yIGFueXRoaW5nIGxpa2UgdGhhdD8=,,,,,W0hlZXVuXQouLi4gVm9jw6ogZGV2ZXJpYSB0ZXIgc2UgZW52b2x2aWRvIGRlc2RlIG8gY29tZcOnby4gRW5maW0sIGUgbyBTZW5ob3IgQ29zbW9zPyBTZSBvIHZpYWphbnRlIHJlY2ViZXUgYWp1ZGEgZSBhbGNhbsOnb3UgYSBpbHVtaW5hw6fDo28sIG8gU2VuaG9yIENvc21vcyB0YW1iw6ltIGRldmVyaWEgbXVkYXIgZGUgYWxndW1hIGZvcm1hLiBOw6NvIHNlbnRlIG8gcG9kZXIgYXVtZW50YW5kbywgbyBjb3JwbyBmaWNhbmRvIG1haXMgbGV2ZSwgb3UgYWxnbyBhc3NpbT8=,,W0hlZXVuXQouLi4gRGViw60gaGFiZXIgaW50ZXJ2ZW5pZG8gYW50ZXMuIFBlcm8gwr95IHTDuiwgQ29zbW9zPyBTaSBlbCBhdmVudHVyZXJvIHJlY2liacOzIGF5dWRhIHkgYWxjYW56w7MgbGEgaWx1bWluYWNpw7NuLCB0w7ogdGFtYmnDqW4gZGViZXLDrWFzIG5vdGFyIGFsZ8O6biBjYW1iaW8uIMK/Tm8gc2llbnRlcyBxdWUgdGUgc3ViZSBlbCBwb2RlciBvIHF1ZSBlbCBjdWVycG8gc2UgdnVlbHZlIG3DoXMgbGlnZXJvPw==
YgVdDQ,,W0V1bmhhXQpIb2xkIG9uLiBNYXliZSBpdCBqdXN0IGhhc24ndCBjb3VudGVkIHlldC4KT2guLi4gVGhlcmUgaXQgaXMhISE=,,,,,W0Nvc21vc10KRXNwZXJlIHVtIHBvdWNvLiBBY2hvIHF1ZSBhaW5kYSBuw6NvIGNvbnRvdS4KQWguLi4gZm9pISEh,,W0Nvc21vc10KRXNwZXJhLiBDcmVvIHF1ZSB0b2RhdsOtYSBubyBjdWVudGEuCk9oLi4uIMKhwqHCoVlhIGVzdMOhISEh
YwVdDQ,,W0V1bmhhXQpeRkYwMDAwMTAwMF4wMDAwMDAhISE=,,,,,W0Nvc21vc10KXkZGMDAwMDEuMDAwXjAwMDAwMCEhIQ==,,W0Nvc21vc10KwqHCocKhXkZGMDAwMDEwMDBeMDAwMDAwISEh
ZAVdDQ,,W0V1bmhhXQpUYS1kYSEgSSBmaW5pc2hlZCBidWlsZGluZyBtZXJpdCBmb3IgYSB0aG91c2FuZCBwZW9wbGUh,,,,,W0Nvc21vc10KVGNoYXJhbSEgQ29tcGxldGVpIGFzIGJvYXMgYcOnw7VlcyBwYXJhIG1pbCBwZXNzb2FzIQ==,,W0Nvc21vc10KwqFUYS1kw6EhIMKhQ29tcGxldMOpIGxhIGFjdW11bGFjacOzbiBkZSBidWVuYXMgYWNjaW9uZXMgY29uIG1pbCBwZXJzb25hcyE=
ZQVdDQ,,W0h1aXVuXQpIYSEhISBGaW5hbGx5ISEhIEkgYW0gZnJlZSBub3ch,,,,,W0hlZXVuXQpBaCEhISBGaW5hbG1lbnRlISEhIEFnb3JhIGVzdG91IGxpdnJlIQ==,,W0hlZXVuXQrCocKhwqFKYSEhISDCocKhwqFQb3IgZmluISEhIMKhQWhvcmEgc295IGxpYnJlIQ==
ZgVdDQ,,W0V1bmhhXQpJIGFtIGZyZWUgbm93ISBHb29kYnllLCBldmVyeW9uZSEgSSBhbSBub3cuLi4=,,,,,W0Nvc21vc10KRXUgdGFtYsOpbSBlc3RvdSBsaXZyZSEgQWRldXMsIHBlc3NvYWwhIEFnb3JhIGV1Li4u,,W0Nvc21vc10KwqFBaG9yYSBzb3kgbGlicmUhIMKhQWRpw7NzIGEgdG9kb3MhIEFob3JhIHlvLi4u
ZwVdDQ,,W0h1aXVuXQpMYWR5IEV1bmhhLCBMYWR5IEV1bmhhISEhIEV2ZW4gaWYgeW91IGFyZSBsZWF2aW5nLCB5b3UgbmVlZCB0byBnZXQgcmVhZHkgZmlyc3QuIFdoYXQgd2lsbCB5b3UgZG8gaWYgeW91IGxlYXZlIGxpa2UgdGhhdD8=,,,,,W0hlZXVuXQpTZW5ob3IgQ29zbW9zLCBTZW5ob3IgQ29zbW9zISEhIE1lc21vIHF1ZSB2w6EgZW1ib3JhLCBwcmVjaXNhIHNlIHByZXBhcmFyIGFudGVzLiBDb21vIHBvZGUgcGFydGlyIGRlc3NlIGplaXRvPw==,,W0h1aXl1bl0KwqFDb3Ntb3MsIENvc21vcyEgRGViZXLDrWFzIHByZXBhcmFydGUgYW50ZXMgZGUgaXJ0ZS4gwr9Dw7NtbyB0ZSBwdWVkZXMgaXIgYXPDrSBuYWRhIG3DoXM/
aAVdDQ,,W0V1bmhhXQpBaCwgcmlnaHQuIFRoYXQncyB0cnVlLiBIdWl1biwgZ2l2ZSBtZSBzb21lIGNsb3RoZXMu,,,,,W0Nvc21vc10KQWgsIHNpbS4gw4kgdmVyZGFkZS4gSGVldW4sIHRyYWdhLW1lIHJvdXBhcy4=,,W0Nvc21vc10KQWgsIHPDrS4gRXMgdmVyZGFkLiBIZWV1biwgZGFtZSBhbGdvIGRlIHJvcGEu
aQVdDQ,,W0V1bmhhXQpBZHZlbnR1cmVyLCB0aGFuayB5b3UuIEkgZmVsdCByZWFzc3VyZWQgdGhhdCB5b3Ugd2VyZSBteSBsYXN0IG9uZS4gSSBiZWxpZXZlZCBpbiB5b3Uu,,,,,W0Nvc21vc10KVmlhamFudGUsIG9icmlnYWRvLiBGaXF1ZWkgdHJhbnF1aWxvIHBvciB2b2PDqiBzZXIgbyBtZXUgw7psdGltbyBlc3R1ZGFudGUuIEV1IGFjcmVkaXRlaSBlbSB2b2PDqi4=,,W0Nvc21vc10KR3JhY2lhcy4gUXXDqSB0cmFucXVpbGlkYWQgcXVlIGVsIMO6bHRpbW8gZnVpc3RlIHTDui4gWW8gY3Jlw60gZW4gdGku
