4NY3Bw,,c3RhcnQ=,,,,,Y29tZcOnYXI=,,aW5pY2lhcg==
99Y3Bw,,VGhpcyBiYXR0bGUgaGFzIGVuZGVkIGluIGEgZHJhdy4=,,,,,RXN0YSBiYXRhbGhhIHRlcm1pbm91IGVtIGVtcGF0ZS4=,,RXN0YSBiYXRhbGxhIHRlcm1pbsOzIGVuIGVtcGF0ZS4=
+NY3Bw,,Z2V0aXRlbQ==,,,,,Z2V0aXRlbQ==,,Z2V0aXRlbQ==
+dY3Bw,,UGxlYXNlIGFwcGx5IHdpdGggdGhlIE9mZmljZXIgdG8gYWNxdWlyZSBLVk0gcG9pbnRzLg==,,,,,UG9yIGZhdm9yLCBmYWxlIGNvbSBvIE9maWNpYWwgcGFyYSBhZHF1aXJpciBwb250b3MgS1ZNLg==,,UHJlc2VudGEgdHUgc29saWNpdHVkIGNvbiBlbCBPZmljaWFsIHBhcmEgYWRxdWlyaXIgcHVudG9zIEt2TS4=
+tY3Bw,,VGhlIE9mZmljZXIgd2lsbCBncmFudCB5b3UgdGhlIHBvaW50cyBmb3IgMzAgc2Vjb25kcy4=,,,,,TyBPZmljaWFsIGRhcsOhIHBvbnRvcyBub3MgcHLDs3hpbW9zIDMwIHNlZ3VuZG9zLg==,,RWwgT2ZpY2lhbCB0ZSBvdG9yZ2Fyw6EgbG9zIHB1bnRvcyBwYXJhIDMwc2VndW5kb3Mu
+9Y3Bw,,SW4gMzAgc2Vjb25kcywgdGhlIE9mZmljZXIgd2lsbCBiZSBzZW50IGF3YXku,,,,,RGVwb2lzIGRlIDMwIHNlZ3VuZG9zLCBvIE9maWNpYWwgaXLDoSBlbWJvcmEu,,RW4gMzBzZWd1bmRvcywgZWwgT2ZpY2lhbCBzZXLDoSBkZXNwYWNoYWRvLg==
/NY3Bw,,VW5sZXNzIHlvdSB0YWxrIHRvIHRoZSBPZmZpY2VyLCB5b3UgY2Fubm90IGdhaW4gdGhlIHBvaW50cy4=,,,,,U2VtIGZhbGFyIGNvbSBvIE9maWNpYWwsIHZvY8OqIG7Do28gZ2FuaGFyw6Egb3MgcG9udG9zLg==,,U2kgbm8gaGFibGFzIGNvbiBlbCBPZmljaWFsLCBubyBwb2Ryw6FzIG9idGVuZXIgbG9zIHB1bnRvcy4=
/dY3Bw,,UGxlYXNlIGJlIGNhcmVmdWwu,,,,,UG9yIGZhdm9yLCB0ZW5oYSBjdWlkYWRvLg==,,VGVuIGN1aWRhZG8u
/tY3Bw,,WW91IHdpbGwgYmUgc2VudCBiYWNrLg==,,,,,Vm9jw6ogc2Vyw6EgbWFuZGFkbyBkZSB2b2x0YS4=,,VGUgZW52aWFyw6FuIGRlIHZ1ZWx0YS4=
/9Y3Bw,,S1ZNIE9mZmljZXI=,,,,,T2ZpY2lhbCBkbyBLVk0=,,T2ZpY2lhbCBLVk0=
ANc3Bw,,LSBZb3Ugd2lsbCBzb29uIGJlIG1vdmVkIHRvIGEgd2FpdGluZyByb29tLiAt,,,,,LSBFbSBicmV2ZSwgdm9jw6ogc2Vyw6EgdHJhbnNmZXJpZG8gcGFyYSB1bWEgc2FsYSBkZSBlc3BlcmEuIC0=,,LVRlIHRyYXNsYWRhcsOhbiBhIHVuYSBzYWxhIGRlIGVzcGVyYSBwcm9udG8uLQ==
Adc3Bw,,W0tWTSBPZmZpY2VyXQpHb29kIGdhbWUuCk1heSB0aGUgZ2xvcnkgb2YgS1ZNIGJlIHdpdGggeW91LgpZb3UgYWNxdWlyZSB0aGUgd2lubmluZyBwb2ludHM6IDUu,,,,,W09maWNpYWwgZG8gS1ZNXQpCb20gam9nby4KUXVlIGEgZ2zDs3JpYSBkbyBLVk0gZXN0ZWphIGNvbSB2b2PDqi4KVm9jw6ogZ2FuaG91IHBvbnRvcyBwZWxhIHZpdMOzcmlhOiA1Lg==,,W09maWNpYWwgZGUgS3ZNXQpCdWVuYSBwYXJ0aWRhLgpRdWUgbGEgZ2xvcmlhIGRlIEt2TSBlc3TDqSBjb250aWdvLgpQdW50b3MgZGUgdmljdG9yaWEgYWRxdWlyaWRvczogNS4=
Atc3Bw,,W0tWTSBPZmZpY2VyXQpJIGFtIHNvIHNvcnJ5LgpJIHdpc2ggeW91IGJldHRlciBsdWNrIG5leHQgdGltZS4KWW91IGFjcXVpcmUgdGhlIGxvc2luZyBwb2ludHM6IDEu,,,,,W09maWNpYWwgZG8gS1ZNXQpFdSBzaW50byBtdWl0by4KRGVzZWpvIG1haXMgc29ydGUgZGEgcHLDs3hpbWEgdmV6LgpWb2PDqiBnYW5ob3UgcG9udG9zIHBlbGEgZGVycm90YTogMS4=,,W09maWNpYWwgZGUgS3ZNXQpMbyBzaWVudG8gbXVjaG8uCk1lam9yIHN1ZXJ0ZSBsYSBwcsOzeGltYSB2ZXouClB1bnRvcyBkZSBkZXJyb3RhIGFkcXVpcmlkb3M6IDEu
A9c3Bw,,W0tWTSBPZmZpY2VyXQpZb3Ugc3Rvb2QgZXZlbi4KTWF5IHRoZSBnbG9yeSBvZiBLVk0gYmUgd2l0aCB5b3UuCllvdSBhY3F1aXJlIHRoZSBkcmF3IHBvaW50OiAxLg==,,,,,W09maWNpYWwgZG8gS1ZNXQpFdSBzaW50byBtdWl0by4KRGVzZWpvIG1haXMgc29ydGUgZGEgcHLDs3hpbWEgdmV6LgpWb2PDqiBnYW5ob3UgcG9udG9zIHBlbGEgZGVycm90YTogMS4=,,W09maWNpYWwgZGUgS3ZNXQpFc3R1dmllcm9uIHBhcmVqb3MuClF1ZSBsYSBnbG9yaWEgZGUgS3ZNIGVzdMOpIGNvbnRpZ28uClB1bnRvcyBkZSBlbXBhdGUgYWRxdWlyaWRvczogMS4=
BNc3Bw,,UkVEQ0VMTF9BRE1JTg==,,,,,UkVEQ0VMTF9BRE1JTg==,,UkVEQ0VMTF9BRE1JTg==
Bdc3Bw,,YmF0X2MwMV9vdXQ=,,,,,YmF0X2MwMV9vdXQ=,,YmF0X2MwMV9vdXQ=
Btc3Bw,,UGxlYXNlIHRyeSBhZ2FpbiBhZnRlciBpbnN0YWxsaW5nIGEgc3BlY2lhbCBpdGVtLg==,,,,,VGVudGUgbm92YW1lbnRlIGRlcG9pcyBkZSBpbnN0YWxhciB1bSBpdGVtIGVzcGVjaWFsLg==,,VnVlbHZlIGEgaW50ZW50YXJsbyBkZXNwdcOpcyBkZSBxdWUgaGF5YXMgaW5zdGFsYWRvIHVuIG9iamV0byBlc3BlY2lhbC4=
B9c3Bw,,Q2FuY2VsbGVk,,,,,Q2FuY2VsYWRv,,Q2FuY2VsYWRvLg==
CNc3Bw,,TWF5IEkgaGVscCB1Pw==,,,,,UG9zc28gYWp1ZGFyPw==,,wr9QdWVkbyBheXVkYXJ0ZT8=
Cdc3Bw,,U2VuZCBhbGwgb3V0Lg==,,,,,RW52aWFyIHR1ZG8u,,RW52aWFyIHRvZG8u
Ctc3Bw,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
C9c3Bw,,Ynll,,,,,VGNoYXU=,,YWRpw7Nz
DNc3Bw,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
Ddc3Bw,,YmF0X2MwMV9vdXRh,,,,,YmF0X2MwMV9vdXRh,,YmF0X2MwMV9vdXRh
Dtc3Bw,,W0tWTSBPZmZpY2VyXQpHb29kIGdhbWUuCk1heSB0aGUgZ2xvcnkgb2YgS1ZNIGJlIHdpdGggeW91LgpZb3UgYWNxdWlyZSB0aGUgd2lubmluZyBwb2ludHM6IDEwLg==,,,,,W09maWNpYWwgZG8gS1ZNXQpCb20gam9nby4KUXVlIGEgZ2zDs3JpYSBkbyBLVk0gZXN0ZWphIGNvbSB2b2PDqi4KVm9jw6ogZ2FuaG91IHBvbnRvcyBwZWxhIHZpdMOzcmlhOiAxMC4=,,W09maWNpYWwgZGUgS3ZNXQpCdWVuYSBwYXJ0aWRhLgpRdWUgbGEgZ2xvcmlhIGRlIEt2TSBlc3TDqSBjb250aWdvLgpQdW50b3MgZGUgdmljdG9yaWEgYWRxdWlyaWRvczogMTAu
D9c3Bw,,W0tWTSBPZmZpY2VyXQpZb3Ugc3Rvb2QgZXZlbi4KTWF5IHRoZSBnbG9yeSBvZiBLVk0gYmUgd2l0aCB5b3UuCllvdSBhY3F1aXJlIHRoZSBkcmF3IHBvaW50OiAyLg==,,,,,W09maWNpYWwgZG8gS1ZNXQpFdSBzaW50byBtdWl0by4KRGVzZWpvIG1haXMgc29ydGUgZGEgcHLDs3hpbWEgdmV6LgpWb2PDqiBnYW5ob3UgcG9udG9zIHBlbGEgZGVycm90YTogMi4=,,W09maWNpYWwgZGUgS3ZNXQpMbyBzaWVudG8gbXVjaG8uCk1lam9yIHN1ZXJ0ZSBsYSBwcsOzeGltYSB2ZXouClB1bnRvcyBkZSBkZXJyb3RhIGFkcXVpcmlkb3M6IDIu
ENc3Bw,,W0tWTSBPZmZpY2VyXQpJIGFtIHNvIHNvcnJ5LgpJIHdpc2ggeW91IGJldHRlciBsdWNrIG5leHQgdGltZS4KWW91IGFjcXVpcmUgdGhlIGxvc2luZyBwb2ludHM6IDIu,,,,,W09maWNpYWwgZG8gS1ZNXQpFdSBzaW50byBtdWl0by4KRGVzZWpvIG1haXMgc29ydGUgZGEgcHLDs3hpbWEgdmV6LgpWb2PDqiBnYW5ob3UgcG9udG9zIHBlbGEgZGVycm90YTogMi4=,,W09maWNpYWwgZGUgS3ZNXQpFc3R1dmllcm9uIHBhcmVqb3MuClF1ZSBsYSBnbG9yaWEgZGUgS3ZNIGVzdMOpIGNvbnRpZ28uClB1bnRvcyBkZSBlbXBhdGUgYWRxdWlyaWRvczogMi4=
