wFDnBw,,W3swfV0=,,,,,W3swfV0=,,W3swfV0=
zFDnBw,,SSB3YW50IHRvIGJlbGlldmUgdGhlIHN0b3J5IHRoYXQgTG9yZCBWYXJtdW50IGlzIHN0aWxsIGFsaXZlLCBidXQgaW4gb3VyIG9waW5pb24sIGl0IGlzIGltcG9zc2libGUgZ2l2ZW4gdGhlIGF2ZXJhZ2UgaHVtYW4gbGlmZXNwYW4u,,,,,RXUgZ29zdGFyaWEgZGUgYWNyZWRpdGFyIG5hIGhpc3TDs3JpYSBkZSBxdWUgbyBTci4gVmFybXVudCBhaW5kYSBlc3TDoSB2aXZvLCBtYXMsIHBlbGEgZXhwZWN0YXRpdmEgZGUgdmlkYSBtw6lkaWEgaHVtYW5hLCBuYSBub3NzYSBvcGluacOjbzogw6kgaW1wb3Nzw612ZWwu,,UXVpc2llcmEgY3JlZXIgbGEgaGlzdG9yaWEgZGUgcXVlIGVsIHNlw7FvciBWYXJtdW50IHNpZ3VlIGNvbiB2aWRhLCBwZXJvIGVuIG51ZXN0cmEgb3BpbmnDs24gZXMgaW1wb3NpYmxlIGNvbiBsYSBlc3BlcmFuemEgZGUgdmlkYSBwcm9tZWRpbyBkZSBsb3MgaHVtYW5vcy4=
zVDnBw,,RXZlbiBzbywgaWYgeW91IHdpc2ggdG8gcHJldmVudCB0aGUgbGFib3JhdG9yeSBmcm9tIGJlaW5nIHNodXQgZG93biwgZGVmZWF0IG1lLCBvYnRhaW4gYWRtaW5pc3RyYXRvciBhdXRob3JpdHksIGFuZCB0aGVuIGdpdmUgdGhlIG9yZGVyLg==,,,,,TWVzbW8gYXNzaW0sIHNlIHF1aXNlciBpbXBlZGlyIG8gZmVjaGFtZW50byBkbyBsYWJvcmF0w7NyaW8sIG1lIGRlcnJvdGUu,,QXVuIGFzw60sIHNpIHF1aWVyZXMgZXZpdGFyIGVsIGNpZXJyZSBkZWwgbGFib3JhdG9yaW8sIGRlcnLDs3RhbWUsIG9idMOpbiBsb3MgcHJpdmlsZWdpb3MgZGUgYWRtaW5pc3RyYWRvciB5IGx1ZWdvIGRhIGxhIG9yZGVuLg==
zlDnBw,,PFJlZCBQZXBwZXI+,,,,,UGltZW50w6Nv,,PFBpbWllbnRvIHJvam8+
z1DnBw,,RHVlIHRvIGEgY2hhbmdlIGluIHRoZSBudW1iZXIgb2YgcGFydHkgbWVtYmVycywgdGhlIGJvc3MgbW9uc3RlciBnb2VzIGJlcnNlcmsu,,,,,RGV2aWRvIMOgIG11ZGFuw6dhIG5vIG7Dum1lcm8gZGUgbWVtYnJvcyBkbyBncnVwbywgbyBtb25zdHJvIGVudHJvdSBlbSBmw7pyaWEu,,RGViaWRvIGFsIGNhbWJpbyBlbiBlbCBuw7ptZXJvIGRlIG1pZW1icm9zIGRlbCBncnVwbywgZWwgbW9uc3RydW8gamVmZSBlbnRyYSBlbiBmcmVuZXPDrS4=
0FDnBw,,RHVlIHRvIHRoZSBkZWF0aCBvZiBhIHBhcnR5IG1lbWJlciwgdGhlIGJvc3MgbW9uc3RlciBnb2VzIGJlcnNlcmsu,,,,,RGV2aWRvIMOgIG1vcnRlIGRlIHVtIG1lbWJybyBkbyBncnVwbywgbyBtb25zdHJvIGVudHJvdSBlbSBmw7pyaWEu,,RGViaWRvIGEgbGEgbXVlcnRlIGRlIHVuIG1pZW1icm8gZGVsIGdydXBvLCBlbCBtb25zdHJ1byBqZWZlIGVudHJhIGVuIGZyZW5lc8OtLg==
0VDnBw,,SFAgezB9IEFUSyB7MX0gQVRLMiB7Mn0gQXVyYSB7M30gIEVmZmVjdGl2ZSBEUFMgezR9ICAgRFBTIHs1fSAgSGVhbGluZyB7Nn0=,,,,,SFAgezB9IC0gQVRRIHsxfSB+IHsyfSAtIEF1cmEgezN9IC0gRFBTIGVmZXRpdm8gezR9IC0gRFBTIHs1fSAtIEN1cmEgezZ9,,SFAgezB9IEFUSyB7MX0gQVRLMiB7Mn0gQXVyYSB7M30gIERQUyBlZmVjdGl2byB7NH0gICBEUFMgezV9ICBDdXJhY2nDs24gezZ9
0lDnBw,,R3VhcmRpYW4gUGFydA==,,,,,UGFydGVzIGRlIEd1YXJkacOjbw==,,UGllemEgZGUgZ3VhcmRpw6Fu
01DnBw,,U1lTVEVNOiBTdW1tb25zIGEgR3VhcmRpYW4gUGFydCBhbmQgY29uc3VtZXMgaXQgYXMgbWF0ZXJpYWwgdG8gYmUgdXNlZCBmb3IgdGhlIGFkbWluaXN0cmF0b3IncyBlbmVyZ3kgc2hpZWxkLg==,,,,,U0lTVEVNQTogUGFydGVzIGRlIEd1YXJkacOjbyBpbnZvY2FkYXMuIFNlcsOjbyB1c2FkYXMgcGFyYSBvIEVzY3VkbyBkZSBFbmVyZ2lhLg==,,U1lTVEVNOiBJbnZvY2EgdW5hIHBpZXphIGRlbCBndWFyZGnDoW4geSBsYSBjb25zdW1lIGNvbW8gbWF0ZXJpYWwgcXVlIHNlIHVzYXLDoSBlbiBlbCBlc2N1ZG8gZGUgZW5lcmfDrWEgZGVsIGFkbWluaXN0cmFkb3Iu
1FDnBw,,U1lTVEVNOiBUaGUgZW5lcmd5IHNoaWVsZCBpcyB3ZWFrZW5lZCBkdWUgdG8gZGFtYWdlIHRvIHRoZSBHdWFyZGlhbiBwYXJ0cy4=,,,,,U0lTVEVNQTogUGFydGVzIGRlIEd1YXJkacOjbyBkYW5pZmljYWRhcy4gTyBFc2N1ZG8gZGUgRW5lcmdpYSBlc3TDoSBlbmZyYXF1ZWNlbmRvLg==,,U1lTVEVNOiBFbCBlc2N1ZG8gZGUgZW5lcmfDrWEgc2UgZGViaWxpdGEgZGViaWRvIGEgbGEgcm90dXJhIGRlIGxhcyBwaWV6YXMgZGVsIEd1YXJkacOhbi4=
1VDnBw,,U1lTVEVNOiBBbGwgR3VhcmRpYW4gcGFydHMgaGF2ZSBiZWVuIGRlc3Ryb3llZC4gVGhlIGVuZXJneSBzaGllbGQgY2Fubm90IGJlIHJlc3RvcmVkLg==,,,,,U0lTVEVNQTogUGFydGVzIGRlIEd1YXJkacOjbyBkZXN0cnXDrWRhcy4gTsOjbyDDqSBwb3Nzw612ZWwgcmVzdGF1cmFyIG8gRXNjdWRvIGRlIEVuZXJnaWEu,,U1lTVEVNOiBUb2RhcyBsYXMgcGllemFzIGRlbCBHdWFyZGnDoW4gaGFuIHNpZG8gZGVzdHJ1aWRhcy4gTm8gZXMgcG9zaWJsZSByZXN0YXVyYXIgZWwgZXNjdWRvIGRlIGVuZXJnw61hLg==
1lDnBw,,U1lTVEVNOiBUaGUgZW5lcmd5IHNoaWVsZCdzIGRlZmF1bHQgc2V0dGluZ3MgaGF2ZSBiZWVuIHJlc3RvcmVkLg==,,,,,U0lTVEVNQTogTyBFc2N1ZG8gZGUgRW5lcmdpYSBmb2kgcmVzdGF1cmFkby4=,,U1lTVEVNOiBTZSBoYSByZXN0YXVyYWRvIGVsIHZhbG9yIHByZWRldGVybWluYWRvIGRlbCBlc2N1ZG8gZGUgZW5lcmfDrWEu
