QOw0Aw,,U2lzdGVyIExpbnVz,,,,,SXJtw6MgTGludXM=,,SGVybWFuYSBMaW51cw==
S+w0Aw,,W1Npc3RlciBMaW51c10KVGhhdCBjaGlsZCwgYWx3YXlzIGZ1bGwgb2YgY3VyaW9zaXR5LApiZWdnZWQgYW5kIHBsZWFkZWQgZm9yIHF1aXRlIHNvbWUgdGltZSwKYW5kIGV2ZW50dWFsbHkgam9pbmVkIHRoZSBwYXJ0eS4=,,,,,W0lybcOjIExpbnVzXQpBcXVlbGEgY3JpYW7Dp2EsIHNlbXByZSBjaGVpYSBkZSBjdXJpb3NpZGFkZSwKaW1wbG9yb3UgZSBzdXBsaWNvdSBwb3IgYWxndW0gdGVtcG8sCmUgZXZlbnR1YWxtZW50ZSBzZSBqdW50b3UgYW8gZ3J1cG8u,,W0hlcm1hbmEgTGludXNdCkVzYSBuacOxYSwgc2llbXByZSBsbGVuYSBkZSBjdXJpb3NpZGFkLApyb2fDsyB5IHN1cGxpY8OzIGR1cmFudGUgYmFzdGFudGUgdGllbXBvLAp5IGV2ZW50dWFsbWVudGUgc2UgdW5pw7MgYWwgZ3J1cG8u
TOw0Aw,,W1Npc3RlciBMaW51c10KVGhleSBkZXBhcnRlZCBmb3IgdGhlIGluZmFtb3VzCl4zMTMxRkZHbGFzdGhlaW1eMDAwMDAwLAphbmQgb3ZlcmNhbWUgY291bnRsZXNzIGRhbmdlcnMgdGhlcmUuCkl0IHNlZW1zIHRoYXQgY2hpbGQgc3RydWdnbGVkIHF1aXRlIGhhcmQgYXMgd2VsbC4=,,,,,W0lybcOjIExpbnVzXQpFbGVzIHBhcnRpcmFtIHBhcmEgbyBpbmZhbWUKXjMxMzFGRkdsYXN0aGVpbV4wMDAwMDAsCmUgc3VwZXJhcmFtIGluw7ptZXJvcyBwZXJpZ29zIGzDoS4KUGFyZWNlIHF1ZSBhcXVlbGEgY3JpYW7Dp2EgdGFtYsOpbSBzZSBlc2ZvcsOnb3UgYmFzdGFudGUu,,W0hlcm1hbmEgTGludXNdClBhcnRpZXJvbiBoYWNpYSBsYSBpbmZhbWUKXjMxMzFGRkdsYXN0aGVpbV4wMDAwMDAsCnkgc3VwZXJhcm9uIGlubnVtZXJhYmxlcyBwZWxpZ3JvcyBhbGzDrS4KUGFyZWNlIHF1ZSBlc2EgbmnDsWEgdGFtYmnDqW4gbHVjaMOzIGJhc3RhbnRlLg==
Tew0Aw,,W1Npc3RlciBMaW51c10KQW5kIHRoZW4uLi4gbmVhciB0aGUgZW5kIG9mIHRoZWlyIGpvdXJuZXksCnRoZXkgZW5jb3VudGVyZWQgYSB0ZXJyaWJsZSBkYW5nZXIu,,,,,W0lybcOjIExpbnVzXQpFIGVudMOjby4uLiBwZXJ0byBkbyBmaW0gZGUgc3VhIGpvcm5hZGEsCmVsZXMgZW5jb250cmFyYW0gdW0gcGVyaWdvIHRlcnLDrXZlbC4=,,W0hlcm1hbmEgTGludXNdClkgbHVlZ28uLi4gY2VyY2EgZGVsIGZpbmFsIGRlIHN1IHZpYWplLApzZSBlbmNvbnRyYXJvbiBjb24gdW4gdGVycmlibGUgcGVsaWdyby4=
Tuw0Aw,,W1Npc3RlciBMaW51c10KSW4gR2xhc3RoZWltLCBpbiB0aGUgYXJlYSBzYWlkIHRvIGJlIHRoZSBtb3N0IGRhbmdlcm91cywKZmlsbGVkIHdpdGggXjMxMzFGRldhbmRlcmVyc14wMDAwMDAsCmFsbCBvZiB0aGUgY29tcGFuaW9ucyBleGNlcHQgdGhhdCBjaGlsZCBmZWxsIGluIGJhdHRsZS4KSXQgd2FzIGEgZGVzcGVyYXRlIHNpdHVhdGlvbiB3aGVyZSB0aGUgZW50aXJlIHBhcnR5IGNvdWxkIGhhdmUgYmVlbiB3aXBlZCBvdXQu,,,,,W0lybcOjIExpbnVzXQpFbSBHbGFzdGhlaW0sIG5hIMOhcmVhIGNvbnNpZGVyYWRhIGEgbWFpcyBwZXJpZ29zYSwKY2hlaWEgZGUgXjMxMzFGRlZhZ2FudGVzXjAwMDAwMCwKdG9kb3Mgb3MgY29tcGFuaGVpcm9zLCBleGNldG8gYXF1ZWxhIGNyaWFuw6dhLCBjYcOtcmFtIGVtIGJhdGFsaGEuCkVyYSB1bWEgc2l0dWHDp8OjbyBkZXNlc3BlcmFkb3JhIG9uZGUgdG9kbyBvIGdydXBvIHBvZGVyaWEgdGVyIHNpZG8gZWxpbWluYWRvLg==,,W0hlcm1hbmEgTGludXNdCkVuIEdsYXN0aGVpbSwgZW4gbGEgem9uYSBxdWUgc2UgZGljZSBlcyBsYSBtw6FzIHBlbGlncm9zYSwKbGxlbmEgZGUgXjMxMzFGRkVycmFudGVzXjAwMDAwMCwKdG9kb3MgbG9zIGNvbXBhw7Flcm9zIGV4Y2VwdG8gZXNhIG5pw7FhIGNheWVyb24gZW4gYmF0YWxsYS4KRXJhIHVuYSBzaXR1YWNpw7NuIGRlc2VzcGVyYWRhIGRvbmRlIHRvZG8gZWwgZ3J1cG8gcG9kcsOtYSBoYWJlciBzaWRvIGFuaXF1aWxhZG8u
T+w0Aw,,U28gd2hhdCBoYXBwZW5lZCB0byB0aGVtPw==,,,,,RW50w6NvIG8gcXVlIGFjb250ZWNldSBjb20gZWxlcz8=,,RW50b25jZXMsIMK/cXXDqSBsZXMgcGFzw7M/
UOw0Aw,,W1Npc3RlciBMaW51c10KQXQgdGhhdCBtb21lbnQsIHdoaWxlIGFsbCB0aGUgb3RoZXJzIHdlcmUgaW5jYXBhY2l0YXRlZC4uLgp0aGF0IGNoaWxkIGJlZ2FuIGNoYW50aW5nIGFuIGFuY2llbnQgc3BlbGwu,,,,,W0lybcOjIExpbnVzXQpOYXF1ZWxlIG1vbWVudG8sIGVucXVhbnRvIHRvZG9zIG9zIG91dHJvcyBlc3RhdmFtIGluY2FwYWNpdGFkb3MuLi4KYXF1ZWxhIGNyaWFuw6dhIGNvbWXDp291IGEgZW50b2FyIHVtIGZlaXRpw6dvIGFudGlnby4=,,W0hlcm1hbmEgTGludXNdCkVuIGVzZSBtb21lbnRvLCBtaWVudHJhcyB0b2RvcyBsb3MgZGVtw6FzIGVzdGFiYW4gaW5jYXBhY2l0YWRvcy4uLgplc2EgbmnDsWEgY29tZW56w7MgYSBlbnRvbmFyIHVuIGFudGlndW8gaGVjaGl6by4=
Uew0Aw,,V2hhdCBzcGVsbCB3YXMgaXQ/,,,,,UXVlIGZlaXRpw6dvIGVyYT8=,,wr9RdcOpIGhlY2hpem8gZXJhPw==
Uuw0Aw,,W1Npc3RlciBMaW51c10KXkZGMDAwMFJlZGVtcHRpbyEhIV4wMDAwMDA=,,,,,W0lybcOjIExpbnVzXQpeRkYwMDAwUmVkZW1wdGlvISEhXjAwMDAwMA==,,W0hlcm1hbmEgTGludXNdCsKhwqHCoV5GRjAwMDBSZWRlbXB0aW8hISFeMDAwMDAw
U+w0Aw,,W1Npc3RlciBMaW51c10KVGhhdCB0ZWNobmlxdWUgc2FpZCB0byBiZSB1c2FibGUKb25seSBieSBoaWdobHkgc2tpbGxlZCBoaWdoLWNsYXNzIHByaWVzdHMh,,,,,W0lybcOjIExpbnVzXQpBcXVlbGEgdMOpY25pY2EgY29uc2lkZXJhZGEgdXRpbGl6w6F2ZWwKYXBlbmFzIHBvciBzYWNlcmRvdGVzIGRlIGFsdG8gbsOtdmVsIGFsdGFtZW50ZSBoYWJpbGlkb3NvcyE=,,W0hlcm1hbmEgTGludXNdCsKhRXNhIHTDqWNuaWNhIHF1ZSBzZSBkaWNlIHF1ZSBzb2xvIHB1ZWRlIHNlciB1dGlsaXphZGEKcG9yIHNhY2VyZG90ZXMgZGUgYWx0byByYW5nbyBhbHRhbWVudGUgaGFiaWxpZG9zb3Mh
VOw0Aw,,W1Npc3RlciBMaW51c10KSXQgaXMgdGhlIHVsdGltYXRlIHNhY3JpZmljaWFsIHNraWxsIGZvciBwcmllc3RzLApvbmUgdGhhdCBzYXZlcyBuZWFyYnkgYWxsaWVzCndoaWxlIGxlYXZpbmcgdGhlIGNhc3RlciBpbmNhcGFjaXRhdGVkLg==,,,,,W0lybcOjIExpbnVzXQrDiSBhIGhhYmlsaWRhZGUgZGUgc2Fjcmlmw61jaW8gbcOheGltYSBwYXJhIHNhY2VyZG90ZXMsCnF1ZSBzYWx2YSBhbGlhZG9zIHByw7N4aW1vcwplbnF1YW50byBkZWl4YSBvIGNvbmp1cmFkb3IgaW5jYXBhY2l0YWRvLg==,,W0hlcm1hbmEgTGludXNdCkVzIGxhIG3DoXhpbWEgaGFiaWxpZGFkIGRlIHNhY3JpZmljaW8gcGFyYSBsb3Mgc2FjZXJkb3RlcywKdW5hIHF1ZSBzYWx2YSBhIGxvcyBhbGlhZG9zIGNlcmNhbm9zCm1pZW50cmFzIGRlamEgYWwgbGFuemFkb3IgaW5jYXBhY2l0YWRvLg==
Vew0Aw,,W1Npc3RlciBMaW51c10KVGhhdCBjaGlsZCwgd2hvIGFsd2F5cyBmb3VuZCBib29rcyBib3JpbmcsCnN1ZGRlbmx5IHJlY2FsbGVkIHRoZSBzYWNyZWQgdmVyc2VzIG9mIFJlZGVtcHRpbwpkdXJpbmcgdGhhdCBjcmlzaXMgYW5kIGRlc3BlcmF0ZWx5IHRyaWVkIHRvIHNhdmUgdGhlIGNvbXBhbmlvbnMu,,,,,W0lybcOjIExpbnVzXQpBcXVlbGEgY3JpYW7Dp2EsIHF1ZSBzZW1wcmUgYWNoYXZhIGxpdnJvcyBjaGF0b3MsCmRlIHJlcGVudGUgbGVtYnJvdSBvcyB2ZXJzb3Mgc2FncmFkb3MgZG8gUmVkZW1wdGlvCmR1cmFudGUgYXF1ZWxhIGNyaXNlIGUgdGVudG91IGRlc2VzcGVyYWRhbWVudGUgc2FsdmFyIG9zIGNvbXBhbmhlaXJvcy4=,,W0hlcm1hbmEgTGludXNdCkVzYSBuacOxYSwgcXVlIHNpZW1wcmUgZW5jb250cmFiYSBsb3MgbGlicm9zIGFidXJyaWRvcywKcmVjb3Jkw7MgZGUgcmVwZW50ZSBsb3MgdmVyc29zIHNhZ3JhZG9zIGRlbCBSZWRlbXB0aW8KZHVyYW50ZSBlc2EgY3Jpc2lzIGUgaW50ZW50w7MgZGVzZXNwZXJhZGFtZW50ZSBzYWx2YXIgYSBsb3MgY29tcGHDsWVyb3Mu
Vuw0Aw,,W1Npc3RlciBMaW51c10KSSBiZWxpZXZlIHRoYXQgbW9tZW50IG11c3QgaGF2ZSBiZWVuIGFnb25pemluZy4KTm90aGluZyBpcyBtb3JlIHBhaW5mdWwgdGhhbiBmZWVsaW5nIHlvdXIgb3duIGhlbHBsZXNzbmVzcy4=,,,,,W0lybcOjIExpbnVzXQpBY3JlZGl0byBxdWUgYXF1ZWxlIG1vbWVudG8gZGV2ZSB0ZXIgc2lkbyBhbmd1c3RpYW50ZS4KTmFkYSDDqSBtYWlzIGRvbG9yb3NvIGRvIHF1ZSBzZW50aXIgc3VhIHByw7NwcmlhIGltcG90w6puY2lhLg==,,W0hlcm1hbmEgTGludXNdCkNyZW8gcXVlIGVzZSBtb21lbnRvIGRlYmUgaGFiZXIgc2lkbyBhbmd1c3Rpb3NvLgpOYWRhIGVzIG3DoXMgZG9sb3Jvc28gcXVlIHNlbnRpciB0dSBwcm9waWEgaW1wb3RlbmNpYS4=
V+w0Aw,,W1Npc3RlciBMaW51c10KV2FzIGl0IHBlcmhhcHMgYSBtaXJhY2xlIGdyYW50ZWQgYnkgT2RpbiwKd2hvIHBpdGllZCB0aGUgc3RydWdnbGluZyBjaGlsZD8KUmVkZW1wdGlvIHN1Y2NlZWRlZC4=,,,,,W0lybcOjIExpbnVzXQpUZXJpYSBzaWRvIHVtIG1pbGFncmUgY29uY2VkaWRvIHBvciBPZGluLApxdWUgc2UgYXBpZWRvdSBkYSBjcmlhbsOnYSBlbSBkaWZpY3VsZGFkZXM/Ck8gUmVkZW1wdGlvIGZvaSBiZW0tc3VjZWRpZG8u,,W0hlcm1hbmEgTGludXNdCsK/RnVlIHF1aXrDoXMgdW4gbWlsYWdybyBjb25jZWRpZG8gcG9yIE9kw61uLApxdWUgc2UgYXBpYWTDsyBkZSBsYSBuacOxYSBxdWUgbHVjaGFiYT8KRWwgUmVkZW1wdGlvIHR1dm8gw6l4aXRvLg==
WOw0Aw,,W1Npc3RlciBMaW51c10KVGhlIGNvbXBhbmlvbnMgd2hvIG1pcmFjdWxvdXNseSBzdXJ2aXZlZApvcmdhbml6ZWQgdGhlIHNpdHVhdGlvbiBhcm91bmQgdGhlbQphbmQgcmV2aXZlZCB0aGUgY2hpbGQgd2l0aCBhIFlnZ2RyYXNpbCBMZWFmLgpBZnRlciBmaW5pc2hpbmcgdGhlIGZpbmFsIGxlZyBvZiB0aGUgam91cm5leSwKdGhleSBzYWZlbHkgcmV0dXJuZWQgdG8gUHJvbnRlcmEu,,,,,W0lybcOjIExpbnVzXQpPcyBjb21wYW5oZWlyb3MgcXVlIG1pbGFncm9zYW1lbnRlIHNvYnJldml2ZXJhbQpvcmdhbml6YXJhbSBhIHNpdHVhw6fDo28gYW8gcmVkb3IKZSByZXZpdmVyYW0gYSBjcmlhbsOnYSBjb20gdW1hIEZvbGhhIGRlIFlnZ2RyYXNpbC4KRGVwb2lzIGRlIHRlcm1pbmFyIGEgw7psdGltYSBwZXJuYSBkYSBqb3JuYWRhLAplbGVzIHJldG9ybmFyYW0gZW0gc2VndXJhbsOnYSBwYXJhIFByb250ZXJhLg==,,W0hlcm1hbmEgTGludXNdCkxvcyBjb21wYcOxZXJvcyBxdWUgbWlsYWdyb3NhbWVudGUgc29icmV2aXZpZXJvbgpvcmdhbml6YXJvbiBsYSBzaXR1YWNpw7NuIGEgc3UgYWxyZWRlZG9yCnkgcmV2aXZpZXJvbiBhIGxhIG5pw7FhIGNvbiB1bmEgSG9qYSBkZSBZZ2dkcmFzaWwuCkRlc3B1w6lzIGRlIHRlcm1pbmFyIGVsIMO6bHRpbW8gdHJhbW8gZGVsIHZpYWplLApyZWdyZXNhcm9uIGEgc2Fsdm8gYSBQcm9udGVyYS4=
Wew0Aw,,W14zMTMxRkZ7MH1eMDAwMDAwXQpZb3Ugc3VkZGVubHkgYmVnYW4gdGhpcyBzdG9yeSwKc28gSSBmZWFyZWQgaXQgd291bGQgZW5kIHNhZGx5LgpJJ20gcmVsaWV2ZWQu,,,,,W14zMTMxRkZ7MH1eMDAwMDAwXQpWb2PDqiBkZSByZXBlbnRlIGNvbWXDp291IGVzdGEgaGlzdMOzcmlhLAplbnTDo28gdGVtaSBxdWUgdGVybWluYXNzZSB0cmlzdGVtZW50ZS4KRXN0b3UgYWxpdmlhZG8u,,W14zMTMxRkZ7MH1eMDAwMDAwXQpDb21lbnphc3RlIGVzdGEgaGlzdG9yaWEgZGUgcmVwZW50ZSwKYXPDrSBxdWUgdGVtw60gcXVlIHRlcm1pbmFyYSB0cmlzdGVtZW50ZS4KRXN0b3kgYWxpdmlhZG8u
Wuw0Aw,,W1Npc3RlciBMaW51c10KSG9obywgaXMgdGhhdCBzbz8KVGhvdWdoIHRoYXQgY2hpbGQgb2Z0ZW4gbmVnbGVjdGVkIGR1dGllcyBhdCB0aGUgY2F0aGVkcmFsLApjb25zaWRlcmluZyB0aGF0IHRoZXkgc3VjY2Vzc2Z1bGx5IHVzZWQgUmVkZW1wdGlvCmFuZCBzYWZlbHkgZ3VpZGVkIHRoZSBwYXJ0eSB0aHJvdWdoIHRoZSBqb3VybmV5LA==,,,,,W0lybcOjIExpbnVzXQpIb2hvLCDDqSBtZXNtbz8KRW1ib3JhIGFxdWVsYSBjcmlhbsOnYSBmcmVxdWVudGVtZW50ZSBuZWdsaWdlbmNpYXNzZSBvcyBkZXZlcmVzIG5hIGNhdGVkcmFsLApjb25zaWRlcmFuZG8gcXVlIGVsYSB1c291IFJlZGVtcHRpbyBjb20gc3VjZXNzbwplIGd1aW91IG8gZ3J1cG8gZW0gc2VndXJhbsOnYSBwZWxhIGpvcm5hZGEs,,W0hlcm1hbmEgTGludXNdCkpvasOzLCDCv2VzIGFzw60/CkF1bnF1ZSBlc2EgbmnDsWEgYSBtZW51ZG8gZGVzY3VpZGFiYSBzdXMgZGViZXJlcyBlbiBsYSBjYXRlZHJhbCwKY29uc2lkZXJhbmRvIHF1ZSB1c8OzIGNvbiDDqXhpdG8gZWwgUmVkZW1wdGlvCnkgZ3Vpw7MgYWwgZ3J1cG8gZGUgbWFuZXJhIHNlZ3VyYSBhIHRyYXbDqXMgZGVsIHZpYWplLA==
W+w0Aw,,W1Npc3RlciBMaW51c10KQWZ0ZXIgc2V2ZXJhbCBtb250aHMgb2YgdHJhaW5pbmcsCnRoYXQgY2hpbGQgc2hlZCB0aGUgcm9iZXMgb2YgYW4gb3JkaW5hcnkgcHJpZXN0CmFuZCB3YXMgcHJvbW90ZWQgdG8gYSBIaWdoIFByaWVzdC4=,,,,,W0lybcOjIExpbnVzXQpBcMOzcyB2w6FyaW9zIG1lc2VzIGRlIHRyZWluYW1lbnRvLAphcXVlbGEgY3JpYW7Dp2EgdGlyb3UgYXMgdmVzdGVzIGRlIHVtIHNhY2VyZG90ZSBjb211bQplIGZvaSBwcm9tb3ZpZGEgYSBTdW1vIFNhY2VyZG90ZS4=,,W0hlcm1hbmEgTGludXNdCkRlc3B1w6lzIGRlIHZhcmlvcyBtZXNlcyBkZSBlbnRyZW5hbWllbnRvLAplc2EgbmnDsWEgc2UgcXVpdMOzIGxhcyB0w7puaWNhcyBkZSB1biBzYWNlcmRvdGUgb3JkaW5hcmlvCnkgZnVlIHByb21vdmlkYSBhIFN1bWEgU2FjZXJkb3Rpc2Eu
